id,valueYName,valueY,valueXName,valueX,score_1,scores_total,score,anomaly
0,month,1,month_day_hour_min,,0.47,0.47,0.47,false
1,month,1,month_day_hour_min,,0.46,0.46,0.46,false
2,month,1,month_day_hour_min,,0.46,0.46,0.46,false
3,month,1,month_day_hour_min,,0.46,0.46,0.46,false
4,month,1,month_day_hour_min,,0.44,0.44,0.44,false
5,month,1,month_day_hour_min,,0.44,0.44,0.44,false
6,month,1,month_day_hour_min,,0.45,0.45,0.45,false
7,month,1,month_day_hour_min,,0.47,0.47,0.47,false
8,month,1,month_day_hour_min,,0.48,0.48,0.48,false
9,month,1,month_day_hour_min,,0.47,0.47,0.47,false
10,month,1,month_day_hour_min,,0.47,0.47,0.47,false
11,month,1,month_day_hour_min,,0.47,0.47,0.47,false
12,month,1,month_day_hour_min,,0.44,0.44,0.44,false
13,month,1,month_day_hour_min,,0.42,0.42,0.42,false
14,month,1,month_day_hour_min,,0.44,0.44,0.44,false
15,month,1,month_day_hour_min,,0.42,0.42,0.42,false
16,month,1,month_day_hour_min,,0.44,0.44,0.44,false
17,month,1,month_day_hour_min,,0.43,0.43,0.43,false
18,month,1,month_day_hour_min,,0.45,0.45,0.45,false
19,month,1,month_day_hour_min,,0.48,0.48,0.48,false
20,month,1,month_day_hour_min,,0.46,0.46,0.46,false
21,month,1,month_day_hour_min,,0.45,0.45,0.45,false
22,month,1,month_day_hour_min,,0.46,0.46,0.46,false
23,month,1,month_day_hour_min,,0.45,0.45,0.45,false
24,month,1,month_day_hour_min,,0.48,0.48,0.48,false
25,month,1,month_day_hour_min,,0.47,0.47,0.47,false
26,month,1,month_day_hour_min,,0.46,0.46,0.46,false
27,month,1,month_day_hour_min,,0.46,0.46,0.46,false
28,month,1,month_day_hour_min,,0.47,0.47,0.47,false
29,month,1,month_day_hour_min,,0.44,0.44,0.44,false
30,month,1,month_day_hour_min,,0.44,0.44,0.44,false
31,month,1,month_day_hour_min,,0.44,0.44,0.44,false
32,month,1,month_day_hour_min,,0.43,0.43,0.43,false
33,month,1,month_day_hour_min,,0.43,0.43,0.43,false
34,month,1,month_day_hour_min,,0.43,0.43,0.43,false
35,month,1,month_day_hour_min,,0.44,0.44,0.44,false
36,month,1,month_day_hour_min,,0.44,0.44,0.44,false
37,month,1,month_day_hour_min,,0.44,0.44,0.44,false
38,month,1,month_day_hour_min,,0.44,0.44,0.44,false
39,month,1,month_day_hour_min,,0.46,0.46,0.46,false
40,month,1,month_day_hour_min,,0.47,0.47,0.47,false
41,month,1,month_day_hour_min,,0.45,0.45,0.45,false
42,month,1,month_day_hour_min,,0.43,0.43,0.43,false
43,month,1,month_day_hour_min,,0.44,0.44,0.44,false
44,month,1,month_day_hour_min,,0.47,0.47,0.47,false
45,month,1,month_day_hour_min,,0.48,0.48,0.48,false
46,month,1,month_day_hour_min,,0.42,0.42,0.42,false
47,month,1,month_day_hour_min,,0.44,0.44,0.44,false
48,month,1,month_day_hour_min,,0.43,0.43,0.43,false
49,month,1,month_day_hour_min,,0.43,0.43,0.43,false
50,month,1,month_day_hour_min,,0.42,0.42,0.42,false
51,month,1,month_day_hour_min,,0.43,0.43,0.43,false
52,month,1,month_day_hour_min,,0.42,0.42,0.42,false
53,month,1,month_day_hour_min,,0.44,0.44,0.44,false
54,month,1,month_day_hour_min,,0.45,0.45,0.45,false
55,month,1,month_day_hour_min,,0.43,0.43,0.43,false
56,month,1,month_day_hour_min,,0.45,0.45,0.45,false
57,month,1,month_day_hour_min,,0.46,0.46,0.46,false
58,month,1,month_day_hour_min,,0.43,0.43,0.43,false
59,month,1,month_day_hour_min,,0.43,0.43,0.43,false
60,month,1,month_day_hour_min,,0.47,0.47,0.47,false
61,month,1,month_day_hour_min,,0.47,0.47,0.47,false
62,month,1,month_day_hour_min,,0.45,0.45,0.45,false
63,month,1,month_day_hour_min,,0.48,0.48,0.48,false
64,month,1,month_day_hour_min,,0.42,0.42,0.42,false
65,month,1,month_day_hour_min,,0.43,0.43,0.43,false
66,month,1,month_day_hour_min,,0.45,0.45,0.45,false
67,month,1,month_day_hour_min,,0.44,0.44,0.44,false
68,month,1,month_day_hour_min,,0.44,0.44,0.44,false
69,month,1,month_day_hour_min,,0.43,0.43,0.43,false
70,month,1,month_day_hour_min,,0.46,0.46,0.46,false
71,month,1,month_day_hour_min,,0.48,0.48,0.48,false
72,month,1,month_day_hour_min,,0.44,0.44,0.44,false
73,month,1,month_day_hour_min,,0.46,0.46,0.46,false
74,month,1,month_day_hour_min,,0.47,0.47,0.47,false
75,month,1,month_day_hour_min,,0.44,0.44,0.44,false
76,month,1,month_day_hour_min,,0.45,0.45,0.45,false
77,month,1,month_day_hour_min,,0.46,0.46,0.46,false
78,month,1,month_day_hour_min,,0.48,0.48,0.48,false
79,month,1,month_day_hour_min,,0.47,0.47,0.47,false
80,month,1,month_day_hour_min,,0.43,0.43,0.43,false
81,month,1,month_day_hour_min,,0.43,0.43,0.43,false
82,month,1,month_day_hour_min,,0.44,0.44,0.44,false
83,month,1,month_day_hour_min,,0.42,0.42,0.42,false
84,month,1,month_day_hour_min,,0.42,0.42,0.42,false
85,month,1,month_day_hour_min,,0.44,0.44,0.44,false
86,month,1,month_day_hour_min,,0.42,0.42,0.42,false
87,month,1,month_day_hour_min,,0.42,0.42,0.42,false
88,month,1,month_day_hour_min,,0.44,0.44,0.44,false
89,month,1,month_day_hour_min,,0.42,0.42,0.42,false
90,month,1,month_day_hour_min,,0.44,0.44,0.44,false
91,month,1,month_day_hour_min,,0.42,0.42,0.42,false
92,month,1,month_day_hour_min,,0.43,0.43,0.43,false
93,month,1,month_day_hour_min,,0.45,0.45,0.45,false
94,month,1,month_day_hour_min,,0.47,0.47,0.47,false
95,month,1,month_day_hour_min,,0.45,0.45,0.45,false
96,month,1,month_day_hour_min,,0.46,0.46,0.46,false
97,month,1,month_day_hour_min,,0.43,0.43,0.43,false
98,month,1,month_day_hour_min,,0.44,0.44,0.44,false
99,month,1,month_day_hour_min,,0.44,0.44,0.44,false
100,month,1,month_day_hour_min,,0.46,0.46,0.46,false
101,month,1,month_day_hour_min,,0.44,0.44,0.44,false
102,month,1,month_day_hour_min,,0.45,0.45,0.45,false
103,month,1,month_day_hour_min,,0.46,0.46,0.46,false
104,month,1,month_day_hour_min,,0.44,0.44,0.44,false
105,month,1,month_day_hour_min,,0.43,0.43,0.43,false
106,month,1,month_day_hour_min,,0.42,0.42,0.42,false
107,month,1,month_day_hour_min,,0.42,0.42,0.42,false
108,month,1,month_day_hour_min,,0.44,0.44,0.44,false
109,month,1,month_day_hour_min,,0.45,0.45,0.45,false
110,month,1,month_day_hour_min,,0.45,0.45,0.45,false
111,month,1,month_day_hour_min,,0.47,0.47,0.47,false
112,month,1,month_day_hour_min,,0.45,0.45,0.45,false
113,month,1,month_day_hour_min,,0.46,0.46,0.46,false
114,month,1,month_day_hour_min,,0.45,0.45,0.45,false
115,month,1,month_day_hour_min,,0.45,0.45,0.45,false
116,month,1,month_day_hour_min,,0.47,0.47,0.47,false
117,month,1,month_day_hour_min,,0.45,0.45,0.45,false
118,month,1,month_day_hour_min,,0.43,0.43,0.43,false
119,month,1,month_day_hour_min,,0.43,0.43,0.43,false
120,month,1,month_day_hour_min,,0.41,0.41,0.41,false
121,month,1,month_day_hour_min,,0.44,0.44,0.44,false
122,month,1,month_day_hour_min,,0.45,0.45,0.45,false
123,month,1,month_day_hour_min,,0.49,0.49,0.49,false
124,month,1,month_day_hour_min,,0.46,0.46,0.46,false
125,month,1,month_day_hour_min,,0.47,0.47,0.47,false
126,month,1,month_day_hour_min,,0.44,0.44,0.44,false
127,month,1,month_day_hour_min,,0.46,0.46,0.46,false
128,month,1,month_day_hour_min,,0.45,0.45,0.45,false
129,month,1,month_day_hour_min,,0.47,0.47,0.47,false
130,month,1,month_day_hour_min,,0.49,0.49,0.49,false
131,month,1,month_day_hour_min,,0.51,0.51,0.51,false
132,month,1,month_day_hour_min,,0.47,0.47,0.47,false
133,month,1,month_day_hour_min,,0.42,0.42,0.42,false
134,month,1,month_day_hour_min,,0.42,0.42,0.42,false
135,month,1,month_day_hour_min,,0.43,0.43,0.43,false
136,month,1,month_day_hour_min,,0.42,0.42,0.42,false
137,month,1,month_day_hour_min,,0.45,0.45,0.45,false
138,month,1,month_day_hour_min,,0.45,0.45,0.45,false
139,month,1,month_day_hour_min,,0.44,0.44,0.44,false
140,month,1,month_day_hour_min,,0.46,0.46,0.46,false
141,month,1,month_day_hour_min,,0.46,0.46,0.46,false
142,month,1,month_day_hour_min,,0.44,0.44,0.44,false
143,month,1,month_day_hour_min,,0.44,0.44,0.44,false
144,month,1,month_day_hour_min,,0.46,0.46,0.46,false
145,month,1,month_day_hour_min,,0.41,0.41,0.41,false
146,month,1,month_day_hour_min,,0.43,0.43,0.43,false
147,month,1,month_day_hour_min,,0.42,0.42,0.42,false
148,month,1,month_day_hour_min,,0.42,0.42,0.42,false
149,month,1,month_day_hour_min,,0.42,0.42,0.42,false
150,month,1,month_day_hour_min,,0.42,0.42,0.42,false
151,month,1,month_day_hour_min,,0.43,0.43,0.43,false
152,month,1,month_day_hour_min,,0.42,0.42,0.42,false
153,month,1,month_day_hour_min,,0.46,0.46,0.46,false
154,month,1,month_day_hour_min,,0.44,0.44,0.44,false
155,month,1,month_day_hour_min,,0.45,0.45,0.45,false
156,month,1,month_day_hour_min,,0.46,0.46,0.46,false
157,month,1,month_day_hour_min,,0.46,0.46,0.46,false
158,month,1,month_day_hour_min,,0.44,0.44,0.44,false
159,month,1,month_day_hour_min,,0.45,0.45,0.45,false
160,month,1,month_day_hour_min,,0.45,0.45,0.45,false
161,month,1,month_day_hour_min,,0.42,0.42,0.42,false
162,month,1,month_day_hour_min,,0.42,0.42,0.42,false
163,month,1,month_day_hour_min,,0.44,0.44,0.44,false
164,month,1,month_day_hour_min,,0.44,0.44,0.44,false
165,month,1,month_day_hour_min,,0.44,0.44,0.44,false
166,month,1,month_day_hour_min,,0.43,0.43,0.43,false
167,month,1,month_day_hour_min,,0.42,0.42,0.42,false
168,month,1,month_day_hour_min,,0.48,0.48,0.48,false
169,month,1,month_day_hour_min,,0.45,0.45,0.45,false
170,month,1,month_day_hour_min,,0.47,0.47,0.47,false
171,month,1,month_day_hour_min,,0.49,0.49,0.49,false
172,month,1,month_day_hour_min,,0.46,0.46,0.46,false
173,month,1,month_day_hour_min,,0.46,0.46,0.46,false
174,month,1,month_day_hour_min,,0.43,0.43,0.43,false
175,month,1,month_day_hour_min,,0.45,0.45,0.45,false
176,month,1,month_day_hour_min,,0.46,0.46,0.46,false
177,month,1,month_day_hour_min,,0.46,0.46,0.46,false
178,month,1,month_day_hour_min,,0.49,0.49,0.49,false
179,month,1,month_day_hour_min,,0.48,0.48,0.48,false
180,month,1,month_day_hour_min,,0.47,0.47,0.47,false
181,month,1,month_day_hour_min,,0.48,0.48,0.48,false
182,month,1,month_day_hour_min,,0.48,0.48,0.48,false
183,month,1,month_day_hour_min,,0.50,0.50,0.50,false
184,month,1,month_day_hour_min,,0.51,0.51,0.51,false
185,month,1,month_day_hour_min,,0.55,0.55,0.55,false
186,month,1,month_day_hour_min,,0.50,0.50,0.50,false
187,month,1,month_day_hour_min,,0.50,0.50,0.50,false
188,month,1,month_day_hour_min,,0.49,0.49,0.49,false
189,month,1,month_day_hour_min,,0.51,0.51,0.51,false
190,month,1,month_day_hour_min,,0.53,0.53,0.53,false
191,month,1,month_day_hour_min,,0.53,0.53,0.53,false
192,month,1,month_day_hour_min,,0.51,0.51,0.51,false
193,month,1,month_day_hour_min,,0.51,0.51,0.51,false
194,month,1,month_day_hour_min,,0.56,0.56,0.56,false
195,month,1,month_day_hour_min,,0.50,0.50,0.50,false
196,month,1,month_day_hour_min,,0.46,0.46,0.46,false
197,month,1,month_day_hour_min,,0.48,0.48,0.48,false
198,month,1,month_day_hour_min,,0.50,0.50,0.50,false
199,month,1,month_day_hour_min,,0.49,0.49,0.49,false
200,month,1,month_day_hour_min,,0.50,0.50,0.50,false
201,month,1,month_day_hour_min,,0.48,0.48,0.48,false
202,month,1,month_day_hour_min,,0.47,0.47,0.47,false
203,month,1,month_day_hour_min,,0.47,0.47,0.47,false
204,month,1,month_day_hour_min,,0.52,0.52,0.52,false
205,month,1,month_day_hour_min,,0.46,0.46,0.46,false
206,month,1,month_day_hour_min,,0.52,0.52,0.52,false
207,month,1,month_day_hour_min,,0.52,0.52,0.52,false
208,month,1,month_day_hour_min,,0.57,0.57,0.57,false
209,month,1,month_day_hour_min,,0.54,0.54,0.54,false
210,month,1,month_day_hour_min,,0.56,0.56,0.56,false
211,month,1,month_day_hour_min,,0.50,0.50,0.50,false
212,month,1,month_day_hour_min,,0.53,0.53,0.53,false
213,month,1,month_day_hour_min,,0.53,0.53,0.53,false
214,month,1,month_day_hour_min,,0.47,0.47,0.47,false
215,month,1,month_day_hour_min,,0.49,0.49,0.49,false
216,month,1,month_day_hour_min,,0.50,0.50,0.50,false
217,month,1,month_day_hour_min,,0.50,0.50,0.50,false
218,month,1,month_day_hour_min,,0.69,0.69,0.69,true
219,month,1,month_day_hour_min,,0.49,0.49,0.49,false
220,month,1,month_day_hour_min,,0.48,0.48,0.48,false
221,month,1,month_day_hour_min,,0.48,0.48,0.48,false
222,month,1,month_day_hour_min,,0.47,0.47,0.47,false
223,month,1,month_day_hour_min,,0.49,0.49,0.49,false
224,month,1,month_day_hour_min,,0.49,0.49,0.49,false
225,month,1,month_day_hour_min,,0.48,0.48,0.48,false
226,month,1,month_day_hour_min,,0.47,0.47,0.47,false
227,month,1,month_day_hour_min,,0.45,0.45,0.45,false
228,month,1,month_day_hour_min,,0.44,0.44,0.44,false
229,month,1,month_day_hour_min,,0.44,0.44,0.44,false
230,month,1,month_day_hour_min,,0.44,0.44,0.44,false
231,month,1,month_day_hour_min,,0.43,0.43,0.43,false
232,month,1,month_day_hour_min,,0.42,0.42,0.42,false
233,month,1,month_day_hour_min,,0.42,0.42,0.42,false
234,month,1,month_day_hour_min,,0.44,0.44,0.44,false
235,month,1,month_day_hour_min,,0.43,0.43,0.43,false
236,month,1,month_day_hour_min,,0.44,0.44,0.44,false
237,month,1,month_day_hour_min,,0.43,0.43,0.43,false
238,month,1,month_day_hour_min,,0.44,0.44,0.44,false
239,month,1,month_day_hour_min,,0.44,0.44,0.44,false
240,month,1,month_day_hour_min,,0.42,0.42,0.42,false
241,month,1,month_day_hour_min,,0.41,0.41,0.41,false
242,month,1,month_day_hour_min,,0.43,0.43,0.43,false
243,month,1,month_day_hour_min,,0.40,0.40,0.40,false
244,month,1,month_day_hour_min,,0.44,0.44,0.44,false
245,month,1,month_day_hour_min,,0.44,0.44,0.44,false
246,month,1,month_day_hour_min,,0.41,0.41,0.41,false
247,month,1,month_day_hour_min,,0.42,0.42,0.42,false
248,month,1,month_day_hour_min,,0.40,0.40,0.40,false
249,month,1,month_day_hour_min,,0.41,0.41,0.41,false
250,month,1,month_day_hour_min,,0.42,0.42,0.42,false
251,month,1,month_day_hour_min,,0.40,0.40,0.40,false
252,month,1,month_day_hour_min,,0.42,0.42,0.42,false
253,month,1,month_day_hour_min,,0.41,0.41,0.41,false
254,month,1,month_day_hour_min,,0.42,0.42,0.42,false
255,month,1,month_day_hour_min,,0.42,0.42,0.42,false
256,month,1,month_day_hour_min,,0.44,0.44,0.44,false
257,month,1,month_day_hour_min,,0.45,0.45,0.45,false
258,month,1,month_day_hour_min,,0.46,0.46,0.46,false
259,month,1,month_day_hour_min,,0.45,0.45,0.45,false
260,month,1,month_day_hour_min,,0.43,0.43,0.43,false
261,month,1,month_day_hour_min,,0.44,0.44,0.44,false
262,month,1,month_day_hour_min,,0.44,0.44,0.44,false
263,month,1,month_day_hour_min,,0.43,0.43,0.43,false
264,month,1,month_day_hour_min,,0.41,0.41,0.41,false
265,month,1,month_day_hour_min,,0.42,0.42,0.42,false
266,month,1,month_day_hour_min,,0.44,0.44,0.44,false
267,month,1,month_day_hour_min,,0.49,0.49,0.49,false
268,month,1,month_day_hour_min,,0.49,0.49,0.49,false
269,month,1,month_day_hour_min,,0.43,0.43,0.43,false
270,month,1,month_day_hour_min,,0.41,0.41,0.41,false
271,month,1,month_day_hour_min,,0.43,0.43,0.43,false
272,month,1,month_day_hour_min,,0.43,0.43,0.43,false
273,month,1,month_day_hour_min,,0.41,0.41,0.41,false
274,month,1,month_day_hour_min,,0.42,0.42,0.42,false
275,month,1,month_day_hour_min,,0.44,0.44,0.44,false
276,month,1,month_day_hour_min,,0.42,0.42,0.42,false
277,month,1,month_day_hour_min,,0.43,0.43,0.43,false
278,month,1,month_day_hour_min,,0.44,0.44,0.44,false
279,month,1,month_day_hour_min,,0.44,0.44,0.44,false
280,month,1,month_day_hour_min,,0.42,0.42,0.42,false
281,month,1,month_day_hour_min,,0.44,0.44,0.44,false
282,month,1,month_day_hour_min,,0.51,0.51,0.51,false
283,month,1,month_day_hour_min,,0.48,0.48,0.48,false
284,month,1,month_day_hour_min,,0.49,0.49,0.49,false
285,month,1,month_day_hour_min,,0.42,0.42,0.42,false
286,month,1,month_day_hour_min,,0.44,0.44,0.44,false
287,month,1,month_day_hour_min,,0.45,0.45,0.45,false
288,month,1,month_day_hour_min,,0.43,0.43,0.43,false
289,month,1,month_day_hour_min,,0.42,0.42,0.42,false
290,month,1,month_day_hour_min,,0.42,0.42,0.42,false
291,month,1,month_day_hour_min,,0.41,0.41,0.41,false
292,month,1,month_day_hour_min,,0.40,0.40,0.40,false
293,month,1,month_day_hour_min,,0.41,0.41,0.41,false
294,month,1,month_day_hour_min,,0.40,0.40,0.40,false
295,month,1,month_day_hour_min,,0.41,0.41,0.41,false
296,month,1,month_day_hour_min,,0.40,0.40,0.40,false
297,month,1,month_day_hour_min,,0.39,0.39,0.39,false
298,month,1,month_day_hour_min,,0.39,0.39,0.39,false
299,month,1,month_day_hour_min,,0.42,0.42,0.42,false
300,month,1,month_day_hour_min,,0.41,0.41,0.41,false
301,month,1,month_day_hour_min,,0.43,0.43,0.43,false
302,month,1,month_day_hour_min,,0.40,0.40,0.40,false
303,month,1,month_day_hour_min,,0.41,0.41,0.41,false
304,month,1,month_day_hour_min,,0.42,0.42,0.42,false
305,month,1,month_day_hour_min,,0.47,0.47,0.47,false
306,month,1,month_day_hour_min,,0.47,0.47,0.47,false
307,month,1,month_day_hour_min,,0.46,0.46,0.46,false
308,month,1,month_day_hour_min,,0.47,0.47,0.47,false
309,month,1,month_day_hour_min,,0.49,0.49,0.49,false
310,month,1,month_day_hour_min,,0.44,0.44,0.44,false
311,month,1,month_day_hour_min,,0.46,0.46,0.46,false
312,month,1,month_day_hour_min,,0.46,0.46,0.46,false
313,month,1,month_day_hour_min,,0.43,0.43,0.43,false
314,month,1,month_day_hour_min,,0.44,0.44,0.44,false
315,month,1,month_day_hour_min,,0.46,0.46,0.46,false
316,month,1,month_day_hour_min,,0.45,0.45,0.45,false
317,month,1,month_day_hour_min,,0.46,0.46,0.46,false
318,month,1,month_day_hour_min,,0.67,0.67,0.67,true
319,month,1,month_day_hour_min,,0.48,0.48,0.48,false
320,month,1,month_day_hour_min,,0.45,0.45,0.45,false
321,month,1,month_day_hour_min,,0.44,0.44,0.44,false
322,month,1,month_day_hour_min,,0.41,0.41,0.41,false
323,month,1,month_day_hour_min,,0.42,0.42,0.42,false
324,month,1,month_day_hour_min,,0.44,0.44,0.44,false
325,month,1,month_day_hour_min,,0.46,0.46,0.46,false
326,month,1,month_day_hour_min,,0.43,0.43,0.43,false
327,month,1,month_day_hour_min,,0.42,0.42,0.42,false
328,month,1,month_day_hour_min,,0.42,0.42,0.42,false
329,month,1,month_day_hour_min,,0.66,0.66,0.66,true
330,month,1,month_day_hour_min,,0.42,0.42,0.42,false
331,month,1,month_day_hour_min,,0.42,0.42,0.42,false
332,month,1,month_day_hour_min,,0.42,0.42,0.42,false
333,month,1,month_day_hour_min,,0.41,0.41,0.41,false
334,month,1,month_day_hour_min,,0.41,0.41,0.41,false
335,month,1,month_day_hour_min,,0.43,0.43,0.43,false
336,month,1,month_day_hour_min,,0.41,0.41,0.41,false
337,month,1,month_day_hour_min,,0.44,0.44,0.44,false
338,month,1,month_day_hour_min,,0.46,0.46,0.46,false
339,month,1,month_day_hour_min,,0.45,0.45,0.45,false
340,month,1,month_day_hour_min,,0.45,0.45,0.45,false
341,month,1,month_day_hour_min,,0.43,0.43,0.43,false
342,month,1,month_day_hour_min,,0.44,0.44,0.44,false
343,month,1,month_day_hour_min,,0.44,0.44,0.44,false
344,month,1,month_day_hour_min,,0.41,0.41,0.41,false
345,month,1,month_day_hour_min,,0.45,0.45,0.45,false
346,month,1,month_day_hour_min,,0.42,0.42,0.42,false
347,month,1,month_day_hour_min,,0.42,0.42,0.42,false
348,month,1,month_day_hour_min,,0.42,0.42,0.42,false
349,month,1,month_day_hour_min,,0.42,0.42,0.42,false
350,month,1,month_day_hour_min,,0.42,0.42,0.42,false
351,month,1,month_day_hour_min,,0.47,0.47,0.47,false
352,month,1,month_day_hour_min,,0.46,0.46,0.46,false
353,month,1,month_day_hour_min,,0.45,0.45,0.45,false
354,month,1,month_day_hour_min,,0.43,0.43,0.43,false
355,month,1,month_day_hour_min,,0.43,0.43,0.43,false
356,month,1,month_day_hour_min,,0.45,0.45,0.45,false
357,month,1,month_day_hour_min,,0.44,0.44,0.44,false
358,month,1,month_day_hour_min,,0.45,0.45,0.45,false
359,month,1,month_day_hour_min,,0.43,0.43,0.43,false
360,month,1,month_day_hour_min,,0.43,0.43,0.43,false
361,month,1,month_day_hour_min,,0.43,0.43,0.43,false
362,month,1,month_day_hour_min,,0.41,0.41,0.41,false
363,month,1,month_day_hour_min,,0.41,0.41,0.41,false
364,month,1,month_day_hour_min,,0.41,0.41,0.41,false
365,month,1,month_day_hour_min,,0.49,0.49,0.49,false
366,month,1,month_day_hour_min,,0.47,0.47,0.47,false
367,month,1,month_day_hour_min,,0.47,0.47,0.47,false
368,month,1,month_day_hour_min,,0.46,0.46,0.46,false
369,month,1,month_day_hour_min,,0.46,0.46,0.46,false
370,month,1,month_day_hour_min,,0.46,0.46,0.46,false
371,month,1,month_day_hour_min,,0.43,0.43,0.43,false
372,month,1,month_day_hour_min,,0.44,0.44,0.44,false
373,month,1,month_day_hour_min,,0.43,0.43,0.43,false
374,month,1,month_day_hour_min,,0.43,0.43,0.43,false
375,month,1,month_day_hour_min,,0.45,0.45,0.45,false
376,month,1,month_day_hour_min,,0.48,0.48,0.48,false
377,month,1,month_day_hour_min,,0.47,0.47,0.47,false
378,month,1,month_day_hour_min,,0.47,0.47,0.47,false
379,month,1,month_day_hour_min,,0.47,0.47,0.47,false
380,month,1,month_day_hour_min,,0.48,0.48,0.48,false
381,month,1,month_day_hour_min,,0.45,0.45,0.45,false
382,month,1,month_day_hour_min,,0.44,0.44,0.44,false
383,month,1,month_day_hour_min,,0.47,0.47,0.47,false
384,month,1,month_day_hour_min,,0.47,0.47,0.47,false
385,month,1,month_day_hour_min,,0.48,0.48,0.48,false
386,month,1,month_day_hour_min,,0.45,0.45,0.45,false
387,month,1,month_day_hour_min,,0.43,0.43,0.43,false
388,month,1,month_day_hour_min,,0.44,0.44,0.44,false
389,month,1,month_day_hour_min,,0.48,0.48,0.48,false
390,month,1,month_day_hour_min,,0.45,0.45,0.45,false
391,month,1,month_day_hour_min,,0.45,0.45,0.45,false
392,month,1,month_day_hour_min,,0.42,0.42,0.42,false
393,month,1,month_day_hour_min,,0.42,0.42,0.42,false
394,month,1,month_day_hour_min,,0.45,0.45,0.45,false
395,month,1,month_day_hour_min,,0.43,0.43,0.43,false
396,month,1,month_day_hour_min,,0.46,0.46,0.46,false
397,month,1,month_day_hour_min,,0.47,0.47,0.47,false
398,month,1,month_day_hour_min,,0.47,0.47,0.47,false
399,month,1,month_day_hour_min,,0.48,0.48,0.48,false
400,month,1,month_day_hour_min,,0.46,0.46,0.46,false
401,month,1,month_day_hour_min,,0.46,0.46,0.46,false
402,month,1,month_day_hour_min,,0.47,0.47,0.47,false
403,month,1,month_day_hour_min,,0.44,0.44,0.44,false
404,month,1,month_day_hour_min,,0.45,0.45,0.45,false
405,month,1,month_day_hour_min,,0.45,0.45,0.45,false
406,month,1,month_day_hour_min,,0.51,0.51,0.51,false
407,month,1,month_day_hour_min,,0.43,0.43,0.43,false
408,month,1,month_day_hour_min,,0.47,0.47,0.47,false
409,month,1,month_day_hour_min,,0.49,0.49,0.49,false
410,month,1,month_day_hour_min,,0.40,0.40,0.40,false
411,month,1,month_day_hour_min,,0.41,0.41,0.41,false
412,month,1,month_day_hour_min,,0.43,0.43,0.43,false
413,month,1,month_day_hour_min,,0.43,0.43,0.43,false
414,month,1,month_day_hour_min,,0.40,0.40,0.40,false
415,month,1,month_day_hour_min,,0.39,0.39,0.39,false
416,month,1,month_day_hour_min,,0.44,0.44,0.44,false
417,month,1,month_day_hour_min,,0.43,0.43,0.43,false
418,month,1,month_day_hour_min,,0.45,0.45,0.45,false
419,month,1,month_day_hour_min,,0.42,0.42,0.42,false
420,month,1,month_day_hour_min,,0.46,0.46,0.46,false
421,month,1,month_day_hour_min,,0.43,0.43,0.43,false
422,month,1,month_day_hour_min,,0.41,0.41,0.41,false
423,month,1,month_day_hour_min,,0.41,0.41,0.41,false
424,month,1,month_day_hour_min,,0.42,0.42,0.42,false
425,month,1,month_day_hour_min,,0.42,0.42,0.42,false
426,month,1,month_day_hour_min,,0.40,0.40,0.40,false
427,month,1,month_day_hour_min,,0.41,0.41,0.41,false
428,month,1,month_day_hour_min,,0.39,0.39,0.39,false
429,month,1,month_day_hour_min,,0.39,0.39,0.39,false
430,month,1,month_day_hour_min,,0.45,0.45,0.45,false
431,month,1,month_day_hour_min,,0.47,0.47,0.47,false
432,month,1,month_day_hour_min,,0.46,0.46,0.46,false
433,month,1,month_day_hour_min,,0.40,0.40,0.40,false
434,month,1,month_day_hour_min,,0.42,0.42,0.42,false
435,month,1,month_day_hour_min,,0.45,0.45,0.45,false
436,month,1,month_day_hour_min,,0.44,0.44,0.44,false
437,month,1,month_day_hour_min,,0.43,0.43,0.43,false
438,month,1,month_day_hour_min,,0.45,0.45,0.45,false
439,month,1,month_day_hour_min,,0.44,0.44,0.44,false
440,month,1,month_day_hour_min,,0.42,0.42,0.42,false
441,month,1,month_day_hour_min,,0.43,0.43,0.43,false
442,month,1,month_day_hour_min,,0.45,0.45,0.45,false
443,month,1,month_day_hour_min,,0.45,0.45,0.45,false
444,month,1,month_day_hour_min,,0.44,0.44,0.44,false
445,month,1,month_day_hour_min,,0.43,0.43,0.43,false
446,month,2,month_day_hour_min,,0.39,0.39,0.39,false
447,month,2,month_day_hour_min,,0.40,0.40,0.40,false
448,month,2,month_day_hour_min,,0.38,0.38,0.38,false
449,month,2,month_day_hour_min,,0.41,0.41,0.41,false
450,month,2,month_day_hour_min,,0.41,0.41,0.41,false
451,month,2,month_day_hour_min,,0.42,0.42,0.42,false
452,month,2,month_day_hour_min,,0.43,0.43,0.43,false
453,month,2,month_day_hour_min,,0.45,0.45,0.45,false
454,month,2,month_day_hour_min,,0.43,0.43,0.43,false
455,month,2,month_day_hour_min,,0.44,0.44,0.44,false
456,month,2,month_day_hour_min,,0.44,0.44,0.44,false
457,month,2,month_day_hour_min,,0.45,0.45,0.45,false
458,month,2,month_day_hour_min,,0.45,0.45,0.45,false
459,month,2,month_day_hour_min,,0.41,0.41,0.41,false
460,month,2,month_day_hour_min,,0.40,0.40,0.40,false
461,month,2,month_day_hour_min,,0.42,0.42,0.42,false
462,month,2,month_day_hour_min,,0.43,0.43,0.43,false
463,month,2,month_day_hour_min,,0.43,0.43,0.43,false
464,month,2,month_day_hour_min,,0.39,0.39,0.39,false
