iteration,data_size,number_of_attributes,number_of_trees
1,7007,6,22
2,7007,6,22
3,7007,6,22
4,7007,6,22
5,7007,6,22
6,7007,6,22
7,7007,6,22
8,7007,6,22
9,7007,6,22
10,7007,6,22
