1,2,3,4,5,6,7,8,9,10
62,67,60,65,68,63,68,68,66,64
6814,6814,6831,6821,6832,6843,6836,6789,6801,6777
123,123,106,116,105,94,101,148,136,160
8,3,10,5,2,7,2,2,4,6
