end_device_ids.device_id,end_device_ids.application_ids.application_id,end_device_ids.dev_eui,end_device_ids.join_eui,end_device_ids.dev_addr,correlation_ids_0,received_at,uplink_message.session_key_id,uplink_message.f_port,uplink_message.f_cnt,uplink_message.frm_payload,uplink_message.decoded_payload.bytes_0,uplink_message.decoded_payload.bytes_1,uplink_message.decoded_payload.bytes_2,uplink_message.decoded_payload.bytes_3,uplink_message.rx_metadata_0.gateway_ids.gateway_id,uplink_message.rx_metadata_0.gateway_ids.eui,uplink_message.rx_metadata_0.time,uplink_message.rx_metadata_0.timestamp,uplink_message.rx_metadata_0.rssi,uplink_message.rx_metadata_0.channel_rssi,uplink_message.rx_metadata_0.location.latitude,uplink_message.rx_metadata_0.location.longitude,uplink_message.rx_metadata_0.location.altitude,uplink_message.rx_metadata_0.location.source,uplink_message.rx_metadata_0.uplink_token,uplink_message.rx_metadata_0.received_at,uplink_message.settings.data_rate.lora.bandwidth,uplink_message.settings.data_rate.lora.spreading_factor,uplink_message.settings.data_rate.lora.coding_rate,uplink_message.settings.frequency,uplink_message.settings.timestamp,uplink_message.settings.time,uplink_message.received_at,uplink_message.consumed_airtime,uplink_message.version_ids.brand_id,uplink_message.version_ids.model_id,uplink_message.version_ids.hardware_version,uplink_message.version_ids.firmware_version,uplink_message.version_ids.band_id,uplink_message.network_ids.net_id,uplink_message.network_ids.ns_id,uplink_message.network_ids.tenant_id,uplink_message.network_ids.cluster_id,uplink_message.network_ids.cluster_address
3,0,3,1,3,21,21,3,85,2459,2,3,123,0,0,1,1,21,242142981,-90,-90,38.38418726539637,-0.5101910233497621,10,0,21,21,125000,7,0,2,242142981,21,21,1,1,1,1,1,0,0,0,0,0,0
4,0,4,0,4,22,22,4,2,12179,15,13,23,0,0,2,2,22,2366026498,-71,-71,38.3846865837538,-0.513212937943281,20,0,22,22,125000,7,0,2,2366026498,22,22,0,0,0,0,0,0,0,0,0,0,0
5,0,5,0,5,23,23,5,2,12250,16,13,18,0,0,0,0,23,426918910,-96,-96,38.385917659159134,-0.5170252919197084,20,0,23,23,125000,7,0,5,426918910,23,23,0,0,0,0,0,0,0,0,0,0,0
6,0,6,1,6,24,24,6,85,2191,2,3,123,0,0,1,1,24,456947937,-93,-93,38.38418726539637,-0.5101910233497621,10,0,24,24,125000,7,0,2,456947937,24,24,1,1,1,1,1,0,0,0,0,0,0
7,0,7,0,7,25,25,7,2,12177,17,13,20,0,0,3,3,25,3498254596,-95,-95,38.38473180809575,-0.5102983117103578,10,0,25,25,125000,7,0,5,3498254596,25,25,0,0,0,0,0,0,0,0,0,0,0
8,0,8,0,8,26,26,8,2,12251,18,13,19,0,0,0,0,26,561845422,-92,-92,38.385917659159134,-0.5170252919197084,20,0,26,26,125000,7,0,0,561845422,26,26,0,0,0,0,0,0,0,0,0,0,0
9,0,9,0,9,27,27,9,2,12175,19,13,32,0,0,0,0,27,586587414,-102,-102,38.385917659159134,-0.5170252919197084,20,0,27,27,125000,7,0,2,586587414,27,27,0,0,0,0,0,0,0,0,0,0,0
10,0,10,0,10,28,28,10,2,12252,20,13,8,0,0,2,2,28,2751543711,-111,-111,38.3846865837538,-0.513212937943281,20,0,28,28,125000,7,0,3,2751543711,28,28,0,0,0,0,0,0,0,0,0,0,0
11,0,11,0,11,29,29,11,2,12177,21,13,0,0,0,0,0,29,743239846,-101,-101,38.385917659159134,-0.5170252919197084,20,0,29,29,125000,7,0,2,743239846,29,29,0,0,0,0,0,0,0,0,0,0,0
2,0,2,1,2,30,30,2,85,2185,2,3,123,0,0,1,1,30,837127909,-87,-87,38.38418726539637,-0.5101910233497621,10,0,30,30,125000,7,0,1,837127909,30,30,1,1,1,1,1,0,0,0,0,0,0
3,0,3,1,3,31,31,3,85,2460,2,3,123,0,0,2,2,31,2855017455,-98,-98,38.3846865837538,-0.513212937943281,20,0,31,31,125000,7,0,0,2855017455,31,31,1,1,1,1,1,0,0,0,0,0,0
12,0,12,0,12,32,32,12,2,12253,22,13,20,0,0,4,4,32,2914933188,-111,-111,38.3833301416072,-0.512394097936542,8,0,32,32,125000,7,0,3,2914933188,32,32,0,0,0,0,0,0,0,0,0,0,0
13,0,13,0,13,33,33,13,2,12179,23,12,247,0,0,2,2,33,2933737895,-96,-96,38.3846865837538,-0.513212937943281,20,0,33,33,125000,7,0,0,2933737895,33,33,0,0,0,0,0,0,0,0,0,0,0
14,0,14,0,14,34,34,14,2,11317,24,13,39,0,0,2,2,34,2938691175,-113,-113,38.3846865837538,-0.513212937943281,20,0,34,34,125000,7,0,6,2938691175,34,34,0,0,0,0,0,0,0,0,0,0,0
6,0,6,1,6,35,35,6,85,2192,2,3,123,0,0,1,1,35,1057331341,-91,-91,38.38418726539637,-0.5101910233497621,10,0,35,35,125000,7,0,1,1057331341,35,35,1,1,1,1,1,0,0,0,0,0,0
0,0,0,0,0,36,36,0,2,11316,13,13,79,0,0,0,0,36,1197319031,-96,-96,38.385917659159134,-0.5170252919197084,20,0,36,36,125000,7,0,4,1197319031,36,36,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,37,37,1,2,12177,25,13,27,0,0,1,1,37,1321431447,-97,-97,38.38418726539637,-0.5101910233497621,10,0,37,37,125000,7,0,0,1321431447,37,37,0,0,0,0,0,0,0,0,0,0,0
2,0,2,1,2,38,38,2,85,2186,2,3,123,0,0,0,0,38,1437329239,-110,-110,38.385917659159134,-0.5170252919197084,20,0,38,38,125000,7,0,3,1437329239,38,38,1,1,1,1,1,0,0,0,0,0,0
3,0,3,1,3,39,39,3,85,2461,2,3,123,0,0,1,1,39,1442924512,-91,-91,38.38418726539637,-0.5101910233497621,10,0,39,39,125000,7,0,3,1442924512,39,39,1,1,1,1,1,0,0,0,0,0,0
4,0,4,0,4,40,40,4,2,12180,26,13,39,0,0,0,0,40,1553314743,-92,-92,38.385917659159134,-0.5170252919197084,20,0,40,40,125000,7,0,5,1553314743,40,40,0,0,0,0,0,0,0,0,0,0,0
5,0,5,0,5,41,41,5,2,12251,27,13,18,0,0,2,2,41,3639560330,-77,-77,38.3846865837538,-0.513212937943281,20,0,41,41,125000,7,0,3,3639560330,41,41,0,0,0,0,0,0,0,0,0,0,0
6,0,6,1,6,42,42,6,85,2193,2,3,123,0,0,2,2,42,3670191826,-102,-102,38.3846865837538,-0.513212937943281,20,0,42,42,125000,7,0,1,3670191826,42,42,1,1,1,1,1,0,0,0,0,0,0
7,0,7,0,7,43,43,7,2,12178,28,13,27,0,0,3,3,43,403224656,-97,-97,38.38473180809575,-0.5102983117103578,10,0,43,43,125000,7,0,6,403224656,43,43,0,0,0,0,0,0,0,0,0,0,0
8,0,8,0,8,44,44,8,2,12252,29,13,39,0,0,2,2,44,3774726178,-72,-72,38.3846865837538,-0.513212937943281,20,0,44,44,125000,7,0,2,3774726178,44,44,0,0,0,0,0,0,0,0,0,0,0
9,0,9,0,9,45,45,9,2,12176,30,12,252,0,0,0,0,45,1786308287,-95,-95,38.385917659159134,-0.5170252919197084,20,0,45,45,125000,7,0,0,1786308287,45,45,0,0,0,0,0,0,0,0,0,0,0
10,0,10,0,10,46,46,10,2,12253,31,13,4,0,0,0,0,46,1938782562,-103,-103,38.385917659159134,-0.5170252919197084,20,0,46,46,125000,7,0,2,1938782562,46,46,0,0,0,0,0,0,0,0,0,0,0
11,0,11,0,11,47,47,11,2,12178,32,13,20,0,0,2,2,47,3955827090,-113,-113,38.3846865837538,-0.513212937943281,20,0,47,47,125000,7,0,0,3955827090,47,47,0,0,0,0,0,0,0,0,0,0,0
2,0,2,1,2,48,48,2,85,2187,2,3,123,0,0,0,0,48,2037699025,-111,-111,38.385917659159134,-0.5170252919197084,20,0,48,48,125000,7,0,4,2037699025,48,48,1,1,1,1,1,0,0,0,0,0,0
3,0,3,1,3,49,49,3,85,2462,2,3,123,0,0,2,2,49,4055772074,-101,-101,38.3846865837538,-0.513212937943281,20,0,49,49,125000,7,0,0,4055772074,49,49,1,1,1,1,1,0,0,0,0,0,0
12,0,12,0,12,50,50,12,2,12254,33,13,17,0,0,2,2,50,4131701890,-114,-114,38.3846865837538,-0.513212937943281,20,0,50,50,125000,7,0,6,4131701890,50,50,0,0,0,0,0,0,0,0,0,0,0
13,0,13,0,13,51,51,13,2,12180,34,13,13,0,0,2,2,51,4133625339,-95,-95,38.3846865837538,-0.513212937943281,20,0,51,51,125000,7,0,2,4133625339,51,51,0,0,0,0,0,0,0,0,0,0,0
14,0,14,0,14,52,52,14,2,11318,35,13,39,0,0,0,0,52,2125954866,-109,-109,38.385917659159134,-0.5170252919197084,20,0,52,52,125000,7,0,0,2125954866,52,52,0,0,0,0,0,0,0,0,0,0,0
6,0,6,1,6,53,53,6,85,2194,2,3,123,0,0,2,2,53,4270564354,-109,-109,38.3846865837538,-0.513212937943281,20,0,53,53,125000,7,0,0,4270564354,53,53,1,1,1,1,1,0,0,0,0,0,0
0,0,0,0,0,54,54,0,2,11317,36,13,77,0,0,0,0,54,2397262597,-99,-99,38.385917659159134,-0.5170252919197084,20,0,54,54,125000,7,0,0,2397262597,54,54,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,55,55,1,2,12178,37,13,27,0,0,0,0,55,2521179462,-116,-116,38.385917659159134,-0.5170252919197084,20,0,55,55,125000,7,0,5,2521179462,55,55,0,0,0,0,0,0,0,0,0,0,0
2,0,2,1,2,56,56,2,85,2188,2,3,123,0,0,1,1,56,2638277129,-89,-89,38.38418726539637,-0.5101910233497621,10,0,56,56,125000,7,0,0,2638277129,56,56,1,1,1,1,1,0,0,0,0,0,0
3,0,3,1,3,57,57,3,85,2463,2,3,123,0,0,0,0,57,2643478222,-113,-113,38.385917659159134,-0.5170252919197084,20,0,57,57,125000,7,0,7,2643478222,57,57,1,1,1,1,1,0,0,0,0,0,0
4,0,4,0,4,58,58,4,2,12181,38,13,32,0,0,2,2,58,470951815,-71,-71,38.3846865837538,-0.513212937943281,20,0,58,58,125000,7,0,3,470951815,58,58,0,0,0,0,0,0,0,0,0,0,0
5,0,5,0,5,59,59,5,2,12252,39,13,5,0,0,2,2,59,544535610,-80,-80,38.3846865837538,-0.513212937943281,20,0,59,59,125000,7,0,6,544535610,59,59,0,0,0,0,0,0,0,0,0,0,0
6,0,6,1,6,60,60,6,85,2195,2,3,123,0,0,1,1,60,2858461088,-99,-99,38.38418726539637,-0.5101910233497621,10,0,60,60,125000,7,0,6,2858461088,60,60,1,1,1,1,1,0,0,0,0,0,0
7,0,7,0,7,61,61,7,2,12179,40,13,33,0,0,3,3,61,1603161996,-97,-97,38.38473180809575,-0.5102983117103578,10,0,61,61,125000,7,0,0,1603161996,61,61,0,0,0,0,0,0,0,0,0,0,0
8,0,8,0,8,62,62,8,2,12253,41,13,6,0,0,0,0,62,2961989457,-93,-93,38.385917659159134,-0.5170252919197084,20,0,62,62,125000,7,0,7,2961989457,62,62,0,0,0,0,0,0,0,0,0,0,0
9,0,9,0,9,63,63,9,2,12177,42,13,14,0,0,2,2,63,704256206,-89,-89,38.3846865837538,-0.513212937943281,20,0,63,63,125000,7,0,5,704256206,63,63,0,0,0,0,0,0,0,0,0,0,0
10,0,10,0,10,64,64,10,2,12254,43,13,17,0,0,0,0,64,3138693528,-105,-105,38.385917659159134,-0.5170252919197084,20,0,64,64,125000,7,0,5,3138693528,64,64,0,0,0,0,0,0,0,0,0,0,0
11,0,11,0,11,65,65,11,2,12179,44,13,26,0,0,2,2,65,860746660,-98,-98,38.3846865837538,-0.513212937943281,20,0,65,65,125000,7,0,3,860746660,65,65,0,0,0,0,0,0,0,0,0,0,0
2,0,2,1,2,66,66,2,85,2189,2,3,123,0,0,0,0,66,3238461977,-110,-110,38.385917659159134,-0.5170252919197084,20,0,66,66,125000,7,0,2,3238461977,66,66,1,1,1,1,1,0,0,0,0,0,0
3,0,3,1,3,67,67,3,85,2464,2,3,123,0,0,2,2,67,961575860,-102,-102,38.3846865837538,-0.513212937943281,20,0,67,67,125000,7,0,7,961575860,67,67,1,1,1,1,1,0,0,0,0,0,0
12,0,12,0,12,68,68,12,2,12255,45,13,24,0,0,2,2,68,1036038756,-109,-109,38.3846865837538,-0.513212937943281,20,0,68,68,125000,7,0,0,1036038756,68,68,0,0,0,0,0,0,0,0,0,0,0
13,0,13,0,13,69,69,13,2,12181,46,13,42,0,0,2,2,69,1038600156,-95,-95,38.3846865837538,-0.513212937943281,20,0,69,69,125000,7,0,7,1038600156,69,69,0,0,0,0,0,0,0,0,0,0,0
14,0,14,0,14,70,70,14,2,11319,47,13,32,0,0,2,2,70,1043488348,-113,-113,38.3846865837538,-0.513212937943281,20,0,70,70,125000,7,0,2,1043488348,70,70,0,0,0,0,0,0,0,0,0,0,0
6,0,6,1,6,71,71,6,85,2196,2,3,123,0,0,2,2,71,1176346516,-103,-103,38.3846865837538,-0.513212937943281,20,0,71,71,125000,7,0,4,1176346516,71,71,1,1,1,1,1,0,0,0,0,0,0
0,0,0,0,0,72,72,0,2,11318,0,13,72,0,0,1,1,72,3597394525,-88,-88,38.38418726539637,-0.5101910233497621,10,0,72,72,125000,7,0,2,3597394525,72,72,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,73,73,1,2,12179,48,13,29,0,0,1,1,73,3721279094,-97,-97,38.38418726539637,-0.5101910233497621,10,0,73,73,125000,7,0,4,3721279094,73,73,0,0,0,0,0,0,0,0,0,0,0
2,0,2,1,2,74,74,2,85,2190,2,3,123,0,0,2,2,74,1556543676,-97,-97,38.3846865837538,-0.513212937943281,20,0,74,74,125000,7,0,1,1556543676,74,74,1,1,1,1,1,0,0,0,0,0,0
3,0,3,1,3,75,75,3,85,2465,2,3,123,0,0,1,1,75,3844428248,-91,-91,38.38418726539637,-0.5101910233497621,10,0,75,75,125000,7,0,1,3844428248,75,75,1,1,1,1,1,0,0,0,0,0,0
4,0,4,0,4,76,76,4,2,12182,49,13,41,0,0,2,2,76,1670884877,-79,-79,38.3846865837538,-0.513212937943281,20,0,76,76,125000,7,0,4,1670884877,76,76,0,0,0,0,0,0,0,0,0,0,0
5,0,5,0,5,77,77,5,2,12253,50,12,228,0,0,2,2,77,1744478245,-74,-74,38.3846865837538,-0.513212937943281,20,0,77,77,125000,7,0,0,1744478245,77,77,0,0,0,0,0,0,0,0,0,0,0
7,0,7,0,7,78,78,7,2,12180,51,13,7,0,0,0,0,78,4128153334,-105,-105,38.385917659159134,-0.5170252919197084,20,0,78,78,125000,7,0,2,4128153334,78,78,0,0,0,0,0,0,0,0,0,0,0
8,0,8,0,8,79,79,8,2,12254,52,13,32,0,0,0,0,79,4161923422,-95,-95,38.385917659159134,-0.5170252919197084,20,0,79,79,125000,7,0,3,4161923422,79,79,0,0,0,0,0,0,0,0,0,0,0
9,0,9,0,9,80,80,9,2,12178,53,13,18,0,0,0,0,80,4186581333,-101,-101,38.385917659159134,-0.5170252919197084,20,0,80,80,125000,7,0,6,4186581333,80,80,0,0,0,0,0,0,0,0,0,0,0
10,0,10,0,10,81,81,10,2,12255,54,13,10,0,0,0,0,81,43637149,-103,-103,38.385917659159134,-0.5170252919197084,20,0,81,81,125000,7,0,5,43637149,81,81,0,0,0,0,0,0,0,0,0,0,0
11,0,11,0,11,82,82,11,2,12180,55,13,11,0,0,2,2,82,2060690132,-110,-110,38.3846865837538,-0.513212937943281,20,0,82,82,125000,7,0,4,2060690132,82,82,0,0,0,0,0,0,0,0,0,0,0
2,0,2,1,2,83,83,2,85,2191,2,3,123,0,0,0,0,83,144250374,-109,-109,38.385917659159134,-0.5170252919197084,20,0,83,83,125000,7,0,2,144250374,83,83,1,1,1,1,1,0,0,0,0,0,0
