id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
20,correlation_ids_0,0.0390625,,,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.57,0.56,0.57,0.55,0.56,0.57,0.56,0.58,0.57,0.56,0.57,0.56,0.56,0.55,0.58,0.56,0.56,0.56,14.07,0.56,true
21,correlation_ids_0,0.041015625,,,0.52,0.54,0.52,0.53,0.53,0.52,0.54,0.54,0.53,0.53,0.53,0.53,0.54,0.52,0.54,0.54,0.52,0.52,0.53,0.54,0.52,0.53,0.53,0.54,0.54,13.27,0.53,false
22,correlation_ids_0,0.04296875,,,0.50,0.50,0.50,0.50,0.49,0.49,0.52,0.49,0.50,0.50,0.49,0.51,0.50,0.51,0.52,0.53,0.50,0.50,0.52,0.49,0.51,0.49,0.49,0.51,0.49,12.55,0.50,false
23,correlation_ids_0,0.044921875,,,0.49,0.48,0.48,0.51,0.48,0.49,0.49,0.47,0.48,0.50,0.48,0.49,0.50,0.49,0.49,0.49,0.48,0.48,0.50,0.47,0.48,0.49,0.50,0.49,0.48,12.18,0.49,false
24,correlation_ids_0,0.046875,,,0.53,0.56,0.54,0.54,0.56,0.55,0.57,0.55,0.54,0.56,0.54,0.55,0.55,0.56,0.56,0.55,0.54,0.55,0.54,0.55,0.55,0.55,0.55,0.54,0.57,13.75,0.55,false
25,correlation_ids_0,0.048828125,,,0.52,0.53,0.52,0.54,0.52,0.52,0.54,0.52,0.52,0.52,0.52,0.54,0.53,0.54,0.54,0.53,0.54,0.53,0.56,0.52,0.54,0.53,0.53,0.54,0.51,13.25,0.53,false
26,correlation_ids_0,0.05078125,,,0.49,0.48,0.45,0.49,0.47,0.49,0.48,0.46,0.47,0.49,0.47,0.48,0.48,0.49,0.48,0.47,0.48,0.47,0.48,0.46,0.48,0.48,0.48,0.48,0.47,11.92,0.48,false
27,correlation_ids_0,0.052734375,,,0.46,0.46,0.44,0.48,0.46,0.46,0.46,0.44,0.45,0.47,0.45,0.47,0.46,0.47,0.46,0.45,0.46,0.46,0.46,0.44,0.45,0.46,0.45,0.46,0.46,11.44,0.46,false
28,correlation_ids_0,0.0546875,,,0.45,0.48,0.44,0.48,0.46,0.46,0.47,0.45,0.46,0.47,0.46,0.46,0.47,0.46,0.46,0.45,0.46,0.46,0.46,0.45,0.47,0.46,0.45,0.45,0.45,11.49,0.46,false
29,correlation_ids_0,0.056640625,,,0.47,0.48,0.46,0.49,0.48,0.48,0.47,0.47,0.46,0.47,0.48,0.49,0.47,0.48,0.47,0.46,0.48,0.47,0.47,0.47,0.46,0.48,0.46,0.48,0.48,11.83,0.47,false
30,correlation_ids_0,0.05859375,,,0.52,0.53,0.54,0.52,0.53,0.54,0.54,0.53,0.53,0.54,0.52,0.54,0.53,0.53,0.55,0.54,0.52,0.54,0.52,0.55,0.52,0.54,0.54,0.55,0.53,13.34,0.53,false
31,correlation_ids_0,0.060546875,,,0.52,0.53,0.52,0.51,0.52,0.51,0.52,0.50,0.53,0.51,0.53,0.52,0.52,0.52,0.53,0.52,0.52,0.52,0.51,0.52,0.50,0.52,0.52,0.52,0.51,12.95,0.52,false
32,correlation_ids_0,0.0625,,,0.58,0.59,0.56,0.60,0.57,0.61,0.61,0.60,0.61,0.59,0.59,0.58,0.59,0.58,0.58,0.58,0.56,0.61,0.60,0.57,0.60,0.59,0.60,0.60,0.58,14.73,0.59,true
33,correlation_ids_0,0.064453125,,,0.53,0.54,0.51,0.56,0.54,0.53,0.55,0.54,0.53,0.54,0.54,0.54,0.54,0.53,0.53,0.52,0.54,0.52,0.53,0.53,0.52,0.53,0.53,0.53,0.53,13.33,0.53,false
