month_day_hour_min;n_p;i_uiip;p_uiip;truth
198;0.103;183.51;18.12;0
199;0.101;183.17;18.14;0
200;0.104;192.24;18.1;0
201;0.101;174.58;17.9;0
202;0.104;175.44;18.05;0
203;0.1;161.63;18.18;0
204;0.101;163.17;17.95;0
205;0.101;180.54;18.17;0
206;0.103;159.61;18.05;0
207;0.102;163.25;18.12;0
208;0.104;182.41;18.09;0
209;0.101;192.51;18.19;0
210;0.101;175;18.19;0
211;0.1;173.88;17.95;0
212;0.1;162.85;18.16;0
213;0.101;158.64;18.06;0
214;0.1;156.6;18.22;0
215;0.101;180.71;19.03;0
216;0.101;198.64;21.27;0
217;0.101;201.47;21.27;0
218;0.101;200.08;21.15;0
219;0.1;206.25;21.22;0
220;0.1;195.65;21.22;0
221;0.101;205.34;21.52;0
222;0.101;220.49;21.75;0
223;0.101;258.03;20.46;0
224;0.1;252.49;21.78;0
225;0.101;252.28;21.98;0
226;0.1;238.45;21.95;0
227;0.102;247.81;21.76;0
228;0.1;283.57;22.03;0
229;0.1;263.47;22;0
230;0.1;264.94;21.98;0
231;0.101;263.92;22;0
232;0.1;284.62;21.97;0
233;0.1;276.63;21.93;0
234;0.101;274.25;22.06;0
235;0.1;271.83;22;0
236;0.1;243.53;22.07;0
237;0.1;248.47;21.98;0
238;0.1;245.56;21.95;0
239;0.101;251.32;22.27;0
240;0.101;222.32;22.25;0
241;0.101;213.06;22.15;0
242;0.101;238.65;21.8;0
243;0.101;222.53;21.77;0
244;0.101;220.61;21.62;0
245;0.102;218.32;21.21;0
246;0.1;208.07;21.28;0
247;0.102;199.07;21.18;0
248;0.101;213.27;21.12;0
249;0.101;207.24;21.29;0
250;0.1;196.73;21.39;0
251;0.1;195.44;21.26;0
252;0.101;191.78;21.18;0
253;0.1;184.34;21.13;0
254;0.101;182.69;20.9;0
255;0.1;176.72;20.1;0
256;0.1;170.98;20.37;0
257;0.1;173.35;20.24;0
258;0.1;190.52;20.1;0
259;0.101;170.5;20.28;0
260;0.101;174.41;20.29;0
261;0.1;178.82;20.29;0
262;0.101;178.78;20.1;0
263;0.1;167.5;20.26;0
264;0.101;177.5;20.01;0
265;0.101;184.95;20.14;0
266;0.1;176.7;20.1;0
267;0.1;180.38;20.24;0
268;0.1;175.64;20.24;0
269;0.1;192.7;20;0
270;0.101;200.96;20.14;0
271;0.1;197.07;20.26;0
272;0.1;192.89;20.24;0
273;0.101;195.26;19.8;0
274;0.1;203.78;19.92;0
275;0.1;176.62;20.2;0
276;0.101;181.37;20.05;0
277;0.103;185.74;20.29;0
278;0.101;174.27;20.1;0
279;0.101;168.37;20.14;0
280;0.101;186.89;20.38;0
281;0.101;188.06;20.19;0
282;0.1;185.04;20.23;0
283;0.1;176.78;20.2;0
284;0.1;147.95;16.71;0
285;0.1;150.5;16.55;0
286;0.101;150.21;16.74;0
287;0.101;137.99;16.62;0
288;0.101;169.53;16.34;0
289;0.1;176.58;16.69;0
290;0.101;169.37;16.7;0
291;0.101;164.05;16.5;0
292;0.1;168.96;16.56;0
293;0.1;156.85;16.6;0
294;0.1;155.6;16.59;0
295;0.1;162.79;16.51;0
296;0.1;147.76;16.53;0
297;0.101;147.62;16.59;0
298;0.1;152.41;16.7;0
299;0.1;131.19;16.67;0
300;0.1;128.16;16.57;0
301;0.1;115.53;16.93;0
302;0.101;115;17.11;0
303;0.102;124.07;16.8;0
304;0.101;129.13;16.95;0
305;0.102;130.52;16.65;0
306;0.1;127.99;16.68;0
307;0.1;127.16;16.67;0
308;0.1;135.22;16.64;0
309;0.101;120.88;16.7;0
310;0.1;128.61;16.63;0
311;0.1;147.96;17.85;0
312;0.1;167.32;20.01;0
313;0.101;164.43;20.62;0
314;0.1;173.21;20.72;0
315;0.1;178.59;20.71;0
316;0.101;186.89;20.6;0
317;0.1;196;20.88;0
