Caudal impulsión pozo (m3/h),on/off (0/1),2022 Nivel depósito ,2021 Nivel depósito ,2020 Nivel depósito ,2019 Nivel depósito ,2018 Nivel depósito ,2017 Nivel depósito ,2021 nivel depósito calculado,2021 nivel depósito normalizado,Caudal.Imp.GrupoBombeo (m3/h),Caudal impulsion Pozo1 (m3/h),Caudal.Inyectado.Verger (m3/h),2022 Caudal Iny. Dep. Municipal,2021 Caudal Iny. Dep. Municipal,2020 Caudal Iny. Dep. Municipal,2019 Caudal Iny. Dep. Municipal,2018 Caudal Iny. Dep. Municipal,2017 Caudal Iny. Dep. Municipal,2021 Caudal Iny. Dep. Municipal Calculado,2021 Caudal Iny. Dep. Municipal Normalizado,2022 SECTOR2 (BOTICARI VELL),2021 SECTOR2 (BOTICARI VELL),2020 SECTOR2 (BOTICARI VELL),2019 SECTOR2 (BOTICARI VELL),2018 SECTOR2 (BOTICARI VELL),2017 SECTOR2 (BOTICARI VELL),2021 SECTOR2 CALCULADA (BOTICARI VELL),2021 SECTOR2 NORMALIZADA (BOTICARI VELL),2022 SECTOR3 (LA VIA),2021 SECTOR3 (LA VIA),2020 SECTOR3 (LA VIA),2019 SECTOR3 (LA VIA),2018 SECTOR3 (LA VIA),2017 SECTOR3 (LA VIA),2021 SECTOR3 CALCULADA (LA VIA),2021 SECTOR3 NORMALIZADA (LA VIA),2022 SECTOR4 (PASSATGE),2021 SECTOR4 (PASSATGE),2020 SECTOR4 (PASSATGE),2019 SECTOR4 (PASSATGE),2018 SECTOR4 (PASSATGE),2017 SECTOR4 (PASSATGE),2021 SECTOR4 CALCULADA (PASSATGE),2021 SECTOR4 NORMALIZADA (PASSATGE),2022 SECTOR6 (POLIGON),2021 SECTOR6 (POLIGON),2020 SECTOR6 (POLIGON),2019 SECTOR6 (POLIGON),2018 SECTOR6 (POLIGON),2017 SECTOR6 (POLIGON),2021 SECTOR6 CALCULADA (POLIGON),2021 SECTOR6 NORMALIZADA (POLIGON),2022 SECTOR7 (PONT),2021 SECTOR7 (PONT),2020 SECTOR7 (PONT),2019 SECTOR7 (PONT),2018 SECTOR7 (PONT),2017 SECTOR7 (PONT),2021 SECTOR7 CALCULADA (PONT),2021 SECTOR7 NORMALIZADA (PONT),2022 SECTOR8 (OLIVAR),2021 SECTOR8 (OLIVAR),2020 SECTOR8 (OLIVAR),2019 SECTOR8 (OLIVAR),2018 SECTOR8 (OLIVAR),2017 SECTOR8 (OLIVAR),2021 SECTOR8 CALCULADA (OLIVAR),2021 SECTOR8 NORMALIZADA (OLIVAR),﻿Fecha_hora
1,0,0.8000000000000012,0,0.04081632653061281,0,0,0,0,0,0.44580078125000006,1,0.5654296875,0,0,0,0.4864864864864866,0,0,0,0,0.9523809523809526,0.8823529411764705,0,0.6153846153846155,0.27272727272727276,0,0.8823529411764705,0.8823529411764705,1,0.33333333333333326,0.33333333333333337,0.19999999999999996,0,0,0.33333333333333326,0.33333333333333326,0.8518518518518519,0,0.5333333333333334,0.0967741935483871,0,0,0.7590909090909091,0.7590909090909091,0,0.6666666666666664,1,0.37062937062937057,0,0,0.6666666666666664,0.6666666666666664,0.6538461538461537,0,0.49999999999999944,0.8000000000000003,0,0,0,0,0.12,0,0.5333333333333333,0.125,0.675,0,0.5923076923076923,0.5923076923076923,0
0,0,0.6666666666666676,0.10909090909090842,0,0.06024096385542169,0,0,0.10909090909090842,0.10909090909090842,0.991455078125,0,0.991455078125,0,0,0.6736842105263159,0.4594594594594596,0,0,0.10866752910737387,0.10866752910737387,0.8095238095238096,0.411764705882353,0,0.4615384615384617,0.24242424242424246,0,0.411764705882353,0.411764705882353,0,0,0.6666666666666667,0.09999999999999998,0,0,0,0,1,1,0.9333333333333336,0.0967741935483871,0,0,0.04545454545454546,0.04545454545454546,0,0.6666666666666664,0.35714285714285715,0.23776223776223782,0,0,0.6666666666666664,0.6666666666666664,0.5769230769230768,0,0.6250000000000001,0.6000000000000001,0,0,0,0,0.08,0,0.06666666666666667,0.125,0.3,0,0.15384615384615383,0.15384615384615383,0.05555555555555555
0.3333333333333333,0,0.733333333333333,0.19999999999999984,0.061224489795918484,0.1084337349397591,0,0,0.19999999999999984,0.19999999999999984,0.9080810546875,0,0.9080810546875,1,0,0.8631578947368421,0.1621621621621623,0,0,1,1,0.761904761904762,1,0,0.6923076923076923,0.1818181818181818,0,1,1,0,0.33333333333333326,0.33333333333333337,0.09999999999999998,0,0,0.33333333333333326,0.33333333333333326,0.9629629629629631,0.5,0.7333333333333334,0.12903225806451613,0,0,0,0,0,1,0.5476190476190476,0.6363636363636364,0,0,1,1,0.4999999999999999,0,0,1,0,0,0,0,0.12,0,0.20000000000000004,0.5,0.7000000000000001,0,0.5769230769230769,0.5769230769230769,0.1111111111111111
0.6666666666666666,0,1,0.29090909090909045,0.12244897959183697,0.1566265060240965,0,0,0.29090909090909045,0.29090909090909045,0.1771240234375,0,0.1771240234375,0.9607843137254903,0,0.8736842105263158,0.054054054054054106,0,0,0.9598965071151357,0.9598965071151357,0.8571428571428573,0.823529411764706,0,0.7692307692307694,0.36363636363636365,0,0.823529411764706,0.823529411764706,1,0.33333333333333326,0.33333333333333337,0.09999999999999998,0,0,0.33333333333333326,0.33333333333333326,0.9629629629629631,1,0.39999999999999997,0.03225806451612903,0,0,0.04545454545454546,0.04545454545454546,0,0.6666666666666664,0.4285714285714285,0.6783216783216784,0,0,0.6666666666666664,0.6666666666666664,0.4230769230769231,0,0.37499999999999983,0.30000000000000027,0,0,0,0,0.12,0,0.06666666666666667,0.37500000000000006,1,0,0.7461538461538463,0.7461538461538463,0.16666666666666666
0.6666666666666666,0,1,0.3818181818181819,0.18367346938775544,0.2048192771084339,0,0,0.3818181818181819,0.3818181818181819,0.0225830078125,0,0.0225830078125,0,0,0.8315789473684211,0,0,0,0.10478654592496765,0.10478654592496765,1,0.764705882352941,0,0.5384615384615385,0.3333333333333333,0,0.764705882352941,0.764705882352941,0,0.33333333333333326,0.33333333333333337,0.09999999999999998,0,0,0.33333333333333326,0.33333333333333326,0.8148148148148148,0.5,0.33333333333333337,0.16129032258064516,0,0,0,0,0,0.6666666666666664,0.6666666666666666,0.9230769230769232,1,0,0.6666666666666664,0.6666666666666664,0.3846153846153846,0,0.24999999999999917,0.5,1,0,0,0,0.4,0,0.06666666666666667,0.24999999999999997,0.9,0,0.7846153846153847,0.7846153846153847,0.2222222222222222
0.3333333333333333,0,0.9333333333333318,0.43636363636363606,0.22448979591836754,0.25301204819277107,0,0,0.43636363636363606,0.43636363636363606,0.48876953125,0,0.48876953125,0,0,0.5473684210526316,0.3783783783783784,0,0,0.08279430789133248,0.08279430789133248,0.6190476190476192,0.411764705882353,0,1,0.3030303030303031,0,0.411764705882353,0.411764705882353,0,0.33333333333333326,0,0.09999999999999998,0,0,0.33333333333333326,0.33333333333333326,0.8518518518518519,0,0.39999999999999997,0.12903225806451613,0,0,0.740909090909091,0.740909090909091,0,1,0.4285714285714285,0.6573426573426574,1,0,1,1,1,0,0.37499999999999983,0.20000000000000018,1,0,0,0,0.44000000000000006,0,0.3333333333333333,0.125,1,0,0.9384615384615388,0.9384615384615388,0.2777777777777778
0.3333333333333333,0,0.8000000000000012,0.4909090909090911,0.2653061224489796,0.3012048192771087,0,0,0.4909090909090911,0.4909090909090911,0.9916992187499999,0,0.9916992187499999,0,0,0.7052631578947369,0.5405405405405407,0,0,0.11901681759379044,0.11901681759379044,0.5714285714285715,0.411764705882353,0,0.9230769230769234,0.27272727272727276,0,0.411764705882353,0.411764705882353,1,0.33333333333333326,0.33333333333333337,0.09999999999999998,0,0,0.33333333333333326,0.33333333333333326,0.8518518518518519,0,0.26666666666666666,0.03225806451612903,0,0,0.6681818181818182,0.6681818181818182,0,0.6666666666666664,0.5,0.9580419580419582,1,0,0.6666666666666664,0.6666666666666664,0.5769230769230768,0,0.8749999999999993,1,1,0,0,0,0.27999999999999997,0,1,0.24999999999999997,0.9,0,1,1,0.3333333333333333
0.3333333333333333,0,0.733333333333333,0.5454545454545453,0.3265306122448981,0.3614457831325304,0,0,0.5454545454545453,0.5454545454545453,1,0,1,0,0,0.7894736842105263,0.5405405405405407,0,0,0.13195342820181113,0.13195342820181113,1,0.411764705882353,0,0.3846153846153847,0.12121212121212126,0,0.411764705882353,0.411764705882353,0,0,0.33333333333333337,0.19999999999999996,0,0,0,0,0.8148148148148148,0,1,0.06451612903225806,0,0,0.8318181818181819,0.8318181818181819,0,0.6666666666666664,0.8809523809523809,1,1,0,0.6666666666666664,0.6666666666666664,0.3846153846153846,0,0.8749999999999993,0.6000000000000001,1,0,0,0,0.12,0,0.9333333333333332,0.125,0.49999999999999994,0,0.5769230769230769,0.5769230769230769,0.3888888888888889
0.3333333333333333,0,0.6666666666666676,0.5818181818181817,0.3877551020408166,0.42168674698795205,0,0,0.5818181818181817,0.5818181818181817,0.991455078125,0,0.991455078125,0,0,0.9157894736842106,0.5135135135135137,0,0,0.15135834411384216,0.15135834411384216,0.4761904761904764,0.823529411764706,0,0.6923076923076923,0.21212121212121213,0,0.823529411764706,0.823529411764706,1,0.33333333333333326,0.33333333333333337,0.4,0,0,0.33333333333333326,0.33333333333333326,0.6296296296296295,0,0.39999999999999997,0.2903225806451613,0,0,0.7272727272727273,0.7272727272727273,0,0.6666666666666664,0.14285714285714288,0.47552447552447547,1,0,0.6666666666666664,0.6666666666666664,0.1923076923076923,0,1,0.8000000000000003,1,0,0,0,0.039999999999999994,0,0.8666666666666666,0.24999999999999997,0.075,0,0.20769230769230773,0.20769230769230773,0.4444444444444444
0.6666666666666666,0,0.5999999999999994,0.6363636363636359,0.4489795918367351,0.4698795180722893,0,0,0.6363636363636359,0.6363636363636359,0.5465087890625,0,0.5465087890625,0,0,0.8526315789473685,0.5405405405405407,0,0,0.1423027166882277,0.1423027166882277,0.23809523809523814,0.352941176470588,0,0.7692307692307694,0.21212121212121213,0,0.352941176470588,0.352941176470588,1,0.33333333333333326,0.33333333333333337,0.6000000000000001,0,0,0.33333333333333326,0.33333333333333326,0.5925925925925927,0,0.20000000000000007,1,0,0,1,1,0,0.6666666666666664,0.11904761904761904,0.5174825174825175,1,0,0.6666666666666664,0.6666666666666664,0.3461538461538461,0,0.37499999999999983,0,1,0,0,0,0.08,0,0.26666666666666666,0.5,0.05,0,0.07692307692307691,0.07692307692307691,0.5
