1,2,3,4,5,6,7,8,9,10
27,35,28,28,31,19,28,31,35,34
6921,6926,6927,6917,6928,6913,6927,6931,6928,6931
16,11,10,20,9,24,10,6,9,6
43,35,42,42,39,51,42,39,35,36
