1,2,3,4,5,6,7,8,9,10
70,70,70,69,70,68,70,70,69,69
6732,6780,6767,6766,6747,6737,6765,6776,6788,6834
205,157,170,171,190,200,172,161,149,103
0,0,0,1,0,2,0,0,1,1
