1,2,3,4,5,6,7,8,9,10
32,32,29,33,34,22,31,29,21,24
6927,6937,6928,6922,6923,6927,6923,6930,6931,6932
10,0,9,15,14,10,14,7,6,5
38,38,41,37,36,48,39,41,49,46
