month,day,hour,min,n_px,ce_px,cs_px,n_p,i_uiip,p_uiip,i_f,p_f,i_uiipu,c_pu_p,p_pu
12,22,7,15,3.57,0,443.33,2.654,161.18,20.15,281.07,30.1,160.8,0,46.98
12,22,11,45,2.91,195.21,0,1.856,131.12,19.92,202.47,32.69,493.27,0,53.76
12,22,22,0,2.24,0,206.03,0.813,112.56,19.58,254.73,31.16,113.87,0,48.59
12,23,10,15,3.14,9.34,3.86,2.217,206.95,18.65,249.47,32.7,360.07,0,52.18
12,23,21,0,2.11,0,360.48,1.298,185.6,20.91,234.2,29.63,184.73,0,46.33
12,23,21,45,1.93,0,281.97,1.293,187.2,21.24,230.87,29.97,186,0,47.05
12,24,7,30,3.28,0,346.17,2.725,136.49,18.76,275.47,31.03,135.8,0,48.06
12,24,10,45,2.28,2.8,11.57,1.997,157.25,19.61,268.33,31.72,381.33,0,51.48
12,24,22,0,2.82,345.24,0,0.857,141.64,20.59,247.67,33.2,456.87,0,53.99
12,24,22,30,2.9,370.18,0,0.831,145.24,20.68,243.07,33.52,473.33,0,54.46
12,24,23,30,3.07,328.94,0,0.945,392.47,21.58,268.27,33.46,364.53,0,53.23
12,25,3,45,3.64,317.95,0,2.278,358.58,22.98,245.4,34.23,207.13,0,52.91
12,25,4,0,3.67,379.45,0,2.356,373.92,23.75,240.73,34.59,288.07,0,53.59
12,25,5,0,3.85,363.38,0,2.681,364.31,23.63,243.67,34.43,280.6,0,53.37
12,25,5,15,3.89,353.45,0,2.761,364.13,23.94,245.6,34.41,274,0,53.12
12,25,6,45,4.03,0,68.09,2.894,125.21,20.61,248.33,33.41,124.6,0,50.84
12,25,8,0,3.87,0,295.43,2.745,125.35,19.07,266.53,31.96,124.53,0,49.31
12,25,8,30,3.75,0,376.11,2.665,125.04,18.41,274.87,31.18,123.47,0,48.37
12,25,8,45,3.68,0,394.1,2.63,126.41,17.27,280.4,30.68,125.93,0,47.83
12,25,11,45,2.8,20.21,4.77,1.884,112.98,18.79,259.47,32.29,481.87,0,53.18
12,25,13,0,2.84,272.71,0,1.658,111.84,19.82,250.33,33,504.93,0,54.19
12,25,20,0,2.74,73.5,97.84,0.818,164.3,20.76,240.27,31.95,226.07,0,50.97
12,25,20,30,2.75,297.49,0,0.801,218.38,21.65,240.93,32.95,508.93,0,54.36
12,25,23,0,3.05,357.4,0,0.825,330.29,20.91,247.47,33.57,386.2,0,53.07
12,25,23,30,3.14,388.98,0,0.945,377.6,22.49,245.2,33.91,379.47,0,53.59
12,26,6,30,3.91,89.02,41.28,2.957,120.88,19.8,247.2,33.61,183.6,0,51.92
12,26,7,15,3.83,0,269.23,2.854,82.42,16.59,266.67,32.07,81.87,0,49.52
12,26,8,30,3.51,0,432.15,2.547,80.47,17.07,266.6,30.4,79.53,0,47.89
12,26,15,30,3.13,21.31,153.55,1.613,122.47,17.38,265.4,31.96,147.07,0,49.18
12,26,22,0,1.8,0,225.74,0.63,152.27,20.61,249.53,30.55,151.27,0,47.44
