id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
352,end_device_ids.device_id,0.14285714285714285,0,0.6875,0.49,0.48,0.48,0.47,0.49,0.49,0.49,0.47,0.47,0.46,0.48,0.49,0.49,0.46,0.48,0.48,0.46,0.46,0.48,0.47,0.47,0.48,0.49,0.48,0.48,11.94,0.48,false
353,end_device_ids.device_id,0.21428571428571427,0,0.689453125,0.47,0.46,0.46,0.46,0.47,0.48,0.45,0.46,0.47,0.44,0.47,0.48,0.46,0.46,0.46,0.46,0.47,0.46,0.47,0.46,0.45,0.47,0.46,0.47,0.47,11.59,0.46,false
354,end_device_ids.device_id,0.8571428571428571,0,0.69140625,0.43,0.42,0.41,0.41,0.42,0.44,0.42,0.42,0.42,0.42,0.44,0.42,0.43,0.41,0.42,0.43,0.42,0.43,0.42,0.44,0.42,0.42,0.43,0.42,0.43,10.59,0.42,false
355,end_device_ids.device_id,0.9285714285714286,0,0.693359375,0.48,0.46,0.47,0.47,0.47,0.47,0.45,0.46,0.45,0.45,0.45,0.45,0.45,0.44,0.46,0.47,0.47,0.47,0.46,0.46,0.48,0.46,0.47,0.46,0.47,11.55,0.46,false
356,end_device_ids.device_id,1,0,0.6953125,0.55,0.52,0.54,0.53,0.54,0.54,0.54,0.54,0.54,0.54,0.53,0.53,0.54,0.55,0.52,0.53,0.53,0.55,0.54,0.53,0.53,0.54,0.52,0.54,0.54,13.40,0.54,false
357,end_device_ids.device_id,0.42857142857142855,0,0.697265625,0.54,0.54,0.53,0.54,0.52,0.53,0.54,0.53,0.52,0.52,0.53,0.53,0.53,0.52,0.53,0.53,0.52,0.53,0.53,0.53,0.52,0.53,0.53,0.53,0.54,13.24,0.53,false
358,end_device_ids.device_id,0,0,0.69921875,0.52,0.50,0.53,0.52,0.53,0.53,0.51,0.52,0.52,0.51,0.53,0.51,0.53,0.52,0.52,0.52,0.51,0.51,0.52,0.52,0.51,0.51,0.50,0.51,0.51,12.92,0.52,false
359,end_device_ids.device_id,0.07142857142857142,0,0.701171875,0.50,0.50,0.50,0.51,0.51,0.51,0.50,0.52,0.49,0.50,0.52,0.51,0.51,0.51,0.51,0.50,0.49,0.49,0.51,0.51,0.51,0.51,0.50,0.50,0.49,12.61,0.50,false
360,end_device_ids.device_id,0.14285714285714285,0,0.703125,0.53,0.51,0.52,0.50,0.51,0.53,0.51,0.52,0.52,0.50,0.52,0.52,0.52,0.52,0.52,0.53,0.50,0.52,0.53,0.53,0.50,0.52,0.52,0.51,0.52,12.93,0.52,false
361,end_device_ids.device_id,0.21428571428571427,0,0.705078125,0.48,0.46,0.47,0.46,0.47,0.48,0.47,0.48,0.46,0.46,0.47,0.47,0.48,0.47,0.47,0.48,0.47,0.47,0.47,0.48,0.48,0.48,0.46,0.47,0.48,11.79,0.47,false
362,end_device_ids.device_id,0.2857142857142857,0,0.70703125,0.44,0.44,0.43,0.44,0.44,0.45,0.43,0.43,0.42,0.42,0.44,0.43,0.45,0.42,0.44,0.44,0.43,0.45,0.44,0.44,0.44,0.44,0.46,0.43,0.44,10.93,0.44,false
363,end_device_ids.device_id,0.35714285714285715,0,0.708984375,0.49,0.47,0.48,0.48,0.48,0.48,0.48,0.48,0.46,0.47,0.49,0.48,0.47,0.48,0.47,0.47,0.48,0.49,0.49,0.48,0.47,0.49,0.50,0.47,0.47,11.97,0.48,false
364,end_device_ids.device_id,0.42857142857142855,0,0.7109375,0.50,0.48,0.49,0.49,0.50,0.51,0.50,0.49,0.48,0.48,0.50,0.51,0.49,0.50,0.49,0.50,0.49,0.50,0.50,0.49,0.51,0.50,0.48,0.49,0.50,12.37,0.49,false
365,end_device_ids.device_id,0.5,0,0.712890625,0.51,0.51,0.51,0.51,0.50,0.50,0.53,0.51,0.51,0.51,0.52,0.51,0.51,0.53,0.50,0.49,0.51,0.51,0.50,0.50,0.52,0.50,0.50,0.51,0.51,12.72,0.51,false
366,end_device_ids.device_id,0.5714285714285714,0,0.71484375,0.49,0.46,0.49,0.45,0.45,0.48,0.47,0.47,0.46,0.46,0.46,0.47,0.47,0.49,0.48,0.47,0.47,0.44,0.47,0.47,0.46,0.46,0.45,0.45,0.48,11.67,0.47,false
367,end_device_ids.device_id,0.6428571428571429,0,0.716796875,0.42,0.41,0.41,0.42,0.41,0.42,0.41,0.41,0.40,0.41,0.42,0.41,0.41,0.40,0.42,0.41,0.42,0.41,0.41,0.42,0.42,0.41,0.43,0.41,0.42,10.34,0.41,false
368,end_device_ids.device_id,0.7142857142857143,0,0.71875,0.49,0.47,0.46,0.46,0.49,0.48,0.47,0.46,0.47,0.47,0.47,0.47,0.48,0.48,0.46,0.48,0.48,0.47,0.46,0.47,0.46,0.47,0.48,0.47,0.48,11.80,0.47,false
369,end_device_ids.device_id,0.7857142857142857,0,0.720703125,0.48,0.47,0.46,0.47,0.48,0.49,0.49,0.47,0.47,0.48,0.49,0.48,0.46,0.48,0.47,0.48,0.48,0.48,0.46,0.48,0.47,0.46,0.48,0.47,0.48,11.88,0.48,false
370,end_device_ids.device_id,0.14285714285714285,0,0.72265625,0.49,0.47,0.49,0.48,0.49,0.49,0.49,0.49,0.47,0.48,0.47,0.49,0.50,0.48,0.50,0.50,0.48,0.49,0.49,0.48,0.49,0.49,0.49,0.49,0.49,12.17,0.49,false
371,end_device_ids.device_id,0.21428571428571427,0,0.724609375,0.50,0.48,0.49,0.49,0.50,0.50,0.48,0.50,0.48,0.47,0.50,0.50,0.50,0.50,0.49,0.50,0.48,0.49,0.49,0.49,0.50,0.50,0.49,0.50,0.50,12.32,0.49,false
372,end_device_ids.device_id,0.8571428571428571,0,0.7265625,0.44,0.43,0.43,0.42,0.43,0.45,0.45,0.44,0.45,0.43,0.44,0.43,0.45,0.44,0.43,0.45,0.44,0.44,0.44,0.46,0.43,0.43,0.44,0.44,0.45,10.98,0.44,false
373,end_device_ids.device_id,0.9285714285714286,0,0.728515625,0.46,0.45,0.45,0.45,0.46,0.46,0.45,0.45,0.45,0.45,0.46,0.45,0.46,0.45,0.44,0.47,0.45,0.46,0.46,0.45,0.47,0.45,0.46,0.45,0.47,11.38,0.46,false
374,end_device_ids.device_id,1,0,0.73046875,0.51,0.51,0.50,0.48,0.52,0.52,0.53,0.51,0.52,0.50,0.52,0.50,0.51,0.51,0.50,0.51,0.50,0.50,0.52,0.52,0.49,0.48,0.50,0.49,0.53,12.68,0.51,false
375,end_device_ids.device_id,0.42857142857142855,0,0.732421875,0.51,0.53,0.51,0.51,0.52,0.51,0.51,0.51,0.51,0.49,0.51,0.52,0.51,0.50,0.51,0.52,0.50,0.52,0.52,0.51,0.49,0.50,0.51,0.50,0.52,12.75,0.51,false
376,end_device_ids.device_id,0,0,0.734375,0.54,0.55,0.54,0.55,0.56,0.54,0.52,0.54,0.54,0.53,0.55,0.55,0.53,0.54,0.56,0.54,0.53,0.55,0.54,0.52,0.52,0.53,0.52,0.54,0.54,13.47,0.54,false
377,end_device_ids.device_id,0.14285714285714285,0,0.736328125,0.48,0.48,0.48,0.50,0.50,0.50,0.48,0.49,0.48,0.47,0.48,0.49,0.49,0.48,0.49,0.48,0.48,0.47,0.49,0.48,0.49,0.48,0.49,0.49,0.50,12.14,0.49,false
378,end_device_ids.device_id,0.21428571428571427,0,0.73828125,0.50,0.51,0.49,0.49,0.49,0.50,0.49,0.50,0.49,0.49,0.51,0.50,0.51,0.49,0.49,0.50,0.49,0.50,0.49,0.50,0.48,0.50,0.50,0.48,0.50,12.39,0.50,false
379,end_device_ids.device_id,0.2857142857142857,0,0.740234375,0.46,0.46,0.45,0.46,0.46,0.46,0.45,0.45,0.45,0.44,0.48,0.45,0.46,0.45,0.46,0.46,0.45,0.47,0.45,0.46,0.45,0.45,0.46,0.45,0.46,11.40,0.46,false
380,end_device_ids.device_id,0.35714285714285715,0,0.7421875,0.44,0.45,0.43,0.43,0.44,0.45,0.44,0.42,0.42,0.44,0.46,0.44,0.45,0.43,0.43,0.44,0.44,0.44,0.44,0.45,0.43,0.44,0.45,0.42,0.44,10.96,0.44,false
381,end_device_ids.device_id,0.42857142857142855,0,0.744140625,0.50,0.48,0.51,0.50,0.51,0.50,0.50,0.51,0.49,0.50,0.51,0.52,0.51,0.51,0.50,0.52,0.49,0.51,0.50,0.51,0.51,0.50,0.50,0.51,0.51,12.61,0.50,false
382,end_device_ids.device_id,0.5,0,0.74609375,0.49,0.48,0.48,0.49,0.49,0.49,0.49,0.47,0.47,0.46,0.50,0.48,0.49,0.48,0.48,0.46,0.48,0.49,0.48,0.48,0.48,0.49,0.49,0.49,0.48,12.06,0.48,false
