id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
360,correlation_ids_0,0.703125,received_at,0.703125,0.48,0.48,0.47,0.48,0.49,0.47,0.50,0.50,0.49,0.50,0.48,0.49,0.49,0.49,0.48,0.49,0.48,0.49,0.49,0.47,0.49,0.49,0.49,0.50,0.48,12.16,0.49,false
361,correlation_ids_0,0.705078125,received_at,0.705078125,0.50,0.50,0.49,0.50,0.49,0.50,0.51,0.52,0.51,0.51,0.50,0.50,0.50,0.50,0.49,0.50,0.50,0.50,0.49,0.50,0.51,0.51,0.49,0.50,0.49,12.51,0.50,false
362,correlation_ids_0,0.70703125,received_at,0.70703125,0.47,0.46,0.46,0.45,0.45,0.46,0.46,0.46,0.46,0.46,0.46,0.45,0.45,0.45,0.45,0.45,0.45,0.46,0.45,0.46,0.45,0.46,0.45,0.46,0.47,11.41,0.46,false
363,correlation_ids_0,0.708984375,received_at,0.708984375,0.49,0.46,0.46,0.46,0.47,0.46,0.47,0.46,0.46,0.47,0.47,0.47,0.46,0.47,0.47,0.46,0.45,0.48,0.45,0.47,0.45,0.46,0.46,0.49,0.49,11.66,0.47,false
364,correlation_ids_0,0.7109375,received_at,0.7109375,0.49,0.49,0.50,0.49,0.50,0.48,0.51,0.51,0.50,0.52,0.50,0.50,0.50,0.50,0.49,0.50,0.49,0.49,0.49,0.50,0.49,0.51,0.50,0.50,0.50,12.45,0.50,false
365,correlation_ids_0,0.712890625,received_at,0.712890625,0.44,0.44,0.44,0.45,0.43,0.44,0.45,0.43,0.45,0.44,0.44,0.44,0.43,0.44,0.44,0.44,0.42,0.44,0.43,0.44,0.44,0.43,0.44,0.44,0.45,10.97,0.44,false
366,correlation_ids_0,0.71484375,received_at,0.71484375,0.45,0.44,0.46,0.45,0.44,0.44,0.45,0.44,0.45,0.45,0.45,0.46,0.44,0.45,0.44,0.45,0.43,0.45,0.44,0.45,0.44,0.45,0.45,0.45,0.46,11.18,0.45,false
367,correlation_ids_0,0.716796875,received_at,0.716796875,0.44,0.44,0.44,0.44,0.44,0.43,0.44,0.43,0.44,0.44,0.44,0.44,0.44,0.44,0.43,0.45,0.42,0.45,0.43,0.44,0.44,0.44,0.44,0.44,0.44,10.96,0.44,false
368,correlation_ids_0,0.71875,received_at,0.71875,0.45,0.44,0.46,0.45,0.44,0.43,0.46,0.45,0.44,0.44,0.45,0.45,0.44,0.46,0.44,0.45,0.43,0.45,0.45,0.46,0.44,0.44,0.45,0.46,0.46,11.19,0.45,false
369,correlation_ids_0,0.720703125,received_at,0.720703125,0.44,0.45,0.46,0.44,0.43,0.43,0.45,0.44,0.44,0.45,0.44,0.43,0.46,0.45,0.44,0.46,0.42,0.44,0.43,0.44,0.44,0.44,0.44,0.45,0.45,11.06,0.44,false
