id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
113,2021 Nivel depósito ,0.7564102564102564,,,0.42,0.41,0.41,0.42,0.41,0.42,0.41,0.41,0.43,0.41,0.41,0.41,0.41,0.39,0.41,0.41,0.40,0.40,0.42,0.40,0.41,0.41,0.42,0.42,0.42,10.29,0.41,false
114,2021 Nivel depósito ,0.8076923076923077,,,0.43,0.41,0.41,0.43,0.42,0.41,0.41,0.42,0.43,0.41,0.42,0.41,0.41,0.40,0.41,0.41,0.41,0.41,0.43,0.42,0.41,0.42,0.42,0.41,0.43,10.40,0.42,false
115,2021 Nivel depósito ,0.8589743589743591,,,0.44,0.42,0.43,0.44,0.44,0.42,0.42,0.45,0.43,0.42,0.43,0.42,0.43,0.41,0.43,0.44,0.43,0.43,0.44,0.43,0.42,0.42,0.43,0.42,0.43,10.72,0.43,false
116,2021 Nivel depósito ,0.9102564102564105,,,0.43,0.41,0.40,0.41,0.43,0.40,0.40,0.43,0.41,0.42,0.42,0.41,0.42,0.39,0.41,0.41,0.42,0.40,0.41,0.41,0.41,0.42,0.42,0.43,0.43,10.35,0.41,false
117,2021 Nivel depósito ,0.9487179487179487,,,0.43,0.40,0.40,0.41,0.43,0.39,0.40,0.42,0.41,0.40,0.41,0.41,0.41,0.39,0.41,0.40,0.41,0.39,0.41,0.40,0.41,0.40,0.41,0.41,0.42,10.18,0.41,false
118,2021 Nivel depósito ,1,,,0.43,0.42,0.39,0.42,0.42,0.41,0.40,0.42,0.43,0.40,0.41,0.39,0.40,0.39,0.40,0.41,0.41,0.40,0.41,0.41,0.41,0.41,0.41,0.40,0.42,10.22,0.41,false
119,2021 Nivel depósito ,0.9743589743589743,,,0.42,0.41,0.39,0.40,0.41,0.40,0.39,0.41,0.41,0.40,0.40,0.39,0.40,0.40,0.40,0.40,0.41,0.40,0.42,0.41,0.42,0.41,0.40,0.41,0.41,10.12,0.40,false
120,2021 Nivel depósito ,0.9358974358974361,,,0.41,0.40,0.38,0.40,0.41,0.39,0.39,0.40,0.40,0.38,0.39,0.39,0.38,0.39,0.40,0.40,0.40,0.39,0.39,0.40,0.42,0.40,0.39,0.40,0.40,9.90,0.40,false
121,2021 Nivel depósito ,0.8974358974358974,,,0.41,0.41,0.38,0.39,0.40,0.39,0.40,0.40,0.39,0.38,0.40,0.39,0.38,0.39,0.38,0.40,0.39,0.40,0.40,0.39,0.41,0.39,0.39,0.40,0.39,9.85,0.39,false
122,2021 Nivel depósito ,0.8461538461538459,,,0.40,0.37,0.37,0.39,0.39,0.38,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.37,0.38,0.38,0.38,0.39,0.38,0.39,0.38,0.39,0.39,0.38,9.58,0.38,false
123,2021 Nivel depósito ,0.8076923076923077,,,0.41,0.40,0.39,0.40,0.40,0.40,0.41,0.42,0.40,0.38,0.40,0.39,0.41,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.41,0.41,0.41,0.40,0.40,10.04,0.40,false
124,2021 Nivel depósito ,0.7564102564102564,,,0.42,0.42,0.40,0.40,0.40,0.40,0.42,0.41,0.41,0.41,0.42,0.41,0.41,0.41,0.42,0.41,0.41,0.41,0.42,0.40,0.43,0.42,0.43,0.42,0.41,10.32,0.41,false
125,2021 Nivel depósito ,0.7179487179487176,,,0.49,0.49,0.47,0.50,0.46,0.48,0.46,0.48,0.48,0.47,0.47,0.51,0.50,0.46,0.46,0.48,0.48,0.47,0.49,0.46,0.45,0.48,0.48,0.48,0.50,11.95,0.48,false
126,2021 Nivel depósito ,0.6666666666666663,,,0.41,0.40,0.38,0.40,0.39,0.40,0.40,0.39,0.39,0.40,0.39,0.41,0.41,0.40,0.40,0.41,0.41,0.40,0.39,0.40,0.39,0.40,0.40,0.40,0.41,9.98,0.40,false
127,2021 Nivel depósito ,0.6153846153846155,,,0.42,0.41,0.41,0.39,0.40,0.39,0.41,0.39,0.40,0.39,0.39,0.40,0.42,0.40,0.40,0.42,0.40,0.41,0.40,0.40,0.40,0.41,0.42,0.39,0.41,10.08,0.40,false
128,2021 Nivel depósito ,0.5769230769230768,,,0.39,0.38,0.40,0.39,0.38,0.38,0.38,0.37,0.37,0.38,0.38,0.38,0.39,0.38,0.38,0.38,0.38,0.39,0.38,0.37,0.38,0.38,0.39,0.37,0.38,9.53,0.38,false
129,2021 Nivel depósito ,0.5256410256410254,,,0.40,0.39,0.43,0.39,0.40,0.41,0.39,0.41,0.39,0.39,0.39,0.40,0.40,0.39,0.39,0.39,0.40,0.42,0.39,0.40,0.39,0.41,0.41,0.41,0.40,9.99,0.40,false
130,2021 Nivel depósito ,0.4615384615384615,,,0.47,0.43,0.46,0.44,0.44,0.44,0.43,0.45,0.44,0.43,0.44,0.43,0.45,0.44,0.43,0.44,0.45,0.43,0.44,0.44,0.44,0.44,0.45,0.44,0.44,11.03,0.44,false
131,2021 Nivel depósito ,0.397435897435897,,,0.45,0.47,0.49,0.46,0.47,0.47,0.46,0.46,0.45,0.46,0.48,0.45,0.47,0.47,0.46,0.45,0.47,0.46,0.45,0.44,0.45,0.45,0.45,0.46,0.46,11.51,0.46,false
132,2021 Nivel depósito ,0.33333333333333315,,,0.53,0.51,0.53,0.52,0.50,0.50,0.49,0.50,0.48,0.52,0.52,0.50,0.52,0.50,0.52,0.51,0.51,0.50,0.50,0.52,0.50,0.49,0.49,0.50,0.50,12.66,0.51,false
133,2021 Nivel depósito ,0.2564102564102561,,,0.52,0.51,0.54,0.49,0.51,0.50,0.49,0.50,0.49,0.46,0.51,0.51,0.50,0.50,0.48,0.51,0.51,0.52,0.51,0.51,0.51,0.50,0.49,0.51,0.50,12.58,0.50,false
134,2021 Nivel depósito ,0.17948717948717913,,,0.47,0.44,0.45,0.44,0.44,0.46,0.47,0.43,0.44,0.43,0.45,0.46,0.47,0.45,0.44,0.45,0.45,0.46,0.45,0.45,0.43,0.46,0.46,0.46,0.44,11.25,0.45,false
135,2021 Nivel depósito ,0.10256410256410212,,,0.47,0.44,0.47,0.45,0.46,0.45,0.45,0.45,0.43,0.44,0.44,0.46,0.46,0.44,0.45,0.45,0.46,0.46,0.46,0.45,0.46,0.46,0.46,0.48,0.45,11.35,0.45,false
136,2021 Nivel depósito ,0.025641025641025102,,,0.46,0.45,0.47,0.43,0.45,0.45,0.46,0.45,0.45,0.43,0.45,0.45,0.46,0.45,0.46,0.46,0.45,0.46,0.44,0.47,0.45,0.46,0.46,0.46,0.44,11.32,0.45,false
137,2021 Nivel depósito ,0,,,0.46,0.46,0.46,0.45,0.45,0.47,0.46,0.45,0.43,0.45,0.46,0.48,0.46,0.45,0.44,0.45,0.44,0.45,0.44,0.46,0.46,0.47,0.44,0.45,0.46,11.35,0.45,false
138,2021 Nivel depósito ,0.012820512820512551,,,0.48,0.46,0.49,0.44,0.46,0.46,0.47,0.46,0.46,0.46,0.45,0.48,0.47,0.46,0.49,0.47,0.47,0.48,0.46,0.47,0.47,0.47,0.45,0.48,0.46,11.67,0.47,false
139,2021 Nivel depósito ,0.025641025641025102,,,0.46,0.44,0.48,0.45,0.46,0.46,0.47,0.43,0.45,0.44,0.45,0.46,0.46,0.46,0.47,0.44,0.46,0.47,0.45,0.45,0.46,0.46,0.44,0.46,0.43,11.36,0.45,false
140,2021 Nivel depósito ,0.025641025641025102,,,0.50,0.47,0.49,0.49,0.48,0.48,0.48,0.48,0.48,0.47,0.46,0.49,0.47,0.48,0.49,0.48,0.46,0.49,0.47,0.48,0.49,0.49,0.47,0.49,0.46,11.99,0.48,false
141,2021 Nivel depósito ,0.025641025641025102,,,0.48,0.44,0.47,0.48,0.46,0.47,0.47,0.45,0.46,0.45,0.45,0.48,0.45,0.46,0.46,0.46,0.47,0.48,0.46,0.46,0.46,0.47,0.46,0.47,0.44,11.56,0.46,false
142,2021 Nivel depósito ,0.03846153846153822,,,0.45,0.46,0.44,0.44,0.44,0.44,0.43,0.41,0.42,0.43,0.44,0.43,0.43,0.43,0.44,0.44,0.44,0.45,0.45,0.44,0.45,0.43,0.43,0.43,0.43,10.92,0.44,false
143,2021 Nivel depósito ,0.051282051282050774,,,0.44,0.44,0.44,0.43,0.44,0.42,0.45,0.42,0.43,0.42,0.43,0.44,0.43,0.42,0.43,0.44,0.43,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.43,10.77,0.43,false
144,2021 Nivel depósito ,0.051282051282050774,,,0.47,0.43,0.44,0.43,0.45,0.45,0.44,0.43,0.43,0.42,0.43,0.43,0.46,0.44,0.43,0.45,0.44,0.44,0.44,0.45,0.45,0.43,0.43,0.43,0.43,10.97,0.44,false
145,2021 Nivel depósito ,0.06410256410256389,,,0.42,0.42,0.44,0.41,0.41,0.42,0.43,0.41,0.43,0.42,0.42,0.43,0.43,0.41,0.42,0.42,0.43,0.42,0.43,0.42,0.43,0.43,0.41,0.42,0.42,10.55,0.42,false
146,2021 Nivel depósito ,0.07692307692307644,,,0.41,0.42,0.43,0.42,0.42,0.41,0.43,0.42,0.42,0.41,0.43,0.44,0.41,0.42,0.42,0.42,0.42,0.42,0.42,0.43,0.42,0.43,0.42,0.41,0.41,10.51,0.42,false
147,2021 Nivel depósito ,0.08974358974358956,,,0.42,0.42,0.43,0.41,0.44,0.42,0.44,0.41,0.42,0.43,0.44,0.43,0.42,0.43,0.43,0.43,0.43,0.44,0.43,0.42,0.42,0.43,0.42,0.43,0.42,10.66,0.43,false
148,2021 Nivel depósito ,0.10256410256410212,,,0.44,0.43,0.44,0.44,0.45,0.44,0.44,0.44,0.43,0.44,0.43,0.44,0.45,0.44,0.44,0.42,0.43,0.44,0.45,0.42,0.45,0.44,0.43,0.46,0.45,10.98,0.44,false
149,2021 Nivel depósito ,0.12820512820512778,,,0.45,0.44,0.45,0.44,0.44,0.44,0.45,0.43,0.43,0.42,0.44,0.43,0.43,0.44,0.45,0.44,0.44,0.44,0.44,0.46,0.45,0.43,0.43,0.43,0.43,10.97,0.44,false
