num,month,day,hour,min,n_px,ce_px,cs_px,n_p,i_uiip,p_uiip,i_f,p_f,i_uiipu,c_pu_p,p_pu
5,1,1,0,0,2.07,247.15,0.00,0.109,196.56,18.50,253.00,32.12,261.93,0.00,51.04
11,1,1,1,30,2.27,361.25,0.00,0.109,160.81,18.66,242.73,32.93,325.67,0.00,52.52
12,1,1,1,45,2.31,412.33,0.00,0.110,159.33,18.50,240.40,33.14,350.00,0.00,53.16
13,1,1,2,0,2.37,419.17,0.00,0.110,151.02,18.22,237.93,33.32,366.07,0.00,53.36
14,1,1,2,15,2.42,432.61,0.00,0.110,140.03,18.18,235.93,33.48,366.27,0.00,53.47
18,1,1,3,15,2.63,428.91,0.00,0.109,129.39,18.15,231.47,33.89,365.20,0.00,53.76
22,1,1,4,15,2.85,474.36,0.00,0.109,147.58,18.22,258.73,34.15,358.87,0.00,54.10
25,1,1,5,0,3.03,460.56,0.00,0.110,128.30,18.16,256.53,34.48,356.13,0.00,54.29
37,1,1,8,0,3.49,0.77,21.71,0.108,180.40,20.57,261.20,33.12,114.60,25.95,51.17
39,1,1,8,30,3.45,0.00,177.52,0.109,211.47,20.47,228.07,32.35,93.73,27.04,50.58
43,1,1,9,30,3.30,0.00,304.39,0.108,238.06,20.65,239.53,31.57,101.47,26.73,49.78
50,1,1,11,15,2.86,0.00,384.41,0.107,259.91,20.72,253.93,30.39,3.47,25.15,48.35
65,1,1,15,0,2.18,0.00,95.23,0.109,197.23,20.73,238.80,31.56,105.27,25.07,49.74
66,1,1,15,15,2.16,0.00,78.85,0.109,185.06,20.53,240.80,31.43,105.20,24.95,49.57
67,1,1,15,30,2.15,0.00,48.95,0.108,196.20,20.86,237.47,31.69,102.27,25.78,49.93
78,1,1,18,15,1.97,0.00,72.33,0.109,183.59,20.64,242.20,31.44,105.73,24.72,49.47
83,1,1,19,30,1.90,0.00,76.48,0.110,185.65,21.50,273.80,31.50,94.33,25.51,49.55
94,1,1,22,15,1.95,256.27,0.00,0.108,191.61,22.11,249.07,32.05,318.00,0.00,51.59
99,1,1,23,30,2.15,361.35,0.00,0.109,147.63,18.44,238.93,32.81,366.73,0.00,52.73
108,1,2,1,45,2.62,454.19,0.00,0.105,108.25,18.16,226.87,33.95,359.40,0.00,53.76
109,1,2,2,0,2.68,449.75,0.00,0.107,114.32,18.16,242.40,34.07,357.20,0.00,54.02
113,1,2,3,0,2.92,446.01,0.00,0.105,123.81,18.16,242.40,34.09,356.13,0.00,53.82
117,1,2,4,0,3.15,435.04,0.00,0.103,117.47,17.91,237.67,34.44,336.80,0.00,54.03
118,1,2,4,15,3.21,344.81,0.00,0.103,123.30,18.17,249.33,34.18,238.67,0.00,52.97
120,1,2,4,45,3.29,296.04,0.00,0.109,104.56,18.12,265.73,33.78,177.60,0.00,52.16
147,1,2,11,30,2.62,0.00,377.07,0.101,252.22,20.75,239.40,30.40,3.80,25.76,48.12
149,1,2,12,0,2.50,0.00,333.73,0.101,237.16,20.73,260.53,30.54,3.53,25.69,48.29
151,1,2,12,30,2.39,0.00,348.28,0.103,226.57,20.76,263.13,30.33,3.47,25.46,48.18
153,1,2,13,0,2.29,0.00,292.15,0.101,210.21,20.63,258.47,30.70,3.60,25.61,48.67
160,1,2,14,45,2.03,0.00,98.57,0.101,206.39,20.76,266.27,31.41,107.87,25.77,49.52
168,1,2,16,45,1.91,2.31,43.35,0.100,179.25,20.67,264.20,31.48,138.07,25.88,50.03
172,1,2,17,45,1.90,73.97,0.00,0.100,183.56,20.59,241.87,31.39,316.13,26.01,50.81
174,1,2,18,15,1.91,108.90,0.00,0.101,202.51,21.62,235.73,31.81,315.93,25.46,50.99
178,1,2,19,15,1.93,67.56,0.00,0.104,187.56,21.49,238.47,31.53,318.60,23.89,50.80
179,1,2,19,30,1.93,59.07,0.00,0.103,178.72,21.73,236.80,31.50,316.93,25.54,50.89
185,1,2,21,0,1.97,218.11,0.00,0.105,191.49,21.54,276.13,32.26,357.53,4.97,51.89
187,1,2,21,30,2.03,291.91,0.00,0.103,185.35,21.89,285.53,32.44,354.00,0.06,52.18
188,1,2,21,45,2.06,278.25,0.00,0.106,177.34,21.45,288.33,32.19,355.67,0.00,51.93
190,1,2,22,15,2.13,318.29,0.00,0.103,183.85,21.67,282.73,32.56,354.13,0.00,52.30
192,1,2,22,45,2.21,334.49,0.00,0.103,157.68,18.95,277.87,32.94,361.27,0.00,52.73
193,1,2,23,0,2.25,331.45,0.00,0.103,162.17,18.07,276.80,32.99,373.27,0.00,52.79
207,1,3,2,30,2.88,288.65,0.00,0.104,175.44,18.05,239.13,33.24,338.93,0.00,52.74
214,1,3,4,15,3.17,329.61,0.00,0.101,192.51,18.19,231.20,33.91,360.87,0.00,53.51
218,1,3,5,15,3.35,355.47,0.00,0.101,158.64,18.06,238.60,34.16,355.60,0.00,53.82
227,1,3,7,30,3.42,0.00,281.05,0.101,220.49,21.75,255.87,31.86,3.53,25.56,49.54
240,1,3,10,45,2.69,0.00,336.73,0.100,271.83,22.00,258.33,30.80,3.73,25.78,48.44
258,1,3,15,15,1.95,0.00,92.55,0.100,184.34,21.13,261.60,31.41,140.20,24.75,49.46
260,1,3,15,45,1.91,2.65,26.56,0.100,176.72,20.10,261.33,31.46,138.40,25.33,49.63
268,1,3,17,45,1.91,88.50,0.00,0.100,167.50,20.26,259.13,31.60,285.27,25.12,50.59
269,1,3,18,0,1.91,46.26,0.00,0.101,177.50,20.01,256.87,31.77,287.67,26.04,50.51
270,1,3,18,15,1.91,53.48,0.00,0.101,184.95,20.14,261.33,31.40,286.13,24.59,50.41
284,1,3,21,45,1.92,262.25,0.00,0.101,168.37,20.14,253.47,32.02,352.47,0.00,51.70
287,1,3,22,30,2.00,308.73,0.00,0.100,185.04,20.23,247.73,32.48,347.53,0.00,52.10
297,1,4,1,0,2.49,396.51,0.00,0.100,168.96,16.56,235.80,33.54,366.33,0.00,53.27
303,1,4,2,30,2.81,430.85,0.00,0.100,152.41,16.70,242.20,34.02,358.27,0.00,53.93
306,1,4,3,15,2.97,436.79,0.00,0.100,115.53,16.93,241.33,34.07,359.40,0.00,53.97
307,1,4,3,30,3.03,432.76,0.00,0.101,115.00,17.11,236.07,34.46,359.87,0.00,54.21
309,1,4,4,0,3.14,463.05,0.00,0.101,129.13,16.95,258.13,34.59,356.00,0.00,54.33
310,1,4,4,15,3.20,411.51,0.00,0.102,130.52,16.65,261.20,34.35,362.00,0.00,53.88
318,1,4,6,15,3.57,239.83,0.00,0.101,164.43,20.62,259.00,33.51,367.33,0.00,53.31
320,1,4,6,45,3.61,18.23,2.13,0.100,178.59,20.71,260.67,33.27,180.93,24.91,51.76
325,1,4,8,0,3.49,0.00,289.59,0.100,229.35,19.65,243.20,31.78,87.87,25.74,49.84
330,1,4,9,15,3.22,0.00,393.67,0.100,287.36,21.20,249.27,30.69,3.33,25.52,48.68
332,1,4,9,45,3.09,0.00,391.21,0.100,291.79,21.25,249.47,30.65,3.40,24.94,48.49
354,1,4,15,15,2.12,0.00,106.87,0.103,202.82,20.82,256.80,31.35,102.80,24.76,49.55
367,1,4,18,30,1.86,0.00,91.58,0.109,163.79,19.88,253.27,31.55,140.87,24.99,49.82
373,1,4,20,0,1.79,3.76,16.55,0.107,188.84,19.57,258.27,31.13,282.60,26.18,50.48
374,1,4,20,15,1.78,0.43,25.50,0.107,191.73,19.62,258.67,31.10,285.33,25.64,50.26
376,1,4,20,45,1.77,28.07,2.17,0.105,182.72,19.74,254.60,31.39,284.53,24.70,50.45
384,1,4,22,45,1.87,304.83,0.00,0.105,179.37,20.44,243.67,32.41,375.87,0.00,52.34
388,1,4,23,45,2.04,382.43,0.00,0.104,154.63,16.48,236.47,32.90,372.73,0.00,52.79
389,1,5,0,0,2.08,373.01,0.00,0.103,201.25,15.90,236.40,32.97,371.40,0.00,52.93
394,1,5,1,15,2.32,362.45,0.00,0.103,209.15,16.56,237.20,32.94,368.00,0.00,52.87
395,1,5,1,30,2.37,360.78,0.00,0.102,210.16,16.63,236.20,33.05,366.73,0.00,53.02
401,1,5,3,0,2.64,339.70,0.00,0.104,159.33,15.59,234.00,33.22,350.87,0.00,52.48
407,1,5,4,30,2.91,370.66,0.00,0.104,170.16,16.59,251.80,33.83,363.87,0.00,53.59
408,1,5,4,45,2.96,387.21,0.00,0.100,178.80,16.56,244.20,34.39,360.27,0.00,53.99
415,1,5,6,30,3.23,180.80,0.00,0.102,177.69,20.75,271.87,33.29,347.27,20.26,52.93
420,1,5,7,45,3.22,0.00,286.75,0.100,230.73,20.07,278.80,31.68,2.53,25.19,49.48
428,1,5,9,45,2.75,0.00,400.80,0.100,249.36,21.24,249.40,30.25,2.73,25.00,47.90
437,1,5,12,0,2.25,0.00,192.23,0.101,224.43,21.24,234.27,31.37,122.40,24.76,49.44
443,1,5,13,30,2.04,0.00,193.93,0.101,210.58,20.93,252.27,30.93,131.33,25.93,49.13
444,1,5,13,45,2.00,0.00,166.61,0.100,195.96,21.26,249.27,31.14,137.53,25.16,49.50
447,1,5,14,30,1.91,0.00,134.21,0.100,201.73,20.59,251.27,30.98,139.40,25.64,49.17
450,1,5,15,15,1.83,0.00,127.61,0.100,175.77,20.64,246.87,31.25,101.93,26.07,49.20
453,1,5,16,0,1.75,0.00,135.03,0.100,184.23,20.59,251.93,30.93,100.60,25.38,49.13
454,1,5,16,15,1.73,0.00,148.23,0.100,188.37,20.80,248.87,31.12,102.00,25.36,49.12
462,1,5,18,15,1.66,96.87,0.00,0.100,160.50,20.75,245.67,31.41,299.53,25.33,50.58
465,1,5,19,0,1.70,114.20,0.00,0.100,172.84,20.76,246.67,31.33,317.33,25.04,50.70
471,1,5,20,30,1.75,69.59,0.00,0.100,161.36,20.81,247.00,31.34,316.07,25.95,50.71
473,1,5,21,0,1.77,167.72,0.00,0.100,169.69,20.70,246.40,31.39,314.13,5.85,50.89
477,1,5,22,0,1.85,241.51,0.00,0.100,169.59,20.69,238.33,32.01,358.53,0.00,51.71
480,1,5,22,45,1.94,284.57,0.00,0.101,158.35,20.17,236.53,32.18,376.80,0.00,52.22
483,1,5,23,30,2.05,339.30,0.00,0.100,140.28,16.59,230.40,32.63,373.27,0.00,52.78
485,1,6,0,0,2.13,398.88,0.00,0.100,140.24,16.61,226.20,32.97,371.87,0.00,52.99
489,1,6,1,0,2.34,451.20,0.00,0.100,142.34,16.55,243.00,33.57,366.60,0.00,53.45
492,1,6,1,45,2.50,431.81,0.00,0.100,133.25,16.56,239.07,33.88,364.40,0.00,53.77
498,1,6,3,15,2.83,441.50,0.00,0.100,125.29,16.70,234.13,34.25,359.53,0.00,54.10
499,1,6,3,30,2.89,423.89,0.00,0.100,117.13,17.08,238.40,33.95,361.67,0.00,54.03
502,1,6,4,15,3.06,466.01,0.00,0.100,134.06,16.45,242.47,34.58,357.80,0.00,54.38
513,1,6,7,0,3.41,153.31,0.00,0.100,127.54,20.63,262.47,32.93,152.07,24.94,51.25
519,1,6,8,30,3.33,0.00,244.07,0.100,217.65,20.97,266.53,31.65,47.73,26.06,49.41
522,1,6,9,15,3.17,0.00,376.67,0.100,246.95,21.62,266.60,30.59,3.27,24.97,48.52
532,1,6,11,45,2.45,0.00,306.08,0.100,244.26,21.73,232.13,30.54,106.20,26.17,48.75
533,1,6,12,0,2.39,0.00,290.85,0.100,225.74,21.59,234.40,30.42,107.07,25.13,48.67
544,1,6,14,45,2.04,0.00,99.44,0.100,184.45,20.35,261.27,31.46,101.87,25.11,49.46
559,1,6,18,30,1.89,97.33,0.00,0.100,179.63,20.14,236.07,31.67,286.00,25.74,50.61
566,1,6,20,15,1.92,80.73,0.00,0.100,178.49,20.16,240.40,31.51,306.20,25.13,50.65
576,1,6,22,45,2.16,355.33,0.00,0.100,171.96,20.05,268.47,32.91,374.27,0.00,52.75
578,1,6,23,15,2.25,374.62,0.00,0.100,157.48,16.61,265.20,33.12,372.73,0.00,52.90
582,1,7,0,15,2.44,383.19,0.00,0.100,223.25,16.47,259.67,33.51,370.60,0.00,53.22
584,1,7,0,45,2.54,434.46,0.00,0.100,186.71,16.58,259.33,33.52,365.93,0.00,53.41
591,1,7,2,30,2.88,380.37,0.00,0.100,183.20,16.44,255.53,33.73,364.07,0.00,53.52
603,1,7,5,30,3.33,137.05,0.00,0.100,171.12,17.01,249.27,33.07,127.00,0.00,51.34
606,1,7,6,15,3.34,7.09,11.76,0.100,204.39,20.11,239.87,32.92,97.20,0.00,51.01
622,1,7,10,15,2.58,0.00,373.17,0.100,273.12,21.67,254.00,30.27,3.60,26.44,47.93
624,1,7,10,45,2.46,0.00,347.12,0.100,279.99,22.03,251.00,30.44,3.80,25.46,48.22
629,1,7,12,0,2.18,0.00,307.01,0.100,230.72,21.18,250.93,30.46,3.67,26.39,48.22
638,1,7,14,15,1.83,0.00,192.08,0.100,221.09,20.48,259.07,30.72,95.47,26.50,48.74
657,1,7,19,0,1.73,112.18,0.00,0.100,186.17,20.46,250.33,31.41,352.93,25.00,51.16
658,1,7,19,15,1.74,115.07,0.00,0.100,191.01,20.66,242.40,31.67,352.93,26.31,51.20
674,1,7,23,15,2.02,368.15,0.00,0.100,153.38,16.58,235.80,32.60,372.73,0.00,52.65
678,1,8,0,15,2.20,443.97,0.00,0.100,135.89,16.54,223.60,33.53,367.07,0.00,53.29
684,1,8,1,45,2.55,486.03,0.00,0.100,126.46,16.55,262.80,34.31,360.00,0.00,54.07
685,1,8,2,0,2.61,485.15,0.00,0.100,120.99,16.60,263.80,34.23,363.80,0.00,53.93
692,1,8,3,45,3.03,469.19,0.00,0.100,116.59,17.09,258.87,34.56,357.87,0.00,54.34
694,1,8,4,15,3.15,445.31,0.00,0.100,164.54,16.61,258.07,34.60,348.20,0.00,54.15
697,1,8,5,0,3.28,312.51,0.00,0.100,127.63,16.60,269.20,33.69,192.60,0.00,52.22
705,1,8,7,0,3.47,41.79,0.05,0.100,157.63,20.73,253.33,33.21,132.80,25.00,51.44
709,1,8,8,0,3.37,0.00,322.59,0.100,261.55,21.67,254.00,31.35,3.33,25.93,49.29
712,1,8,8,45,3.19,0.00,379.92,0.100,286.24,22.18,255.80,30.33,3.60,26.71,47.98
716,1,8,9,45,2.92,0.00,449.03,0.100,321.93,21.39,261.07,29.91,3.53,25.82,47.58
719,1,8,10,30,2.71,0.00,368.93,0.100,304.10,22.24,256.93,30.19,3.60,26.16,47.95
734,1,8,14,15,1.87,0.00,134.01,0.100,219.21,20.68,244.13,30.77,140.47,26.53,49.06
735,1,8,14,30,1.84,0.00,126.75,0.100,217.04,20.59,242.33,30.88,139.53,24.96,49.15
745,1,8,17,0,1.74,99.29,0.00,0.100,196.01,20.54,249.40,31.63,333.73,26.06,50.84
746,1,8,17,15,1.74,123.78,0.00,0.100,203.88,20.15,251.33,31.48,342.00,25.25,50.93
777,1,9,1,0,2.54,448.35,0.00,0.100,127.01,16.64,254.60,34.03,361.07,0.00,53.91
779,1,9,1,30,2.66,433.54,0.00,0.100,125.10,16.59,255.07,34.03,364.53,0.00,53.68
786,1,9,3,15,3.08,454.52,0.00,0.100,120.05,16.78,248.53,34.54,354.73,0.00,54.35
793,1,9,5,0,3.38,308.39,0.00,0.100,115.31,17.16,248.00,33.67,194.33,0.00,52.14
795,1,9,5,30,3.45,275.17,0.00,0.100,123.56,16.81,250.80,33.45,193.47,0.00,51.98
799,1,9,6,30,3.56,147.71,0.00,0.100,119.45,20.55,251.60,33.36,140.73,17.74,51.45
803,1,9,7,30,3.59,14.99,13.16,0.100,169.46,20.33,253.53,33.21,133.40,26.89,51.37
816,1,9,10,45,2.89,0.00,403.49,0.100,269.77,21.41,258.07,30.15,3.33,25.49,48.19
827,1,9,13,30,2.24,0.00,139.95,0.100,206.89,21.43,259.80,31.39,111.27,25.59,49.39
828,1,9,13,45,2.20,0.00,157.89,0.100,212.67,21.14,268.27,31.16,104.93,25.36,49.20
831,1,9,14,30,2.09,0.00,165.36,0.100,200.78,20.77,266.93,31.28,70.67,25.41,49.02
835,1,9,15,30,1.99,36.89,1.83,0.100,173.66,20.83,266.67,31.76,188.07,24.85,50.05
842,1,9,17,15,2.00,81.83,0.00,0.100,177.51,20.22,262.20,31.73,310.73,24.48,50.84
847,1,9,18,30,2.03,114.59,0.00,0.100,191.85,20.73,254.80,31.69,381.07,26.00,51.57
849,1,9,19,0,2.05,82.65,0.00,0.100,175.58,20.79,256.73,31.54,379.60,26.03,51.69
863,1,9,22,30,2.23,313.23,0.00,0.100,175.94,20.00,244.80,32.54,344.40,0.00,52.20
865,1,9,23,0,2.31,347.99,0.00,0.100,159.07,16.56,259.73,33.18,372.13,0.00,52.88
877,1,10,2,0,2.90,372.68,0.00,0.100,163.46,16.54,255.33,33.54,363.33,0.00,53.41
891,1,10,5,30,3.54,245.89,0.00,0.100,175.39,16.59,256.67,33.51,363.27,0.00,53.35
902,1,10,8,15,3.37,0.00,299.91,0.100,292.53,20.95,270.60,31.78,12.33,25.78,49.47
904,1,10,8,45,3.27,0.00,322.01,0.100,258.80,20.47,268.27,31.52,2.07,25.69,49.38
910,1,10,10,15,2.92,0.00,338.88,0.100,266.11,20.50,268.47,30.93,44.73,25.30,48.62
911,1,10,10,30,2.85,0.00,359.47,0.100,279.94,20.97,273.00,30.65,44.67,25.44,48.35
912,1,10,10,45,2.80,0.00,343.55,0.100,248.56,21.20,268.00,30.82,44.27,25.01,48.69
918,1,10,12,15,2.51,0.00,214.45,0.100,252.23,21.19,252.53,31.26,94.93,25.65,49.44
922,1,10,13,15,2.37,0.00,211.99,0.100,227.09,21.30,253.13,31.04,95.47,25.62,49.24
924,1,10,13,45,2.29,0.00,207.55,0.100,217.74,21.27,248.87,31.10,97.00,24.46,49.14
929,1,10,15,0,2.11,0.00,179.01,0.100,173.98,21.33,212.13,31.14,97.47,25.55,49.20
932,1,10,15,45,2.03,0.00,72.05,0.100,192.24,21.23,210.07,31.37,196.20,25.21,49.97
940,1,10,17,45,1.92,0.00,77.79,0.100,182.67,21.22,271.13,31.35,134.67,25.16,49.50
943,1,10,18,30,1.87,0.00,140.28,0.100,195.20,20.75,270.93,31.30,136.80,25.08,49.30
948,1,10,19,45,1.71,0.00,296.59,0.100,199.16,20.66,253.47,29.99,2.40,25.11,47.69
960,1,10,22,45,1.63,116.66,0.00,0.100,163.94,20.70,238.27,31.27,130.80,0.00,49.47
964,1,10,23,45,1.68,167.63,0.00,0.100,145.42,19.09,236.87,31.46,109.53,0.00,49.67
967,1,11,0,30,1.73,194.45,0.00,0.100,173.25,19.21,257.33,31.74,108.27,0.00,49.85
984,1,11,4,45,2.11,188.75,0.00,0.100,139.52,19.22,238.87,32.36,140.33,0.00,50.55
985,1,11,5,0,2.13,191.99,0.00,0.100,135.58,19.09,243.93,32.03,148.87,0.00,50.27
998,1,11,8,15,1.91,0.00,209.92,0.100,216.81,21.14,261.60,30.67,97.07,26.01,48.82
1003,1,11,9,30,1.70,0.00,247.35,0.100,221.82,20.90,269.87,30.05,3.73,25.96,47.70
1005,1,11,10,0,1.61,0.00,275.23,0.100,228.55,20.30,270.87,29.93,3.73,25.13,47.76
1006,1,11,10,15,1.56,0.00,261.51,0.100,231.87,20.12,267.40,30.18,3.40,25.74,47.72
1012,1,11,11,45,1.30,0.00,264.56,0.100,227.62,20.31,265.80,29.80,3.20,26.63,47.64
1021,1,11,14,0,0.91,0.00,206.83,0.100,213.12,20.71,239.53,29.78,80.20,25.41,47.99
1023,1,11,14,30,0.84,0.00,149.97,0.100,190.61,20.55,229.53,29.93,106.60,25.65,48.07
1030,1,11,16,15,0.72,7.38,6.17,0.100,206.03,20.46,240.40,30.46,174.87,24.51,48.88
1039,1,11,18,30,0.60,0.00,67.28,0.100,167.65,20.81,242.87,29.99,206.93,25.56,48.33
1054,1,11,22,15,0.48,23.72,18.37,0.100,195.72,20.73,230.40,30.11,69.93,0.00,48.13
1055,1,11,22,30,0.48,0.00,56.75,0.100,187.34,20.56,232.87,29.99,3.53,0.00,47.84
1065,1,12,1,0,0.55,53.53,0.00,0.100,237.19,17.84,275.73,30.16,3.27,0.00,48.05
1077,1,12,4,0,0.60,99.48,0.00,0.100,224.09,18.49,245.20,30.20,92.60,0.00,48.37
1081,1,12,5,0,0.62,73.12,0.00,0.100,216.03,18.49,243.13,30.39,92.47,0.00,48.44
1082,1,12,5,15,0.63,89.65,0.00,0.100,219.15,18.76,250.87,30.40,90.13,0.00,48.47
1083,1,12,5,30,0.63,8.39,40.85,0.100,201.17,18.57,267.73,30.30,9.33,0.00,48.26
1084,1,12,5,45,0.62,0.00,87.13,0.100,194.54,18.95,269.07,30.08,3.53,0.00,47.88
1086,1,12,6,15,0.57,0.00,143.85,0.100,236.99,19.14,277.27,29.54,54.40,0.00,47.66
1088,1,12,6,45,0.52,0.00,67.90,0.100,234.08,19.11,271.13,29.95,190.00,26.68,48.49
1097,1,12,9,0,0.36,0.00,91.57,0.100,259.81,21.58,251.80,29.69,212.67,25.08,48.16
1103,1,12,10,30,0.15,83.87,40.32,0.100,270.10,21.15,261.80,27.81,342.07,25.71,47.63
1105,1,12,11,0,0.14,65.10,0.00,0.100,236.49,21.19,232.20,30.32,372.73,24.99,50.22
1106,1,12,11,15,0.14,65.84,0.00,0.100,225.57,21.17,235.47,31.52,365.40,25.46,51.26
1107,1,12,11,30,0.13,68.81,0.00,0.099,225.09,21.15,259.73,30.03,337.80,24.90,49.46
1112,1,12,12,45,0.11,69.18,0.00,-0.009,216.26,21.14,256.07,29.76,341.73,25.96,49.36
1114,1,12,13,15,0.10,65.84,0.00,-0.007,228.95,21.10,263.13,29.23,347.73,25.62,48.82
1115,1,12,13,30,0.10,62.21,0.00,-0.003,210.46,20.67,264.20,29.13,354.73,25.49,48.78
1126,1,12,16,15,0.05,61.19,0.00,-0.001,172.56,21.21,240.07,32.95,259.20,25.53,51.84
1130,1,12,17,15,0.04,61.91,0.00,-0.001,178.30,21.14,271.73,32.27,267.07,24.85,51.33
1131,1,12,17,30,0.03,59.55,0.00,-0.001,174.30,21.04,276.27,31.89,270.93,25.37,50.74
1136,1,12,18,45,0.01,70.21,0.00,0.000,174.64,20.98,294.53,29.44,315.13,25.07,48.66
1142,1,12,20,15,-0.01,54.73,0.00,-0.003,191.86,20.56,240.87,30.80,387.33,26.07,50.70
1145,1,12,21,0,-0.03,64.23,0.00,-0.001,196.36,20.64,211.27,33.01,295.13,5.60,52.35
1153,1,12,23,0,-0.06,111.27,0.00,0.001,266.42,21.14,248.40,33.03,67.33,0.00,51.00
1167,1,13,2,30,-0.06,52.80,0.00,1.124,432.17,27.90,178.13,36.16,3.33,0.00,54.14
1172,1,13,3,45,-0.06,68.04,0.00,1.557,424.21,28.61,219.73,33.29,3.40,0.00,51.26
1177,1,13,5,0,-0.06,74.99,0.00,2.004,410.05,28.73,269.20,31.31,3.40,0.00,49.10
1179,1,13,5,30,-0.06,67.22,0.00,2.182,400.67,27.46,246.73,33.03,91.53,0.00,51.03
1186,1,13,7,15,-0.06,56.33,0.00,2.112,133.13,20.14,281.33,28.75,346.60,26.41,48.33
1187,1,13,7,30,-0.06,55.11,0.00,2.082,138.17,20.22,293.13,29.00,343.53,25.70,48.46
1194,1,13,9,15,0.00,65.45,0.00,1.840,141.56,20.27,259.53,33.05,367.87,25.27,52.80
1201,1,13,11,0,0.00,55.26,0.00,1.577,172.62,20.16,263.27,33.56,341.73,24.66,53.03
1207,1,13,12,30,0.00,153.13,0.00,1.365,93.17,19.76,270.40,29.97,397.93,24.73,49.94
1211,1,13,13,30,0.00,102.97,0.00,1.220,89.05,19.78,271.53,29.81,399.87,26.18,49.96
1217,1,13,15,0,0.06,179.46,0.00,1.074,144.27,20.56,244.87,30.10,396.47,26.29,50.18
1220,1,13,15,45,0.11,205.87,0.00,1.031,133.22,20.49,246.87,29.99,396.87,25.24,50.10
1228,1,13,17,45,0.26,134.08,0.00,0.915,138.76,20.71,248.87,30.03,396.13,25.54,50.05
1250,1,13,23,15,0.68,369.74,0.00,0.672,377.56,25.69,265.87,31.45,382.00,0.00,51.44
1251,1,13,23,30,0.73,353.34,0.00,0.745,386.95,25.68,266.27,31.42,307.53,0.00,50.78
1252,1,13,23,45,0.77,342.22,0.00,0.810,384.67,25.84,267.20,31.36,269.67,0.00,50.34
1257,1,14,1,0,0.97,241.57,0.00,1.120,394.62,25.71,270.87,31.03,242.87,0.00,49.73
1260,1,14,1,45,1.05,298.13,0.00,1.313,410.93,25.78,265.20,31.42,238.60,0.00,49.96
1264,1,14,2,45,1.18,365.66,0.00,1.574,391.15,25.78,303.00,32.12,265.27,0.00,50.84
1271,1,14,4,30,1.44,266.93,0.00,2.044,401.45,25.67,251.73,31.50,268.47,0.00,50.55
1277,1,14,6,0,1.60,208.91,0.00,2.360,212.67,20.57,247.40,31.44,382.73,0.00,51.52
1279,1,14,6,30,1.63,101.85,0.00,2.360,181.43,20.65,254.87,31.22,386.67,17.28,51.25
1296,1,14,10,45,1.70,107.88,0.00,1.703,81.42,18.96,265.73,31.44,383.40,25.98,51.34
1301,1,14,12,0,1.75,77.31,0.00,1.486,89.42,19.03,263.47,31.47,384.13,24.88,51.31
1306,1,14,13,15,1.79,113.29,0.00,1.281,90.53,18.48,264.00,31.36,382.47,26.38,51.39
1307,1,14,13,30,1.80,94.48,0.00,1.237,88.62,18.56,261.00,31.61,383.60,25.77,51.46
1312,1,14,14,45,1.82,115.11,0.00,1.035,73.81,19.58,243.67,31.24,383.53,25.33,51.28
1313,1,14,15,0,1.83,146.46,0.00,1.002,72.29,19.84,242.53,31.36,383.07,24.93,51.50
1317,1,14,16,0,1.89,204.67,0.00,0.855,71.74,19.98,236.73,31.82,380.67,25.93,51.90
1325,1,14,18,0,2.00,143.37,0.00,0.589,85.40,19.62,240.93,31.65,382.13,25.41,51.67
1331,1,14,19,30,2.09,158.75,0.00,0.383,77.58,19.76,254.87,31.95,381.07,24.42,51.91
1333,1,14,20,0,2.10,153.93,0.00,0.315,81.89,19.63,260.20,31.90,379.67,25.86,51.91
1340,1,14,21,45,2.22,267.37,0.00,0.140,177.12,19.49,256.20,32.22,373.67,0.00,52.25
1358,1,15,2,15,2.94,413.15,0.00,1.203,355.96,26.71,262.47,34.07,284.20,0.00,53.05
1365,1,15,4,0,3.30,369.03,0.00,1.819,391.46,28.71,264.53,33.78,275.07,0.00,52.83
1374,1,15,6,15,3.65,218.65,0.00,2.420,148.68,19.64,251.40,33.65,211.73,0.00,52.18
1376,1,15,6,45,3.69,42.00,0.09,2.420,138.86,19.46,229.47,33.43,127.13,25.89,51.36
1380,1,15,7,45,3.62,0.00,220.29,2.354,119.79,19.97,233.20,32.52,103.60,24.69,50.48
1387,1,15,9,30,3.25,0.00,377.75,2.066,135.20,19.67,241.47,30.95,97.47,25.70,48.98
1393,1,15,11,0,2.89,0.00,325.53,1.801,140.56,19.70,238.27,30.69,98.33,26.42,48.85
1395,1,15,11,30,2.78,0.00,306.81,1.718,118.00,19.56,242.53,31.03,107.20,25.37,49.10
1396,1,15,11,45,2.73,0.00,300.11,1.677,131.81,19.47,252.33,30.88,121.53,25.83,49.10
1397,1,15,12,0,2.68,0.00,262.68,1.633,134.57,19.78,247.87,31.12,118.67,26.57,49.30
1399,1,15,12,30,2.60,0.00,261.14,1.550,120.20,19.82,248.73,31.13,124.87,25.45,49.22
1402,1,15,13,15,2.48,0.00,189.05,1.427,105.91,19.65,246.80,31.25,160.40,25.25,49.63
1423,1,15,18,30,2.35,134.89,0.00,0.843,138.37,20.62,234.13,32.20,358.00,25.78,51.91
1424,1,15,18,45,2.37,152.93,0.00,0.829,142.12,20.63,236.53,32.07,359.20,27.15,51.95
1428,1,15,19,45,2.41,136.90,0.00,0.820,181.06,21.61,235.33,32.16,356.73,24.81,51.94
