iteration,data_size,number_of_attributes,number_of_trees
1,513,17,100
2,513,17,100
3,513,17,100
4,513,17,100
5,513,17,100
6,513,17,100
7,513,17,100
8,513,17,100
9,513,17,100
10,513,17,100
11,513,17,100
12,513,17,100
13,513,17,100
14,513,17,100
15,513,17,100
16,513,17,100
17,513,17,100
18,513,17,100
19,513,17,100
20,513,17,100
21,513,17,100
22,513,17,100
23,513,17,100
24,513,17,100
25,513,17,100
