header,value,key
month_day_hour_min,'1_2_15_45',159
month_day_hour_min,'1_2_16_0',160
month_day_hour_min,'1_2_16_15',161
month_day_hour_min,'1_2_16_30',162
month_day_hour_min,'1_2_16_45',163
month_day_hour_min,'1_2_17_0',164
month_day_hour_min,'1_2_17_15',165
month_day_hour_min,'1_2_17_30',166
month_day_hour_min,'1_2_17_45',167
month_day_hour_min,'1_2_18_0',168
month_day_hour_min,'1_2_18_15',169
month_day_hour_min,'1_2_18_30',170
month_day_hour_min,'1_2_18_45',171
month_day_hour_min,'1_2_19_0',172
month_day_hour_min,'1_2_19_15',173
month_day_hour_min,'1_2_19_30',174
month_day_hour_min,'1_2_19_45',175
month_day_hour_min,'1_2_20_0',176
month_day_hour_min,'1_2_20_15',177
month_day_hour_min,'1_2_20_30',178
month_day_hour_min,'1_2_20_45',179
month_day_hour_min,'1_2_21_0',180
month_day_hour_min,'1_2_21_15',181
month_day_hour_min,'1_2_21_30',182
month_day_hour_min,'1_2_21_45',183
month_day_hour_min,'1_2_22_0',184
month_day_hour_min,'1_2_22_15',185
month_day_hour_min,'1_2_22_30',186
month_day_hour_min,'1_2_22_45',187
month_day_hour_min,'1_2_23_0',188
month_day_hour_min,'1_2_23_15',189
month_day_hour_min,'1_2_23_30',190
month_day_hour_min,'1_2_23_45',191
month_day_hour_min,'1_3_0_0',192
month_day_hour_min,'1_3_0_15',193
month_day_hour_min,'1_3_0_30',194
month_day_hour_min,'1_3_0_45',195
month_day_hour_min,'1_3_1_0',196
month_day_hour_min,'1_3_1_15',197
month_day_hour_min,'1_3_1_30',198
month_day_hour_min,'1_3_1_45',199
month_day_hour_min,'1_3_2_0',200
month_day_hour_min,'1_3_2_15',201
month_day_hour_min,'1_3_2_30',202
month_day_hour_min,'1_3_2_45',203
month_day_hour_min,'1_3_3_0',204
month_day_hour_min,'1_3_3_15',205
month_day_hour_min,'1_3_3_30',206
month_day_hour_min,'1_3_3_45',207
month_day_hour_min,'1_3_4_0',208
month_day_hour_min,'1_3_4_15',209
month_day_hour_min,'1_3_4_30',210
month_day_hour_min,'1_3_4_45',211
month_day_hour_min,'1_3_5_0',212
month_day_hour_min,'1_3_5_15',213
month_day_hour_min,'1_3_5_30',214
month_day_hour_min,'1_3_5_45',215
month_day_hour_min,'1_3_6_0',216
month_day_hour_min,'1_3_6_15',217
month_day_hour_min,'1_3_6_30',218
month_day_hour_min,'1_3_6_45',219
