num,n_px,ce_px,cs_px,n_p,i_uiip,p_uiip,i_f,p_f,i_uiipu,c_pu_p,p_pu,month_day_hour_min,truth
71,2.09,0,53.04,0.109,182.95,20.56,237.73,31.7,104.53,25.14,49.7,66,0
72,2.08,0,62.73,0.109,177.8,20.6,240.93,31.49,105.8,24.34,49.66,67,0
73,2.07,0,78.61,0.109,189.91,20.61,241.8,31.44,105.4,26.29,49.56,68,0
74,2.05,0,76.53,0.108,173.41,20.62,242.67,31.37,104.47,24.86,49.59,69,0
75,2.03,0,95.87,0.107,192.07,20.56,241.4,31.46,107.27,25.97,49.5,70,0
76,2.01,0,80.38,0.108,196.6,20.75,240.67,31.51,105.73,25.21,49.65,71,0
77,1.99,0,82.33,0.108,174.11,20.9,243.4,31.33,106.47,26.13,49.57,72,0
78,1.97,0,72.33,0.109,183.59,20.64,242.2,31.44,105.73,24.72,49.47,73,0
79,1.96,0,47.44,0.11,184.65,20.48,267.87,31.69,95.47,25.38,49.7,74,0
80,1.94,0,73.99,0.109,178.26,20.74,276.2,31.41,94.4,25.26,49.32,75,0
81,1.93,0,88.93,0.107,173.12,20.67,276.33,31.37,95.33,25.49,49.31,76,0
82,1.91,0,71.96,0.109,180.69,21.35,273.4,31.43,94,24.9,49.49,77,0
83,1.9,0,76.48,0.11,185.65,21.5,273.8,31.5,94.33,25.51,49.55,78,0
84,1.88,0,82.56,0.105,184.12,21.77,276.07,31.33,95.13,25.2,49.37,79,0
85,1.86,0,80.59,0.107,177.16,21.76,275.73,31.32,97.13,25.21,49.34,80,0
86,1.84,0,80.53,0.109,178.75,21.62,276,31.32,96.4,25.22,49.35,81,0
87,1.83,0,84.77,0.105,164.44,21.67,261.87,31.18,97.2,25.54,49.29,82,0
88,1.81,108.75,18.19,0.106,162.86,21.68,252.8,31.74,259.13,24.56,51.18,83,0
89,1.81,222.12,0,0.108,196.79,21.8,250.53,31.92,379.53,7.58,52,84,0
90,1.84,253.53,0,0.108,186.74,22.05,249.4,32.01,377.27,0.28,51.95,85,0
91,1.87,241.61,0,0.107,183.86,22.16,248,32.07,342.67,0.07,51.51,86,0
92,1.9,199.41,0,0.107,189.08,22.29,252,31.78,316.53,0,51.28,87,0
93,1.92,245.66,0,0.108,172.92,22.01,247.07,32.21,315.2,0,51.47,88,0
94,1.95,256.27,0,0.108,191.61,22.11,249.07,32.05,318,0,51.59,89,0
95,1.98,316.64,0,0.107,183.29,22.1,241.2,32.62,371.13,0,52.37,90,0
96,2.02,332.43,0,0.107,156.01,21.49,242.6,32.56,369.27,0,52.59,91,0
97,2.06,325.61,0,0.103,151.21,18.7,240.4,32.71,367.6,0,52.66,92,0
98,2.1,338.97,0,0.105,162.11,18.66,240.27,32.73,367.53,0,52.63,93,0
99,2.15,361.35,0,0.109,147.63,18.44,238.93,32.81,366.73,0,52.73,94,0
100,2.19,392.31,0,0.105,141.96,18.18,235.87,33.11,364.53,0,53,95,0
101,2.24,411.8,0,0.107,154.47,17.96,231.4,33.38,362.87,0,53.24,96,0
102,2.29,427.53,0,0.109,151.18,18.01,232.13,33.39,362.07,0,53.35,97,0
103,2.34,438.55,0,0.109,124.51,18.23,230.33,33.51,360.73,0,53.31,98,0
104,2.4,456.11,0,0.109,126.15,18.12,227,33.73,359,0,53.69,99,0
105,2.45,431.23,0,0.109,121.44,18.15,230.2,33.59,359,0,53.59,100,0
106,2.51,427.81,0,0.109,129.15,18.12,225.73,33.9,359.4,0,53.67,101,0
107,2.57,438.57,0,0.108,125.45,18.12,226.87,33.88,357,0,53.78,102,0
108,2.62,454.19,0,0.105,108.25,18.16,226.87,33.95,359.4,0,53.76,103,0
109,2.68,449.75,0,0.107,114.32,18.16,242.4,34.07,357.2,0,54.02,104,0
110,2.74,463.07,0,0.105,120.46,18.13,240.13,34.24,355.87,0,54.1,105,0
111,2.8,452.37,0,0.107,129.17,18.12,238.73,34.36,355.13,0,54.07,106,0
112,2.86,444.15,0,0.105,133.06,18.07,240.27,34.24,357.53,0,53.9,107,0
113,2.92,446.01,0,0.105,123.81,18.16,242.4,34.09,356.13,0,53.82,108,0
114,2.98,461.7,0,0.103,117.2,18.04,237.07,34.48,354,0,54.16,109,0
115,3.03,462.52,0,0.106,118.1,18.1,236.6,34.54,350.13,0,54.35,110,0
116,3.09,467.78,0,0.106,103.49,18.2,237.73,34.48,352.87,0,54.19,111,0
117,3.15,435.04,0,0.103,117.47,17.91,237.67,34.44,336.8,0,54.03,112,0
118,3.21,344.81,0,0.103,123.3,18.17,249.33,34.18,238.67,0,52.97,113,0
119,3.25,315.01,0,0.105,116.1,18.12,266.27,33.78,177.33,0,52.06,114,0
120,3.29,296.04,0,0.109,104.56,18.12,265.73,33.78,177.6,0,52.16,115,0
121,3.33,293.31,0,0.108,114.12,18.13,263.47,33.95,176.73,0,52.32,116,0
122,3.36,310.04,0,0.107,110.28,18.07,264.8,33.83,176.33,0,52.23,117,0
123,3.4,182.78,0,0.107,112.55,18.05,271.47,33.24,91.27,0,51.17,118,0
124,3.42,237.99,0,0.108,122.18,18.99,261.93,33.79,143.4,0,51.84,119,0
125,3.45,215.96,0,0.105,155.08,20.65,263.87,33.46,131.53,0,51.71,120,0
126,3.47,159.28,0,0.108,149.01,20.69,268.27,33.46,86,0,51.31,121,0
127,3.49,121.53,0,0.105,132.72,20.59,271.47,33.2,87.53,18.36,51.31,122,0
128,3.49,102.43,0,0.106,123.99,20.67,269.13,33.35,87.87,25.63,51.41,123,0
129,3.5,79.27,0,0.107,146.48,20.45,272.87,33.05,90.33,26.17,51.18,124,0
130,3.51,28.69,1.11,0.104,159.65,20.48,220,33.28,132.93,24.54,51.5,125,0
131,3.5,3.71,34.25,0.104,185.12,20.48,199.6,33.03,153.27,26.9,51.56,126,0
132,3.49,0,97.18,0.105,215.27,20.54,202.73,32.82,155,25.26,51.09,127,0
133,3.47,0,170.67,0.101,223.2,20.46,211.4,32.31,155.8,25.78,50.86,128,0
134,3.44,0,240.79,0.101,225.32,19.57,214.93,32.07,107.87,24.82,50.13,129,0
135,3.4,0,274.15,0.102,234.84,20.46,222.07,31.64,99.73,26.56,49.84,130,0
136,3.36,0,310.95,0.1,258.71,20.67,223.67,31.55,103.2,25.87,49.61,131,0
137,3.3,0,335.21,0.101,277.96,20.61,230.2,31.1,104.33,25.79,49.29,132,0
138,3.25,0,448.49,0.102,285.47,20.65,242.53,30.21,10.93,25.72,48.02,133,0
139,3.18,0,465.61,0.101,281.63,20.68,244.73,30.05,3.6,25.22,47.73,134,0
140,3.1,0,467.01,0.101,272.34,20.64,245.33,29.99,3.4,25.08,47.47,135,0
141,3.03,0,470.01,0.101,275.56,20.69,247.87,29.79,3.4,23.38,47.41,136,0
142,2.95,0,468.46,0.102,265.94,20.67,246.73,29.86,3.8,21.12,47.39,137,0
143,2.88,0,448.31,0.1,259.49,20.67,246.73,29.87,3.47,23.37,47.63,138,0
144,2.82,0,416.62,0.1,249.22,20.71,245.53,29.93,3.47,25.59,47.79,139,0
145,2.75,0,363.29,0.1,261.53,20.65,243.27,30.16,3.33,25.57,48.18,140,0
146,2.68,0,365.01,0.102,241.84,20.69,239.73,30.37,3.53,25.49,47.97,141,0
147,2.62,0,377.07,0.101,252.22,20.75,239.4,30.4,3.8,25.76,48.12,142,0
148,2.56,0,355.37,0.101,251.37,20.62,240,30.5,3.6,25.71,48.27,143,0
149,2.5,0,333.73,0.101,237.16,20.73,260.53,30.54,3.53,25.69,48.29,144,0
150,2.45,0,331.26,0.1,227.28,20.71,257.73,30.76,3.2,24.95,48.57,145,0
151,2.39,0,348.28,0.103,226.57,20.76,263.13,30.33,3.47,25.46,48.18,146,0
152,2.34,0,311.63,0.101,224.65,20.68,259.67,30.61,3.6,25.01,48.43,147,0
153,2.29,0,292.15,0.101,210.21,20.63,258.47,30.7,3.6,25.61,48.67,148,0
154,2.24,0,275.46,0.101,226.43,20.63,256.6,30.82,3.47,25.51,48.6,149,0
155,2.2,0,266.69,0.101,220,20.66,257.13,30.77,3.47,25.49,48.61,150,0
156,2.15,0,236.59,0.103,217.63,20.72,255.13,30.93,3.2,26.17,48.56,151,0
157,2.11,0,172.93,0.101,220.49,20.71,251.87,31.24,105.33,25.01,49.17,152,0
158,2.08,0,152.19,0.102,218.73,20.67,258.8,31.33,110.87,25.03,49.33,153,0
159,2.05,0,136.91,0.101,208.88,20.64,268.8,31.24,109,25.73,49.4,154,0
160,2.03,0,98.57,0.101,206.39,20.76,266.27,31.41,107.87,25.77,49.52,155,0
161,2.01,0,84.73,0.101,215.67,20.72,267.53,31.29,107.2,25.47,49.37,156,0
162,1.99,0,58.55,0.101,191.12,20.56,266.33,31.38,105.07,25.02,49.51,157,0
163,1.97,0,50.74,0.101,192.39,20.72,264.2,31.48,107.13,25.57,49.61,158,0
164,1.96,0,40.79,0.102,190.52,20.89,263.8,31.53,105.47,25.48,49.61,159,0
165,1.95,0,52.85,0.1,173.53,20.78,264.13,31.5,105.2,24.86,49.52,160,0
166,1.94,0,42.67,0.103,169.57,20.69,263.53,31.52,104.33,25.78,49.62,161,0
167,1.92,0,42.64,0.101,185.35,20.81,265.4,31.39,105.33,25.87,49.54,162,0
168,1.91,2.31,43.35,0.1,179.25,20.67,264.2,31.48,138.07,25.88,50.03,163,0
169,1.9,14.86,8.11,0.1,180.09,20.67,266.47,31.29,205.27,26.61,50.01,164,0
170,1.89,65.64,0,0.102,169.54,20.73,260.13,31.64,271.73,25.1,50.93,165,0
171,1.89,81.73,0,0.102,185.33,20.54,243.13,31.33,316.6,25.25,50.86,166,0
172,1.9,73.97,0,0.1,183.56,20.59,241.87,31.39,316.13,26.01,50.81,167,0
173,1.9,94.91,0,0.101,207.77,20.67,239.2,31.6,315.47,25.22,50.91,168,0
174,1.91,108.9,0,0.101,202.51,21.62,235.73,31.81,315.93,25.46,50.99,169,0
175,1.91,95.92,0,0.103,171.82,21.59,238.13,31.69,317.33,25.4,50.87,170,0
176,1.92,95.97,0,0.1,191.64,21.52,240.87,31.54,314,25.29,50.95,171,0
177,1.93,85.07,0,0.101,183.68,21.67,238.2,31.69,317.27,25.29,50.93,172,0
178,1.93,67.56,0,0.104,187.56,21.49,238.47,31.53,318.6,23.89,50.8,173,0
179,1.93,59.07,0,0.103,178.72,21.73,236.8,31.5,316.93,25.54,50.89,174,0
180,1.94,27.19,2.03,0.106,183.8,21.76,239.93,31.56,318.47,24.56,50.82,175,0
181,1.94,63.61,0.58,0.105,184.4,21.47,240.4,31.53,341.8,26.11,51.16,176,0
182,1.94,107.21,0,0.104,186.06,21.77,238.4,31.71,363.67,24.87,51.53,177,0
183,1.95,112.09,0,0.107,174.3,21.76,239.87,31.6,363.4,25.26,51.49,178,0
184,1.96,132.13,0,0.107,179.1,21.88,238.87,31.69,362.07,25.71,51.55,179,0
185,1.97,218.11,0,0.105,191.49,21.54,276.13,32.26,357.53,4.97,51.89,180,0
