n_px,n_p,truth
2.45,2.68,0
2.65,2.68,0
2.72,2.68,0
2.73,2.68,0
2.69,2.68,0
2.69,2.68,0
2.66,2.68,0
2.43,2.68,0
2.18,2.68,0
2.21,2.68,0
2.29,2.68,0
2.31,2.68,0
2.43,2.68,0
2.45,2.68,0
2.45,2.68,0
2.45,2.68,0
2.49,2.68,0
2.65,2.68,0
2.73,2.68,0
3.09,2.68,0
3.3,2.68,0
3.54,2.68,0
3.55,2.68,0
3.16,2.68,0
2.87,2.68,0
2.29,2.68,0
2.23,2.68,0
1.98,2.68,0
1.97,2.68,0
1.97,2.68,0
1.97,2.68,0
2.43,2.68,0
3.02,2.68,0
3.34,2.68,0
3.05,2.68,0
2.99,2.68,0
2.93,2.68,0
2.32,2.68,0
1.98,2.68,0
1.85,2.68,0
1.8,2.68,0
1.79,2.68,0
1.82,2.68,0
1.84,2.68,0
1.88,2.68,0
2.09,2.68,0
2.55,2.68,0
2.77,2.68,0
3.27,2.68,0
3.56,2.679,0
3.12,2.68,0
1.94,2.68,0
1.86,2.679,0
1.83,2.679,0
1.97,2.68,0
2,2.68,0
2.28,2.679,0
2.81,2.68,0
2.87,2.68,0
3.26,2.679,0
3.7,2.68,0
3.75,2.679,0
3.85,2.68,0
3.85,2.68,0
3.73,2.68,0
3.6,2.678,0
3.53,2.679,0
3.07,2.679,0
2.85,2.679,0
2.77,2.68,0
2.4,2.676,0
2.38,2.68,0
2.41,2.679,0
2.46,2.679,0
2.59,2.679,0
2.63,2.68,0
2.76,2.678,0
2.94,2.677,0
2.98,2.677,0
3.03,2.679,0
3.17,2.679,0
3.36,2.678,0
3.4,2.679,0
3.73,2.679,0
3.7,2.68,0
3.67,2.679,0
0,2.68,0
2.83,2.608,0
2.15,1.671,0
2.12,1.606,0
2.09,1.43,0
2.17,1.43,0
2.18,1.416,0
2.19,1.191,0
2.22,0.745,0
2.27,0.706,0
2.48,0.864,0
2.87,1.353,0
3.58,2.639,0
3.52,2.451,0
3.47,2.403,0
3.29,2.253,0
2.62,1.599,0
2.61,1.558,0
2.6,1.518,0
2.59,1.478,0
2.59,1.438,0
2.51,1.221,0
2.48,1.183,0
2.44,1.052,0
2.25,0.755,0
2.11,0.581,0
2.06,0.522,0
2.01,0.46,0
2.03,0.46,0
2.26,0.482,0
2.33,0.615,0
2.49,0.853,0
2.53,0.905,0
3.07,1.9,0
3.21,2.141,0
3.28,2.277,0
3.34,2.271,0
3.32,2.229,0
3.27,2.183,0
3.21,2.14,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
