n_px,n_p,truth
2.75,0.951,0
3.14,1.687,0
3.28,1.953,0
3.46,2.304,0
3.6,2.563,0
3.89,2.817,0
3.82,2.511,0
3.77,2.469,0
3.62,2.348,0
3.43,2.179,0
3.38,2.138,0
2.97,1.715,0
2.9,1.589,0
2.8,1.389,0
2.77,1.309,0
2.71,1.093,0
2.73,1.055,0
2.74,1.035,0
2.82,0.957,0
2.92,0.93,0
3.33,1.631,0
3.38,1.715,0
3.55,2.046,0
3.64,2.21,0
4.04,3.024,0
4.06,3.073,0
3.95,2.966,0
3.71,2.777,0
3.4,2.536,0
3.05,2.255,0
2.96,2.033,0
2.98,1.891,0
2.96,1.588,0
2.88,1.503,0
2.71,1.298,0
2.46,1.066,0
2.4,1.017,0
2.76,1.302,0
2.85,1.458,0
2.9,1.535,0
3.13,1.921,0
3.28,2.157,0
3.47,2.468,0
3.52,2.547,0
3.65,2.781,0
3.79,3.063,0
3.81,3.05,0
3.1,2.283,0
3.1,2.216,0
3.17,1.902,0
3.2,1.777,0
3.15,1.392,0
3.09,1.287,0
2.73,0.85,0
2.61,0.774,0
2.51,0.603,0
2.73,0.928,0
3.07,1.767,0
3.59,3.019,0
2.92,1.888,0
2.97,1.799,0
2.98,1.769,0
3.01,1.709,0
3.23,1.407,0
3.26,1.389,0
3.07,1.003,0
2.7,0.586,0
2.36,0.31,0
2.44,0.325,0
2.65,0.709,0
2.73,0.893,0
2.95,1.45,0
3.33,2.189,0
3.42,2.371,0
3.49,2.553,0
3.45,2.507,0
3.32,2.388,0
3.18,2.291,0
2.79,1.536,0
2.84,1.304,0
2.67,1.087,0
1.88,0.57,0
2.21,1.042,0
2.36,1.403,0
2.52,1.749,0
2.58,1.831,0
2.8,2.273,0
2.94,2.701,0
3,2.876,0
3.07,2.94,0
3.09,2.94,0
2.62,2.443,0
2.58,2.407,0
2.55,2.311,0
2.57,2.226,0
2.59,2.171,0
2.68,1.851,0
2.72,1.735,0
2.74,1.698,0
2.76,1.661,0
2.63,1.513,0
2.46,1.373,0
2.38,1.296,0
2.15,1.101,0
1.84,0.769,0
1.89,0.729,0
1.98,0.72,0
2.02,0.72,0
2.72,1.877,0
3.11,2.447,0
3.41,2.595,0
3.07,2.275,0
2.78,1.9,0
2.76,1.79,0
2.76,1.737,0
2.76,1.689,0
2.81,1.541,0
2.9,1.45,0
2.81,1.266,0
2.31,0.819,0
3.44,2.702,0
3.46,2.589,0
3.45,2.557,0
3.31,2.397,0
3.07,2.195,0
2.97,2.113,0
2.84,1.99,0
2.76,1.908,0
2.65,1.787,0
2.73,1.461,0
2.83,1.351,0
2.84,1.284,0
2.86,1.243,0
3.34,1.809,0
3.43,1.975,0
3.69,2.466,0
3.87,2.797,0
4.06,3.111,0
2.86,1.672,0
2.91,1.54,0
2.96,1.523,0
3.03,1.402,0
2.96,1.299,0
2.84,1.235,0
2.44,0.999,0
2.5,0.94,0
2.85,1.522,0
2.98,1.763,0
3.11,2.001,0
3.4,2.396,0
3.84,3.06,0
3.86,3.06,0
3.89,3.06,0
3.84,2.993,0
3.47,2.737,0
3.33,2.676,0
2.82,2.293,0
2.45,1.803,0
2.45,1.792,0
2.45,1.689,0
2.58,1.508,0
2.66,1.403,0
2.68,1.358,0
2.52,1.201,0
2.2,0.98,0
2.34,0.96,0
2.76,1.887,0
3.2,2.723,0
3.25,2.794,0
3.38,2.874,0
2.64,2.237,0
2.58,2.091,0
2.58,1.976,0
2.56,1.879,0
2.56,1.784,0
2.56,1.729,0
2.56,1.671,0
2.68,1.557,0
2.73,1.525,0
2.75,1.51,0
2.79,1.487,0
2.72,1.318,0
2.66,1.27,0
2.6,1.223,0
2.47,1.139,0
2.4,1.094,0
2.24,0.969,0
2.26,0.969,0
2.42,1.081,0
2.6,1.441,0
2.65,1.531,0
2.85,1.871,0
3.06,2.154,0
3.1,2.223,0
3.15,2.295,0
3.51,2.876,0
3.25,2.647,0
3.05,2.487,0
2.89,2.399,0
2.61,2.243,0
2.59,2.229,0
2.54,2.203,0
2.52,2.173,0
2.52,2.143,0
2.45,1.95,0
2.45,1.91,0
2.45,1.83,0
2.45,1.637,0
2.6,1.321,0
2.6,1.284,0
2,0.871,0
2.18,1.224,0
2.3,1.471,0
2.55,1.953,0
3.05,2.794,0
3.08,2.925,0
3.02,2.864,0
2.96,2.792,0
2.88,2.717,0
2.07,2.191,0
2,1.797,0
2,1.531,0
1.99,1.493,0
2.06,1.268,0
2.15,1.182,0
2.15,1.165,0
2.11,0.993,0
2.05,0.962,0
1.81,0.824,0
1.63,0.7,0
1.73,0.807,0
1.91,1.271,0
1.98,1.432,0
2.33,2.168,0
2.6,2.711,0
2.72,2.933,0
2.93,3,0
2.99,2.985,0
3.01,2.911,0
2.99,2.84,0
2.81,2.579,0
2.75,2.511,0
2.71,2.447,0
2.67,2.19,0
2.66,2.122,0
2.67,2.098,0
2.67,2.069,0
2.71,1.99,0
2.73,1.98,0
2.76,1.955,0
2.79,1.925,0
2.81,1.912,0
2.84,1.893,0
2.89,1.765,0
2.85,1.7,0
2.42,1.126,0
2.38,1.102,0
2.05,1.166,0
2.83,2.65,0
2.97,2.65,0
3.01,2.65,0
3.07,2.65,0
3.05,2.65,0
2.94,2.605,0
2.91,2.594,0
2.81,2.475,0
2.83,2.42,0
2.88,2.389,0
2.86,1.879,0
2.65,1.572,0
2.63,1.633,0
2.65,1.697,0
2.79,1.877,0
3.07,2.171,0
3.35,2.455,0
3.52,2.598,0
3.77,2.845,0
3.55,2.761,0
3.29,2.635,0
3.1,2.539,0
3.04,2.503,0
2.73,2.283,0
2.72,2.236,0
2.63,2.059,0
2.58,1.987,0
2.47,1.797,0
2.5,1.71,0
2.5,1.693,0
2.48,1.636,0
2.21,1.183,0
2.56,1.663,0
2.66,1.797,0
2.94,2.129,0
3.06,2.259,0
3.26,2.52,0
3.42,2.77,0
3.43,2.716,0
3.17,2.403,0
3.05,2.331,0
2.63,2.055,0
2.64,1.923,0
2.68,1.733,0
2.77,1.667,0
2.83,1.655,0
2.85,1.648,0
2.65,1.471,0
2.26,1.189,0
2.03,1.033,0
2.05,1.02,0
2.1,1.02,0
2.3,1.163,0
2.51,1.425,0
2.61,1.553,0
2.83,1.817,0
3.21,2.265,0
3.31,2.398,0
3.39,2.583,0
2.81,2.13,0
2.52,1.849,0
2.54,1.738,0
2.55,1.603,0
2.6,1.534,0
2.65,1.472,0
2.67,1.415,0
2.42,1.244,0
2.15,1.075,0
2.17,0.964,0
2.26,0.94,0
2.32,1.024,0
2.36,1.094,0
2.55,1.371,0
2.64,1.508,0
3.41,2.526,0
3.54,2.725,0
3.6,2.78,0
3.32,2.513,0
2.73,2.071,0
2.44,1.812,0
2.43,1.765,0
2.23,1.614,0
2.22,1.567,0
2.22,1.336,0
2.21,1.326,0
2.19,1.287,0
1.79,0.92,0
1.88,0.935,0
1.92,0.983,0
1.96,1.033,0
2,1.083,0
2.19,1.303,0
2.29,1.431,0
2.34,1.496,0
2.68,1.94,0
2.94,2.319,0
3.09,2.554,0
3.08,2.465,0
2.11,1.428,0
2.05,1.38,0
2.02,1.38,0
2.04,1.38,0
2.06,1.377,0
2.2,1.082,0
1.92,0.93,0
1.87,0.846,0
1.91,0.82,0
1.94,0.812,0
2.09,0.933,0
2.16,1.051,0
2.24,1.169,0
2.89,1.967,0
2.94,2.029,0
3.23,2.426,0
3.36,2.5,0
3.43,2.501,0
3.45,2.501,0
3.42,2.497,0
3.29,2.42,0
3.02,2.091,0
3,2.065,0
2.85,1.927,0
2.84,1.888,0
2.84,1.873,0
2.91,1.663,0
2.94,1.596,0
2.8,1.381,0
2.75,1.315,0
2.6,1.097,0
2.44,0.886,0
2.39,0.817,0
2.11,0.395,0
2.26,0.593,0
2.48,1.027,0
2.61,1.219,0
2.65,1.293,0
2.73,1.466,0
2.93,1.808,0
2.97,1.893,0
3,1.978,0
3.1,2.232,0
3.43,2.389,0
3.4,2.297,0
3.22,2.18,0
2.86,1.936,0
2.84,1.903,0
2.74,1.743,0
2.81,1.6,0
2.87,1.56,0
2.9,1.475,0
2.89,1.397,0
2.89,1.189,0
2.96,1.081,0
2.98,1.066,0
3.16,1.181,0
3.25,1.303,0
3.29,1.367,0
3.34,1.428,0
3.48,1.618,0
3.62,1.827,0
3.9,2.326,0
3.97,2.476,0
4.08,2.905,0
3.69,2.641,0
2.97,1.794,0
2.94,1.745,0
2.91,1.717,0
2.81,1.65,0
2.78,1.65,0
2.76,1.65,0
2.86,1.509,0
2.2,1.094,0
2.13,1.058,0
2.06,1.026,0
2.18,1.173,0
2.44,1.627,0
2.77,2.153,0
2.98,2.45,0
3.33,3.01,0
3.36,3.01,0
3.3,3.002,0
2.08,2.263,0
2.01,2.214,0
2.1,2.015,0
2.2,1.707,0
2.38,1.68,0
2.47,1.66,0
2.49,1.657,0
2.35,1.546,0
2,1.303,0
1.93,1.268,0
1.93,1.26,0
2.1,1.277,0
2.17,1.375,0
2.21,1.426,0
2.44,1.77,0
2.92,2.386,0
3.07,2.554,0
3.11,2.61,0
3.25,2.809,0
3.29,2.879,0
3.31,2.917,0
2.89,2.72,0
2.37,1.954,0
2.5,1.561,0
2.57,1.499,0
2.6,1.49,0
2.66,1.48,0
2.72,1.48,0
2.72,1.48,0
2.76,1.48,0
2.79,1.48,0
2.84,1.48,0
2.94,1.48,0
2.98,1.499,0
3.09,1.645,0
3.13,1.696,0
3.18,1.747,0
3.23,1.797,0
3.28,1.851,0
3.7,2.381,0
3.99,2.955,0
3.97,2.917,0
3.79,2.813,0
3.16,2.293,0
2.82,1.442,0
2.78,1.43,0
2.64,1.314,0
2.6,1.29,0
2.58,1.283,0
2.57,1.279,0
2.53,1.28,0
2.52,1.277,0
2.46,1.206,0
2.15,0.76,0
2.25,0.823,0
2.7,1.662,0
3.47,2.73,0
3.12,2.397,0
2.7,1.808,0
2.56,1.61,0
2.52,1.56,0
2.48,1.513,0
2.45,1.47,0
2.41,1.445,0
2.25,1.41,0
2.24,1.4,0
2.25,1.28,0
2.31,1.28,0
2.5,1.145,0
2.66,1.337,0
2.86,1.704,0
2.97,1.853,0
3.02,1.923,0
3.11,2.072,0
3.16,2.143,0
3.21,2.215,0
3.26,2.287,0
3.42,2.501,0
3.47,2.574,0
3.51,2.645,0
3.61,2.79,0
3.66,2.862,0
3.99,2.991,0
2.58,1.341,0
2.53,1.303,0
2.51,1.291,0
2.5,1.27,0
2.51,1.27,0
2.54,1.27,0
2.53,1.27,0
2.52,1.239,0
2.63,0.963,0
2.73,1.123,0
3.03,1.672,0
3.28,2.027,0
3.89,2.93,0
3.89,2.819,0
3.84,2.733,0
3.25,1.836,0
3.22,1.799,0
3.1,1.77,0
3.11,1.623,0
3.18,1.563,0
3.2,1.517,0
3.29,1.463,0
3.32,1.443,0
3.44,1.355,0
3.49,1.285,0
3.56,1.175,0
3.6,1.034,0
3.61,0.934,0
3.61,0.898,0
3.64,0.818,0
3.76,0.832,0
3.82,1.041,0
3.85,1.109,0
3.87,1.183,0
3.92,1.337,0
3.98,1.813,0
4.08,2.399,0
3.05,1.837,0
3.02,1.791,0
2.98,1.715,0
2.93,1.572,0
2.93,1.371,0
3,1.173,0
3.02,1.149,0
3,1.134,0
2.83,1.076,0
2.49,0.97,0
2.3,0.84,0
2.36,0.84,0
2.6,1.092,0
2.89,1.671,0
3.14,2.176,0
3.51,2.968,0
3.57,3.127,0
3.68,3.125,0
3.64,3.099,0
3.59,3.063,0
2.65,1.917,0
2.64,1.616,0
2.66,1.594,0
2.7,1.543,0
2.83,1.393,0
3.01,1.283,0
3.03,1.27,0
2.92,1.187,0
2.6,1.052,0
2.55,1.002,0
2.66,1.019,0
2.78,1.268,0
2.85,1.39,0
2.88,1.452,0
2.95,1.575,0
3.02,1.759,0
3.05,1.822,0
3.08,1.883,0
3.2,2.128,0
3.28,2.312,0
3.39,2.612,0
3.44,2.62,0
3.33,2.46,0
3.27,2.339,0
3.13,2.099,0
3.1,2.06,0
3.02,1.907,0
2.94,1.685,0
2.87,1.543,0
2.87,1.54,0
2.88,1.101,0
2.45,0.91,0
3.32,2.357,0
3.43,2.597,0
3.47,2.743,0
3.53,2.885,0
3.56,2.957,0
3.58,3.029,0
3.55,2.915,0
3.51,2.85,0
2.85,1.666,0
2.87,1.62,0
2.89,1.579,0
2.93,1.501,0
2.95,1.452,0
2.98,1.419,0
3.16,1.285,0
2.89,1.148,0
2.46,0.975,0
2.72,1.099,0
2.75,1.167,0
2.93,1.455,0
3.19,1.936,0
3.23,2.016,0
3.39,2.333,0
3.59,2.729,0
3.65,2.889,0
3.67,2.969,0
3.67,3.033,0
3.19,2.574,0
2.38,1.474,0
2.6,1.28,0
2.63,1.255,0
2.7,0.992,0
2.64,0.963,0
2.42,0.841,0
2.42,0.787,0
2.9,1.403,0
2.94,1.475,0
3.14,1.771,0
3.19,1.861,0
3.53,2.796,0
3.72,2.95,0
3.67,2.924,0
3.34,2.715,0
3.26,2.675,0
2.59,2.081,0
2.57,2.045,0
2.51,1.886,0
2.49,1.533,0
2.51,1.46,0
2.38,0.919,0
2.42,0.8,0
2.46,0.8,0
2.8,1.435,0
2.97,1.755,0
3.31,2.319,0
3.5,2.809,0
2.97,2.376,0
2.88,2.304,0
2.72,2.157,0
2.36,1.828,0
2.29,1.749,0
2.3,1.705,0
2.31,1.657,0
2.3,1.613,0
2.33,1.584,0
2.34,0.949,0
2.72,1.132,0
2.76,1.209,0
2.85,1.365,0
3.08,1.757,0
3.35,2.305,0
3.38,2.383,0
3.43,2.539,0
3.71,2.993,0
3.67,2.923,0
3.28,2.314,0
2.63,1.59,0
2.53,1.409,0
2.61,1.305,0
2.64,1.275,0
2.72,1.229,0
2.87,1.181,0
2.91,1.169,0
2.98,1.139,0
3.01,1.116,0
2.98,1.054,0
2.92,1.007,0
2.68,0.86,0
2.69,0.86,0
2.73,0.86,0
2.92,0.884,0
3.28,1.633,0
3.32,1.722,0
3.72,2.402,0
3.77,2.471,0
3.89,2.872,0
3.91,2.91,0
3.71,2.675,0
3.65,2.594,0
3.53,2.434,0
3.3,2.103,0
3.24,2.02,0
3.18,1.942,0
3.12,1.878,0
3.1,1.822,0
3.04,1.562,0
2.99,1.43,0
2.97,1.364,0
2.94,1.219,0
2.96,1.2,0
3.1,1.115,0
2.47,0.72,0
2.5,0.72,0
3.04,1.586,0
3.12,1.755,0
3.21,1.921,0
3.46,2.417,0
3.65,2.831,0
3.72,2.939,0
3.1,2.385,0
2.87,2.142,0
2.88,1.886,0
3.01,1.548,0
3,1.465,0
3,1.437,0
3.01,1.408,0
3.15,1.3,0
3.16,1.163,0
2.94,0.993,0
2.82,0.893,0
2.69,0.801,0
2.96,1.125,0
2.98,1.207,0
3.13,1.453,0
3.39,1.862,0
3.58,2.187,0
3.63,2.268,0
3.76,2.518,0
3.92,2.911,0
3.67,2.799,0
3.61,2.761,0
3.44,2.64,0
3.12,2.389,0
3.07,2.337,0
3.02,2.294,0
2.97,2.25,0
2.8,2.021,0
2.77,1.631,0
2.92,1.455,0
3.12,1.31,0
3.09,1.152,0
2.46,0.799,0
2.59,0.836,0
3.09,1.815,0
3.13,1.896,0
3.65,2.922,0
3.6,2.788,0
3.28,2.401,0
3.09,2.149,0
2.76,1.522,0
2.8,1.392,0
2.82,1.349,0
2.85,1.261,0
2.95,1.11,0
2.99,0.939,0
2.52,0.927,0
2.55,1.011,0
2.62,1.181,0
2.74,1.433,0
2.9,1.687,0
2.96,1.77,0
3.12,2.022,0
3.4,2.606,0
3.44,2.674,0
3.52,2.639,0
3.5,2.605,0
2.72,1.897,0
2.57,1.745,0
2.55,1.683,0
2.53,1.633,0
2.49,1.524,0
2.66,1.06,0
2.71,1.06,0
2.73,1.06,0
2.75,1.06,0
2.77,1.06,0
2.69,0.96,0
2.53,0.802,0
2.57,0.614,0
2.74,0.59,0
2.79,0.607,0
2.82,0.687,0
3.21,1.46,0
3.26,1.558,0
3.34,1.755,0
3.41,2.011,0
3.44,2.095,0
3.52,2.339,0
3.58,2.501,0
3.69,2.583,0
3.41,2.139,0
3.34,2.041,0
3.26,1.941,0
2.92,1.332,0
3.02,1.11,0
3.03,1.09,0
3.08,1.09,0
3.02,1.013,0
2.7,0.864,0
2.75,0.83,0
2.87,0.83,0
3.1,1.297,0
3.42,1.997,0
3.55,2.243,0
3.69,2.447,0
3.85,2.717,0
3.26,2.258,0
3.19,2.213,0
2.92,1.862,0
2.91,1.833,0
2.86,1.573,0
2.86,1.457,0
2.78,1.353,0
2.64,1.213,0
2.6,1.168,0
2.22,0.751,0
2.25,0.75,0
2.81,1.417,0
3.36,2.297,0
3.25,2.529,0
2.93,2.326,0
2.78,2.181,0
2.77,2.035,0
2.78,1.962,0
2.82,1.896,0
2.85,1.809,0
2.85,1.781,0
2.85,1.756,0
3.07,1.452,0
2.59,1.054,0
2.52,1.011,0
2.46,0.971,0
2.22,0.764,0
2.17,0.72,0
2.39,0.852,0
2.64,1.232,0
2.7,1.312,0
2.92,1.711,0
3.06,1.953,0
3.1,2.033,0
3.41,2.585,0
3.45,2.664,0
3.29,2.598,0
2.95,2.362,0
2.93,2.252,0
3.21,2.005,0
3.22,1.971,0
3.23,1.97,0
3.27,1.973,0
3.31,1.975,0
3.02,1.546,0
2.97,1.493,0
2.88,1.375,0
2.78,1.263,0
2.63,1.088,0
2.56,0.981,0
2.58,0.961,0
2.68,0.961,0
2.91,1.233,0
3.31,1.803,0
3.41,1.947,0
3.97,2.72,0
3.97,2.791,0
3.92,2.797,0
3.62,2.587,0
3.38,2.33,0
3.19,2.176,0
2.59,1.604,0
2.52,1.43,0
2.55,1.419,0
2.58,1.392,0
2.76,1.278,0
2.78,1.27,0
2.88,1.242,0
2.67,0.877,0
2.75,0.754,0
3.11,1.422,0
2.92,2.04,0
2.49,1.483,0
2.42,1.422,0
2.43,1.387,0
2.54,1.331,0
2.59,1.31,0
2.6,1.286,0
2.64,1.218,0
2.66,1.198,0
2.75,1.17,0
2.75,1.123,0
2.44,0.77,0
2.67,0.872,0
2.86,1.162,0
3.01,1.377,0
3.06,1.449,0
3.67,2.403,0
3.59,2.39,0
3.35,2.161,0
3.27,2.085,0
3.1,1.936,0
2.56,1.264,0
2.56,1.24,0
2.56,1.217,0
2.58,1.14,0
2.59,1.1,0
2.84,0.903,0
2.79,0.884,0
2.56,0.777,0
2.27,0.65,0
2.38,0.627,0
2.46,0.625,0
2.58,0.835,0
3,1.63,0
3.28,2.143,0
3.38,2.313,0
3.43,2.396,0
3.66,2.801,0
3.79,2.809,0
3.84,2.809,0
3.97,2.75,0
3.85,2.583,0
3.77,2.502,0
3.1,1.853,0
2.58,1.271,0
2.32,0.865,0
2.39,0.806,0
2.52,0.75,0
2.59,0.733,0
2.6,0.73,0
2.92,0.802,0
3.12,1.191,0
3.26,1.435,0
3.3,1.516,0
3.46,1.842,0
3.5,1.921,0
3.54,2.005,0
3.96,2.825,0
4,2.884,0
3.84,2.853,0
3.66,2.779,0
3.33,2.603,0
2.88,2.368,0
2.86,2.137,0
2.85,2.099,0
2.84,1.891,0
2.83,1.851,0
2.82,1.81,0
2.8,1.577,0
2.83,1.481,0
2.85,1.48,0
2.23,0.767,0
2.16,0.705,0
2.29,0.68,0
2.42,0.847,0
2.68,1.307,0
2.83,1.542,0
3.32,2.411,0
3.56,2.942,0
2.86,2.469,0
2.64,2.322,0
2.49,2.165,0
2.44,1.789,0
2.43,1.558,0
2.42,1.491,0
2.46,1.331,0
2.65,1.066,0
2.41,0.806,0
2.3,0.688,0
2.29,0.6,0
2.45,0.617,0
2.62,0.933,0
2.83,1.301,0
3.08,1.886,0
3.34,2.467,0
3.37,2.55,0
3.39,2.631,0
3.43,2.783,0
3.44,2.79,0
3.38,2.726,0
2.8,2.067,0
2.87,1.904,0
2.9,1.865,0
3.05,1.543,0
3.1,1.426,0
2.85,0.93,0
2.93,0.945,0
3.85,2.385,0
4.06,2.99,0
3.67,2.309,0
3.42,1.887,0
3.32,1.81,0
3.02,1.68,0
3.05,1.68,0
3.08,1.68,0
3.26,1.497,0
3.03,1.173,0
2.91,0.998,0
2.78,0.801,0
2.84,0.873,0
2.88,0.947,0
3.03,1.171,0
3.09,1.242,0
3.14,1.313,0
3.19,1.386,0
3.35,1.752,0
3.77,2.494,0
3.51,2.363,0
3.46,2.284,0
3.12,1.85,0
3.05,1.709,0
3.01,1.641,0
2.81,1.313,0
2.84,1.3,0
2.96,1.307,0
2.98,1.303,0
3.03,1.302,0
3.12,1.303,0
3.17,1.296,0
3.14,1.183,0
3.08,1.057,0
3.02,0.929,0
2.92,0.727,0
2.89,0.682,0
2.76,0.497,0
2.73,0.459,0
2.71,0.421,0
2.67,0.374,0
2.65,0.36,0
2.68,0.375,0
2.76,0.529,0
3.17,1.332,0
3.3,1.574,0
3.35,1.654,0
3.39,1.736,0
3.53,1.995,0
3.58,2.201,0
3.51,2.123,0
3.17,1.758,0
3.1,1.682,0
2.92,1.511,0
2.89,1.495,0
2.89,1.49,0
2.79,1.435,0
2.8,1.397,0
3.22,1.058,0
3.24,1.019,0
3.18,0.869,0
3.14,0.797,0
3.11,0.727,0
2.82,0.39,0
2.74,0.35,0
2.72,0.344,0
2.98,0.789,0
3.08,0.961,0
3.14,1.047,0
3.35,1.395,0
3.52,1.665,0
3.57,1.761,0
3.67,1.948,0
4.02,2.69,0
4.05,2.689,0
4.04,2.684,0
4,2.661,0
3.97,2.626,0
3.89,2.519,0
3.34,1.873,0
2.93,1.534,0
2.85,1.472,0
2.91,1.339,0
2.94,1.315,0
3.01,1.288,0
3.05,1.279,0
3.15,1.244,0
3.19,1.221,0
3.14,1.139,0
3.42,1.783,0
3.5,2.007,0
3.58,2.17,0
3.67,2.341,0
3.86,2.679,0
3.94,2.849,0
4.03,3.009,0
3.26,1.456,0
3.21,1.391,0
3.09,1.242,0
3.23,1.16,0
3.24,1.16,0
3.27,1.16,0
3.29,1.16,0
3.07,0.739,0
3.15,0.683,0
3.27,0.67,0
3.35,0.751,0
3.38,0.821,0
3.51,1.037,0
3.6,1.183,0
3.99,1.829,0
4.03,1.914,0
4.14,2.187,0
4.14,2.751,0
3.7,2.234,0
3.3,1.739,0
2.95,1.405,0
2.9,1.365,0
2.76,1.161,0
3.06,1.16,0
3.18,1.16,0
3.23,1.16,0
3.26,1.112,0
3.05,0.951,0
3.04,0.908,0
3.05,0.894,0
3.08,0.859,0
3.09,0.848,0
3.12,0.84,0
3.15,0.84,0
3.32,0.84,0
3.45,1.077,0
3.9,2.133,0
3.96,2.296,0
4.07,2.621,0
4.1,2.702,0
4.15,2.863,0
3.76,2.564,0
3.47,2.172,0
3.26,1.907,0
2.9,1.554,0
2.81,1.439,0
2.81,1.256,0
3.06,1.21,0
3.16,1.212,0
3.37,1.197,0
3.22,1.067,0
3,0.86,0
3.22,0.958,0
3.49,1.645,0
3.75,2.222,0
4,2.732,0
4.06,2.903,0
4.1,2.989,0
3.67,2.749,0
3.08,2.268,0
3.04,2.181,0
2.93,1.957,0
2.78,1.71,0
2.84,1.56,0
3.31,1.403,0
3.05,0.973,0
2.93,0.743,0
2.88,0.69,0
2.97,0.792,0
3.13,1.141,0
3.68,2.147,0
3.72,2.228,0
3.91,2.738,0
2.85,1.15,0
3.01,1.025,0
3.1,1,0
2.85,0.508,0
2.81,0.487,0
2.75,0.456,0
2.71,0.469,0
2.79,0.701,0
2.83,0.781,0
2.91,0.945,0
2.97,1.026,0
3.4,1.68,0
3.46,1.773,0
3.51,1.873,0
3.56,1.967,0
3.68,2.231,0
3.82,2.658,0
3.9,2.73,0
3.96,2.727,0
3.76,2.442,0
3.69,2.359,0
2.86,1.43,0
2.98,1.308,0
3.08,1.27,0
3.13,1.27,0
3.23,1.27,0
3.3,1.27,0
3.38,1.271,0
3.26,0.989,0
3.03,0.632,0
2.82,0.419,0
2.85,0.407,0
3.02,0.708,0
3.12,0.863,0
3.17,0.944,0
3.28,1.124,0
3.45,1.423,0
3.78,2.021,0
3.87,2.216,0
3.59,2.3,0
3.52,2.223,0
3.25,1.899,0
2.94,1.534,0
2.86,1.425,0
2.74,1.193,0
2.74,1.175,0
2.74,1.157,0
2.73,1.084,0
2.72,1.057,0
2.64,0.999,0
2.57,0.99,0
2.57,0.99,0
2.63,0.99,0
2.71,0.99,0
2.88,0.99,0
3.5,2.033,0
3.58,2.328,0
3.61,2.475,0
3.67,2.623,0
2.98,2.053,0
2.93,1.998,0
2.87,1.942,0
2.96,1.473,0
3,1.436,0
3.15,1.324,0
3.2,1.287,0
3.35,1.23,0
3.52,1.22,0
3.49,1.153,0
3.31,0.957,0
2.96,0.909,0
2.88,0.89,0
3.85,2.35,0
3.99,2.755,0
4.06,2.973,0
4.08,3.043,0
3.84,2.831,0
3.46,2.367,0
3.2,2.085,0
2.93,1.769,0
2.84,1.663,0
2.8,1.609,0
2.72,1.499,0
2.67,1.447,0
2.7,1.43,0
2.92,1.41,0
3,1.41,0
3.07,1.41,0
3.17,1.41,0
3.21,1.41,0
3.27,1.41,0
3.33,1.41,0
3.21,1.242,0
2.89,0.971,0
2.96,0.961,0
3.24,1.191,0
3.32,1.345,0
3.38,1.496,0
3.41,1.57,0
3.54,1.865,0
3.58,1.978,0
3.61,2.038,0
3.65,2.109,0
3.71,2.273,0
3.74,2.436,0
3.49,2.514,0
3.33,2.234,0
3.24,2.028,0
3.14,1.845,0
3.06,1.69,0
2.8,1.407,0
2.66,1.25,0
2.47,1.069,0
2.49,1.05,0
2.77,1.04,0
3.04,1.04,0
3.09,0.96,0
2.89,0.819,0
2.69,0.73,0
2.66,0.72,0
2.82,0.748,0
2.87,0.842,0
3.14,1.425,0
3.25,1.602,0
3.5,1.939,0
3.56,2.025,0
3.63,2.111,0
3.69,2.195,0
3.76,2.289,0
3.81,2.681,0
3.75,2.595,0
3.42,2.066,0
3.2,1.625,0
3.02,1.362,0
2.97,1.311,0
2.69,1.04,0
2.76,1.03,0
2.88,1.029,0
3.14,0.944,0
2.68,0.76,0
2.76,0.784,0
2.97,1.313,0
3.05,1.469,0
3.16,1.671,0
3.24,1.86,0
3.27,1.921,0
3.31,1.984,0
3.6,2.722,0
2.97,1.748,0
2.74,1.459,0
2.63,1.285,0
2.58,1.215,0
2.56,1.177,0
2.51,1.085,0
2.52,1.08,0
2.52,1.07,0
2.64,1.07,0
2.69,1.07,0
2.98,1.029,0
2.81,0.805,0
2.64,0.636,0
2.55,0.519,0
2.61,0.51,0
2.76,0.699,0
2.81,0.784,0
3.18,1.461,0
3.24,1.546,0
3.44,1.817,0
3.71,2.191,0
3.77,2.285,0
4.02,2.836,0
4.09,2.826,0
4,2.733,0
3.58,2.101,0
3.29,1.866,0
3.02,1.644,0
2.76,1.433,0
2.52,1.239,0
2.3,1.061,0
2.42,1.06,0
2.46,1.06,0
2.58,1.06,0
2.62,1.06,0
2.72,0.875,0
2.71,0.851,0
2.72,0.77,0
2.75,0.77,0
2.78,0.77,0
2.95,1.045,0
3.05,1.202,0
3.44,1.899,0
3.53,2.055,0
3.64,2.223,0
3.77,2.539,0
3.91,2.841,0
2.8,2.005,0
2.58,1.804,0
2.43,1.655,0
2.35,1.582,0
2.35,1.36,0
2.4,1.335,0
2.41,1.325,0
2.39,1.239,0
2.29,1.111,0
2.09,0.911,0
2.05,0.875,0
2.52,1.347,0
2.7,1.664,0
2.98,2.186,0
3.09,2.459,0
3.29,3.03,0
2.86,2.388,0
2.81,1.955,0
2.84,1.932,0
2.85,1.92,0
2.87,1.915,0
2.88,1.91,0
2.89,1.909,0
3.03,1.803,0
3.19,1.748,0
3.25,1.73,0
3.34,1.692,0
3.4,1.67,0
3.42,1.661,0
2.89,1.114,0
2.72,0.923,0
2.82,1.06,0
2.87,1.132,0
3.13,1.48,0
