i_uiip,i_f,i_uiipu,truth
178.3,271.73,267.07,0
174.3,276.27,270.93,0
174.64,294.53,315.13,0
191.86,240.87,387.33,0
196.36,211.27,295.13,0
266.42,248.4,67.33,0
432.17,178.13,3.33,0
424.21,219.73,3.4,0
410.05,269.2,3.4,0
400.67,246.73,91.53,0
133.13,281.33,346.6,0
138.17,293.13,343.53,0
141.56,259.53,367.87,0
172.62,263.27,341.73,0
93.17,270.4,397.93,0
89.05,271.53,399.87,0
144.27,244.87,396.47,0
133.22,246.87,396.87,0
138.76,248.87,396.13,0
377.56,265.87,382,0
386.95,266.27,307.53,0
384.67,267.2,269.67,0
394.62,270.87,242.87,0
410.93,265.2,238.6,0
391.15,303,265.27,0
401.45,251.73,268.47,0
212.67,247.4,382.73,0
181.43,254.87,386.67,0
81.42,265.73,383.4,0
89.42,263.47,384.13,0
90.53,264,382.47,0
88.62,261,383.6,0
73.81,243.67,383.53,0
72.29,242.53,383.07,0
71.74,236.73,380.67,0
85.4,240.93,382.13,0
77.58,254.87,381.07,0
81.89,260.2,379.67,0
177.12,256.2,373.67,0
355.96,262.47,284.2,0
391.46,264.53,275.07,0
148.68,251.4,211.73,0
138.86,229.47,127.13,0
119.79,233.2,103.6,0
135.2,241.47,97.47,0
140.56,238.27,98.33,0
118,242.53,107.2,0
131.81,252.33,121.53,0
134.57,247.87,118.67,0
120.2,248.73,124.87,0
105.91,246.8,160.4,0
138.37,234.13,358,0
142.12,236.53,359.2,0
181.06,235.33,356.73,0
0,233.13,352.47,0
0,270.87,313.47,0
0,269.53,312.47,0
0,267.07,315.13,0
0,243.2,213.4,0
0,243.27,201.73,0
119.23,238.53,191.93,0
121.86,237.73,192.2,0
127.24,236.87,194.27,0
118.35,238,194.67,0
85.99,235,194,0
153.47,253.67,144.33,0
161.93,261.07,145.6,0
100.66,249.2,124.73,0
93.72,248.67,127.07,0
90.1,246.4,153.4,0
83.11,246,342.53,0
185.2,245.33,341.87,0
185.63,250,341.07,0
397.24,237.2,324.13,0
396.69,240,281.13,0
305.49,222.53,188.47,0
207.52,222.27,188.07,0
148.76,262,147.93,0
147.77,243.13,175,0
147.89,244.47,175,0
113.89,249,175,0
103.1,246,175,0
102.15,247.27,175,0
100.81,257.87,175,0
98.82,248.93,149.53,0
99.23,252.8,98.13,0
83.6,238.87,107.67,0
118.91,226.87,290.2,0
110.02,226,319.73,0
123.8,245.47,370.6,0
141.08,247.67,368.53,0
137.71,249.53,368.27,0
148.86,249,367.87,0
145.8,248.53,367.33,0
180.75,249.4,368.47,0
179.4,245.13,365.33,0
163.87,250.07,360.53,0
353.61,261.33,152.93,0
330.75,250.8,185.87,0
406.74,248.07,146.07,0
354.41,253.47,197.2,0
235.91,255.67,202.93,0
195.68,233.67,126.2,0
230,451.4,99.07,0
243.72,125.13,112.47,0
258.3,129.93,39.53,0
261.66,124.07,3.53,0
219.44,133.93,3.8,0
195.78,121.47,132.4,0
196.74,119,131,0
188.55,215.53,137.33,0
180.1,213.67,133,0
183.48,215.07,134.13,0
182.22,218.2,249.47,0
180.19,217.33,349.67,0
173.05,218.07,350.8,0
199.87,262.8,294,0
168.53,237,372.2,0
178.69,240.2,369.53,0
180.19,242.33,352.2,0
213.73,244.53,207.07,0
236.58,244.53,200.6,0
213.7,303.67,277.13,0
212.07,402.53,276.93,0
229.88,251.8,279.73,0
204.25,252.6,234.73,0
170.33,264.13,329.53,0
160.61,259.93,358,0
159.62,259.6,380.13,0
173.18,262.73,380.4,0
205.07,271.87,377.47,0
186.43,269.33,377.87,0
181.81,266.67,379.87,0
199.52,270.73,376.47,0
188.25,248.73,335.8,0
155.23,239.6,341.67,0
138.97,237.13,363.27,0
137.61,252.47,328.13,0
121.2,247.6,306,0
111.88,244.4,227.87,0
230.36,245.67,109.07,0
211.66,237.73,40.73,0
232.92,234.73,109.53,0
169.82,214.27,114.6,0
163.18,220.33,110.47,0
181.86,262.33,328.07,0
189.99,265.27,337.33,0
193.31,261.33,337.2,0
154.27,253.73,335.6,0
188.03,234.67,366.73,0
152.62,244.67,364.53,0
189.65,226.87,110.27,0
237.31,249.13,1.8,0
236.13,252.07,2.2,0
259.47,248.33,1.87,0
226.9,267.13,116,0
203.88,275.6,57.2,0
185.51,269.33,121.33,0
182.98,270.2,120,0
171.83,264.4,326.13,0
190.22,264.93,327.8,0
180.06,261.47,326.87,0
173.76,252.87,326.53,0
111.45,250.47,376.13,0
100.83,255.33,364.2,0
92.02,255.67,361,0
104.04,254.73,355.67,0
192.41,277,3.27,0
258.04,287.67,3.27,0
189.23,246.93,126.2,0
173.3,270.8,125.4,0
184.13,268.2,313.2,0
157.19,258.73,376.27,0
147.75,257.93,375.53,0
127.91,254.27,368.67,0
88.93,252.27,360.33,0
93.91,249.33,359.73,0
99.92,246.47,352.4,0
153.47,249,353.73,0
121.74,261.73,301.33,0
0,232.87,194.47,0
0,223.8,194.67,0
0,255.07,2.6,0
0,265.8,2.8,0
0,262.13,2.8,0
0,249.27,125.13,0
0,249.47,98.2,0
0,256.33,3.13,0
0,238.6,122.47,0
0,238.07,123.47,0
173.82,266.93,375.4,0
170.4,257.93,376.87,0
163.91,244.93,369.13,0
156.27,249.8,371.47,0
146.01,246.27,369.6,0
187.76,253.2,362.8,0
182.84,267.53,360.13,0
172.26,274,358.67,0
153.18,268.8,360.53,0
155.21,236.87,363.27,0
149.85,236.33,362.73,0
194.23,245.73,117.33,0
180.38,252.87,117.2,0
188.77,254.93,102.87,0
211.12,225.87,108,0
75.39,229.07,108.6,0
0.23,231.33,1.53,0
0.22,235.67,1.53,0
192.97,227.2,380.67,0
197,228.2,381.4,0
90.19,228.13,371.87,0
38.48,231.33,343.13,0
139.11,249.6,274.13,0
137.63,245.13,270.6,0
301.57,229.13,319.8,0
331.97,228.4,322,0
203.6,237.53,367.33,0
69.5,250.4,71.2,0
70.39,224.87,71.27,0
66.62,229.67,67.47,0
117.34,214.07,288.87,0
117.77,209.6,302.93,0
122.08,212.2,325.07,0
111.23,235.8,321.13,0
109.49,246,321.2,0
163.55,250.67,205.27,0
157.47,246.07,202.93,0
166.63,225.27,202.87,0
37.13,240.93,38,0
37.02,244.13,37.6,0
48.83,237.27,90.27,0
227.09,252.4,380.6,0
209.28,240.4,379.13,0
338.32,225,345.2,0
364.57,225.07,300.47,0
392.1,225.73,259.93,0
387.29,227.13,251,0
445.06,219.47,366.67,0
434.55,295.33,322.13,0
247.43,299.4,349.27,0
124.28,245.2,212.2,0
75.08,256.67,76.33,0
76.37,259.4,77,0
75.81,251.93,76,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
