month,day,hour,min,n_px,n_p
1,1,0,0,2.07,0.109
1,1,0,15,2.1,0.11
1,1,0,30,2.13,0.11
1,1,0,45,2.16,0.11
1,1,1,0,2.19,0.109
1,1,1,15,2.23,0.11
1,1,1,30,2.27,0.109
1,1,1,45,2.31,0.11
1,1,2,0,2.37,0.11
1,1,2,15,2.42,0.11
1,1,2,30,2.47,0.11
1,1,2,45,2.52,0.11
1,1,3,0,2.58,0.109
1,1,3,15,2.63,0.109
1,1,3,30,2.68,0.11
1,1,3,45,2.74,0.109
1,1,4,0,2.79,0.109
1,1,4,15,2.85,0.109
1,1,4,30,2.91,0.109
1,1,4,45,2.97,0.11
1,1,5,0,3.03,0.11
1,1,5,15,3.08,0.11
1,1,5,30,3.14,0.109
1,1,5,45,3.2,0.109
1,1,6,0,3.25,0.109
1,1,6,15,3.31,0.107
1,1,6,30,3.36,0.106
1,1,6,45,3.41,0.106
1,1,7,0,3.44,0.109
1,1,7,15,3.46,0.109
1,1,7,30,3.48,0.11
1,1,7,45,3.49,0.109
1,1,8,0,3.49,0.108
1,1,8,15,3.48,0.11
1,1,8,30,3.45,0.109
1,1,8,45,3.42,0.107
1,1,9,0,3.38,0.109
1,1,9,15,3.34,0.109
1,1,9,30,3.3,0.108
1,1,9,45,3.25,0.109
1,1,10,0,3.19,0.11
1,1,10,15,3.12,0.109
1,1,10,30,3.06,0.11
1,1,10,45,2.99,0.109
1,1,11,0,2.92,0.106
1,1,11,15,2.86,0.107
1,1,11,30,2.79,0.109
1,1,11,45,2.73,0.107
1,1,12,0,2.67,0.109
1,1,12,15,2.61,0.109
1,1,12,30,2.55,0.11
1,1,12,45,2.5,0.109
1,1,13,0,2.45,0.108
1,1,13,15,2.4,0.109
1,1,13,30,2.35,0.106
1,1,13,45,2.31,0.107
1,1,14,0,2.28,0.108
1,1,14,15,2.26,0.107
1,1,14,30,2.23,0.107
1,1,14,45,2.2,0.11
1,1,15,0,2.18,0.109
1,1,15,15,2.16,0.109
1,1,15,30,2.15,0.108
1,1,15,45,2.13,0.107
1,1,16,0,2.12,0.109
1,1,16,15,2.11,0.108
1,1,16,30,2.09,0.109
1,1,16,45,2.08,0.109
1,1,17,0,2.07,0.109
1,1,17,15,2.05,0.108
1,1,17,30,2.03,0.107
1,1,17,45,2.01,0.108
1,1,18,0,1.99,0.108
1,1,18,15,1.97,0.109
1,1,18,30,1.96,0.11
1,1,18,45,1.94,0.109
1,1,19,0,1.93,0.107
1,1,19,15,1.91,0.109
1,1,19,30,1.9,0.11
1,1,19,45,1.88,0.105
1,1,20,0,1.86,0.107
1,1,20,15,1.84,0.109
1,1,20,30,1.83,0.105
1,1,20,45,1.81,0.106
1,1,21,0,1.81,0.108
1,1,21,15,1.84,0.108
1,1,21,30,1.87,0.107
1,1,21,45,1.9,0.107
1,1,22,0,1.92,0.108
1,1,22,15,1.95,0.108
1,1,22,30,1.98,0.107
1,1,22,45,2.02,0.107
1,1,23,0,2.06,0.103
1,1,23,15,2.1,0.105
1,1,23,30,2.15,0.109
1,1,23,45,2.19,0.105
1,2,0,0,2.24,0.107
1,2,0,15,2.29,0.109
1,2,0,30,2.34,0.109
1,2,0,45,2.4,0.109
1,2,1,0,2.45,0.109
1,2,1,15,2.51,0.109
1,2,1,30,2.57,0.108
1,2,1,45,2.62,0.105
1,2,2,0,2.68,0.107
1,2,2,15,2.74,0.105
1,2,2,30,2.8,0.107
1,2,2,45,2.86,0.105
1,2,3,0,2.92,0.105
1,2,3,15,2.98,0.103
1,2,3,30,3.03,0.106
1,2,3,45,3.09,0.106
1,2,4,0,3.15,0.103
1,2,4,15,3.21,0.103
1,2,4,30,3.25,0.105
1,2,4,45,3.29,0.109
1,2,5,0,3.33,0.108
1,2,5,15,3.36,0.107
1,2,5,30,3.4,0.107
1,2,5,45,3.42,0.108
1,2,6,0,3.45,0.105
1,2,6,15,3.47,0.108
1,2,6,30,3.49,0.105
1,2,6,45,3.49,0.106
1,2,7,0,3.5,0.107
1,2,7,15,3.51,0.104
1,2,7,30,3.5,0.104
1,2,7,45,3.49,0.105
1,2,8,0,3.47,0.101
