uplink_message.rx_metadata_0.gateway_ids.gateway_id,uplink_message.rx_metadata_0.gateway_ids.eui,uplink_message.rx_metadata_0.time,uplink_message.rx_metadata_0.timestamp,uplink_message.rx_metadata_0.rssi,uplink_message.rx_metadata_0.channel_rssi,uplink_message.rx_metadata_0.location.latitude,uplink_message.rx_metadata_0.location.longitude,uplink_message.rx_metadata_0.location.altitude,uplink_message.rx_metadata_0.location.source,uplink_message.rx_metadata_0.uplink_token,uplink_message.rx_metadata_0.received_at,received_at
0,0,57,2643478222,-113,-113,38.385917659159134,-0.5170252919197084,20,0,57,57,57
2,2,58,470951815,-71,-71,38.3846865837538,-0.513212937943281,20,0,58,58,58
2,2,59,544535610,-80,-80,38.3846865837538,-0.513212937943281,20,0,59,59,59
1,1,60,2858461088,-99,-99,38.38418726539637,-0.5101910233497621,10,0,60,60,60
3,3,61,1603161996,-97,-97,38.38473180809575,-0.5102983117103578,10,0,61,61,61
0,0,62,2961989457,-93,-93,38.385917659159134,-0.5170252919197084,20,0,62,62,62
2,2,63,704256206,-89,-89,38.3846865837538,-0.513212937943281,20,0,63,63,63
0,0,64,3138693528,-105,-105,38.385917659159134,-0.5170252919197084,20,0,64,64,64
2,2,65,860746660,-98,-98,38.3846865837538,-0.513212937943281,20,0,65,65,65
0,0,66,3238461977,-110,-110,38.385917659159134,-0.5170252919197084,20,0,66,66,66
2,2,67,961575860,-102,-102,38.3846865837538,-0.513212937943281,20,0,67,67,67
2,2,68,1036038756,-109,-109,38.3846865837538,-0.513212937943281,20,0,68,68,68
2,2,69,1038600156,-95,-95,38.3846865837538,-0.513212937943281,20,0,69,69,69
2,2,70,1043488348,-113,-113,38.3846865837538,-0.513212937943281,20,0,70,70,70
2,2,71,1176346516,-103,-103,38.3846865837538,-0.513212937943281,20,0,71,71,71
1,1,72,3597394525,-88,-88,38.38418726539637,-0.5101910233497621,10,0,72,72,72
1,1,73,3721279094,-97,-97,38.38418726539637,-0.5101910233497621,10,0,73,73,73
2,2,74,1556543676,-97,-97,38.3846865837538,-0.513212937943281,20,0,74,74,74
1,1,75,3844428248,-91,-91,38.38418726539637,-0.5101910233497621,10,0,75,75,75
2,2,76,1670884877,-79,-79,38.3846865837538,-0.513212937943281,20,0,76,76,76
