iteration,data_size,number_of_attributes,number_of_trees
1,513,111,100
2,513,111,100
3,513,111,100
4,513,111,100
5,513,111,100
6,513,111,100
7,513,111,100
8,513,111,100
9,513,111,100
10,513,111,100
11,513,111,100
12,513,111,100
13,513,111,100
14,513,111,100
15,513,111,100
16,513,111,100
17,513,111,100
18,513,111,100
19,513,111,100
20,513,111,100
21,513,111,100
22,513,111,100
23,513,111,100
24,513,111,100
25,513,111,100
