id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
412,end_device_ids.dev_eui,0.14285714285714285,received_at,0.8046875,0.44,0.44,0.42,0.43,0.44,0.43,0.43,0.43,0.43,0.44,0.43,0.43,0.42,0.43,0.44,0.42,0.42,0.41,0.44,0.43,0.45,0.42,0.43,0.42,0.45,10.77,0.43,false
413,end_device_ids.dev_eui,0.21428571428571427,received_at,0.806640625,0.50,0.51,0.50,0.52,0.51,0.51,0.52,0.53,0.51,0.51,0.52,0.50,0.51,0.50,0.53,0.52,0.51,0.50,0.52,0.51,0.50,0.50,0.52,0.51,0.52,12.79,0.51,false
414,end_device_ids.dev_eui,0.2857142857142857,received_at,0.80859375,0.44,0.43,0.43,0.43,0.43,0.43,0.42,0.43,0.41,0.44,0.42,0.43,0.42,0.45,0.42,0.43,0.43,0.43,0.41,0.42,0.44,0.42,0.43,0.42,0.43,10.69,0.43,false
415,end_device_ids.dev_eui,0.35714285714285715,received_at,0.810546875,0.38,0.38,0.38,0.38,0.39,0.38,0.38,0.38,0.39,0.39,0.38,0.38,0.38,0.37,0.38,0.38,0.37,0.39,0.38,0.38,0.39,0.38,0.39,0.38,0.38,9.54,0.38,false
416,end_device_ids.dev_eui,0.42857142857142855,received_at,0.8125,0.45,0.44,0.43,0.44,0.45,0.44,0.44,0.43,0.44,0.44,0.43,0.43,0.44,0.44,0.44,0.43,0.42,0.44,0.45,0.44,0.44,0.45,0.47,0.45,0.44,11.01,0.44,false
417,end_device_ids.dev_eui,0.5,received_at,0.814453125,0.51,0.52,0.52,0.49,0.50,0.52,0.51,0.49,0.51,0.51,0.51,0.52,0.50,0.51,0.51,0.52,0.50,0.50,0.51,0.50,0.52,0.51,0.52,0.52,0.53,12.76,0.51,false
418,end_device_ids.dev_eui,0.5714285714285714,received_at,0.81640625,0.42,0.41,0.39,0.41,0.41,0.41,0.39,0.39,0.39,0.42,0.39,0.40,0.41,0.40,0.41,0.41,0.40,0.41,0.43,0.40,0.41,0.41,0.41,0.40,0.41,10.14,0.41,false
419,end_device_ids.dev_eui,0.6428571428571429,received_at,0.818359375,0.41,0.39,0.40,0.40,0.41,0.40,0.40,0.39,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.38,0.41,0.41,0.40,0.42,0.41,0.40,0.41,0.40,0.40,10.04,0.40,false
420,end_device_ids.dev_eui,0.7142857142857143,received_at,0.8203125,0.40,0.39,0.41,0.39,0.40,0.40,0.41,0.40,0.41,0.40,0.40,0.40,0.40,0.39,0.40,0.39,0.40,0.39,0.40,0.40,0.40,0.39,0.40,0.40,0.40,9.97,0.40,false
421,end_device_ids.dev_eui,0.7857142857142857,received_at,0.822265625,0.40,0.40,0.40,0.40,0.39,0.41,0.41,0.41,0.41,0.41,0.40,0.42,0.41,0.40,0.40,0.40,0.40,0.42,0.41,0.40,0.40,0.39,0.40,0.41,0.41,10.11,0.40,false
