id,month,day,hour,min,n_p,i_uiip,p_uiip,score
30051,11,30,5,45,0,0,0,0.77
14348,6,7,13,45,0,0,0,0.76
26946,10,28,22,30,0,0,0,0.75
27951,11,8,8,45,0,0,0,0.75
16021,6,25,0,0,0.643,476.15,6.66,0.73
16022,6,25,0,15,0.64,479.07,6.27,0.72
32708,12,27,22,0,0.755,-0.59,0,0.72
14341,6,7,12,0,1.66,346.53,8.34,0.71
16020,6,24,23,45,0.726,487.06,11.78,0.71
