month,day,hour,min,i_uiipu,c_pu_p,p_pu,truth
1,2,13,30,3.47,25.49,48.61,0
1,2,13,45,3.2,26.17,48.56,0
1,2,14,0,105.33,25.01,49.17,0
1,2,14,15,110.87,25.03,49.33,0
1,2,14,30,109,25.73,49.4,0
1,2,14,45,107.87,25.77,49.52,0
1,2,15,0,107.2,25.47,49.37,0
1,2,15,15,105.07,25.02,49.51,0
1,2,15,30,107.13,25.57,49.61,0
1,2,15,45,105.47,25.48,49.61,0
1,2,16,0,105.2,24.86,49.52,0
1,2,16,15,104.33,25.78,49.62,0
1,2,16,30,105.33,25.87,49.54,0
1,2,16,45,138.07,25.88,50.03,0
1,2,17,0,205.27,26.61,50.01,0
1,2,17,15,271.73,25.1,50.93,0
1,2,17,30,316.6,25.25,50.86,0
1,2,17,45,316.13,26.01,50.81,0
1,2,18,0,315.47,25.22,50.91,0
1,2,18,15,315.93,25.46,50.99,0
1,2,18,30,317.33,25.4,50.87,0
1,2,18,45,314,25.29,50.95,0
1,2,19,0,317.27,25.29,50.93,0
1,2,19,15,318.6,23.89,50.8,0
1,2,19,30,316.93,25.54,50.89,0
1,2,19,45,318.47,24.56,50.82,0
1,2,20,0,341.8,26.11,51.16,0
1,2,20,15,363.67,24.87,51.53,0
1,2,20,30,363.4,25.26,51.49,0
1,2,20,45,362.07,25.71,51.55,0
1,2,21,0,357.53,4.97,51.89,0
1,2,21,15,356.73,0.27,51.96,0
1,2,21,30,354,0.06,52.18,0
1,2,21,45,355.67,0,51.93,0
1,2,22,0,352.73,0,52.27,0
1,2,22,15,354.13,0,52.3,0
1,2,22,30,353.4,0,52.42,0
1,2,22,45,361.27,0,52.73,0
1,2,23,0,373.27,0,52.79,0
1,2,23,15,372.73,0,52.82,0
1,2,23,30,369.73,0,53.14,0
1,2,23,45,367,0,53.48,0
1,3,0,0,366.93,0,53.26,0
1,3,0,15,366.27,0,53.41,0
1,3,0,30,362.8,0,53.49,0
1,3,0,45,339,0,52.95,0
1,3,1,0,337.87,0,52.71,0
1,3,1,15,339,0,52.64,0
1,3,1,30,336.47,0,52.88,0
1,3,1,45,335.8,0,52.9,0
1,3,2,0,336.27,0,53,0
1,3,2,15,337.07,0,52.73,0
1,3,2,30,338.93,0,52.74,0
1,3,2,45,335.13,0,53.03,0
1,3,3,0,335,0,53.07,0
1,3,3,15,336,0,53.04,0
1,3,3,30,348.47,0,53.31,0
1,3,3,45,357.87,0,53.61,0
1,3,4,0,360.6,0,53.41,0
1,3,4,15,360.87,0,53.51,0
1,3,4,30,357.53,0,53.67,0
1,3,4,45,353.8,0,53.72,0
1,3,5,0,354.53,0,53.77,0
1,3,5,15,355.6,0,53.82,0
1,3,5,30,355.93,0,53.56,0
1,3,5,45,356.13,0,53.62,0
1,3,6,0,361.27,0,53.48,0
1,3,6,15,344.13,0,53.04,0
1,3,6,30,194.47,17.65,51.63,0
1,3,6,45,35.53,26.85,50.54,0
1,3,7,0,3.73,25.7,50.24,0
1,3,7,15,3.47,26.34,50.14,0
1,3,7,30,3.53,25.56,49.54,0
1,3,7,45,3.47,25.82,49.29,0
1,3,8,0,3.33,25.8,49.14,0
1,3,8,15,3.8,26.27,49.2,0
1,3,8,30,3.4,24.26,48.72,0
1,3,8,45,3.47,25.57,48.85,0
1,3,9,0,3.8,25.59,48.64,0
1,3,9,15,3.47,26.93,48.54,0
1,3,9,30,3.4,25.65,48.29,0
1,3,9,45,3.53,25.12,48.36,0
1,3,10,0,3.93,25,48.31,0
1,3,10,15,3.67,26,48.87,0
1,3,10,30,3.8,25.9,48.9,0
1,3,10,45,3.73,25.78,48.44,0
1,3,11,0,3.53,25.66,48.54,0
1,3,11,15,3.6,24.88,48.78,0
1,3,11,30,3.67,24.15,48.24,0
1,3,11,45,3.53,25.62,48.81,0
1,3,12,0,3.53,24.64,48.52,0
1,3,12,15,3.33,26.28,48.22,0
1,3,12,30,3.47,26.3,48.46,0
1,3,12,45,3.53,25.19,48.51,0
1,3,13,0,3.47,25.53,48.24,0
1,3,13,15,147.53,25.18,49.44,0
1,3,13,30,142.87,26.12,49.48,0
