iteration,data_size,number_of_attributes,number_of_trees
1,1000,13,15
2,1000,13,15
3,1000,13,15
4,1000,13,15
5,1000,13,15
6,1000,13,15
7,1000,13,15
8,1000,13,15
9,1000,13,15
10,1000,13,15
11,1000,13,15
12,1000,13,15
13,1000,13,15
14,1000,13,15
15,1000,13,15
16,1000,13,15
17,1000,13,15
18,1000,13,15
19,1000,13,15
20,1000,13,15
21,1000,13,15
22,1000,13,15
23,1000,13,15
24,1000,13,15
25,1000,13,15
