header,value,key
undefined,undefined,NaN
﻿Fecha_Hora,'01/01/2021_13:30:00',54
﻿Fecha_Hora,'01/01/2021_13:45:00',55
﻿Fecha_Hora,'01/01/2021_14:00:00',56
﻿Fecha_Hora,'01/01/2021_14:15:00',57
﻿Fecha_Hora,'01/01/2021_14:30:00',58
﻿Fecha_Hora,'01/01/2021_14:45:00',59
﻿Fecha_Hora,'01/01/2021_15:00:00',60
﻿Fecha_Hora,'01/01/2021_15:15:00',61
﻿Fecha_Hora,'01/01/2021_15:30:00',62
﻿Fecha_Hora,'01/01/2021_15:45:00',63
﻿Fecha_Hora,'01/01/2021_16:00:00',64
﻿Fecha_Hora,'01/01/2021_16:15:00',65
﻿Fecha_Hora,'01/01/2021_16:30:00',66
﻿Fecha_Hora,'01/01/2021_16:45:00',67
﻿Fecha_Hora,'01/01/2021_17:00:00',68
﻿Fecha_Hora,'01/01/2021_17:15:00',69
﻿Fecha_Hora,'01/01/2021_17:30:00',70
﻿Fecha_Hora,'01/01/2021_17:45:00',71
﻿Fecha_Hora,'01/01/2021_18:00:00',72
﻿Fecha_Hora,'01/01/2021_18:15:00',73
﻿Fecha_Hora,'01/01/2021_18:30:00',74
﻿Fecha_Hora,'01/01/2021_18:45:00',75
﻿Fecha_Hora,'01/01/2021_19:00:00',76
﻿Fecha_Hora,'01/01/2021_19:15:00',77
﻿Fecha_Hora,'01/01/2021_19:30:00',78
﻿Fecha_Hora,'01/01/2021_19:45:00',79
﻿Fecha_Hora,'01/01/2021_20:00:00',80
﻿Fecha_Hora,'01/01/2021_20:15:00',81
﻿Fecha_Hora,'01/01/2021_20:30:00',82
﻿Fecha_Hora,'01/01/2021_20:45:00',83
﻿Fecha_Hora,'01/01/2021_21:00:00',84
﻿Fecha_Hora,'01/01/2021_21:15:00',85
﻿Fecha_Hora,'01/01/2021_21:30:00',86
﻿Fecha_Hora,'01/01/2021_21:45:00',87
﻿Fecha_Hora,'01/01/2021_22:00:00',88
﻿Fecha_Hora,'01/01/2021_22:15:00',89
﻿Fecha_Hora,'01/01/2021_22:30:00',90
﻿Fecha_Hora,'01/01/2021_22:45:00',91
﻿Fecha_Hora,'01/01/2021_23:00:00',92
﻿Fecha_Hora,'01/01/2021_23:15:00',93
﻿Fecha_Hora,'01/01/2021_23:30:00',94
﻿Fecha_Hora,'01/01/2021_23:45:00',95
﻿Fecha_Hora,'02/01/2021_0:00:00',96
﻿Fecha_Hora,'02/01/2021_0:15:00',97
﻿Fecha_Hora,'02/01/2021_0:30:00',98
﻿Fecha_Hora,'02/01/2021_0:45:00',99
﻿Fecha_Hora,'02/01/2021_1:00:00',100
﻿Fecha_Hora,'02/01/2021_1:15:00',101
﻿Fecha_Hora,'02/01/2021_1:30:00',102
﻿Fecha_Hora,'02/01/2021_1:45:00',103
﻿Fecha_Hora,'02/01/2021_2:00:00',104
﻿Fecha_Hora,'02/01/2021_2:15:00',105
﻿Fecha_Hora,'02/01/2021_2:30:00',106
﻿Fecha_Hora,'02/01/2021_2:45:00',107
﻿Fecha_Hora,'02/01/2021_3:00:00',108
﻿Fecha_Hora,'02/01/2021_3:15:00',109
﻿Fecha_Hora,'02/01/2021_3:30:00',110
﻿Fecha_Hora,'02/01/2021_3:45:00',111
﻿Fecha_Hora,'02/01/2021_4:00:00',112
﻿Fecha_Hora,'02/01/2021_4:15:00',113
﻿Fecha_Hora,'02/01/2021_4:30:00',114
﻿Fecha_Hora,'02/01/2021_4:45:00',115
﻿Fecha_Hora,'02/01/2021_5:00:00',116
﻿Fecha_Hora,'02/01/2021_5:15:00',117
﻿Fecha_Hora,'02/01/2021_5:30:00',118
﻿Fecha_Hora,'02/01/2021_5:45:00',119
﻿Fecha_Hora,'02/01/2021_6:00:00',120
﻿Fecha_Hora,'02/01/2021_6:15:00',121
﻿Fecha_Hora,'02/01/2021_6:30:00',122
﻿Fecha_Hora,'02/01/2021_6:45:00',123
﻿Fecha_Hora,'02/01/2021_7:00:00',124
﻿Fecha_Hora,'02/01/2021_7:15:00',125
﻿Fecha_Hora,'02/01/2021_7:30:00',126
﻿Fecha_Hora,'02/01/2021_7:45:00',127
﻿Fecha_Hora,'02/01/2021_8:00:00',128
﻿Fecha_Hora,'02/01/2021_8:15:00',129
﻿Fecha_Hora,'02/01/2021_8:30:00',130
﻿Fecha_Hora,'02/01/2021_8:45:00',131
﻿Fecha_Hora,'02/01/2021_9:00:00',132
﻿Fecha_Hora,'02/01/2021_9:15:00',133
﻿Fecha_Hora,'02/01/2021_9:30:00',134
﻿Fecha_Hora,'02/01/2021_9:45:00',135
﻿Fecha_Hora,'02/01/2021_10:00:00',136
﻿Fecha_Hora,'02/01/2021_10:15:00',137
﻿Fecha_Hora,'02/01/2021_10:30:00',138
﻿Fecha_Hora,'02/01/2021_10:45:00',139
﻿Fecha_Hora,'02/01/2021_11:00:00',140
﻿Fecha_Hora,'02/01/2021_11:15:00',141
﻿Fecha_Hora,'02/01/2021_11:30:00',142
﻿Fecha_Hora,'02/01/2021_11:45:00',143
﻿Fecha_Hora,'02/01/2021_12:00:00',144
﻿Fecha_Hora,'02/01/2021_12:15:00',145
﻿Fecha_Hora,'02/01/2021_12:30:00',146
﻿Fecha_Hora,'02/01/2021_12:45:00',147
﻿Fecha_Hora,'02/01/2021_13:00:00',148
