Fecha,Hora,2022 Nivel depósito ,2021 Nivel depósito ,2020 Nivel depósito ,2019 Nivel depósito ,2018 Nivel depósito ,2017 Nivel depósito ,2021 nivel depósito calculado,2021 nivel depósito normalizado,﻿Fecha_Hora
5,95,3.27,3.27,29.3,27.3,0,0,3.27,3.27,499
0,0,2.43,2.49,20.5,9.8,0,0,2.49,2.49,0
