iteration,data_size,number_of_attributes,number_of_trees
1,1000,4,5
2,1000,4,10
3,1000,4,15
4,1000,4,20
5,1000,4,25
6,1000,4,30
7,1000,4,35
8,1000,4,40
9,1000,4,45
10,1000,4,50
11,1000,4,55
12,1000,4,60
13,1000,4,65
14,1000,4,70
15,1000,4,75
16,1000,4,80
17,1000,4,85
18,1000,4,90
19,1000,4,95
20,1000,4,100
21,1000,4,105
22,1000,4,110
23,1000,4,115
24,1000,4,120
25,1000,4,125
