month,day,hour,min,p_uiip,p_f,p_pu
1,2,15,45,20.89,31.53,49.61
1,2,16,0,20.78,31.5,49.52
1,2,16,15,20.69,31.52,49.62
1,2,16,30,20.81,31.39,49.54
1,2,16,45,20.67,31.48,50.03
1,2,17,0,20.67,31.29,50.01
1,2,17,15,20.73,31.64,50.93
1,2,17,30,20.54,31.33,50.86
1,2,17,45,20.59,31.39,50.81
1,2,18,0,20.67,31.6,50.91
1,2,18,15,21.62,31.81,50.99
1,2,18,30,21.59,31.69,50.87
1,2,18,45,21.52,31.54,50.95
1,2,19,0,21.67,31.69,50.93
1,2,19,15,21.49,31.53,50.8
1,2,19,30,21.73,31.5,50.89
1,2,19,45,21.76,31.56,50.82
1,2,20,0,21.47,31.53,51.16
1,2,20,15,21.77,31.71,51.53
1,2,20,30,21.76,31.6,51.49
1,2,20,45,21.88,31.69,51.55
1,2,21,0,21.54,32.26,51.89
1,2,21,15,21.73,32.22,51.96
1,2,21,30,21.89,32.44,52.18
1,2,21,45,21.45,32.19,51.93
1,2,22,0,21.74,32.65,52.27
1,2,22,15,21.67,32.56,52.3
1,2,22,30,21.9,32.84,52.42
1,2,22,45,18.95,32.94,52.73
1,2,23,0,18.07,32.99,52.79
1,2,23,15,18.1,33.05,52.82
1,2,23,30,17.98,33.32,53.14
1,2,23,45,18.08,33.71,53.48
1,3,0,0,17.96,33.44,53.26
1,3,0,15,18.08,33.8,53.41
1,3,0,30,18.19,33.65,53.49
1,3,0,45,18.01,33.22,52.95
1,3,1,0,18.07,33.16,52.71
1,3,1,15,18.2,33.12,52.64
1,3,1,30,18.12,33.37,52.88
1,3,1,45,18.14,33.24,52.9
1,3,2,0,18.1,33.41,53
1,3,2,15,17.9,33.22,52.73
1,3,2,30,18.05,33.24,52.74
1,3,2,45,18.18,33.39,53.03
1,3,3,0,17.95,33.4,53.07
1,3,3,15,18.17,33.4,53.04
1,3,3,30,18.05,33.65,53.31
1,3,3,45,18.12,33.88,53.61
1,3,4,0,18.09,33.7,53.41
1,3,4,15,18.19,33.91,53.51
1,3,4,30,18.19,33.77,53.67
1,3,4,45,17.95,33.82,53.72
1,3,5,0,18.16,34.02,53.77
1,3,5,15,18.06,34.16,53.82
1,3,5,30,18.22,33.8,53.56
1,3,5,45,19.03,33.73,53.62
1,3,6,0,21.27,33.7,53.48
1,3,6,15,21.27,33.44,53.04
1,3,6,30,21.15,33.35,51.63
1,3,6,45,21.22,32.69,50.54
1,3,7,0,21.22,32.48,50.24
1,3,7,15,21.52,32.21,50.14
1,3,7,30,21.75,31.86,49.54
1,3,7,45,20.46,31.4,49.29
1,3,8,0,21.78,31.37,49.14
1,3,8,15,21.98,31.41,49.2
1,3,8,30,21.95,31.03,48.72
1,3,8,45,21.76,31.07,48.85
1,3,9,0,22.03,30.97,48.64
1,3,9,15,22,30.97,48.54
1,3,9,30,21.98,30.62,48.29
1,3,9,45,22,30.65,48.36
1,3,10,0,21.97,30.52,48.31
1,3,10,15,21.93,31.03,48.87
1,3,10,30,22.06,30.82,48.9
1,3,10,45,22,30.8,48.44
1,3,11,0,22.07,30.75,48.54
1,3,11,15,21.98,30.84,48.78
1,3,11,30,21.95,30.59,48.24
1,3,11,45,22.27,30.72,48.81
1,3,12,0,22.25,30.82,48.52
1,3,12,15,22.15,30.33,48.22
1,3,12,30,21.8,30.8,48.46
1,3,12,45,21.77,30.63,48.51
1,3,13,0,21.62,30.61,48.24
1,3,13,15,21.21,31.12,49.44
1,3,13,30,21.28,31.33,49.48
1,3,13,45,21.18,31.28,49.28
1,3,14,0,21.12,30.87,48.97
1,3,14,15,21.29,31.14,49.14
1,3,14,30,21.39,31.24,49.56
1,3,14,45,21.26,31.33,49.61
1,3,15,0,21.18,31.31,49.39
1,3,15,15,21.13,31.41,49.46
1,3,15,30,20.9,31.2,49.54
1,3,15,45,20.1,31.46,49.63
1,3,16,0,20.37,31.41,49.52
1,3,16,15,20.24,31.23,49.54
1,3,16,30,20.1,31.51,49.59
1,3,16,45,20.28,31.52,50.76
1,3,17,0,20.29,31.62,51.48
1,3,17,15,20.29,31.65,51.37
1,3,17,30,20.1,31.69,50.56
1,3,17,45,20.26,31.6,50.59
1,3,18,0,20.01,31.77,50.51
1,3,18,15,20.14,31.4,50.41
1,3,18,30,20.1,31.53,50.56
1,3,18,45,20.24,31.63,50.63
1,3,19,0,20.24,31.42,50.41
1,3,19,15,20,31.59,50.75
1,3,19,30,20.14,31.41,50.44
1,3,19,45,20.26,31.58,50.54
1,3,20,0,20.24,31.25,50.41
1,3,20,15,19.8,31.67,50.65
1,3,20,30,19.92,31.65,50.66
1,3,20,45,20.2,31.59,50.63
1,3,21,0,20.05,31.87,50.66
1,3,21,15,20.29,31.64,50.69
1,3,21,30,20.1,31.8,51.52
1,3,21,45,20.14,32.02,51.7
1,3,22,0,20.38,31.98,51.8
1,3,22,15,20.19,32.05,51.82
1,3,22,30,20.23,32.48,52.1
1,3,22,45,20.2,32.54,52.3
1,3,23,0,16.71,32.81,52.76
1,3,23,15,16.55,32.95,52.85
1,3,23,30,16.74,33.08,53.01
1,3,23,45,16.62,33.2,53.23
1,4,0,0,16.34,33.6,53.51
1,4,0,15,16.69,33.67,53.43
1,4,0,30,16.7,33.35,53.33
1,4,0,45,16.5,33.74,53.6
1,4,1,0,16.56,33.54,53.27
1,4,1,15,16.6,33.63,53.46
1,4,1,30,16.59,33.69,53.35
1,4,1,45,16.51,33.93,53.61
1,4,2,0,16.53,33.92,53.77
1,4,2,15,16.59,34.13,54.05
1,4,2,30,16.7,34.02,53.93
1,4,2,45,16.67,34.21,53.96
1,4,3,0,16.57,33.93,53.73
1,4,3,15,16.93,34.07,53.97
1,4,3,30,17.11,34.46,54.21
1,4,3,45,16.8,34.37,54.22
1,4,4,0,16.95,34.59,54.33
1,4,4,15,16.65,34.35,53.88
1,4,4,30,16.68,34.58,54.31
1,4,4,45,16.67,34.54,54.25
1,4,5,0,16.64,34.22,54.16
1,4,5,15,16.7,34.22,54.09
1,4,5,30,16.63,34.17,53.97
1,4,5,45,17.85,33.97,53.81
1,4,6,0,20.01,33.9,53.66
1,4,6,15,20.62,33.51,53.31
1,4,6,30,20.72,33.24,51.91
1,4,6,45,20.71,33.27,51.76
1,4,7,0,20.6,33.07,51.31
1,4,7,15,20.88,32.71,50.74
1,4,7,30,20.76,32.45,50.4
1,4,7,45,20.08,32.18,50.16
1,4,8,0,19.65,31.78,49.84
1,4,8,15,20.6,31.66,49.41
1,4,8,30,18.86,31.42,49.35
1,4,8,45,18.77,31.37,49.31
1,4,9,0,21.21,30.84,48.86
1,4,9,15,21.2,30.69,48.68
1,4,9,30,21.32,30.72,48.55
1,4,9,45,21.25,30.65,48.49
1,4,10,0,21.18,30.53,48.35
1,4,10,15,21.65,30.5,47.96
1,4,10,30,21.71,30.62,48.24
1,4,10,45,21.5,30.63,48.43
1,4,11,0,20.78,30.49,48.08
1,4,11,15,21.16,30.76,48.54
1,4,11,30,21.24,30.51,48.38
1,4,11,45,21.28,30.94,49.16
1,4,12,0,21.23,31.31,49.65
1,4,12,15,20.99,31.31,49.41
1,4,12,30,20.63,31.24,49.59
1,4,12,45,20.5,31.37,49.46
1,4,13,0,21.11,31.17,49.38
