iteration,data_size,number_of_attributes,number_of_trees
1,500,11,100
2,500,11,100
3,500,11,100
4,500,11,100
5,500,11,100
6,500,11,100
7,500,11,100
8,500,11,100
9,500,11,100
10,500,11,100
11,500,11,100
12,500,11,100
13,500,11,100
14,500,11,100
15,500,11,100
16,500,11,100
17,500,11,100
18,500,11,100
19,500,11,100
20,500,11,100
21,500,11,100
22,500,11,100
23,500,11,100
24,500,11,100
25,500,11,100
