month_day_hour_min;p_uiip;p_f;p_pu;truth
936;20.82;31.33;49.44;0
937;20.8;31.3;49.41;0
938;20.75;31.3;49.3;0
939;20.67;31.01;49.22;0
940;20.73;31.02;49.2;0
941;20.71;31.07;49.2;0
942;20.71;29.82;47.76;0
943;20.66;29.99;47.69;0
944;20.69;30.07;48.28;0
945;20.73;30.48;48.62;0
946;20.67;30.78;49.31;0
947;20.62;31.17;50.65;0
948;20.61;31.43;50.6;0
949;20.63;31.3;50.56;0
950;20.68;31.27;50.63;0
951;20.68;31.63;50.99;0
952;20.76;31.65;50.84;0
953;20.56;31.39;50.17;0
954;20.65;31.33;49.62;0
955;20.7;31.27;49.47;0
956;19.32;31.27;49.49;0
957;19.28;31.14;49.42;0
958;19.03;31.43;49.67;0
959;19.09;31.46;49.67;0
960;18.99;31.57;49.75;0
961;19.24;31.75;49.92;0
962;19.21;31.74;49.85;0
963;19.2;32.1;50.12;0
964;18.99;31.97;49.88;0
965;19.21;31.9;49.9;0
966;19.24;31.74;49.84;0
967;19.07;31.97;49.94;0
968;19.13;32.04;50.14;0
969;19.13;32.01;50.12;0
970;19.11;32.15;50.13;0
971;19.11;32.06;50.19;0
972;19.07;31.94;50.16;0
973;18.98;31.87;50.02;0
974;19.11;31.85;49.98;0
975;19.1;31.9;50.07;0
976;19.01;31.71;49.89;0
977;19.18;31.79;49.98;0
978;19.15;31.86;50.13;0
979;19.22;32.36;50.55;0
980;19.09;32.03;50.27;0
981;19.11;31.74;50.08;0
982;19.3;31.79;50.11;0
983;19.93;31.53;50.1;0
984;20.59;31.68;49.82;0
985;20.59;31.48;49.56;0
986;20.55;31.27;49.39;0
987;20.53;31.21;49.35;0
988;21.15;30.95;49.15;0
989;20.78;30.84;48.95;0
990;19.77;30.88;48.92;0
991;21.16;30.74;48.93;0
992;20.74;30.97;49.1;0
993;21.14;30.67;48.82;0
994;20.93;30.67;48.9;0
995;20.99;30.12;48.05;0
996;20.67;30.13;47.82;0
997;19.51;30.21;48.22;0
998;20.9;30.05;47.7;0
999;21.03;30.05;47.93;0
