id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
101,end_device_ids.device_id,0.14285714285714285,0,0.197265625,0.45,0.46,0.46,0.46,0.45,0.46,0.45,0.45,0.46,0.45,0.45,0.46,0.46,0.44,0.46,0.45,0.45,0.46,0.45,0.45,0.44,0.45,0.46,0.46,0.46,11.35,0.45,false
102,end_device_ids.device_id,0.21428571428571427,0,0.19921875,0.44,0.44,0.43,0.44,0.43,0.43,0.44,0.45,0.45,0.43,0.43,0.45,0.44,0.45,0.45,0.45,0.46,0.44,0.46,0.45,0.45,0.46,0.43,0.46,0.44,11.10,0.44,false
103,end_device_ids.device_id,0.8571428571428571,0,0.201171875,0.43,0.43,0.43,0.44,0.44,0.43,0.43,0.43,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.43,0.44,0.44,0.44,0.43,0.42,0.45,0.45,0.43,0.44,10.86,0.43,false
104,end_device_ids.device_id,0.9285714285714286,0,0.203125,0.39,0.37,0.39,0.39,0.38,0.38,0.38,0.39,0.38,0.39,0.39,0.37,0.39,0.39,0.39,0.38,0.39,0.38,0.39,0.39,0.39,0.37,0.40,0.39,0.38,9.63,0.39,false
105,end_device_ids.device_id,1,0,0.205078125,0.51,0.50,0.51,0.52,0.51,0.50,0.52,0.53,0.53,0.53,0.54,0.51,0.52,0.51,0.52,0.53,0.53,0.51,0.52,0.52,0.52,0.51,0.56,0.52,0.51,12.99,0.52,false
106,end_device_ids.device_id,0.42857142857142855,0,0.20703125,0.47,0.51,0.49,0.51,0.48,0.49,0.50,0.50,0.49,0.48,0.50,0.51,0.50,0.51,0.49,0.52,0.49,0.48,0.49,0.51,0.51,0.51,0.49,0.53,0.50,12.46,0.50,false
107,end_device_ids.device_id,0,0,0.208984375,0.65,0.64,0.65,0.62,0.63,0.63,0.62,0.66,0.63,0.66,0.64,0.65,0.65,0.66,0.62,0.65,0.64,0.65,0.62,0.66,0.65,0.64,0.63,0.63,0.64,16.02,0.64,false
108,end_device_ids.device_id,0.07142857142857142,0,0.2109375,0.54,0.53,0.53,0.54,0.52,0.53,0.52,0.53,0.53,0.53,0.53,0.51,0.53,0.53,0.53,0.53,0.51,0.54,0.52,0.53,0.53,0.54,0.54,0.53,0.53,13.23,0.53,false
109,end_device_ids.device_id,0.14285714285714285,0,0.212890625,0.42,0.43,0.42,0.43,0.42,0.42,0.43,0.43,0.43,0.41,0.42,0.44,0.43,0.44,0.43,0.44,0.44,0.43,0.44,0.43,0.44,0.44,0.43,0.44,0.43,10.76,0.43,false
110,end_device_ids.device_id,0.21428571428571427,0,0.21484375,0.44,0.45,0.43,0.44,0.41,0.45,0.43,0.44,0.43,0.44,0.43,0.44,0.43,0.46,0.43,0.46,0.45,0.44,0.45,0.45,0.44,0.44,0.44,0.45,0.44,11.01,0.44,false
