month_day_hour_min,i_uiip,i_f,i_uiipu,truth
63,184.05,237.4,103.13,0
64,172.21,237.6,103.73,0
65,183.42,242.53,104.07,0
66,182.95,237.73,104.53,0
67,177.8,240.93,105.8,0
68,189.91,241.8,105.4,0
69,173.41,242.67,104.47,0
70,192.07,241.4,107.27,0
71,196.6,240.67,105.73,0
72,174.11,243.4,106.47,0
73,183.59,242.2,105.73,0
74,184.65,267.87,95.47,0
75,178.26,276.2,94.4,0
76,173.12,276.33,95.33,0
77,180.69,273.4,94,0
78,185.65,273.8,94.33,0
79,184.12,276.07,95.13,0
80,177.16,275.73,97.13,0
81,178.75,276,96.4,0
82,164.44,261.87,97.2,0
83,162.86,252.8,259.13,0
84,196.79,250.53,379.53,0
85,186.74,249.4,377.27,0
86,183.86,248,342.67,0
87,189.08,252,316.53,0
88,172.92,247.07,315.2,0
89,191.61,249.07,318,0
90,183.29,241.2,371.13,0
91,156.01,242.6,369.27,0
92,151.21,240.4,367.6,0
93,162.11,240.27,367.53,0
94,147.63,238.93,366.73,0
95,141.96,235.87,364.53,0
96,154.47,231.4,362.87,0
97,151.18,232.13,362.07,0
98,124.51,230.33,360.73,0
99,126.15,227,359,0
100,121.44,230.2,359,0
101,129.15,225.73,359.4,0
102,125.45,226.87,357,0
103,108.25,226.87,359.4,0
104,114.32,242.4,357.2,0
105,120.46,240.13,355.87,0
106,129.17,238.73,355.13,0
107,133.06,240.27,357.53,0
108,123.81,242.4,356.13,0
109,117.2,237.07,354,0
110,118.1,236.6,350.13,0
111,103.49,237.73,352.87,0
112,117.47,237.67,336.8,0
113,123.3,249.33,238.67,0
114,116.1,266.27,177.33,0
115,104.56,265.73,177.6,0
116,114.12,263.47,176.73,0
117,110.28,264.8,176.33,0
118,112.55,271.47,91.27,0
119,122.18,261.93,143.4,0
120,155.08,263.87,131.53,0
121,149.01,268.27,86,0
122,132.72,271.47,87.53,0
123,123.99,269.13,87.87,0
124,146.48,272.87,90.33,0
125,159.65,220,132.93,0
126,185.12,199.6,153.27,0
127,215.27,202.73,155,0
128,223.2,211.4,155.8,0
129,225.32,214.93,107.87,0
130,234.84,222.07,99.73,0
131,258.71,223.67,103.2,0
132,277.96,230.2,104.33,0
133,285.47,242.53,10.93,0
134,281.63,244.73,3.6,0
135,272.34,245.33,3.4,0
136,275.56,247.87,3.4,0
137,265.94,246.73,3.8,0
138,259.49,246.73,3.47,0
139,249.22,245.53,3.47,0
140,261.53,243.27,3.33,0
141,241.84,239.73,3.53,0
142,252.22,239.4,3.8,0
143,251.37,240,3.6,0
144,237.16,260.53,3.53,0
145,227.28,257.73,3.2,0
146,226.57,263.13,3.47,0
147,224.65,259.67,3.6,0
148,210.21,258.47,3.6,0
149,226.43,256.6,3.47,0
150,220,257.13,3.47,0
151,217.63,255.13,3.2,0
152,220.49,251.87,105.33,0
153,218.73,258.8,110.87,0
154,208.88,268.8,109,0
155,206.39,266.27,107.87,0
156,215.67,267.53,107.2,0
157,191.12,266.33,105.07,0
158,192.39,264.2,107.13,0
159,190.52,263.8,105.47,0
160,173.53,264.13,105.2,0
161,169.57,263.53,104.33,0
162,185.35,265.4,105.33,0
163,179.25,264.2,138.07,0
164,180.09,266.47,205.27,0
165,169.54,260.13,271.73,0
166,185.33,243.13,316.6,0
167,183.56,241.87,316.13,0
168,207.77,239.2,315.47,0
169,202.51,235.73,315.93,0
170,171.82,238.13,317.33,0
171,191.64,240.87,314,0
172,183.68,238.2,317.27,0
173,187.56,238.47,318.6,0
174,178.72,236.8,316.93,0
175,183.8,239.93,318.47,0
176,184.4,240.4,341.8,0
177,186.06,238.4,363.67,0
178,174.3,239.87,363.4,0
179,179.1,238.87,362.07,0
180,191.49,276.13,357.53,0
181,185.55,287.8,356.73,0
182,185.35,285.53,354,0
183,177.34,288.33,355.67,0
184,187.79,282.13,352.73,0
185,183.85,282.73,354.13,0
186,176.83,279.07,353.4,0
187,157.68,277.87,361.27,0
188,162.17,276.8,373.27,0
189,166.81,275.73,372.73,0
190,160.2,271.8,369.73,0
191,157.89,267.13,367,0
192,196.12,270.87,366.93,0
193,211.96,265.67,366.27,0
194,203.28,267.67,362.8,0
195,192.91,231.53,339,0
196,195.09,239,337.87,0
197,174.16,239.67,339,0
198,183.51,236.67,336.47,0
199,183.17,238.87,335.8,0
200,192.24,236.4,336.27,0
201,174.58,239.73,337.07,0
202,175.44,239.13,338.93,0
203,161.63,237.33,335.13,0
204,163.17,237.13,335,0
205,180.54,237.33,336,0
206,159.61,234.27,348.47,0
207,163.25,231.4,357.87,0
208,182.41,234.07,360.6,0
209,192.51,231.2,360.87,0
210,175,239.4,357.53,0
211,173.88,243.27,353.8,0
212,162.85,240.27,354.53,0
213,158.64,238.6,355.6,0
214,156.6,243.8,355.93,0
215,180.71,240.53,356.13,0
216,198.64,239.8,361.27,0
217,201.47,248.27,344.13,0
218,200.08,249,194.47,0
219,206.25,252.93,35.53,0
220,195.65,247.67,3.73,0
221,205.34,251.33,3.47,0
222,220.49,255.87,3.53,0
223,258.03,260.8,3.47,0
224,252.49,252,3.33,0
225,252.28,251.33,3.8,0
226,238.45,256.2,3.4,0
227,247.81,255.67,3.47,0
228,283.57,256.47,3.8,0
229,263.47,256.47,3.47,0
230,264.94,261.2,3.4,0
231,263.92,260.27,3.53,0
232,284.62,262.47,3.93,0
233,276.63,255.07,3.67,0
234,274.25,258.2,3.8,0
235,271.83,258.33,3.73,0
236,243.53,258.93,3.53,0
237,248.47,247.33,3.6,0
238,245.56,250,3.67,0
239,251.32,248.27,3.53,0
240,222.32,247.27,3.53,0
241,213.06,253.87,3.33,0
242,238.65,247.67,3.47,0
243,222.53,250.13,3.53,0
244,220.61,250,3.47,0
245,218.32,253.87,147.53,0
246,208.07,260.2,142.87,0
247,199.07,264.13,135.8,0
248,213.27,269.2,142.93,0
249,207.24,265.6,140.53,0
250,196.73,264.27,138.4,0
251,195.44,263.27,137.47,0
252,191.78,263.33,138.87,0
253,184.34,261.6,140.2,0
254,182.69,264.33,138.47,0
255,176.72,261.33,138.4,0
256,170.98,261.6,136.33,0
257,173.35,263.53,137.93,0
258,190.52,260.07,138,0
259,170.5,260.53,278.2,0
260,174.41,259,367.47,0
261,178.82,258.73,354.33,0
262,178.78,258.6,284.13,0
263,167.5,259.13,285.27,0
264,177.5,256.87,287.67,0
265,184.95,261.33,286.13,0
266,176.7,259.47,285.53,0
267,180.38,258.13,286.73,0
268,175.64,260.2,288.8,0
269,192.7,255.13,285.33,0
270,200.96,256.33,288.87,0
271,197.07,258.87,286.27,0
272,192.89,262.93,289.87,0
273,195.26,258.07,287.4,0
274,203.78,257.87,288.07,0
275,176.62,258.73,286.07,0
276,181.37,254.67,288.73,0
277,185.74,258,286.47,0
278,174.27,256.6,350.47,0
279,168.37,253.47,352.47,0
280,186.89,254,352.8,0
281,188.06,252.93,350.47,0
282,185.04,247.73,347.53,0
283,176.78,246.6,345.2,0
284,147.95,243.8,371.27,0
285,150.5,241.87,369.93,0
286,150.21,240.27,368.8,0
287,137.99,239.73,365.4,0
288,169.53,233.73,363.8,0
289,176.58,233.2,365.07,0
290,169.37,237.73,364.33,0
291,164.05,232.8,361.33,0
292,168.96,235.8,366.33,0
293,156.85,234.2,361.73,0
294,155.6,233.6,365.6,0
295,162.79,233.13,361.6,0
296,147.76,243.47,358.53,0
297,147.62,240.73,357.2,0
298,152.41,242.2,358.27,0
299,131.19,239.13,359,0
300,128.16,242.6,362.33,0
301,115.53,241.33,359.4,0
302,115,236.07,359.87,0
303,124.07,237.27,356.8,0
304,129.13,258.13,356,0
305,130.52,261.2,362,0
306,127.99,257.87,358.27,0
307,127.16,258.4,357.13,0
308,135.22,262.6,357.53,0
309,120.88,262.07,360,0
310,128.61,262.93,361.93,0
311,147.96,265.13,363.4,0
312,167.32,265.27,363.4,0
313,164.43,259,367.33,0
314,173.21,261.4,258.2,0
315,178.59,260.67,180.93,0
316,186.89,263.33,152.53,0
317,196,257.33,130.67,0
318,209.27,236.47,84.33,0
319,223.85,240.07,87.8,0
320,229.35,243.2,87.87,0
321,222.01,235.73,63.33,0
322,238.22,239.33,64.67,0
323,244.53,239.2,30.13,0
324,264.86,247.07,3.2,0
325,287.36,249.27,3.33,0
326,290.95,248.47,3.8,0
327,291.79,249.47,3.4,0
328,283.5,251,4.2,0
329,234.76,251.6,3.47,0
330,247.35,237.47,3.67,0
331,237.04,237.4,3.53,0
332,226.02,239.53,3.33,0
333,220.32,235.8,3.53,0
334,219.22,239.33,3.4,0
335,212.98,233.33,26.8,0
336,219.62,228.6,109.53,0
337,207.7,244.8,101.8,0
338,225.15,248.67,97.2,0
339,233.24,246.13,98.07,0
340,213.09,253.47,95.8,0
341,204.5,259.93,97.13,0
342,205.93,262.93,92.93,0
343,182.5,259.67,100.93,0
344,191.51,259.6,103.73,0
345,184.6,258.2,103.07,0
346,184.9,256.8,102,0
347,186.71,257.87,101.67,0
348,186.69,256.47,102,0
349,202.82,256.8,102.8,0
350,195.18,258.27,103.13,0
351,174.55,253.47,102.07,0
352,163.52,254.67,101.6,0
353,174.77,258.33,102.2,0
354,164.85,253.8,104.33,0
355,162.23,255.07,101.27,0
356,177.49,258.2,103.33,0
357,174.45,256.87,137.13,0
358,182.18,257.73,141.93,0
359,172.76,253.13,141.73,0
360,170.63,258.2,143.67,0
361,182.89,258.87,141.67,0
362,163.79,253.27,140.87,0
363,172.66,258.8,152.27,0
364,187.37,258.4,230.4,0
365,190.17,255.13,283.4,0
366,172.03,256,282.93,0
367,182.15,255.27,283.33,0
368,188.84,258.27,282.6,0
369,191.73,258.67,285.33,0
370,178.97,251.93,283.8,0
371,182.72,254.6,284.53,0
372,183.4,255.87,282.87,0
373,179.73,236.6,284.27,0
374,184.69,215.93,282.53,0
375,165.42,217.4,285.27,0
376,180.65,214.93,367.33,0
377,176.96,211,377.33,0
378,176.4,228.87,377.33,0
379,179.37,243.67,375.87,0
380,150.37,241.87,375.67,0
381,150.98,239.73,375,0
382,143.39,240.33,372,0
383,154.63,236.47,372.73,0
384,201.25,236.4,371.4,0
385,244.45,237.07,370.93,0
386,235.1,237.2,366.93,0
387,211.69,234.33,367.53,0
388,211.32,234.67,369.53,0
389,209.15,237.2,368,0
390,210.16,236.2,366.73,0
