iteration,data_size,number_of_attributes,number_of_trees
1,513,112,100
2,513,112,100
3,513,112,100
4,513,112,100
5,513,112,100
6,513,112,100
7,513,112,100
8,513,112,100
9,513,112,100
10,513,112,100
11,513,112,100
12,513,112,100
13,513,112,100
14,513,112,100
15,513,112,100
16,513,112,100
17,513,112,100
18,513,112,100
19,513,112,100
20,513,112,100
21,513,112,100
22,513,112,100
23,513,112,100
24,513,112,100
25,513,112,100
