id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly,anomaly_1,anomaly_2,anomaly_3,anomaly_4,anomaly_5,anomaly_6,anomaly_7,anomaly_8,anomaly_9,anomaly_10,anomaly_11,anomaly_12,anomaly_13,anomaly_14,anomaly_15,anomaly_16,anomaly_17,anomaly_18,anomaly_19,anomaly_20,anomaly_21,anomaly_22,anomaly_23,anomaly_24,anomaly_25,anomaly_average,anomaly_probability
911,n_px,2.58,month_day_hour_min,911,0.51,0.45,0.39,0.48,0.45,0.43,0.36,0.43,0.46,0.41,0.43,0.42,0.42,0.43,0.42,0.39,0.41,0.38,0.41,0.39,0.41,0.43,0.41,0.40,0.40,10.52,0.42,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
912,n_px,2.54,month_day_hour_min,912,0.51,0.52,0.39,0.48,0.44,0.39,0.35,0.41,0.44,0.41,0.44,0.41,0.42,0.41,0.42,0.40,0.41,0.40,0.40,0.41,0.42,0.43,0.40,0.40,0.39,10.50,0.42,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
913,n_px,2.51,month_day_hour_min,913,0.51,0.50,0.38,0.43,0.37,0.38,0.36,0.44,0.43,0.39,0.40,0.39,0.40,0.43,0.39,0.42,0.41,0.39,0.39,0.40,0.40,0.41,0.40,0.41,0.39,10.22,0.41,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
914,n_px,2.47,month_day_hour_min,914,0.40,0.50,0.39,0.46,0.38,0.36,0.35,0.41,0.42,0.39,0.38,0.41,0.41,0.42,0.40,0.40,0.39,0.39,0.40,0.39,0.39,0.42,0.39,0.39,0.39,10.03,0.40,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
915,n_px,2.44,month_day_hour_min,915,0.40,0.45,0.37,0.39,0.39,0.39,0.36,0.36,0.42,0.39,0.37,0.39,0.40,0.40,0.39,0.39,0.40,0.38,0.38,0.37,0.37,0.37,0.37,0.40,0.38,9.68,0.39,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
916,n_px,2.4,month_day_hour_min,916,0.40,0.39,0.46,0.39,0.38,0.38,0.39,0.37,0.43,0.38,0.38,0.40,0.42,0.39,0.38,0.38,0.39,0.38,0.39,0.38,0.38,0.37,0.38,0.39,0.39,9.77,0.39,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
917,n_px,2.37,month_day_hour_min,917,0.40,0.39,0.38,0.43,0.38,0.38,0.36,0.38,0.42,0.39,0.37,0.40,0.41,0.40,0.40,0.39,0.40,0.38,0.38,0.37,0.38,0.38,0.38,0.40,0.38,9.73,0.39,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
918,n_px,2.33,month_day_hour_min,918,0.40,0.46,0.37,0.36,0.39,0.40,0.38,0.37,0.47,0.38,0.37,0.40,0.39,0.42,0.42,0.38,0.40,0.38,0.37,0.37,0.38,0.38,0.39,0.39,0.37,9.79,0.39,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
919,n_px,2.29,month_day_hour_min,919,0.40,0.39,0.38,0.41,0.39,0.40,0.41,0.39,0.47,0.40,0.42,0.38,0.40,0.42,0.40,0.39,0.40,0.38,0.40,0.39,0.37,0.38,0.39,0.40,0.38,9.94,0.40,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
920,n_px,2.25,month_day_hour_min,920,0.56,0.39,0.37,0.36,0.40,0.47,0.42,0.40,0.47,0.40,0.43,0.42,0.42,0.41,0.41,0.40,0.41,0.40,0.41,0.42,0.41,0.39,0.41,0.41,0.38,10.37,0.41,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
921,n_px,2.22,month_day_hour_min,921,0.56,0.39,0.56,0.37,0.40,0.51,0.42,0.42,0.50,0.39,0.49,0.46,0.44,0.42,0.45,0.42,0.48,0.44,0.44,0.47,0.46,0.41,0.42,0.44,0.41,11.17,0.45,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
922,n_px,2.18,month_day_hour_min,922,0.36,0.46,0.47,0.36,0.41,0.53,0.46,0.48,0.50,0.40,0.51,0.45,0.44,0.44,0.44,0.42,0.47,0.46,0.45,0.45,0.44,0.43,0.44,0.46,0.40,11.13,0.45,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
923,n_px,2.14,month_day_hour_min,923,0.36,0.45,0.46,0.41,0.40,0.54,0.47,0.46,0.48,0.39,0.49,0.43,0.44,0.42,0.42,0.40,0.48,0.44,0.44,0.46,0.43,0.41,0.41,0.43,0.41,10.93,0.44,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
924,n_px,2.11,month_day_hour_min,924,0.36,0.39,0.48,0.41,0.40,0.53,0.46,0.40,0.52,0.38,0.48,0.43,0.45,0.46,0.45,0.40,0.48,0.44,0.46,0.45,0.44,0.42,0.41,0.43,0.41,10.94,0.44,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
925,n_px,2.08,month_day_hour_min,925,0.36,0.45,0.48,0.37,0.47,0.53,0.47,0.40,0.52,0.40,0.48,0.43,0.45,0.46,0.43,0.41,0.49,0.45,0.44,0.47,0.47,0.41,0.41,0.45,0.41,11.11,0.44,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
