iteration,data_size,number_of_attributes,number_of_trees
1,1000,13,1
2,1000,13,2
3,1000,13,3
4,1000,13,4
5,1000,13,5
6,1000,13,6
7,1000,13,7
8,1000,13,8
9,1000,13,9
10,1000,13,10
11,1000,13,11
12,1000,13,12
13,1000,13,13
14,1000,13,14
15,1000,13,15
16,1000,13,16
17,1000,13,17
18,1000,13,18
19,1000,13,19
20,1000,13,20
21,1000,13,21
22,1000,13,22
23,1000,13,23
24,1000,13,24
25,1000,13,25
