iteration,data_size,number_of_attributes,number_of_trees
1,299,73,100
2,299,73,100
3,299,73,100
4,299,73,100
5,299,73,100
6,299,73,100
7,299,73,100
8,299,73,100
9,299,73,100
10,299,73,100
11,299,73,100
12,299,73,100
13,299,73,100
14,299,73,100
15,299,73,100
16,299,73,100
17,299,73,100
18,299,73,100
19,299,73,100
20,299,73,100
21,299,73,100
22,299,73,100
23,299,73,100
24,299,73,100
25,299,73,100
