id,value_y,value_x,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
23,0.6304347826086958,0.004881154499151104,0.38,0.38,0.39,0.40,0.40,0.39,0.39,0.38,0.39,0.38,0.40,0.39,0.38,0.42,0.39,0.38,0.39,0.39,0.40,0.38,0.39,0.37,0.37,0.38,0.39,9.70,0.39,false
24,0.5978260869565221,0.0050933786078098476,0.38,0.38,0.37,0.39,0.38,0.39,0.38,0.37,0.39,0.39,0.39,0.40,0.37,0.39,0.40,0.39,0.38,0.40,0.38,0.37,0.38,0.37,0.37,0.38,0.40,9.59,0.38,false
25,0.5652173913043479,0.005305602716468591,0.42,0.41,0.39,0.42,0.43,0.41,0.45,0.43,0.44,0.42,0.43,0.43,0.42,0.44,0.43,0.42,0.44,0.41,0.43,0.41,0.43,0.42,0.43,0.45,0.42,10.63,0.43,false
26,0.5217391304347826,0.0055178268251273345,0.38,0.38,0.37,0.40,0.39,0.39,0.38,0.37,0.38,0.38,0.40,0.39,0.38,0.39,0.38,0.39,0.39,0.39,0.40,0.37,0.39,0.37,0.38,0.39,0.39,9.62,0.38,false
27,0.4891304347826089,0.005730050933786078,0.39,0.39,0.38,0.41,0.41,0.40,0.41,0.39,0.41,0.40,0.41,0.40,0.39,0.40,0.40,0.40,0.39,0.39,0.40,0.39,0.40,0.39,0.41,0.40,0.41,9.97,0.40,false
28,0.45652173913043476,0.005942275042444821,0.40,0.39,0.39,0.41,0.40,0.41,0.42,0.39,0.41,0.40,0.41,0.40,0.40,0.41,0.41,0.39,0.39,0.41,0.42,0.40,0.41,0.39,0.40,0.39,0.40,10.05,0.40,false
29,0.42391304347826103,0.006154499151103565,0.46,0.46,0.46,0.50,0.47,0.48,0.49,0.46,0.48,0.45,0.49,0.47,0.47,0.48,0.48,0.48,0.46,0.46,0.47,0.48,0.47,0.47,0.47,0.45,0.48,11.79,0.47,false
30,0.3804347826086958,0.006366723259762309,0.39,0.41,0.39,0.41,0.41,0.41,0.42,0.40,0.41,0.40,0.40,0.40,0.41,0.40,0.42,0.41,0.40,0.40,0.43,0.40,0.40,0.40,0.39,0.40,0.40,10.11,0.40,false
31,0.3478260869565216,0.006578947368421052,0.38,0.39,0.37,0.40,0.41,0.40,0.41,0.38,0.40,0.40,0.40,0.40,0.39,0.39,0.41,0.40,0.39,0.40,0.42,0.39,0.39,0.38,0.40,0.39,0.41,9.90,0.40,false
32,0.3043478260869568,0.006791171477079796,0.39,0.40,0.38,0.42,0.41,0.42,0.43,0.39,0.43,0.41,0.42,0.40,0.40,0.39,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.38,0.40,0.41,0.43,10.19,0.41,false
33,0.28260869565217417,0.00700339558573854,0.40,0.41,0.39,0.42,0.41,0.43,0.41,0.41,0.41,0.42,0.42,0.43,0.40,0.41,0.42,0.40,0.42,0.42,0.41,0.41,0.43,0.39,0.43,0.43,0.43,10.36,0.41,false
