id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
385,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.751953125,0.48,0.47,0.49,0.47,0.48,0.49,0.47,0.49,0.50,0.49,0.49,0.46,0.47,0.48,0.47,0.48,0.48,0.47,0.45,0.48,0.48,0.47,0.47,0.48,0.47,11.93,0.48,false
386,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.75390625,0.45,0.46,0.47,0.46,0.46,0.47,0.46,0.45,0.47,0.46,0.47,0.46,0.46,0.44,0.46,0.47,0.47,0.44,0.46,0.46,0.48,0.46,0.46,0.46,0.47,11.53,0.46,false
387,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.755859375,0.51,0.52,0.51,0.52,0.51,0.50,0.52,0.51,0.50,0.52,0.51,0.50,0.50,0.51,0.53,0.51,0.48,0.51,0.49,0.52,0.51,0.50,0.50,0.51,0.51,12.71,0.51,false
388,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.7578125,0.54,0.55,0.54,0.55,0.55,0.53,0.54,0.54,0.53,0.54,0.55,0.55,0.53,0.55,0.56,0.55,0.54,0.55,0.53,0.54,0.52,0.54,0.55,0.55,0.55,13.57,0.54,false
389,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.759765625,0.45,0.47,0.47,0.47,0.46,0.47,0.46,0.47,0.47,0.46,0.47,0.46,0.47,0.46,0.46,0.47,0.48,0.45,0.46,0.46,0.47,0.47,0.46,0.48,0.48,11.65,0.47,false
390,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.76171875,0.43,0.44,0.43,0.44,0.44,0.44,0.43,0.43,0.43,0.43,0.44,0.43,0.43,0.43,0.45,0.43,0.44,0.43,0.43,0.43,0.45,0.43,0.44,0.44,0.43,10.87,0.43,false
391,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.763671875,0.52,0.52,0.53,0.54,0.53,0.53,0.52,0.53,0.53,0.51,0.52,0.52,0.52,0.52,0.54,0.52,0.50,0.52,0.51,0.53,0.53,0.52,0.53,0.52,0.52,13.08,0.52,false
392,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.765625,0.43,0.44,0.43,0.44,0.44,0.44,0.43,0.43,0.44,0.43,0.45,0.42,0.43,0.43,0.44,0.44,0.44,0.44,0.43,0.43,0.45,0.43,0.43,0.44,0.43,10.88,0.44,false
393,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.767578125,0.53,0.51,0.53,0.50,0.52,0.52,0.50,0.52,0.52,0.54,0.52,0.51,0.51,0.52,0.52,0.53,0.51,0.52,0.49,0.51,0.51,0.51,0.52,0.52,0.51,12.90,0.52,false
394,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.76953125,0.53,0.53,0.52,0.53,0.54,0.52,0.53,0.54,0.51,0.51,0.54,0.52,0.52,0.52,0.53,0.53,0.52,0.53,0.52,0.53,0.53,0.52,0.53,0.51,0.54,13.15,0.53,false
