id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly,anomaly_1,anomaly_2,anomaly_3,anomaly_4,anomaly_5,anomaly_6,anomaly_7,anomaly_8,anomaly_9,anomaly_10,anomaly_11,anomaly_12,anomaly_13,anomaly_14,anomaly_15,anomaly_16,anomaly_17,anomaly_18,anomaly_19,anomaly_20,anomaly_21,anomaly_22,anomaly_23,anomaly_24,anomaly_25,anomaly_average,anomaly_probability
177,uplink_message.rx_metadata_0.time,0.345703125,received_at,0.345703125,0.43,0.44,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.44,0.45,0.46,0.44,0.43,0.46,0.46,0.43,0.44,0.44,0.44,0.43,0.43,0.45,0.45,0.44,11.07,0.44,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
178,uplink_message.rx_metadata_0.time,0.34765625,received_at,0.34765625,0.44,0.43,0.44,0.44,0.44,0.46,0.45,0.44,0.44,0.45,0.45,0.46,0.45,0.46,0.44,0.45,0.45,0.44,0.44,0.45,0.43,0.44,0.44,0.44,0.45,11.12,0.44,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
179,uplink_message.rx_metadata_0.time,0.349609375,received_at,0.349609375,0.42,0.42,0.42,0.43,0.42,0.43,0.42,0.42,0.42,0.42,0.42,0.43,0.42,0.42,0.43,0.44,0.43,0.42,0.42,0.43,0.41,0.42,0.43,0.41,0.44,10.59,0.42,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
180,uplink_message.rx_metadata_0.time,0.3515625,received_at,0.3515625,0.50,0.48,0.50,0.49,0.49,0.49,0.50,0.49,0.50,0.49,0.49,0.50,0.49,0.48,0.51,0.50,0.49,0.49,0.47,0.49,0.50,0.51,0.48,0.46,0.50,12.29,0.49,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.08,true
181,uplink_message.rx_metadata_0.time,0.353515625,received_at,0.353515625,0.49,0.47,0.47,0.49,0.47,0.52,0.48,0.48,0.50,0.49,0.48,0.49,0.48,0.49,0.50,0.50,0.48,0.48,0.48,0.48,0.48,0.50,0.50,0.48,0.51,12.19,0.49,false,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08,true
182,uplink_message.rx_metadata_0.time,0.35546875,received_at,0.35546875,0.43,0.42,0.42,0.42,0.43,0.43,0.44,0.43,0.43,0.43,0.43,0.43,0.44,0.43,0.44,0.43,0.42,0.43,0.44,0.45,0.42,0.43,0.44,0.41,0.43,10.75,0.43,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
183,uplink_message.rx_metadata_0.time,0.357421875,received_at,0.357421875,0.50,0.51,0.51,0.52,0.51,0.50,0.50,0.51,0.50,0.50,0.51,0.53,0.53,0.52,0.54,0.51,0.52,0.52,0.52,0.52,0.52,0.52,0.53,0.51,0.51,12.87,0.51,true,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.80,true
184,uplink_message.rx_metadata_0.time,0.359375,received_at,0.359375,0.47,0.49,0.47,0.46,0.48,0.47,0.49,0.46,0.46,0.48,0.46,0.49,0.47,0.48,0.49,0.48,0.46,0.48,0.48,0.49,0.51,0.49,0.48,0.47,0.48,11.94,0.48,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.04,true
185,uplink_message.rx_metadata_0.time,0.361328125,received_at,0.361328125,0.42,0.41,0.41,0.40,0.43,0.41,0.42,0.41,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.40,0.42,0.42,0.42,0.42,0.42,0.42,0.41,0.41,10.41,0.42,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
186,uplink_message.rx_metadata_0.time,0.36328125,received_at,0.36328125,0.43,0.43,0.42,0.43,0.42,0.43,0.42,0.43,0.43,0.42,0.43,0.44,0.44,0.43,0.43,0.44,0.43,0.43,0.43,0.43,0.42,0.42,0.43,0.42,0.44,10.72,0.43,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
187,uplink_message.rx_metadata_0.time,0.365234375,received_at,0.365234375,0.44,0.45,0.44,0.44,0.45,0.44,0.43,0.43,0.44,0.44,0.44,0.45,0.45,0.42,0.46,0.45,0.44,0.44,0.44,0.44,0.44,0.43,0.45,0.43,0.44,11.02,0.44,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
188,uplink_message.rx_metadata_0.time,0.3671875,received_at,0.3671875,0.42,0.42,0.42,0.42,0.42,0.42,0.41,0.42,0.42,0.42,0.42,0.43,0.43,0.41,0.43,0.42,0.42,0.42,0.42,0.42,0.41,0.42,0.43,0.41,0.43,10.51,0.42,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
189,uplink_message.rx_metadata_0.time,0.369140625,received_at,0.369140625,0.43,0.43,0.43,0.43,0.43,0.43,0.42,0.43,0.44,0.43,0.43,0.44,0.43,0.42,0.43,0.44,0.43,0.43,0.43,0.43,0.41,0.42,0.43,0.42,0.45,10.74,0.43,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
190,uplink_message.rx_metadata_0.time,0.37109375,received_at,0.37109375,0.44,0.43,0.43,0.43,0.43,0.43,0.43,0.44,0.44,0.44,0.44,0.45,0.45,0.44,0.44,0.45,0.44,0.43,0.43,0.44,0.42,0.42,0.43,0.43,0.45,10.90,0.44,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
191,uplink_message.rx_metadata_0.time,0.373046875,received_at,0.373046875,0.49,0.49,0.51,0.50,0.49,0.49,0.51,0.50,0.50,0.49,0.49,0.51,0.50,0.50,0.50,0.49,0.49,0.50,0.48,0.49,0.49,0.50,0.48,0.47,0.50,12.36,0.49,false,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,true
192,uplink_message.rx_metadata_0.time,0.375,received_at,0.375,0.41,0.40,0.40,0.39,0.41,0.40,0.40,0.40,0.40,0.41,0.40,0.41,0.40,0.40,0.40,0.41,0.38,0.40,0.41,0.41,0.40,0.40,0.40,0.40,0.40,10.04,0.40,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
193,uplink_message.rx_metadata_0.time,0.376953125,received_at,0.376953125,0.44,0.44,0.45,0.43,0.44,0.45,0.44,0.43,0.45,0.44,0.44,0.44,0.44,0.44,0.45,0.46,0.41,0.44,0.45,0.45,0.43,0.44,0.44,0.44,0.43,11.01,0.44,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
194,uplink_message.rx_metadata_0.time,0.37890625,received_at,0.37890625,0.43,0.43,0.43,0.44,0.44,0.43,0.44,0.44,0.44,0.43,0.43,0.44,0.45,0.42,0.44,0.44,0.44,0.43,0.44,0.45,0.42,0.42,0.44,0.42,0.44,10.87,0.43,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
195,uplink_message.rx_metadata_0.time,0.380859375,received_at,0.380859375,0.54,0.55,0.55,0.55,0.53,0.54,0.55,0.54,0.53,0.54,0.55,0.55,0.54,0.54,0.54,0.54,0.55,0.55,0.53,0.55,0.55,0.54,0.54,0.54,0.56,13.59,0.54,true,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.00,true
196,uplink_message.rx_metadata_0.time,0.3828125,received_at,0.3828125,0.41,0.40,0.39,0.40,0.41,0.40,0.41,0.39,0.40,0.40,0.40,0.40,0.39,0.39,0.40,0.40,0.39,0.39,0.40,0.40,0.40,0.38,0.40,0.39,0.40,9.94,0.40,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
197,uplink_message.rx_metadata_0.time,0.384765625,received_at,0.384765625,0.46,0.46,0.46,0.45,0.48,0.46,0.45,0.45,0.45,0.47,0.45,0.47,0.45,0.45,0.47,0.46,0.44,0.46,0.46,0.46,0.48,0.45,0.45,0.44,0.46,11.44,0.46,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
198,uplink_message.rx_metadata_0.time,0.38671875,received_at,0.38671875,0.54,0.55,0.56,0.56,0.54,0.53,0.56,0.54,0.54,0.54,0.54,0.55,0.54,0.54,0.56,0.54,0.55,0.55,0.54,0.55,0.55,0.55,0.54,0.54,0.57,13.67,0.55,true,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.00,true
199,uplink_message.rx_metadata_0.time,0.388671875,received_at,0.388671875,0.50,0.51,0.51,0.49,0.49,0.49,0.50,0.50,0.49,0.49,0.49,0.51,0.51,0.50,0.52,0.49,0.48,0.50,0.49,0.50,0.49,0.49,0.49,0.48,0.51,12.42,0.50,false,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0.24,true
200,uplink_message.rx_metadata_0.time,0.390625,received_at,0.390625,0.41,0.39,0.38,0.39,0.40,0.39,0.40,0.39,0.40,0.40,0.39,0.39,0.39,0.39,0.39,0.41,0.38,0.39,0.39,0.40,0.39,0.38,0.40,0.38,0.39,9.81,0.39,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
201,uplink_message.rx_metadata_0.time,0.392578125,received_at,0.392578125,0.46,0.47,0.46,0.47,0.49,0.46,0.47,0.46,0.47,0.49,0.45,0.47,0.45,0.47,0.47,0.46,0.45,0.49,0.46,0.48,0.50,0.47,0.46,0.47,0.47,11.72,0.47,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
202,uplink_message.rx_metadata_0.time,0.39453125,received_at,0.39453125,0.43,0.45,0.43,0.44,0.45,0.44,0.44,0.43,0.44,0.45,0.43,0.44,0.42,0.44,0.45,0.44,0.42,0.44,0.43,0.44,0.45,0.43,0.44,0.43,0.44,10.94,0.44,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
203,uplink_message.rx_metadata_0.time,0.396484375,received_at,0.396484375,0.39,0.38,0.38,0.38,0.40,0.38,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.40,0.37,0.38,0.39,0.39,0.39,0.38,0.39,0.38,0.39,9.65,0.39,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
204,uplink_message.rx_metadata_0.time,0.3984375,received_at,0.3984375,0.40,0.39,0.39,0.38,0.41,0.39,0.40,0.40,0.40,0.40,0.39,0.40,0.39,0.39,0.39,0.41,0.39,0.40,0.39,0.40,0.39,0.39,0.39,0.39,0.41,9.88,0.40,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
205,uplink_message.rx_metadata_0.time,0.400390625,received_at,0.400390625,0.46,0.46,0.45,0.45,0.47,0.46,0.46,0.47,0.46,0.46,0.47,0.48,0.48,0.45,0.47,0.46,0.46,0.46,0.46,0.46,0.44,0.45,0.46,0.45,0.46,11.51,0.46,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
206,uplink_message.rx_metadata_0.time,0.40234375,received_at,0.40234375,0.47,0.46,0.46,0.46,0.48,0.46,0.46,0.47,0.47,0.45,0.47,0.48,0.48,0.46,0.47,0.47,0.47,0.46,0.46,0.46,0.44,0.45,0.46,0.45,0.47,11.59,0.46,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
207,uplink_message.rx_metadata_0.time,0.404296875,received_at,0.404296875,0.40,0.41,0.41,0.41,0.42,0.41,0.41,0.41,0.42,0.42,0.41,0.41,0.41,0.41,0.42,0.42,0.39,0.41,0.42,0.41,0.40,0.42,0.42,0.41,0.42,10.30,0.41,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
208,uplink_message.rx_metadata_0.time,0.40625,received_at,0.40625,0.39,0.39,0.38,0.38,0.40,0.38,0.39,0.39,0.39,0.40,0.38,0.38,0.38,0.38,0.39,0.39,0.38,0.38,0.39,0.39,0.37,0.38,0.39,0.37,0.39,9.63,0.39,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
209,uplink_message.rx_metadata_0.time,0.408203125,received_at,0.408203125,0.39,0.38,0.37,0.38,0.40,0.38,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.40,0.38,0.38,0.39,0.39,0.38,0.38,0.38,0.38,0.38,9.60,0.38,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
210,uplink_message.rx_metadata_0.time,0.41015625,received_at,0.41015625,0.50,0.51,0.52,0.49,0.51,0.50,0.49,0.50,0.52,0.51,0.50,0.52,0.52,0.50,0.52,0.52,0.51,0.50,0.53,0.49,0.48,0.52,0.50,0.48,0.51,12.65,0.51,true,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0.52,true
211,uplink_message.rx_metadata_0.time,0.412109375,received_at,0.412109375,0.39,0.40,0.39,0.39,0.41,0.40,0.40,0.39,0.41,0.40,0.39,0.40,0.40,0.39,0.40,0.41,0.39,0.40,0.39,0.39,0.39,0.40,0.39,0.39,0.40,9.91,0.40,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
212,uplink_message.rx_metadata_0.time,0.4140625,received_at,0.4140625,0.49,0.49,0.49,0.48,0.50,0.50,0.48,0.49,0.50,0.48,0.50,0.48,0.51,0.49,0.49,0.51,0.49,0.48,0.49,0.50,0.47,0.48,0.51,0.49,0.50,12.29,0.49,false,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.12,true
