iteration,data_size,number_of_attributes,number_of_trees
1,513,13,100
2,513,13,100
3,513,13,100
4,513,13,100
5,513,13,100
6,513,13,100
7,513,13,100
8,513,13,100
9,513,13,100
10,513,13,100
11,513,13,100
12,513,13,100
13,513,13,100
14,513,13,100
15,513,13,100
16,513,13,100
17,513,13,100
18,513,13,100
19,513,13,100
20,513,13,100
21,513,13,100
22,513,13,100
23,513,13,100
24,513,13,100
25,513,13,100
