id,value_y_name,value_y,value_x_name,value_x,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
87,end_device_ids.device_id,1,0,0.1743486973947896,0.49,0.49,0.50,0.50,0.51,0.51,0.50,0.51,0.50,0.49,0.48,0.52,0.50,0.52,0.50,0.48,0.49,0.50,0.50,0.50,0.51,0.50,0.47,0.51,0.49,12.47,0.50,false
88,end_device_ids.device_id,0.42857142857142855,0,0.17635270541082165,0.49,0.51,0.49,0.48,0.49,0.48,0.49,0.48,0.51,0.49,0.52,0.48,0.49,0.49,0.49,0.49,0.46,0.48,0.49,0.48,0.49,0.49,0.49,0.48,0.46,12.19,0.49,false
89,end_device_ids.device_id,0,0,0.17835671342685372,0.49,0.52,0.50,0.52,0.52,0.49,0.49,0.51,0.51,0.50,0.49,0.49,0.50,0.52,0.51,0.51,0.49,0.51,0.51,0.49,0.50,0.51,0.49,0.52,0.52,12.61,0.50,false
90,end_device_ids.device_id,0.07142857142857142,0,0.18036072144288579,0.47,0.50,0.47,0.46,0.46,0.47,0.47,0.45,0.47,0.47,0.47,0.48,0.48,0.46,0.46,0.44,0.47,0.48,0.47,0.46,0.45,0.46,0.45,0.45,0.45,11.62,0.46,false
91,end_device_ids.device_id,0.14285714285714285,0,0.18236472945891782,0.45,0.46,0.44,0.45,0.46,0.45,0.44,0.46,0.46,0.43,0.45,0.45,0.46,0.45,0.45,0.44,0.44,0.44,0.45,0.45,0.46,0.44,0.45,0.45,0.45,11.23,0.45,false
92,end_device_ids.device_id,0.21428571428571427,0,0.1843687374749499,0.42,0.43,0.42,0.42,0.42,0.42,0.41,0.42,0.43,0.41,0.42,0.42,0.43,0.42,0.42,0.40,0.40,0.41,0.42,0.43,0.42,0.41,0.42,0.41,0.42,10.45,0.42,false
93,end_device_ids.device_id,0.2857142857142857,0,0.18637274549098196,0.41,0.40,0.40,0.40,0.40,0.40,0.39,0.39,0.40,0.40,0.40,0.39,0.40,0.39,0.40,0.38,0.38,0.40,0.40,0.40,0.39,0.39,0.40,0.40,0.41,9.92,0.40,false
94,end_device_ids.device_id,0.35714285714285715,0,0.18837675350701402,0.38,0.39,0.38,0.39,0.39,0.38,0.39,0.38,0.39,0.38,0.38,0.38,0.39,0.38,0.38,0.39,0.37,0.39,0.38,0.39,0.40,0.38,0.38,0.39,0.38,9.61,0.38,false
95,end_device_ids.device_id,0.42857142857142855,0,0.1903807615230461,0.48,0.49,0.46,0.47,0.48,0.47,0.48,0.48,0.50,0.48,0.50,0.47,0.48,0.48,0.48,0.47,0.46,0.47,0.48,0.47,0.48,0.47,0.49,0.46,0.45,11.90,0.48,false
96,end_device_ids.device_id,0.5,0,0.19238476953907815,0.50,0.50,0.51,0.50,0.50,0.50,0.50,0.52,0.52,0.50,0.50,0.51,0.50,0.52,0.52,0.51,0.50,0.50,0.52,0.52,0.50,0.49,0.50,0.50,0.50,12.64,0.51,false
97,end_device_ids.device_id,0.5714285714285714,0,0.19438877755511022,0.39,0.39,0.39,0.39,0.39,0.40,0.39,0.39,0.40,0.38,0.38,0.38,0.40,0.39,0.39,0.38,0.38,0.40,0.38,0.39,0.38,0.38,0.39,0.38,0.39,9.70,0.39,false
98,end_device_ids.device_id,0.6428571428571429,0,0.1963927855711423,0.40,0.41,0.41,0.41,0.41,0.42,0.41,0.40,0.42,0.41,0.40,0.41,0.41,0.39,0.41,0.41,0.41,0.41,0.41,0.40,0.41,0.41,0.41,0.42,0.40,10.21,0.41,false
99,end_device_ids.device_id,0.7142857142857143,0,0.19839679358717435,0.38,0.38,0.38,0.38,0.39,0.38,0.38,0.38,0.39,0.37,0.39,0.38,0.39,0.37,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.38,9.51,0.38,false
100,end_device_ids.device_id,0.7857142857142857,0,0.20040080160320642,0.39,0.39,0.38,0.38,0.39,0.38,0.39,0.38,0.38,0.37,0.38,0.38,0.39,0.38,0.39,0.38,0.38,0.39,0.38,0.39,0.38,0.38,0.39,0.37,0.37,9.56,0.38,false
101,end_device_ids.device_id,0.14285714285714285,0,0.20240480961923848,0.44,0.45,0.43,0.44,0.45,0.44,0.44,0.45,0.46,0.43,0.45,0.44,0.45,0.45,0.45,0.44,0.44,0.44,0.45,0.45,0.46,0.44,0.44,0.45,0.44,11.12,0.44,false
102,end_device_ids.device_id,0.21428571428571427,0,0.20440881763527055,0.43,0.44,0.44,0.43,0.45,0.44,0.43,0.45,0.45,0.42,0.44,0.45,0.44,0.44,0.45,0.44,0.42,0.43,0.44,0.44,0.45,0.42,0.44,0.44,0.43,10.95,0.44,false
103,end_device_ids.device_id,0.8571428571428571,0,0.20641282565130262,0.43,0.45,0.42,0.43,0.43,0.42,0.44,0.43,0.43,0.43,0.44,0.44,0.42,0.44,0.43,0.42,0.45,0.43,0.43,0.44,0.44,0.43,0.43,0.41,0.42,10.78,0.43,false
104,end_device_ids.device_id,0.9285714285714286,0,0.20841683366733466,0.40,0.39,0.38,0.40,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.39,0.39,0.39,0.39,0.38,0.39,0.39,0.38,0.39,0.40,0.39,0.38,0.38,0.38,9.71,0.39,false
105,end_device_ids.device_id,1,0,0.21042084168336672,0.50,0.51,0.50,0.52,0.52,0.52,0.50,0.51,0.52,0.51,0.51,0.54,0.51,0.53,0.50,0.50,0.52,0.51,0.50,0.52,0.50,0.50,0.50,0.51,0.49,12.75,0.51,false
106,end_device_ids.device_id,0.42857142857142855,0,0.2124248496993988,0.50,0.51,0.49,0.49,0.49,0.50,0.47,0.49,0.49,0.49,0.48,0.48,0.48,0.49,0.50,0.47,0.47,0.48,0.48,0.49,0.51,0.48,0.49,0.49,0.47,12.18,0.49,false
107,end_device_ids.device_id,0,0,0.21442885771543085,0.65,0.62,0.64,0.65,0.63,0.63,0.63,0.64,0.61,0.64,0.66,0.64,0.63,0.65,0.61,0.65,0.64,0.65,0.63,0.64,0.65,0.63,0.63,0.66,0.65,15.96,0.64,false
108,end_device_ids.device_id,0.07142857142857142,0,0.21643286573146292,0.50,0.51,0.52,0.52,0.52,0.53,0.52,0.52,0.53,0.53,0.54,0.53,0.51,0.52,0.51,0.52,0.51,0.50,0.54,0.52,0.52,0.51,0.51,0.50,0.50,12.94,0.52,false
109,end_device_ids.device_id,0.14285714285714285,0,0.218436873747495,0.42,0.43,0.42,0.42,0.43,0.43,0.42,0.43,0.43,0.42,0.42,0.42,0.43,0.43,0.43,0.42,0.41,0.42,0.44,0.43,0.44,0.43,0.41,0.42,0.41,10.61,0.42,false
110,end_device_ids.device_id,0.21428571428571427,0,0.22044088176352705,0.44,0.45,0.43,0.44,0.46,0.43,0.43,0.45,0.45,0.44,0.42,0.44,0.45,0.43,0.43,0.42,0.43,0.45,0.45,0.44,0.45,0.43,0.43,0.43,0.43,10.95,0.44,false
111,end_device_ids.device_id,0.2857142857142857,0,0.22244488977955912,0.41,0.40,0.41,0.42,0.40,0.40,0.40,0.40,0.40,0.39,0.39,0.40,0.41,0.40,0.40,0.40,0.39,0.41,0.40,0.41,0.42,0.39,0.41,0.39,0.40,10.05,0.40,false
112,end_device_ids.device_id,0.35714285714285715,0,0.22444889779559118,0.39,0.39,0.39,0.38,0.39,0.38,0.39,0.39,0.40,0.38,0.39,0.39,0.40,0.39,0.38,0.39,0.38,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,9.72,0.39,false
113,end_device_ids.device_id,0.42857142857142855,0,0.22645290581162325,0.48,0.49,0.50,0.49,0.49,0.49,0.48,0.48,0.49,0.46,0.47,0.48,0.48,0.49,0.50,0.49,0.49,0.47,0.49,0.47,0.50,0.47,0.50,0.49,0.48,12.12,0.48,false
