iteration,data_size,number_of_attributes,number_of_trees
1,500,72,1
2,500,72,2
3,500,72,3
4,500,72,4
5,500,72,5
6,500,72,6
7,500,72,7
8,500,72,8
9,500,72,9
10,500,72,10
11,500,72,11
12,500,72,12
13,500,72,13
14,500,72,14
15,500,72,15
16,500,72,16
17,500,72,17
18,500,72,18
19,500,72,19
20,500,72,20
21,500,72,21
22,500,72,22
23,500,72,23
24,500,72,24
25,500,72,25
