month_day_hour_min;n_px;n_p;truth
265;1.91;0.101;0
266;1.91;0.1;0
267;1.92;0.1;0
268;1.92;0.1;0
269;1.92;0.1;0
270;1.91;0.101;0
271;1.91;0.1;0
272;1.9;0.1;0
273;1.89;0.101;0
274;1.89;0.1;0
275;1.88;0.1;0
276;1.88;0.101;0
277;1.89;0.103;0
278;1.9;0.101;0
279;1.92;0.101;0
280;1.94;0.101;0
281;1.97;0.101;0
282;2;0.1;0
283;2.04;0.1;0
284;2.07;0.1;0
285;2.12;0.1;0
286;2.16;0.101;0
287;2.21;0.101;0
288;2.27;0.101;0
289;2.32;0.1;0
290;2.37;0.101;0
291;2.43;0.101;0
292;2.49;0.1;0
293;2.53;0.1;0
294;2.59;0.1;0
295;2.64;0.1;0
296;2.69;0.1;0
297;2.75;0.101;0
298;2.81;0.1;0
299;2.86;0.1;0
300;2.92;0.1;0
301;2.97;0.1;0
302;3.03;0.101;0
303;3.08;0.102;0
304;3.14;0.101;0
305;3.2;0.102;0
306;3.24;0.1;0
307;3.3;0.1;0
308;3.36;0.1;0
309;3.41;0.101;0
310;3.45;0.1;0
311;3.5;0.1;0
312;3.54;0.1;0
313;3.57;0.101;0
314;3.6;0.1;0
315;3.61;0.1;0
316;3.61;0.101;0
317;3.6;0.1;0
318;3.57;0.1;0
319;3.53;0.1;0
320;3.49;0.1;0
321;3.45;0.101;0
322;3.39;0.1;0
323;3.34;0.1;0
324;3.28;0.1;0
325;3.22;0.1;0
326;3.15;0.1;0
327;3.09;0.1;0
328;3.03;0.101;0
329;2.97;0.101;0
330;2.91;0.103;0
331;2.85;0.101;0
332;2.79;0.101;0
333;2.73;0.103;0
334;2.68;0.103;0
335;2.62;0.105;0
336;2.57;0.101;0
337;2.53;0.105;0
338;2.5;0.105;0
339;2.45;0.101;0
340;2.42;0.103;0
341;2.38;0.102;0
342;2.34;0.104;0
343;2.31;0.105;0
344;2.27;0.108;0
345;2.24;0.105;0
346;2.2;0.101;0
347;2.17;0.103;0
348;2.15;0.101;0
349;2.12;0.103;0
350;2.1;0.103;0
351;2.07;0.101;0
352;2.05;0.103;0
353;2.03;0.105;0
354;2.01;0.104;0
355;1.99;0.105;0
356;1.97;0.106;0
357;1.95;0.108;0
358;1.93;0.107;0
359;1.92;0.106;0
360;1.9;0.109;0
361;1.88;0.109;0
362;1.86;0.109;0
363;1.85;0.108;0
364;1.82;0.109;0
365;1.81;0.109;0
366;1.81;0.108;0
367;1.8;0.109;0
368;1.79;0.107;0
369;1.78;0.107;0
370;1.77;0.108;0
371;1.77;0.105;0
372;1.76;0.107;0
373;1.76;0.104;0
374;1.77;0.106;0
375;1.77;0.103;0
376;1.79;0.107;0
377;1.81;0.108;0
378;1.84;0.105;0
379;1.87;0.105;0
380;1.91;0.103;0
381;1.95;0.104;0
382;1.99;0.105;0
383;2.04;0.104;0
384;2.08;0.103;0
385;2.13;0.103;0
386;2.18;0.101;0
387;2.23;0.103;0
388;2.28;0.103;0
389;2.32;0.103;0
390;2.37;0.102;0
391;2.41;0.102;0
392;2.46;0.103;0
393;2.51;0.101;0
394;2.55;0.1;0
395;2.59;0.103;0
396;2.64;0.104;0
397;2.68;0.103;0
398;2.73;0.103;0
399;2.77;0.101;0
400;2.82;0.103;0
401;2.86;0.102;0
402;2.91;0.104;0
403;2.96;0.1;0
404;3;0.105;0
405;3.05;0.103;0
406;3.09;0.101;0
407;3.13;0.101;0
408;3.17;0.101;0
409;3.2;0.103;0
410;3.23;0.102;0
411;3.25;0.101;0
412;3.27;0.101;0
413;3.27;0.101;0
414;3.25;0.101;0
415;3.22;0.1;0
416;3.17;0.1;0
417;3.11;0.1;0
418;3.06;0.101;0
419;3;0.1;0
420;2.93;0.1;0
421;2.87;0.1;0
422;2.81;0.1;0
423;2.75;0.1;0
424;2.68;0.101;0
425;2.62;0.1;0
426;2.56;0.101;0
427;2.51;0.101;0
428;2.45;0.1;0
429;2.4;0.101;0
430;2.35;0.1;0
431;2.3;0.1;0
432;2.25;0.101;0
433;2.21;0.1;0
434;2.17;0.1;0
435;2.14;0.1;0
436;2.11;0.1;0
437;2.07;0.1;0
438;2.04;0.101;0
439;2;0.1;0
440;1.97;0.1;0
441;1.94;0.1;0
442;1.91;0.1;0
443;1.88;0.1;0
444;1.86;0.1;0
445;1.83;0.1;0
446;1.8;0.1;0
447;1.78;0.1;0
448;1.75;0.1;0
449;1.73;0.1;0
450;1.7;0.1;0
451;1.67;0.1;0
452;1.65;0.1;0
453;1.65;0.1;0
454;1.65;0.1;0
455;1.65;0.1;0
456;1.65;0.1;0
457;1.66;0.1;0
458;1.67;0.1;0
459;1.68;0.1;0
460;1.7;0.1;0
461;1.7;0.1;0
462;1.72;0.1;0
463;1.73;0.1;0
464;1.74;0.1;0
465;1.74;0.1;0
466;1.75;0.1;0
467;1.76;0.101;0
468;1.77;0.1;0
469;1.78;0.101;0
470;1.8;0.1;0
471;1.82;0.1;0
472;1.85;0.1;0
473;1.88;0.1;0
474;1.9;0.1;0
475;1.94;0.101;0
476;1.97;0.1;0
477;2.01;0.1;0
478;2.05;0.1;0
479;2.09;0.1;0
480;2.13;0.1;0
481;2.18;0.101;0
482;2.23;0.1;0
483;2.28;0.1;0
484;2.34;0.1;0
485;2.39;0.1;0
486;2.44;0.101;0
487;2.5;0.1;0
488;2.56;0.1;0
489;2.61;0.1;0
490;2.67;0.1;0
491;2.72;0.1;0
492;2.78;0.1;0
493;2.83;0.1;0
494;2.89;0.1;0
495;2.95;0.1;0
496;3;0.1;0
497;3.06;0.1;0
498;3.11;0.1;0
499;3.17;0.1;0
500;3.2;0.1;0
501;3.24;0.1;0
502;3.27;0.1;0
503;3.3;0.1;0
504;3.33;0.1;0
505;3.36;0.1;0
506;3.38;0.1;0
507;3.4;0.1;0
508;3.41;0.1;0
509;3.42;0.1;0
510;3.42;0.1;0
511;3.41;0.1;0
512;3.39;0.1;0
513;3.37;0.1;0
514;3.33;0.1;0
515;3.29;0.1;0
516;3.23;0.1;0
517;3.17;0.1;0
518;3.1;0.1;0
519;3.02;0.1;0
