id,month,day,hour,min,i_uiip,i_f,i_uiipu,score
30051,11,30,5,45,0,0,0,0.75
27951,11,8,8,45,0,0,0,0.73
26946,10,28,22,30,0,0,0,0.72
27517,11,3,20,15,-0.01,94.47,0.33,0.72
29867,11,28,7,45,216.83,0,401.8,0.70
13150,5,26,2,15,0,426.8,190.47,0.69
14348,6,7,13,45,0,0,0,0.69
13351,5,28,4,30,0,477.47,189.33,0.67
24976,10,8,10,0,237.32,0,216.73,0.67
28048,11,9,9,0,0.01,265.13,0.4,0.67
12288,5,17,2,45,0,427,77.33,0.66
13657,5,31,9,0,0,468.2,206.53,0.66
32708,12,27,22,0,-0.59,250.33,0.27,0.66
1151,1,12,23,45,421.1,224.8,3.27,0.65
7813,3,31,12,0,198.75,120,379.67,0.65
13043,5,24,23,30,196.75,527.73,254.8,0.65
13061,5,25,4,0,471.58,540.2,9.13,0.65
13350,5,28,4,15,0,480.73,190.07,0.65
23840,9,26,14,0,206.45,76.87,206.2,0.65
24975,10,8,9,45,235.19,0,215.07,0.65
13062,5,25,4,15,499.66,538.13,8.67,0.64
13450,5,29,5,15,438.95,548.67,7.93,0.64
27518,11,3,20,30,0.03,182.13,0.2,0.64
183,1,2,21,45,177.34,288.33,355.67,0.63
13349,5,28,4,0,0,484.27,190.07,0.63
13451,5,29,5,30,438.73,546.93,8.13,0.63
20724,8,12,23,45,534.57,294.13,180,0.63
24973,10,8,9,15,235.45,22,212.27,0.63
27516,11,3,20,0,0,248.27,0.33,0.63
31455,12,14,20,45,0,241.07,276.67,0.63
32707,12,27,21,45,0.03,250.33,0.33,0.63
1150,1,12,23,30,396.21,217,10.2,0.62
1439,1,15,23,45,0,226.47,280.4,0.62
1532,1,16,23,0,373.05,227.73,369.27,0.62
5269,3,4,22,0,133.86,183.27,375.6,0.62
7681,3,30,3,0,361.62,161.2,237.53,0.62
8149,4,4,0,0,0,218.33,191.53,0.62
24974,10,8,9,30,235.08,0,214.13,0.62
32699,12,27,19,45,0,253.33,0.33,0.62
3,1,1,0,45,171.88,248.13,271.47,0.61
7,1,1,1,45,159.33,240.4,350,0.61
1056,1,12,0,0,222.81,283.73,86.33,0.61
1441,1,16,0,15,0,266.93,315.8,0.61
2437,2,3,9,30,0,256.8,0,0.61
3013,2,9,10,0,85.8,97.67,86.73,0.61
4928,3,1,8,45,28.82,294.47,29.73,0.61
4929,3,1,9,0,25.97,294.07,26.6,0.61
4930,3,1,9,15,25.54,293.27,26.33,0.61
4985,3,1,23,0,389.36,239.27,376.8,0.61
7854,3,31,22,15,159.46,215.93,192.8,0.61
8150,4,4,0,15,0,220.67,304.4,0.61
8151,4,4,0,30,0,220.33,200.6,0.61
8152,4,4,0,45,0,220.8,202.67,0.61
8153,4,4,1,0,0,224.07,356.27,0.61
13252,5,27,3,45,450.4,532.6,79.13,0.61
13297,5,27,15,0,363.32,433.67,458.07,0.61
13715,5,31,23,30,224.88,481.4,291.93,0.61
19569,7,31,23,0,467.77,427.73,293.07,0.61
19857,8,3,23,0,508.14,409.2,284,0.61
20040,8,5,20,45,683.37,441.33,130.33,0.61
20723,8,12,23,30,540.8,303,180.2,0.61
22449,8,30,23,0,368.48,418.8,308.27,0.61
22549,9,1,0,0,477.03,439.27,305.07,0.61
22645,9,2,0,0,493.09,410.2,319.2,0.61
24977,10,8,10,15,234.47,6.27,216.67,0.61
24978,10,8,10,30,200.37,96.67,171,0.61
24979,10,8,10,45,196.86,98.33,170.73,0.61
25788,10,16,21,0,241.01,166.87,368.87,0.61
27021,10,29,17,15,0,243.4,0.33,0.61
27022,10,29,17,30,0.03,284.6,0.33,0.61
28049,11,9,9,15,0.01,266.13,0.13,0.61
30212,12,1,22,0,184.68,230.8,436.67,0.61
32186,12,22,11,30,147.19,165.07,493.33,0.61
32326,12,23,22,30,89.8,257.13,391.87,0.61
32697,12,27,19,15,3.51,253.07,3.67,0.61
32703,12,27,20,45,-0.01,258.67,0.07,0.61
103,1,2,1,45,108.25,226.87,359.4,0.60
195,1,3,0,45,192.91,231.53,339,0.60
960,1,11,0,0,183.43,235.07,109.87,0.60
1057,1,12,0,15,244.54,283.2,3.2,0.60
1432,1,15,22,0,0,235.27,281.73,0.60
1435,1,15,22,45,0,230.27,283.33,0.60
1436,1,15,23,0,0,231.07,283.2,0.60
1440,1,16,0,0,0,229.6,286,0.60
1442,1,16,0,30,0,270.87,313.47,0.60
1628,1,17,23,0,261.13,263.33,348,0.60
1729,1,19,0,45,222.69,234.67,370.4,0.60
2149,1,23,9,45,0,268.87,2.53,0.60
2209,1,24,0,45,172.26,274,358.67,0.60
2433,2,3,8,30,0,257.07,0,0.60
2434,2,3,8,45,0,261.28,0,0.60
2438,2,3,9,45,0,252.9,0,0.60
6028,3,12,19,45,0,227.87,28.53,0.60
6157,3,14,4,0,313.55,218.27,29.13,0.60
6615,3,18,22,30,163.22,237.8,3.07,0.60
7051,3,23,11,30,120.83,416.33,371.6,0.60
7664,3,29,22,45,175.17,287.53,320,0.60
7665,3,29,23,0,178.65,284.13,362.87,0.60
7812,3,31,11,45,163.26,130.53,384.13,0.60
7858,3,31,23,15,204.48,210.33,324.8,0.60
7888,4,1,6,45,222.35,97.27,302.53,0.60
9505,4,18,3,0,0,251.53,6.13,0.60
10509,4,28,14,0,103.23,274.33,482.53,0.60
13042,5,24,23,15,198.87,512.4,258.93,0.60
13044,5,24,23,45,192.28,522.87,254.53,0.60
13236,5,26,23,45,222.26,425.27,426.73,0.60
13452,5,29,5,45,457.25,518.47,7.87,0.60
13717,6,1,0,0,394.83,476.27,264.6,0.60
14100,6,4,23,45,228.31,396.27,30.93,0.60
14956,6,13,21,45,278.54,477,118,0.60
18125,7,16,22,0,577.91,465.6,7,0.60
19420,7,30,9,45,677.57,467.87,149.53,0.60
19799,8,3,8,30,703.41,420.6,28.2,0.60
22632,9,1,20,45,436.68,453.6,26.47,0.60
25787,10,16,20,45,240.18,132.33,368.73,0.60
28201,11,10,23,15,400.17,248.73,432.53,0.60
30112,11,30,21,0,232.39,249.13,520.6,0.60
30216,12,1,23,0,334.66,230.27,356.4,0.60
32327,12,23,22,45,82.85,256.33,393,0.60
32700,12,27,20,0,-0.02,255.33,0.4,0.60
32704,12,27,21,0,0,254.93,0.27,0.60
32705,12,27,21,15,0,251.87,0.33,0.60
32706,12,27,21,30,0.03,252.27,0.27,0.60
1149,1,12,23,15,340.24,251.6,28.47,0.59
1443,1,16,0,45,0,269.53,312.47,0.59
1631,1,17,23,45,330.71,273.93,148.33,0.59
1668,1,18,9,0,243.72,125.13,112.47,0.59
1669,1,18,9,15,258.3,129.93,39.53,0.59
1771,1,19,11,15,209.89,65.8,334.47,0.59
2141,1,23,7,45,0,223.8,194.67,0.59
2145,1,23,8,45,0,255.07,2.6,0.59
2150,1,23,10,0,0,266.93,11.27,0.59
2153,1,23,10,45,0,260.07,11.07,0.59
2207,1,24,0,15,187.76,253.2,362.8,0.59
2265,1,24,14,45,0.2,237.4,1.73,0.59
2268,1,24,15,30,0.23,231.33,1.53,0.59
2269,1,24,15,45,0.22,235.67,1.53,0.59
2422,1,26,6,0,219.6,297.53,367.07,0.59
3014,2,9,10,15,86.65,93.67,87.2,0.59
4889,2,28,23,0,402.43,217.27,322.13,0.59
6613,3,18,22,0,132.14,246.4,1.73,0.59
7441,3,27,15,0,140.89,167.07,378.07,0.59
7853,3,31,22,0,113.8,237.73,112.13,0.59
8053,4,3,0,0,162.76,233.47,162.53,0.59
9489,4,17,23,0,0,253,240.53,0.59
9492,4,17,23,45,0,247.2,239.4,0.59
9496,4,18,0,45,0,246.8,166.93,0.59
9504,4,18,2,45,0,251.2,6,0.59
9509,4,18,4,0,0,249.13,16.53,0.59
10401,4,27,11,0,15.93,253.8,17.33,0.59
10508,4,28,13,45,96.24,273.27,482.27,0.59
10721,4,30,19,0,298.79,263.93,276.07,0.59
10833,5,1,23,0,234.86,261.4,322.8,0.59
12465,5,18,23,0,232.79,388.2,365.4,0.59
12467,5,18,23,30,204.57,365.53,361.33,0.59
12976,5,24,6,45,200.15,441,3.73,0.59
13063,5,25,4,30,477.32,505.67,8.67,0.59
13619,5,30,23,30,167.88,428.8,169.2,0.59
13620,5,30,23,45,167.58,418.6,74.93,0.59
13711,5,31,22,30,131.31,434.13,132.47,0.59
13746,6,1,7,15,187.55,448.07,5.93,0.59
14251,6,6,13,30,422.42,198.8,204.33,0.59
15644,6,21,1,45,595.39,370.6,9.4,0.59
18944,7,25,10,45,647.52,401.73,132.53,0.59
19034,7,26,9,15,578.05,475.47,241.07,0.59
19611,8,1,9,30,695.71,440.67,146.93,0.59
19953,8,4,23,0,574.03,427.4,206,0.59
24348,10,1,21,0,283.34,257.2,359.73,0.59
26900,10,28,11,0,48.35,256.93,175.4,0.59
27240,10,31,23,0,365.79,245.73,277.6,0.59
27528,11,3,23,0,260.53,251.07,448.13,0.59
30148,12,1,6,0,156.76,288.67,385.87,0.59
32701,12,27,20,15,-0.01,256.53,0.2,0.59
33092,12,31,22,0,177.92,224.93,486.47,0.59
2,1,1,0,30,194.23,251.67,262.67,0.58
99,1,2,0,45,126.15,227,359,0.58
184,1,2,22,0,187.79,282.13,352.73,0.58
187,1,2,22,45,157.68,277.87,361.27,0.58
188,1,2,23,0,162.17,276.8,373.27,0.58
675,1,8,0,45,132.82,222.8,365.73,0.58
964,1,11,1,0,172.6,281.67,106.73,0.58
1148,1,12,23,0,266.42,248.4,67.33,0.58
1155,1,13,0,45,437.91,198.4,3.2,0.58
1438,1,15,23,30,0,225,280.93,0.58
1444,1,16,1,0,0,267.13,312.07,0.58
1448,1,16,2,0,0,247.6,235.33,0.58
1644,1,18,3,0,404.01,255.73,134,0.58
1676,1,18,11,0,219.44,133.93,3.8,0.58
1726,1,19,0,0,208.89,230.27,373.27,0.58
1770,1,19,11,0,215.69,87.93,331.93,0.58
2144,1,23,8,30,0,247.53,10.6,0.58
2161,1,23,12,45,0,253.6,3.27,0.58
2210,1,24,1,0,167.99,272.27,362.33,0.58
2414,1,26,4,0,439.79,220.73,370.6,0.58
2439,2,3,10,0,0,227.37,0,0.58
2445,2,3,11,30,0,231.78,0,0.58
2489,2,3,23,0,352.37,250.53,371.87,0.58
2957,2,8,20,0,101.04,289,382.2,0.58
3012,2,9,9,45,89.66,95.8,89.87,0.58
4793,2,27,23,0,301.85,262.67,375,0.58
5081,3,2,23,0,392.91,233.4,375.33,0.58
5082,3,2,23,15,410.23,234.2,373,0.58
5084,3,2,23,45,352.81,229.8,332.07,0.58
5177,3,3,23,0,398.54,204.53,298.33,0.58
5265,3,4,21,0,92.26,189.6,378.53,0.58
5564,3,7,23,45,310.23,259.27,358.27,0.58
6383,3,16,12,30,0.24,238.8,1.47,0.58
7224,3,25,6,45,50.22,173.8,30.27,0.58
7680,3,30,2,45,374,162.6,244,0.58
7811,3,31,11,30,161.7,141,383.93,0.58
7817,3,31,13,0,141.5,232.87,264.8,0.58
7887,4,1,6,30,337.4,149.13,304.27,0.58
7956,4,1,23,45,166.95,224.53,380.2,0.58
8154,4,4,1,15,0,229.4,363.73,0.58
8155,4,4,1,30,0,231.4,362.53,0.58
8156,4,4,1,45,0,231.2,360.33,0.58
9485,4,17,22,0,0,252.33,240,0.58
9488,4,17,22,45,0,251,243.53,0.58
9494,4,18,0,15,0,253.4,170.93,0.58
9495,4,18,0,30,0,247.27,168.07,0.58
9499,4,18,1,30,0,248.6,91.8,0.58
9500,4,18,1,45,0,247.67,109.47,0.58
9501,4,18,2,0,0,247.2,48.33,0.58
9502,4,18,2,15,0,250.47,6,0.58
9503,4,18,2,30,0,252.33,5.6,0.58
10829,5,1,22,0,286.44,262.47,327.07,0.58
11597,5,9,22,0,133.33,275.13,2.8,0.58
12960,5,24,2,45,404.24,502.33,59.2,0.58
13153,5,26,3,0,441.29,508.27,185.47,0.58
13331,5,27,23,30,248.46,425.4,463.6,0.58
13521,5,29,23,0,248.86,440.73,370.93,0.58
13701,5,31,20,0,206.26,475.2,203.47,0.58
13710,5,31,22,15,134.12,432.87,135.4,0.58
13745,6,1,7,0,270.06,445,5.27,0.58
13908,6,2,23,45,197.24,444.47,139.87,0.58
14250,6,6,13,15,419.95,136.13,207.33,0.58
14580,6,9,23,45,274.32,444.47,327.6,0.58
15437,6,18,22,0,513.61,385.47,242.33,0.58
16490,6,29,21,15,378.98,304.27,223.33,0.58
16593,6,30,23,0,350.44,405.73,357,0.58
17080,7,6,0,45,594.65,428.53,7.67,0.58
18941,7,25,10,0,691.67,453,210,0.58
19185,7,27,23,0,494.03,440.73,375.27,0.58
19321,7,29,9,0,709.03,433.53,155.2,0.58
19617,8,1,11,0,652.62,442.6,145.67,0.58
19798,8,3,8,15,688.43,429.73,157.53,0.58
19853,8,3,22,0,566.98,415.8,209.6,0.58
19856,8,3,22,45,485.46,413.47,288.07,0.58
19905,8,4,11,0,600.53,374.07,156.53,0.58
19949,8,4,22,0,610.4,428.8,210.6,0.58
20045,8,5,22,0,614.84,436.6,285.8,0.58
20052,8,5,23,45,450.41,424.4,379.93,0.58
20283,8,8,9,30,649.96,366.33,10.27,0.58
20284,8,8,9,45,626.92,368.13,10.2,0.58
20287,8,8,10,30,718.33,385.13,113.47,0.58
20288,8,8,10,45,692.42,386.2,113.93,0.58
20662,8,12,8,15,614.62,322.27,142,0.58
21869,8,24,22,0,583.39,434.27,315,0.58
22545,8,31,23,0,402.96,414,236.53,0.58
22908,9,16,21,0,336.21,198.07,194.73,0.58
24204,9,30,9,0,374.96,259.47,1.93,0.58
24308,10,1,11,0,300.2,297.53,14.87,0.58
24356,10,1,23,0,221.33,248.73,389.8,0.58
27146,10,30,23,30,392.36,265.67,353.87,0.58
27432,11,2,23,0,306.42,240.4,395.53,0.58
27514,11,3,19,30,-0.01,260.2,0.27,0.58
27519,11,3,20,45,0.01,259.67,0.4,0.58
27945,11,8,7,15,52.4,308.93,51.53,0.58
28668,11,15,20,0,28.65,261.67,28.07,0.58
30056,11,30,7,0,77.72,299.33,77,0.58
30121,11,30,23,15,375.9,234.6,392.87,0.58
30122,11,30,23,30,396.99,242.47,292.47,0.58
30143,12,1,4,45,347.22,294.93,175,0.58
30796,12,8,0,0,418.18,256,96.4,0.58
32619,12,26,23,45,407.02,238.13,166.53,0.58
32698,12,27,19,30,0.03,248.73,0,0.58
33000,12,30,23,0,361.13,227.27,285.53,0.58
33003,12,30,23,45,417.79,228.33,193.73,0.58
33019,12,31,3,45,383.85,211.13,314.6,0.58
33093,12,31,22,15,177.57,223.93,489.6,0.58
33095,12,31,22,45,244.08,218.93,460.27,0.58
0,1,1,0,0,196.56,253,261.93,0.57
4,1,1,1,0,178.46,242.07,313.73,0.57
47,1,1,11,45,250.38,254.27,3.53,0.57
84,1,1,21,0,196.79,250.53,379.53,0.57
95,1,1,23,45,141.96,235.87,364.53,0.57
100,1,2,1,0,121.44,230.2,359,0.57
186,1,2,22,30,176.83,279.07,353.4,0.57
191,1,2,23,45,157.89,267.13,367,0.57
385,1,5,0,15,244.45,237.07,370.93,0.57
480,1,6,0,0,140.24,226.2,371.87,0.57
481,1,6,0,15,152.23,225.13,372.33,0.57
943,1,10,19,45,199.16,253.47,2.4,0.57
1060,1,12,1,0,237.19,275.73,3.27,0.57
1061,1,12,1,15,241.73,262.47,3.47,0.57
1153,1,13,0,15,435.61,208.13,3.4,0.57
1156,1,13,1,0,433.66,211.67,3,0.57
1240,1,13,22,0,86.06,250.2,388.4,0.57
1244,1,13,23,0,345.75,264.73,382.4,0.57
1246,1,13,23,30,386.95,266.27,307.53,0.57
1247,1,13,23,45,384.67,267.2,269.67,0.57
1260,1,14,3,0,378.03,309.07,269.27,0.57
1343,1,14,23,45,367.04,253.67,270.67,0.57
1428,1,15,21,0,0,231.73,355.87,0.57
1434,1,15,22,30,0,228.33,281.8,0.57
1535,1,16,23,45,366.38,263.87,358.8,0.57
1670,1,18,9,30,261.66,124.07,3.53,0.57
1671,1,18,9,45,267.36,132.67,3.33,0.57
1672,1,18,10,0,268.12,133.2,3.67,0.57
1674,1,18,10,30,248.55,132.8,3.67,0.57
1675,1,18,10,45,225.18,126.67,3.6,0.57
1678,1,18,11,30,209.15,133.2,13.07,0.57
1682,1,18,12,30,195.78,121.47,132.4,0.57
1722,1,18,23,0,156.32,243.67,377.33,0.57
1754,1,19,7,0,212.07,402.53,276.93,0.57
1761,1,19,8,45,247.5,114.73,237.6,0.57
2111,1,23,0,15,124.44,246.53,363.6,0.57
2138,1,23,7,0,0,270.27,193.8,0.57
2146,1,23,9,0,0,257,2.8,0.57
2148,1,23,9,30,0,262.13,2.8,0.57
2157,1,23,11,45,0,247.87,124.07,0.57
2211,1,24,1,15,157.13,271,362.4,0.57
2394,1,25,23,0,338.32,225,345.2,0.57
2397,1,25,23,45,383.62,222.2,299.8,0.57
2410,1,26,3,0,451.08,218.87,363,0.57
2413,1,26,3,45,433.85,213.8,368.07,0.57
2417,1,26,4,45,441.77,274.13,359.87,0.57
2418,1,26,5,0,443.02,296.67,359.2,0.57
2421,1,26,5,45,247.43,299.4,349.27,0.57
2441,2,3,10,30,0,233.38,0,0.57
2446,2,3,11,45,0,232.95,0,0.57
2449,2,3,12,30,0,233.48,0,0.57
2490,2,3,23,15,399.94,248.4,370.73,0.57
2581,2,4,22,0,90.22,222.67,379.53,0.57
2913,2,8,9,0,107.99,324.07,108.47,0.57
4890,2,28,23,15,429.64,216.67,287.33,0.57
4986,3,1,23,15,419.95,239.4,363.8,0.57
4987,3,1,23,30,404.69,261.93,296.67,0.57
4989,3,2,0,0,460.32,262.27,260.53,0.57
4990,3,2,0,15,471.14,259.07,239.47,0.57
5181,3,4,0,0,430.91,202.47,266.07,0.57
6136,3,13,22,45,86.43,229.4,362.93,0.57
6160,3,14,4,45,143.98,228.2,3.33,0.57
7050,3,23,11,15,134.09,353.8,372.27,0.57
7125,3,24,6,0,177.13,317.33,363.67,0.57
7140,3,24,9,45,86.47,180.47,76.8,0.57
7381,3,26,22,0,177.32,263.6,7.33,0.57
7574,3,29,0,15,367.5,262.73,367.27,0.57
7657,3,29,21,0,97.26,246.27,97.73,0.57
7679,3,30,2,30,407.62,164.47,244.4,0.57
7833,3,31,17,0,145.72,234.53,379.33,0.57
7849,3,31,21,0,115.25,262,115.93,0.57
8148,4,3,23,45,0,231,47.87,0.57
8630,4,9,0,15,341.28,258.13,375.67,0.57
9490,4,17,23,15,0,244.6,242.47,0.57
9498,4,18,1,15,0,250.4,116.4,0.57
9507,4,18,3,30,0,243.13,90.07,0.57
10504,4,28,12,45,56.1,285.2,56.73,0.57
10694,4,30,12,15,245.27,261.93,445.8,0.57
10925,5,2,22,0,223.95,242.33,289.4,0.57
11245,5,6,6,0,241.02,277.27,23.67,0.57
12449,5,18,19,0,297.1,440,406.67,0.57
13332,5,27,23,45,262.56,421.67,456.27,0.57
13428,5,28,23,45,263.06,448.8,56.4,0.57
13651,5,31,7,30,185.58,475,186.8,0.57
13712,5,31,22,45,130.11,427.73,131.4,0.57
13793,6,1,19,0,311.5,450.4,304.67,0.57
13800,6,1,20,45,172.74,474.07,173.8,0.57
13811,6,1,23,30,163.52,450.33,116.47,0.57
14004,6,3,23,45,207.55,425.13,88.2,0.57
14352,6,7,14,45,0,420.83,228.33,0.57
14484,6,8,23,45,231.56,466.6,233.13,0.57
14863,6,12,22,30,292.22,459.73,20.6,0.57
16305,6,27,23,0,321.4,414.2,317.07,0.57
16403,6,28,23,30,347.63,349,261.13,0.57
16573,6,30,18,0,310.08,383,6.67,0.57
16693,7,2,0,0,463.09,380.13,300.6,0.57
19286,7,29,0,15,632.82,418.47,262.87,0.57
19384,7,30,0,45,597.95,406.8,281.93,0.57
19609,8,1,9,0,687.54,441.8,148.4,0.57
19664,8,1,22,45,454.84,417.07,140.73,0.57
19702,8,2,8,15,698.55,412.73,23.93,0.57
19705,8,2,9,0,699.55,431.87,146.47,0.57
19764,8,2,23,45,492.22,411,302.13,0.57
19862,8,4,0,15,636.24,471.67,203.53,0.57
19993,8,5,9,0,718.25,437.8,161.47,0.57
19994,8,5,9,15,757.6,442.4,168.93,0.57
19995,8,5,9,30,730.74,444.13,163.47,0.57
20037,8,5,20,0,642.57,440.8,251.93,0.57
20041,8,5,21,0,690.09,440.67,132.2,0.57
20149,8,7,0,0,571.56,420.33,351.67,0.57
20286,8,8,10,15,709.55,386.07,113.87,0.57
21493,8,21,0,0,640.84,427.8,72.4,0.57
21625,8,22,9,0,750.88,455.33,128.73,0.57
21629,8,22,10,0,687.6,459.53,127.27,0.57
21725,8,23,10,0,707.75,410.2,56,0.57
22194,8,28,7,15,232.73,407.8,371.87,0.57
22445,8,30,22,0,389.56,411.53,227.53,0.57
22447,8,30,22,30,356.19,411.67,277.47,0.57
22450,8,30,23,15,349.31,416.67,315.93,0.57
22576,9,1,6,45,293.38,421.67,326.2,0.57
22644,9,1,23,45,359.47,413.07,320.33,0.57
22728,9,15,0,0,400.03,439.6,275.27,0.57
23839,9,26,13,45,204.52,79.93,205.47,0.57
23841,9,26,14,15,205.19,111.93,205.6,0.57
25932,10,18,9,0,297.37,289.73,4,0.57
27236,10,31,22,0,157.06,271.07,155.53,0.57
27241,10,31,23,15,431.68,243,211.07,0.57
27243,10,31,23,45,425.08,239.93,208.47,0.57
27515,11,3,19,45,0.03,257.73,0.2,0.57
28008,11,8,23,0,312.04,227.4,473.2,0.57
28009,11,8,23,15,338.26,226.67,470.07,0.57
29772,11,27,8,0,229.54,256.67,499.73,0.57
29868,11,28,8,0,208.54,141.2,400.73,0.57
30055,11,30,6,45,78.57,297.53,77.8,0.57
30113,11,30,21,15,233.39,250.93,465.13,0.57
30215,12,1,22,45,173.95,227.33,426.53,0.57
32702,12,27,20,30,0,258.67,0.6,0.57
33002,12,30,23,30,424.99,229.8,231,0.57
33094,12,31,22,30,194.98,221.07,482.53,0.57
1,1,1,0,15,182.76,249.93,259.33,0.56
11,1,1,2,45,143.2,233.93,364.87,0.56
15,1,1,3,45,130.73,230.87,364.2,0.56
128,1,2,8,0,223.2,211.4,155.8,0.56
133,1,2,9,15,285.47,242.53,10.93,0.56
291,1,4,0,45,164.05,232.8,361.33,0.56
1058,1,12,0,30,242.54,282.87,3.27,0.56
1059,1,12,0,45,243,282.53,3.47,0.56
1078,1,12,5,30,201.17,267.73,9.33,0.56
1144,1,12,22,0,184.11,213,175.87,0.56
1158,1,13,1,30,427.47,206.33,3.07,0.56
1159,1,13,1,45,428.35,209.2,3.33,0.56
1256,1,14,2,0,412.94,265,241.6,0.56
1340,1,14,23,0,324.65,250.67,323.73,0.56
1431,1,15,21,45,0,230.87,299.27,0.56
1437,1,15,23,15,0,228.6,283.93,0.56
1445,1,16,1,15,0,267.07,315.13,0.56
1446,1,16,1,30,0,265.33,308.67,0.56
1447,1,16,1,45,0,260.87,254.47,0.56
1452,1,16,3,0,0,246.33,211.4,0.56
1456,1,16,4,0,0,243.27,201.73,0.56
1534,1,16,23,30,370.34,263.67,359.4,0.56
1537,1,17,0,15,389.89,263.47,356.6,0.56
1539,1,17,0,45,370.02,258.6,355.53,0.56
1632,1,18,0,0,372.02,273.2,154.07,0.56
1673,1,18,10,15,268.58,127.73,3.67,0.56
1679,1,18,11,45,210.76,126.47,135,0.56
1680,1,18,12,0,213.25,129.38,132.5,0.56
1683,1,18,12,45,196.74,119,131,0.56
1753,1,19,6,45,213.7,303.67,277.13,0.56
1818,1,19,23,0,136.47,237.07,358.67,0.56
1825,1,20,0,45,130.72,249.93,353.6,0.56
2010,1,21,23,0,111.45,250.47,376.13,0.56
2017,1,22,0,45,94.27,253.93,368,0.56
2113,1,23,0,45,108.58,248.6,362.53,0.56
2137,1,23,6,45,0,267,193.13,0.56
2140,1,23,7,30,0,222.2,192.93,0.56
2152,1,23,10,30,0,262.4,3.07,0.56
2162,1,23,13,0,0,256.33,3.13,0.56
2212,1,24,1,30,153.18,268.8,360.53,0.56
2213,1,24,1,45,155.29,268.47,359.47,0.56
2217,1,24,2,45,149.85,236.33,362.73,0.56
2270,1,24,16,0,0.21,234.13,1.6,0.56
2285,1,24,19,45,38.65,229.67,343.2,0.56
2409,1,26,2,45,450.75,217.13,362.2,0.56
2416,1,26,4,30,445.06,219.47,366.67,0.56
2435,2,3,9,0,0,263.22,0,0.56
2447,2,3,12,0,0,232.87,0,0.56
2492,2,3,23,45,374.69,241.67,364.87,0.56
2493,2,4,0,0,427.44,244.8,364.47,0.56
2585,2,4,23,0,339.84,218.4,375.53,0.56
2588,2,4,23,45,364.28,210.13,367.07,0.56
2592,2,5,0,45,355.61,201.33,364.87,0.56
2693,2,6,2,0,233.41,208.87,359,0.56
2765,2,6,20,0,89.71,207.8,345.67,0.56
2974,2,9,0,15,375.96,242.27,363.2,0.56
3164,2,10,23,45,386.17,265.6,244.27,0.56
3165,2,11,0,0,426.85,262.53,246.27,0.56
4218,2,21,23,15,328.01,208.67,372.33,0.56
4736,2,27,8,45,82.59,288.07,83.27,0.56
4869,2,28,18,0,149.08,274.2,149.8,0.56
4886,2,28,22,15,135.71,215.07,376.13,0.56
4891,2,28,23,30,407.97,216.93,221.33,0.56
5077,3,2,22,0,167.53,208.07,380.73,0.56
5180,3,3,23,45,430.62,203.8,268.07,0.56
5756,3,9,23,45,288.45,220.8,350.27,0.56
5760,3,10,0,45,293.48,216.07,351.93,0.56
6158,3,14,4,15,293.25,229.13,3.4,0.56
6520,3,17,22,45,85.03,219.4,174.4,0.56
7132,3,24,7,45,83.1,174.8,84.27,0.56
7193,3,24,23,0,368.5,221.8,374.73,0.56
7223,3,25,6,30,196.98,164.47,321.73,0.56
7226,3,25,7,15,31.93,179.4,33.07,0.56
7228,3,25,7,45,33.22,177,34.13,0.56
7386,3,26,23,15,388.41,255.53,261.87,0.56
7440,3,27,14,45,143.08,169.27,234.73,0.56
7464,3,27,20,45,225.22,260.53,348.27,0.56
7501,3,28,6,0,180.55,255.53,195,0.56
7662,3,29,22,15,178.61,206.4,349.13,0.56
7753,3,30,21,0,110.71,262.67,111.47,0.56
7818,3,31,13,15,129.82,237.8,266.27,0.56
7829,3,31,16,0,154.49,235.2,382.6,0.56
7857,3,31,23,0,188.05,211,327.87,0.56
7953,4,1,23,0,136.72,228,254.73,0.56
8144,4,3,22,45,0,233.8,45.93,0.56
8344,4,6,0,45,313.73,231.93,356.67,0.56
9099,4,13,21,30,301.34,250.2,436.13,0.56
9461,4,17,16,0,0,262.93,170.6,0.56
9497,4,18,1,0,0,250.53,168.67,0.56
9510,4,18,4,15,0,247.13,6.33,0.56
10349,4,26,22,0,205.26,244.13,265.73,0.56
10405,4,27,12,0,128.37,237.07,502.8,0.56
10505,4,28,13,0,55.26,291,55.93,0.56
10507,4,28,13,30,72.42,276.27,298.93,0.56
10828,5,1,21,45,284.35,263.4,324.53,0.56
10832,5,1,22,45,233.39,258.87,323.67,0.56
10834,5,1,23,15,218.52,258.07,345.07,0.56
11285,5,6,16,0,275.24,262.8,486.07,0.56
11408,5,7,22,45,229.5,237.4,416.07,0.56
11699,5,10,23,30,185.07,229.4,466.8,0.56
12464,5,18,22,45,226.08,394.93,367.6,0.56
12466,5,18,23,15,221.23,368.93,364.73,0.56
12560,5,19,22,45,93.44,415.53,94.8,0.56
12660,5,20,23,45,274.44,414.13,60.13,0.56
12829,5,22,18,0,278.03,451.53,4.87,0.56
12941,5,23,22,0,304.18,481,269.47,0.56
13328,5,27,22,45,201.97,467.07,204.2,0.56
13372,5,28,9,45,196.45,482.8,196.87,0.56
13405,5,28,18,0,326.86,449.4,372.87,0.56
13406,5,28,18,15,358.28,449.73,372.07,0.56
13415,5,28,20,30,394.03,461.33,5,0.56
13419,5,28,21,30,336.02,459,7.07,0.56
13421,5,28,22,0,306.51,458.93,7.73,0.56
