id,value_y,value_x,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
202,0.7283950617283951,0.40480961923847697,0.42,0.40,0.40,0.40,0.40,0.42,0.40,0.40,0.40,0.42,0.42,0.40,0.40,0.41,0.41,0.41,0.41,0.39,0.41,0.40,0.40,0.42,0.40,0.42,0.41,10.17,0.41,false
203,0.2962962962962963,0.40681362725450904,0.42,0.40,0.44,0.42,0.40,0.42,0.41,0.41,0.40,0.42,0.43,0.41,0.41,0.41,0.40,0.41,0.43,0.40,0.41,0.41,0.40,0.42,0.40,0.42,0.41,10.31,0.41,false
204,0.2716049382716049,0.4088176352705411,0.42,0.41,0.43,0.42,0.41,0.43,0.41,0.42,0.42,0.42,0.42,0.42,0.42,0.41,0.43,0.41,0.43,0.40,0.40,0.41,0.40,0.42,0.42,0.41,0.41,10.40,0.42,false
205,0.2345679012345679,0.41082164328657317,0.44,0.44,0.43,0.43,0.43,0.43,0.40,0.43,0.42,0.43,0.43,0.41,0.42,0.43,0.43,0.41,0.43,0.42,0.43,0.42,0.42,0.43,0.41,0.43,0.42,10.62,0.42,false
206,0.18518518518518517,0.41282565130260523,0.40,0.40,0.41,0.43,0.41,0.42,0.41,0.40,0.40,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.43,0.41,0.40,0.41,0.41,0.41,0.41,0.40,0.40,10.24,0.41,false
207,0.14814814814814814,0.4148296593186373,0.43,0.42,0.41,0.41,0.40,0.43,0.41,0.41,0.39,0.42,0.42,0.40,0.41,0.41,0.41,0.40,0.43,0.40,0.41,0.41,0.41,0.42,0.40,0.43,0.41,10.30,0.41,false
208,0.09876543209876543,0.4168336673346693,0.41,0.41,0.41,0.42,0.41,0.41,0.39,0.41,0.40,0.41,0.41,0.40,0.41,0.41,0.40,0.41,0.41,0.40,0.41,0.40,0.41,0.42,0.40,0.42,0.41,10.20,0.41,false
209,0.06172839506172839,0.4188376753507014,0.43,0.43,0.44,0.44,0.43,0.45,0.42,0.45,0.43,0.45,0.44,0.45,0.45,0.44,0.42,0.44,0.46,0.44,0.44,0.44,0.43,0.43,0.43,0.45,0.44,10.97,0.44,false
210,0.06172839506172839,0.42084168336673344,0.42,0.42,0.43,0.43,0.42,0.42,0.43,0.43,0.43,0.42,0.42,0.43,0.42,0.42,0.43,0.42,0.45,0.43,0.44,0.42,0.43,0.42,0.41,0.44,0.43,10.66,0.43,false
211,0.09876543209876543,0.4228456913827655,0.43,0.44,0.44,0.43,0.44,0.43,0.41,0.43,0.42,0.45,0.43,0.42,0.43,0.44,0.41,0.44,0.44,0.44,0.42,0.41,0.43,0.43,0.42,0.44,0.43,10.75,0.43,false
212,0.12345679012345678,0.4248496993987976,0.42,0.43,0.42,0.42,0.43,0.43,0.40,0.42,0.42,0.42,0.42,0.41,0.41,0.42,0.41,0.42,0.42,0.41,0.41,0.41,0.42,0.43,0.41,0.42,0.42,10.45,0.42,false
213,0.14814814814814814,0.42685370741482964,0.41,0.40,0.41,0.40,0.41,0.40,0.38,0.40,0.40,0.40,0.41,0.40,0.39,0.41,0.40,0.40,0.40,0.41,0.40,0.40,0.38,0.41,0.39,0.41,0.40,10.02,0.40,false
214,0.18518518518518517,0.4288577154308617,0.44,0.44,0.47,0.44,0.44,0.45,0.44,0.44,0.45,0.44,0.44,0.45,0.44,0.45,0.45,0.44,0.44,0.42,0.44,0.43,0.43,0.43,0.44,0.46,0.44,11.05,0.44,false
215,0.2222222222222222,0.4308617234468938,0.42,0.42,0.42,0.41,0.41,0.42,0.41,0.41,0.40,0.43,0.41,0.42,0.42,0.41,0.42,0.42,0.42,0.42,0.42,0.40,0.41,0.42,0.41,0.41,0.42,10.38,0.42,false
216,0.24691358024691357,0.43286573146292584,0.43,0.42,0.42,0.42,0.42,0.44,0.41,0.41,0.41,0.43,0.43,0.42,0.43,0.41,0.42,0.42,0.44,0.42,0.43,0.41,0.42,0.43,0.42,0.42,0.43,10.56,0.42,false
