1,2,3,4,5,6,7,8,9,10
35,42,47,38,40,46,46,35,48,38
6925,6914,6934,6929,6918,6892,6905,6911,6913,6928
12,23,3,8,19,45,32,26,24,9
35,28,23,32,30,24,24,35,22,32
