id,valueY,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
23,0.3333333333333333,0.006403118040089087,0.47,0.45,0.47,0.45,0.44,0.45,0.45,0.46,0.44,0.46,0.45,0.45,0.45,0.45,0.46,0.45,0.46,0.45,0.45,0.46,0.46,0.47,0.45,0.44,0.45,11.34,0.45,false
24,0.4,0.0066815144766146995,0.49,0.48,0.48,0.48,0.48,0.47,0.47,0.47,0.46,0.48,0.47,0.48,0.48,0.47,0.49,0.47,0.48,0.47,0.47,0.47,0.48,0.48,0.49,0.48,0.48,11.92,0.48,false
25,0.4666666666666667,0.006959910913140312,0.52,0.50,0.49,0.50,0.50,0.50,0.50,0.52,0.48,0.52,0.51,0.50,0.50,0.49,0.51,0.50,0.50,0.50,0.49,0.49,0.51,0.52,0.50,0.49,0.50,12.54,0.50,false
26,0.5333333333333333,0.007238307349665924,0.46,0.44,0.46,0.44,0.44,0.45,0.45,0.46,0.44,0.44,0.45,0.45,0.46,0.44,0.45,0.44,0.45,0.45,0.45,0.45,0.45,0.46,0.45,0.44,0.44,11.21,0.45,false
27,0.9333333333333333,0.007516703786191537,0.48,0.46,0.45,0.46,0.44,0.45,0.47,0.44,0.44,0.46,0.45,0.46,0.45,0.43,0.46,0.44,0.44,0.44,0.45,0.45,0.46,0.46,0.45,0.44,0.45,11.28,0.45,false
28,0.6666666666666666,0.0077951002227171495,0.45,0.46,0.45,0.43,0.44,0.45,0.45,0.45,0.44,0.45,0.46,0.45,0.45,0.44,0.44,0.44,0.45,0.45,0.46,0.45,0.46,0.47,0.45,0.44,0.45,11.23,0.45,false
29,0.7333333333333333,0.008073496659242762,0.47,0.46,0.47,0.45,0.44,0.45,0.47,0.46,0.45,0.46,0.45,0.45,0.46,0.45,0.46,0.46,0.46,0.45,0.45,0.46,0.46,0.47,0.45,0.45,0.46,11.42,0.46,false
30,0.13333333333333333,0.008351893095768375,0.47,0.48,0.47,0.48,0.49,0.47,0.49,0.49,0.48,0.48,0.46,0.47,0.47,0.48,0.50,0.47,0.47,0.46,0.46,0.48,0.49,0.49,0.47,0.48,0.49,11.94,0.48,false
31,0.2,0.008630289532293986,0.49,0.48,0.47,0.47,0.48,0.48,0.48,0.47,0.48,0.48,0.47,0.48,0.46,0.49,0.51,0.47,0.47,0.46,0.48,0.49,0.48,0.49,0.48,0.47,0.49,11.97,0.48,false
32,0.8,0.008908685968819599,0.62,0.60,0.60,0.60,0.60,0.63,0.62,0.62,0.61,0.66,0.63,0.61,0.61,0.61,0.62,0.60,0.61,0.60,0.61,0.60,0.64,0.63,0.63,0.62,0.61,15.39,0.62,true
