iteration,data_size,number_of_attributes,number_of_trees
1,500,41,100
2,500,41,100
3,500,41,100
4,500,41,100
5,500,41,100
6,500,41,100
7,500,41,100
8,500,41,100
9,500,41,100
10,500,41,100
11,500,41,100
12,500,41,100
13,500,41,100
14,500,41,100
15,500,41,100
16,500,41,100
17,500,41,100
18,500,41,100
19,500,41,100
20,500,41,100
21,500,41,100
22,500,41,100
23,500,41,100
24,500,41,100
25,500,41,100
