end_device_ids.device_id,end_device_ids.application_ids.application_id,end_device_ids.dev_eui,end_device_ids.join_eui,end_device_ids.dev_addr,received_at
'ua-gardens-s008','ua-bim','A84041F57189B7BE','A840410000000101','260BD6C1','2024-10-11T16:33:54.453543740Z'
'ua-pipepressure-s002','ua-bim','24E124126E268846','24E124C0002A0001','260BF8F0','2024-10-11T16:36:15.423694417Z'
'ua-gardens-s005','ua-bim','A84041797189B7C6','A840410000000101','260B8B98','2024-10-11T16:38:25.845707292Z'
'ua-gardens-s011','ua-bim','A840412CE189B7DB','A840410000000101','260B1D13','2024-10-11T16:40:29.699617704Z'
'ua-pipepressure-s003','ua-bim','24E124126E268501','24E124C0002A0001','260BC841','2024-10-11T16:42:35.665071844Z'
'ua-pipepressure-s001','ua-bim','24E124126E269467','24E124C0002A0001','260BFC50','2024-10-11T16:42:41.078156032Z'
'ua-gardens-s006','ua-bim','A84041623189B7C0','A840410000000101','260B6B32','2024-10-11T16:44:21.736879310Z'
'ua-gardens-s004','ua-bim','A84041A71189B7BB','A840410000000101','260B3D02','2024-10-11T16:45:35.427873193Z'
'ua-pipepressure-s002','ua-bim','24E124126E268846','24E124C0002A0001','260BF8F0','2024-10-11T16:46:15.821249332Z'
'ua-gardens-s009','ua-bim','A84041674189B7E3','A840410000000101','260BE73F','2024-10-11T16:47:16.739025095Z'
'ua-gardens-s003','ua-bim','A840413E1189B7D8','A840410000000101','260B9A2E','2024-10-11T16:47:50.470836503Z'
'ua-gardens-s012','ua-bim','A8404151E189B7CC','A840410000000101','260BF8DC','2024-10-11T16:48:15.756357656Z'
'ua-gardens-s002','ua-bim','A840414AC189B7C1','A840410000000101','260BCE03','2024-10-11T16:50:46.854667107Z'
