end_device_ids.device_id,end_device_ids.application_ids.application_id,end_device_ids.dev_eui,end_device_ids.join_eui,end_device_ids.dev_addr,received_at
'ua-gardens-s006','ua-bim','A84041623189B7C0','A840410000000101','260B6B32','2024-10-11T13:24:22.397056275Z'
'ua-gardens-s004','ua-bim','A84041A71189B7BB','A840410000000101','260B3D02','2024-10-11T13:25:35.991617760Z'
'ua-gardens-s009','ua-bim','A84041674189B7E3','A840410000000101','260BE73F','2024-10-11T13:27:17.367279619Z'
'ua-gardens-s003','ua-bim','A840413E1189B7D8','A840410000000101','260B9A2E','2024-10-11T13:27:51.135779687Z'
'ua-gardens-s012','ua-bim','A8404151E189B7CC','A840410000000101','260BF8DC','2024-10-11T13:28:15.791858232Z'
'ua-gardens-s002','ua-bim','A840414AC189B7C1','A840410000000101','260BCE03','2024-10-11T13:30:47.810792856Z'
'ua-gardens-s010','ua-bim','A84041159189B7BA','A840410000000101','260B8361','2024-10-11T13:30:52.205228946Z'
'ua-pipepressure-s003','ua-bim','24E124126E268501','24E124C0002A0001','260BC841','2024-10-11T13:32:28.424392464Z'
'ua-pipepressure-s001','ua-bim','24E124126E269467','24E124C0002A0001','260BFC50','2024-10-11T13:32:33.850105825Z'
'ua-gardens-s001','ua-bim','A84041277189B7DE','A840410000000101','260BA056','2024-10-11T13:33:48.123292071Z'
'ua-gardens-s007','ua-bim','A840416AB189B7E2','A840410000000101','260B3005','2024-10-11T13:33:50.021974570Z'
'ua-gardens-s008','ua-bim','A84041F57189B7BE','A840410000000101','260BD6C1','2024-10-11T13:33:55.033040185Z'
'ua-pipepressure-s002','ua-bim','24E124126E268846','24E124C0002A0001','260BF8F0','2024-10-11T13:36:08.635687232Z'
'ua-gardens-s005','ua-bim','A84041797189B7C6','A840410000000101','260B8B98','2024-10-11T13:38:26.354400805Z'
'ua-gardens-s011','ua-bim','A840412CE189B7DB','A840410000000101','260B1D13','2024-10-11T13:40:30.265650279Z'
'ua-pipepressure-s003','ua-bim','24E124126E268501','24E124C0002A0001','260BC841','2024-10-11T13:42:28.811828179Z'
'ua-pipepressure-s001','ua-bim','24E124126E269467','24E124C0002A0001','260BFC50','2024-10-11T13:42:34.231512637Z'
'ua-gardens-s006','ua-bim','A84041623189B7C0','A840410000000101','260B6B32','2024-10-11T13:44:22.327696972Z'
'ua-gardens-s004','ua-bim','A84041A71189B7BB','A840410000000101','260B3D02','2024-10-11T13:45:35.923974193Z'
'ua-pipepressure-s002','ua-bim','24E124126E268846','24E124C0002A0001','260BF8F0','2024-10-11T13:46:09.007331657Z'
'ua-gardens-s009','ua-bim','A84041674189B7E3','A840410000000101','260BE73F','2024-10-11T13:47:17.302819285Z'
'ua-gardens-s003','ua-bim','A840413E1189B7D8','A840410000000101','260B9A2E','2024-10-11T13:47:51.066137528Z'
'ua-gardens-s012','ua-bim','A8404151E189B7CC','A840410000000101','260BF8DC','2024-10-11T13:48:15.786917268Z'
'ua-gardens-s002','ua-bim','A840414AC189B7C1','A840410000000101','260BCE03','2024-10-11T13:50:47.725702088Z'
'ua-gardens-s010','ua-bim','A84041159189B7BA','A840410000000101','260B8361','2024-10-11T13:50:52.112055256Z'
'ua-pipepressure-s003','ua-bim','24E124126E268501','24E124C0002A0001','260BC841','2024-10-11T13:52:29.194922654Z'
'ua-pipepressure-s001','ua-bim','24E124126E269467','24E124C0002A0001','260BFC50','2024-10-11T13:52:34.601310051Z'
'ua-gardens-s001','ua-bim','A84041277189B7DE','A840410000000101','260BA056','2024-10-11T13:53:48.059602641Z'
'ua-gardens-s007','ua-bim','A840416AB189B7E2','A840410000000101','260B3005','2024-10-11T13:53:49.944704638Z'
'ua-gardens-s008','ua-bim','A84041F57189B7BE','A840410000000101','260BD6C1','2024-10-11T13:53:54.965656212Z'
'ua-pipepressure-s002','ua-bim','24E124126E268846','24E124C0002A0001','260BF8F0','2024-10-11T13:56:09.373096951Z'
'ua-gardens-s005','ua-bim','A84041797189B7C6','A840410000000101','260B8B98','2024-10-11T13:58:25.983296587Z'
'ua-gardens-s011','ua-bim','A840412CE189B7DB','A840410000000101','260B1D13','2024-10-11T14:00:30.169981472Z'
'ua-pipepressure-s003','ua-bim','24E124126E268501','24E124C0002A0001','260BC841','2024-10-11T14:02:29.575345919Z'
'ua-pipepressure-s001','ua-bim','24E124126E269467','24E124C0002A0001','260BFC50','2024-10-11T14:02:34.985946669Z'
'ua-gardens-s006','ua-bim','A84041623189B7C0','A840410000000101','260B6B32','2024-10-11T14:04:22.267239906Z'
'ua-gardens-s004','ua-bim','A84041A71189B7BB','A840410000000101','260B3D02','2024-10-11T14:05:35.855622128Z'
'ua-pipepressure-s002','ua-bim','24E124126E268846','24E124C0002A0001','260BF8F0','2024-10-11T14:06:09.777625481Z'
'ua-gardens-s009','ua-bim','A84041674189B7E3','A840410000000101','260BE73F','2024-10-11T14:07:17.237328493Z'
'ua-gardens-s003','ua-bim','A840413E1189B7D8','A840410000000101','260B9A2E','2024-10-11T14:07:51.005748769Z'
'ua-gardens-s012','ua-bim','A8404151E189B7CC','A840410000000101','260BF8DC','2024-10-11T14:08:15.781819074Z'
'ua-gardens-s002','ua-bim','A840414AC189B7C1','A840410000000101','260BCE03','2024-10-11T14:10:47.632366784Z'
'ua-gardens-s010','ua-bim','A84041159189B7BA','A840410000000101','260B8361','2024-10-11T14:10:52.040233711Z'
'ua-pipepressure-s003','ua-bim','24E124126E268501','24E124C0002A0001','260BC841','2024-10-11T14:12:29.944916385Z'
'ua-pipepressure-s001','ua-bim','24E124126E269467','24E124C0002A0001','260BFC50','2024-10-11T14:12:35.364318529Z'
'ua-gardens-s001','ua-bim','A84041277189B7DE','A840410000000101','260BA056','2024-10-11T14:13:48.014085163Z'
'ua-gardens-s007','ua-bim','A840416AB189B7E2','A840410000000101','260B3005','2024-10-11T14:13:49.855167062Z'
'ua-gardens-s008','ua-bim','A84041F57189B7BE','A840410000000101','260BD6C1','2024-10-11T14:13:54.903719364Z'
'ua-pipepressure-s002','ua-bim','24E124126E268846','24E124C0002A0001','260BF8F0','2024-10-11T14:16:10.149034248Z'
'ua-gardens-s005','ua-bim','A84041797189B7C6','A840410000000101','260B8B98','2024-10-11T14:18:26.244076904Z'
'ua-gardens-s011','ua-bim','A840412CE189B7DB','A840410000000101','260B1D13','2024-10-11T14:20:30.138310809Z'
'ua-pipepressure-s003','ua-bim','24E124126E268501','24E124C0002A0001','260BC841','2024-10-11T14:22:30.332265311Z'
'ua-pipepressure-s001','ua-bim','24E124126E269467','24E124C0002A0001','260BFC50','2024-10-11T14:22:35.760131986Z'
'ua-gardens-s006','ua-bim','A84041623189B7C0','A840410000000101','260B6B32','2024-10-11T14:24:22.196317743Z'
'ua-gardens-s004','ua-bim','A84041A71189B7BB','A840410000000101','260B3D02','2024-10-11T14:25:35.820786545Z'
'ua-pipepressure-s002','ua-bim','24E124126E268846','24E124C0002A0001','260BF8F0','2024-10-11T14:26:10.513880238Z'
'ua-gardens-s009','ua-bim','A84041674189B7E3','A840410000000101','260BE73F','2024-10-11T14:27:17.179199301Z'
'ua-gardens-s003','ua-bim','A840413E1189B7D8','A840410000000101','260B9A2E','2024-10-11T14:27:50.940625632Z'
'ua-gardens-s012','ua-bim','A8404151E189B7CC','A840410000000101','260BF8DC','2024-10-11T14:28:15.780730661Z'
'ua-gardens-s002','ua-bim','A840414AC189B7C1','A840410000000101','260BCE03','2024-10-11T14:30:47.545171064Z'
'ua-gardens-s010','ua-bim','A84041159189B7BA','A840410000000101','260B8361','2024-10-11T14:30:51.950896789Z'
'ua-pipepressure-s003','ua-bim','24E124126E268501','24E124C0002A0001','260BC841','2024-10-11T14:32:30.719633321Z'
'ua-pipepressure-s001','ua-bim','24E124126E269467','24E124C0002A0001','260BFC50','2024-10-11T14:32:36.123284830Z'
'ua-gardens-s001','ua-bim','A84041277189B7DE','A840410000000101','260BA056','2024-10-11T14:33:47.946344870Z'
'ua-gardens-s007','ua-bim','A840416AB189B7E2','A840410000000101','260B3005','2024-10-11T14:33:49.776315694Z'
'ua-gardens-s008','ua-bim','A84041F57189B7BE','A840410000000101','260BD6C1','2024-10-11T14:33:54.841370800Z'
'ua-pipepressure-s002','ua-bim','24E124126E268846','24E124C0002A0001','260BF8F0','2024-10-11T14:36:10.888473501Z'
'ua-gardens-s005','ua-bim','A84041797189B7C6','A840410000000101','260B8B98','2024-10-11T14:38:26.188511608Z'
'ua-gardens-s011','ua-bim','A840412CE189B7DB','A840410000000101','260B1D13','2024-10-11T14:40:30.079721467Z'
'ua-pipepressure-s003','ua-bim','24E124126E268501','24E124C0002A0001','260BC841','2024-10-11T14:42:31.098840437Z'
'ua-pipepressure-s001','ua-bim','24E124126E269467','24E124C0002A0001','260BFC50','2024-10-11T14:42:36.498705527Z'
'ua-gardens-s006','ua-bim','A84041623189B7C0','A840410000000101','260B6B32','2024-10-11T14:44:22.130269733Z'
'ua-gardens-s004','ua-bim','A84041A71189B7BB','A840410000000101','260B3D02','2024-10-11T14:45:35.767853030Z'
'ua-pipepressure-s002','ua-bim','24E124126E268846','24E124C0002A0001','260BF8F0','2024-10-11T14:46:11.264105611Z'
'ua-gardens-s009','ua-bim','A84041674189B7E3','A840410000000101','260BE73F','2024-10-11T14:47:17.115655013Z'
'ua-gardens-s003','ua-bim','A840413E1189B7D8','A840410000000101','260B9A2E','2024-10-11T14:47:50.869063651Z'
'ua-gardens-s012','ua-bim','A8404151E189B7CC','A840410000000101','260BF8DC','2024-10-11T14:48:15.784812654Z'
'ua-gardens-s002','ua-bim','A840414AC189B7C1','A840410000000101','260BCE03','2024-10-11T14:50:47.144272278Z'
'ua-gardens-s010','ua-bim','A84041159189B7BA','A840410000000101','260B8361','2024-10-11T14:50:51.230434523Z'
'ua-pipepressure-s003','ua-bim','24E124126E268501','24E124C0002A0001','260BC841','2024-10-11T14:52:31.476078107Z'
'ua-pipepressure-s001','ua-bim','24E124126E269467','24E124C0002A0001','260BFC50','2024-10-11T14:52:36.892453672Z'
'ua-gardens-s001','ua-bim','A84041277189B7DE','A840410000000101','260BA056','2024-10-11T14:53:47.917049680Z'
'ua-gardens-s007','ua-bim','A840416AB189B7E2','A840410000000101','260B3005','2024-10-11T14:53:49.690407203Z'
'ua-gardens-s008','ua-bim','A84041F57189B7BE','A840410000000101','260BD6C1','2024-10-11T14:53:54.781017476Z'
'ua-pipepressure-s002','ua-bim','24E124126E268846','24E124C0002A0001','260BF8F0','2024-10-11T14:56:11.645142990Z'
'ua-gardens-s005','ua-bim','A84041797189B7C6','A840410000000101','260B8B98','2024-10-11T14:58:26.136716185Z'
'ua-gardens-s011','ua-bim','A840412CE189B7DB','A840410000000101','260B1D13','2024-10-11T15:00:30.020711530Z'
'ua-pipepressure-s003','ua-bim','24E124126E268501','24E124C0002A0001','260BC841','2024-10-11T15:02:31.846701688Z'
'ua-pipepressure-s001','ua-bim','24E124126E269467','24E124C0002A0001','260BFC50','2024-10-11T15:02:37.282584165Z'
'ua-gardens-s006','ua-bim','A84041623189B7C0','A840410000000101','260B6B32','2024-10-11T15:04:22.066364591Z'
'ua-gardens-s004','ua-bim','A84041A71189B7BB','A840410000000101','260B3D02','2024-10-11T15:05:35.708368502Z'
'ua-pipepressure-s002','ua-bim','24E124126E268846','24E124C0002A0001','260BF8F0','2024-10-11T15:06:12.027740029Z'
'ua-gardens-s009','ua-bim','A84041674189B7E3','A840410000000101','260BE73F','2024-10-11T15:07:16.380326135Z'
'ua-gardens-s003','ua-bim','A840413E1189B7D8','A840410000000101','260B9A2E','2024-10-11T15:07:50.795842091Z'
'ua-gardens-s012','ua-bim','A8404151E189B7CC','A840410000000101','260BF8DC','2024-10-11T15:08:15.778238171Z'
'ua-gardens-s002','ua-bim','A840414AC189B7C1','A840410000000101','260BCE03','2024-10-11T15:10:47.367467149Z'
'ua-gardens-s010','ua-bim','A84041159189B7BA','A840410000000101','260B8361','2024-10-11T15:10:51.776828931Z'
