month_day_hour_min,i_f,p_f
321,235.73,31.66
322,239.33,31.42
323,239.2,31.37
324,247.07,30.84
325,249.27,30.69
326,248.47,30.72
327,249.47,30.65
328,251,30.53
329,251.6,30.5
330,237.47,30.62
331,237.4,30.63
332,239.53,30.49
333,235.8,30.76
334,239.33,30.51
335,233.33,30.94
336,228.6,31.31
337,244.8,31.31
338,248.67,31.24
339,246.13,31.37
340,253.47,31.17
341,259.93,31.24
342,262.93,30.99
343,259.67,31.18
344,259.6,31.18
345,258.2,31.27
346,256.8,31.39
347,257.87,31.3
348,256.47,31.39
349,256.8,31.35
350,258.27,31.23
351,253.47,31.59
352,254.67,31.5
353,258.33,31.2
354,253.8,31.58
355,255.07,31.48
356,258.2,31.21
357,256.87,31.35
358,257.73,31.27
359,253.13,31.61
360,258.2,31.18
361,258.87,31.12
362,253.27,31.55
363,258.8,31.1
364,258.4,31.17
365,255.13,31.4
366,256,31.31
367,255.27,31.33
368,258.27,31.13
369,258.67,31.1
370,251.93,31.58
371,254.6,31.39
372,255.87,31.31
373,236.6,31.3
374,215.93,31.56
375,217.4,31.45
376,214.93,31.67
377,211,31.99
378,228.87,32.11
379,243.67,32.41
380,241.87,32.53
381,239.73,32.67
382,240.33,32.66
383,236.47,32.9
384,236.4,32.97
385,237.07,32.88
386,237.2,32.95
387,234.33,33.12
388,234.67,33.07
389,237.2,32.94
390,236.2,33.05
391,231.73,33.31
392,233.73,33.22
393,234.73,33.16
394,236.93,33.01
395,231.07,33.47
396,234,33.22
397,235.07,33.18
398,230.8,33.46
399,230.13,33.59
400,230.67,33.54
401,249.67,33.86
402,251.8,33.83
403,244.2,34.39
404,252.67,33.78
405,252.73,33.76
406,256.13,33.48
407,251.8,33.52
408,252.67,33.4
409,261.13,33.6
410,271.87,33.29
411,280.47,32.84
412,280.13,32.82
413,280.27,32.85
414,287.8,32.14
415,278.8,31.68
416,260.53,31.15
417,265.13,30.67
418,253.07,30.9
419,244.2,30.7
420,247.07,30.41
421,247.67,30.39
422,245.13,30.58
423,249.4,30.25
424,247.2,30.41
425,245.93,30.52
426,245.33,30.56
427,247.53,30.41
