month_day_hour_min,i_f,p_f,truth
267,258.13,31.63,0
268,260.2,31.42,0
269,255.13,31.59,0
270,256.33,31.41,0
271,258.87,31.58,0
272,262.93,31.25,0
273,258.07,31.67,0
274,257.87,31.65,0
275,258.73,31.59,0
276,254.67,31.87,0
277,258,31.64,0
278,256.6,31.8,0
279,253.47,32.02,0
280,254,31.98,0
281,252.93,32.05,0
282,247.73,32.48,0
283,246.6,32.54,0
284,243.8,32.81,0
285,241.87,32.95,0
286,240.27,33.08,0
287,239.73,33.2,0
288,233.73,33.6,0
289,233.2,33.67,0
290,237.73,33.35,0
291,232.8,33.74,0
292,235.8,33.54,0
293,234.2,33.63,0
294,233.6,33.69,0
295,233.13,33.93,0
296,243.47,33.92,0
297,240.73,34.13,0
298,242.2,34.02,0
299,239.13,34.21,0
300,242.6,33.93,0
301,241.33,34.07,0
302,236.07,34.46,0
303,237.27,34.37,0
304,258.13,34.59,0
305,261.2,34.35,0
306,257.87,34.58,0
307,258.4,34.54,0
308,262.6,34.22,0
309,262.07,34.22,0
310,262.93,34.17,0
311,265.13,33.97,0
312,265.27,33.9,0
313,259,33.51,0
314,261.4,33.24,0
315,260.67,33.27,0
316,263.33,33.07,0
317,257.33,32.71,0
318,236.47,32.45,0
319,240.07,32.18,0
320,243.2,31.78,0
321,235.73,31.66,0
322,239.33,31.42,0
323,239.2,31.37,0
324,247.07,30.84,0
325,249.27,30.69,0
326,248.47,30.72,0
327,249.47,30.65,0
328,251,30.53,0
329,251.6,30.5,0
330,237.47,30.62,0
331,237.4,30.63,0
332,239.53,30.49,0
333,235.8,30.76,0
334,239.33,30.51,0
335,233.33,30.94,0
336,228.6,31.31,0
337,244.8,31.31,0
338,248.67,31.24,0
339,246.13,31.37,0
340,253.47,31.17,0
341,259.93,31.24,0
342,262.93,30.99,0
343,259.67,31.18,0
344,259.6,31.18,0
345,258.2,31.27,0
346,256.8,31.39,0
347,257.87,31.3,0
348,256.47,31.39,0
349,256.8,31.35,0
350,258.27,31.23,0
351,253.47,31.59,0
352,254.67,31.5,0
353,258.33,31.2,0
354,253.8,31.58,0
355,255.07,31.48,0
356,258.2,31.21,0
357,256.87,31.35,0
358,257.73,31.27,0
359,253.13,31.61,0
360,258.2,31.18,0
361,258.87,31.12,0
362,253.27,31.55,0
363,258.8,31.1,0
364,258.4,31.17,0
365,255.13,31.4,0
366,256,31.31,0
367,255.27,31.33,0
368,258.27,31.13,0
369,258.67,31.1,0
370,251.93,31.58,0
371,254.6,31.39,0
372,255.87,31.31,0
373,236.6,31.3,0
374,215.93,31.56,0
375,217.4,31.45,0
376,214.93,31.67,0
377,211,31.99,0
378,228.87,32.11,0
379,243.67,32.41,0
380,241.87,32.53,0
381,239.73,32.67,0
382,240.33,32.66,0
383,236.47,32.9,0
384,236.4,32.97,0
385,237.07,32.88,0
386,237.2,32.95,0
387,234.33,33.12,0
388,234.67,33.07,0
389,237.2,32.94,0
390,236.2,33.05,0
391,231.73,33.31,0
392,233.73,33.22,0
393,234.73,33.16,0
394,236.93,33.01,0
395,231.07,33.47,0
396,234,33.22,0
397,235.07,33.18,0
398,230.8,33.46,0
399,230.13,33.59,0
400,230.67,33.54,0
401,249.67,33.86,0
402,251.8,33.83,0
403,244.2,34.39,0
404,252.67,33.78,0
405,252.73,33.76,0
406,256.13,33.48,0
407,251.8,33.52,0
408,252.67,33.4,0
409,261.13,33.6,0
410,271.87,33.29,0
411,280.47,32.84,0
412,280.13,32.82,0
413,280.27,32.85,0
414,287.8,32.14,0
415,278.8,31.68,0
416,260.53,31.15,0
417,265.13,30.67,0
418,253.07,30.9,0
419,244.2,30.7,0
420,247.07,30.41,0
421,247.67,30.39,0
422,245.13,30.58,0
423,249.4,30.25,0
424,247.2,30.41,0
425,245.93,30.52,0
426,245.33,30.56,0
427,247.53,30.41,0
428,246.87,30.48,0
429,246.4,30.46,0
430,246.53,30.47,0
431,246.33,30.48,0
432,234.27,31.37,0
433,236,31.28,0
434,248.73,31.22,0
435,252,30.97,0
436,253.53,30.84,0
437,250.13,31.08,0
438,252.27,30.93,0
439,249.27,31.14,0
440,250.33,31.05,0
441,251.87,30.96,0
442,251.27,30.98,0
443,251.2,31,0
444,247.53,31.27,0
445,246.87,31.25,0
446,251.8,30.92,0
447,249.8,31.1,0
448,251.93,30.93,0
449,248.87,31.12,0
450,251.8,30.92,0
451,249.6,31.08,0
452,248.33,31.17,0
453,246.07,31.39,0
454,247.8,31.22,0
455,249.27,31.12,0
456,249.4,31.12,0
457,245.67,31.41,0
458,249.53,31.1,0
459,243.8,31.53,0
460,246.67,31.33,0
461,243.67,31.27,0
462,241.73,31.33,0
463,244.87,31.46,0
464,244.8,31.44,0
465,242.6,31.67,0
466,247,31.34,0
467,246,31.41,0
468,246.4,31.39,0
469,243.87,31.62,0
470,241.6,31.77,0
471,238.8,32.02,0
472,238.33,32.01,0
473,240.2,31.86,0
474,237.93,32.09,0
475,236.53,32.18,0
476,234.73,32.34,0
477,231.53,32.57,0
478,230.4,32.63,0
479,231.53,32.58,0
480,226.2,32.97,0
481,225.13,33.01,0
482,247.73,33.23,0
483,244.8,33.46,0
484,243,33.57,0
485,245.13,33.44,0
486,239.73,33.85,0
487,239.07,33.88,0
488,239.53,33.91,0
489,241.6,33.7,0
490,239.93,33.83,0
491,237.67,34.02,0
492,235.93,34.15,0
493,234.13,34.25,0
494,238.4,33.95,0
495,233.73,34.36,0
496,244.47,34.3,0
497,242.47,34.58,0
498,248.87,34.06,0
499,254.13,33.65,0
500,254.6,33.61,0
501,253.2,33.71,0
502,259,33.25,0
503,255.27,33.5,0
504,253.33,33.67,0
505,255.93,33.48,0
506,262.13,32.98,0
507,255.33,33.5,0
508,262.47,32.93,0
509,255.87,33.4,0
510,261.07,32.98,0
511,254.4,32.69,0
512,254.07,32.67,0
513,258.47,32.33,0
514,266.53,31.65,0
515,266.6,31.14,0
516,260.87,31.2,0
517,266.6,30.59,0
518,260.67,30.2,0
519,246.93,29.61,0
520,247.87,29.37,0
521,246.4,29.48,0
522,246.67,29.47,0
523,247,29.48,0
524,246.4,29.52,0
525,240.67,29.9,0
526,233.2,30.46,0
527,232.13,30.54,0
528,234.4,30.42,0
529,234.6,30.97,0
530,245.4,31.16,0
531,255.53,31.3,0
532,266.47,31.09,0
533,260.73,31.5,0
534,262,31.41,0
535,261.13,31.47,0
536,262.73,31.35,0
537,262.33,31.38,0
538,262.8,31.35,0
539,261.27,31.46,0
540,262.73,31.33,0
541,260.93,31.47,0
542,259.6,31.52,0
543,264.6,31.16,0
544,256.47,31.56,0
545,237.27,31.42,0
546,237.73,31.45,0
547,240.8,31.19,0
548,238.67,31.42,0
549,238.13,31.5,0
550,239.13,31.39,0
551,239.2,31.43,0
552,240.73,31.37,0
553,239.33,31.48,0
554,236.07,31.67,0
555,237.73,31.61,0
556,237.4,31.68,0
557,237.8,31.64,0
558,240.4,31.48,0
559,238,31.66,0
560,241.93,31.44,0
561,240.4,31.51,0
562,243.93,31.26,0
563,258.8,31.78,0
564,258,31.94,0
565,253.67,32.3,0
566,249.47,32.59,0
567,253.67,32.24,0
568,250.6,32.51,0
569,245.27,32.94,0
570,246.67,32.8,0
571,268.47,32.91,0
572,266.53,33.01,0
573,265.2,33.12,0
574,261.33,33.4,0
575,262.07,33.35,0
576,259.47,33.53,0
577,259.67,33.51,0
578,256.53,33.74,0
579,259.33,33.52,0
580,257.93,33.63,0
581,259.13,33.5,0
582,257.73,33.6,0
583,254.27,33.87,0
584,257.53,33.56,0
585,257.8,33.56,0
586,255.53,33.73,0
587,254.07,33.82,0
588,252.6,33.95,0
589,252.4,33.88,0
590,252.6,33.92,0
591,252.53,33.97,0
592,251.87,33.98,0
593,247.93,34.33,0
594,258.67,33.42,0
595,257.87,33.52,0
596,266.27,32.82,0
597,264.2,33.03,0
598,249.27,33.07,0
599,231.53,33.16,0
600,233.2,32.99,0
601,239.87,32.92,0
602,242,32.73,0
603,240.87,32.84,0
604,242.8,32.67,0
605,247,31.97,0
606,240.2,31.3,0
607,239.47,31.31,0
608,241.2,31.21,0
609,244.27,31.01,0
610,247.13,30.8,0
611,246.8,30.85,0
612,249.87,30.59,0
613,251.33,30.47,0
614,254.27,30.23,0
615,254,30.28,0
616,257,30.01,0
617,254,30.27,0
618,251.27,30.45,0
619,251,30.44,0
620,254.6,30.2,0
621,248.93,30.64,0
622,254.87,30.13,0
623,252.8,30.34,0
624,250.93,30.46,0
625,244.53,30.95,0
626,246.33,30.83,0
627,243.07,31.07,0
628,251.13,30.89,0
629,255.6,31.01,0
630,255.07,31.05,0
