id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly,anomaly_1,anomaly_2,anomaly_3,anomaly_4,anomaly_5,anomaly_6,anomaly_7,anomaly_8,anomaly_9,anomaly_10,anomaly_11,anomaly_12,anomaly_13,anomaly_14,anomaly_15,anomaly_16,anomaly_17,anomaly_18,anomaly_19,anomaly_20,anomaly_21,anomaly_22,anomaly_23,anomaly_24,anomaly_25,anomaly_average,anomaly_probability
361,2019 Nivel depósito ,0.4742857142857143,﻿Fecha_hora,0.7234468937875751,0.38,0.38,0.39,0.39,0.39,0.39,0.39,0.38,0.37,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.39,0.39,0.39,0.40,0.38,0.39,0.38,0.38,0.39,9.61,0.38,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
362,2019 Nivel depósito ,0.45142857142857135,﻿Fecha_hora,0.7254509018036072,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.39,0.39,0.39,0.39,0.38,0.40,0.40,0.39,0.39,0.39,0.38,0.40,0.39,0.38,0.38,0.39,0.38,9.72,0.39,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
363,2019 Nivel depósito ,0.42857142857142855,﻿Fecha_hora,0.7274549098196392,0.40,0.40,0.39,0.40,0.40,0.40,0.40,0.39,0.39,0.40,0.39,0.41,0.39,0.40,0.40,0.39,0.39,0.40,0.40,0.40,0.40,0.40,0.39,0.39,0.39,9.91,0.40,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
364,2019 Nivel depósito ,0.4057142857142856,﻿Fecha_hora,0.7294589178356713,0.40,0.38,0.38,0.39,0.38,0.39,0.41,0.39,0.40,0.39,0.39,0.39,0.38,0.41,0.40,0.39,0.38,0.40,0.40,0.40,0.42,0.40,0.38,0.39,0.37,9.81,0.39,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
365,2019 Nivel depósito ,0.38285714285714284,﻿Fecha_hora,0.7314629258517034,0.40,0.38,0.38,0.39,0.39,0.38,0.40,0.39,0.38,0.39,0.38,0.39,0.38,0.41,0.40,0.39,0.38,0.39,0.39,0.41,0.39,0.38,0.37,0.39,0.38,9.71,0.39,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
366,2019 Nivel depósito ,0.35428571428571426,﻿Fecha_hora,0.7334669338677354,0.38,0.38,0.38,0.38,0.38,0.39,0.39,0.37,0.37,0.40,0.38,0.39,0.39,0.39,0.38,0.41,0.38,0.38,0.38,0.39,0.39,0.38,0.38,0.39,0.38,9.61,0.38,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
367,2019 Nivel depósito ,0.33142857142857135,﻿Fecha_hora,0.7354709418837675,0.39,0.38,0.38,0.39,0.39,0.39,0.40,0.39,0.37,0.39,0.38,0.39,0.40,0.40,0.40,0.40,0.38,0.39,0.39,0.40,0.39,0.39,0.38,0.39,0.38,9.73,0.39,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
368,2019 Nivel depósito ,0.3085714285714285,﻿Fecha_hora,0.7374749498997996,0.39,0.37,0.38,0.38,0.39,0.38,0.39,0.39,0.37,0.39,0.38,0.39,0.39,0.39,0.38,0.39,0.38,0.38,0.38,0.40,0.39,0.40,0.38,0.40,0.37,9.63,0.39,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
369,2019 Nivel depósito ,0.2799999999999999,﻿Fecha_hora,0.7394789579158316,0.40,0.40,0.43,0.42,0.42,0.41,0.41,0.40,0.40,0.41,0.42,0.41,0.42,0.43,0.40,0.41,0.41,0.42,0.39,0.41,0.43,0.42,0.40,0.41,0.40,10.28,0.41,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
370,2019 Nivel depósito ,0.2571428571428571,﻿Fecha_hora,0.7414829659318637,0.39,0.38,0.41,0.40,0.40,0.39,0.39,0.39,0.38,0.39,0.40,0.40,0.38,0.41,0.39,0.39,0.40,0.40,0.39,0.39,0.40,0.40,0.40,0.40,0.39,9.86,0.39,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
371,2019 Nivel depósito ,0.22857142857142856,﻿Fecha_hora,0.7434869739478958,0.42,0.40,0.43,0.41,0.40,0.42,0.41,0.41,0.40,0.41,0.41,0.41,0.41,0.43,0.40,0.40,0.42,0.42,0.42,0.41,0.43,0.41,0.42,0.43,0.40,10.33,0.41,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
372,2019 Nivel depósito ,0.20571428571428568,﻿Fecha_hora,0.7454909819639278,0.41,0.40,0.41,0.40,0.41,0.42,0.41,0.41,0.41,0.41,0.43,0.41,0.41,0.41,0.41,0.42,0.41,0.43,0.39,0.41,0.42,0.40,0.41,0.42,0.40,10.27,0.41,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
373,2019 Nivel depósito ,0.17714285714285713,﻿Fecha_hora,0.7474949899799599,0.39,0.40,0.39,0.40,0.40,0.41,0.39,0.40,0.39,0.39,0.39,0.41,0.39,0.41,0.39,0.40,0.40,0.40,0.38,0.40,0.40,0.40,0.39,0.40,0.38,9.90,0.40,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
374,2019 Nivel depósito ,0.14857142857142855,﻿Fecha_hora,0.749498997995992,0.40,0.41,0.40,0.41,0.40,0.41,0.41,0.40,0.41,0.41,0.40,0.40,0.39,0.41,0.40,0.39,0.41,0.39,0.40,0.40,0.41,0.40,0.41,0.39,0.38,10.04,0.40,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
375,2019 Nivel depósito ,0.12571428571428567,﻿Fecha_hora,0.751503006012024,0.41,0.40,0.41,0.41,0.41,0.42,0.41,0.40,0.41,0.42,0.40,0.40,0.41,0.41,0.41,0.40,0.43,0.41,0.40,0.41,0.40,0.41,0.41,0.41,0.39,10.20,0.41,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
376,2019 Nivel depósito ,0.0971428571428571,﻿Fecha_hora,0.7535070140280561,0.41,0.39,0.41,0.41,0.41,0.41,0.41,0.40,0.41,0.42,0.41,0.40,0.40,0.41,0.40,0.41,0.43,0.39,0.40,0.41,0.40,0.42,0.42,0.40,0.39,10.17,0.41,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
377,2019 Nivel depósito ,0.07428571428571422,﻿Fecha_hora,0.7555110220440882,0.39,0.39,0.40,0.41,0.40,0.40,0.39,0.40,0.39,0.42,0.40,0.39,0.41,0.40,0.40,0.40,0.42,0.40,0.39,0.39,0.41,0.40,0.41,0.40,0.38,9.99,0.40,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
378,2019 Nivel depósito ,0.04571428571428565,﻿Fecha_hora,0.7575150300601202,0.40,0.41,0.40,0.41,0.42,0.41,0.42,0.42,0.41,0.43,0.41,0.40,0.42,0.40,0.42,0.41,0.41,0.40,0.40,0.40,0.41,0.41,0.42,0.42,0.40,10.26,0.41,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
379,2019 Nivel depósito ,0.022857142857142777,﻿Fecha_hora,0.7595190380761523,0.42,0.41,0.42,0.42,0.42,0.43,0.43,0.42,0.42,0.45,0.42,0.42,0.43,0.41,0.41,0.41,0.42,0.42,0.41,0.42,0.42,0.42,0.43,0.43,0.39,10.50,0.42,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
380,2019 Nivel depósito ,0,﻿Fecha_hora,0.7615230460921844,0.39,0.39,0.41,0.40,0.41,0.41,0.41,0.40,0.40,0.40,0.41,0.40,0.39,0.41,0.41,0.39,0.39,0.39,0.39,0.41,0.40,0.40,0.40,0.41,0.39,10.01,0.40,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
381,2019 Nivel depósito ,0.011428571428571389,﻿Fecha_hora,0.7635270541082164,0.40,0.38,0.41,0.42,0.42,0.41,0.40,0.41,0.40,0.41,0.43,0.40,0.41,0.41,0.40,0.40,0.40,0.41,0.40,0.41,0.41,0.42,0.41,0.43,0.40,10.20,0.41,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
382,2019 Nivel depósito ,0.05714285714285714,﻿Fecha_hora,0.7655310621242485,0.40,0.40,0.40,0.42,0.42,0.42,0.41,0.41,0.41,0.42,0.41,0.41,0.43,0.41,0.41,0.41,0.41,0.40,0.41,0.41,0.41,0.42,0.42,0.42,0.40,10.29,0.41,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
383,2019 Nivel depósito ,0.1028571428571428,﻿Fecha_hora,0.7675350701402806,0.41,0.40,0.41,0.42,0.43,0.43,0.42,0.41,0.41,0.42,0.42,0.42,0.43,0.44,0.42,0.41,0.41,0.41,0.42,0.43,0.41,0.42,0.41,0.43,0.43,10.47,0.42,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
384,2019 Nivel depósito ,0.15428571428571425,﻿Fecha_hora,0.7695390781563126,0.40,0.41,0.40,0.41,0.42,0.42,0.41,0.41,0.40,0.40,0.42,0.42,0.41,0.42,0.41,0.40,0.41,0.43,0.41,0.42,0.41,0.41,0.41,0.41,0.42,10.29,0.41,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
385,2019 Nivel depósito ,0.20571428571428568,﻿Fecha_hora,0.7715430861723447,0.42,0.40,0.41,0.43,0.44,0.43,0.41,0.41,0.43,0.41,0.45,0.44,0.43,0.43,0.40,0.42,0.41,0.43,0.41,0.43,0.41,0.42,0.42,0.42,0.42,10.53,0.42,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
386,2019 Nivel depósito ,0.25142857142857133,﻿Fecha_hora,0.7735470941883767,0.41,0.39,0.42,0.41,0.41,0.42,0.40,0.41,0.40,0.39,0.41,0.40,0.41,0.41,0.40,0.40,0.39,0.40,0.41,0.42,0.41,0.41,0.40,0.41,0.42,10.16,0.41,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
387,2019 Nivel depósito ,0.2971428571428571,﻿Fecha_hora,0.7755511022044088,0.41,0.39,0.43,0.42,0.44,0.42,0.42,0.41,0.42,0.41,0.42,0.41,0.43,0.42,0.41,0.41,0.42,0.41,0.42,0.42,0.42,0.41,0.41,0.42,0.42,10.42,0.42,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
388,2019 Nivel depósito ,0.34285714285714286,﻿Fecha_hora,0.7775551102204409,0.40,0.38,0.41,0.41,0.41,0.41,0.39,0.39,0.40,0.40,0.40,0.41,0.40,0.39,0.40,0.40,0.40,0.39,0.40,0.41,0.41,0.40,0.39,0.41,0.40,10.01,0.40,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
389,2019 Nivel depósito ,0.3885714285714286,﻿Fecha_hora,0.779559118236473,0.41,0.39,0.41,0.40,0.42,0.41,0.40,0.40,0.40,0.39,0.39,0.41,0.40,0.40,0.40,0.41,0.41,0.40,0.41,0.42,0.41,0.41,0.40,0.40,0.41,10.11,0.40,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
390,2019 Nivel depósito ,0.43999999999999995,﻿Fecha_hora,0.781563126252505,0.42,0.42,0.41,0.42,0.44,0.42,0.40,0.42,0.43,0.42,0.42,0.42,0.42,0.41,0.41,0.42,0.41,0.42,0.42,0.42,0.41,0.43,0.42,0.43,0.44,10.50,0.42,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
391,2019 Nivel depósito ,0.4971428571428571,﻿Fecha_hora,0.7835671342685371,0.42,0.40,0.41,0.41,0.42,0.43,0.40,0.41,0.41,0.40,0.40,0.42,0.41,0.40,0.40,0.40,0.40,0.41,0.42,0.40,0.40,0.41,0.40,0.41,0.41,10.20,0.41,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
392,2019 Nivel depósito ,0.5485714285714285,﻿Fecha_hora,0.7855711422845691,0.41,0.40,0.41,0.42,0.42,0.41,0.40,0.40,0.42,0.40,0.40,0.41,0.41,0.39,0.39,0.40,0.40,0.41,0.40,0.41,0.40,0.41,0.40,0.41,0.41,10.14,0.41,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
393,2019 Nivel depósito ,0.6057142857142855,﻿Fecha_hora,0.7875751503006012,0.43,0.43,0.44,0.43,0.44,0.43,0.42,0.43,0.43,0.43,0.42,0.44,0.44,0.41,0.42,0.42,0.44,0.43,0.44,0.44,0.43,0.43,0.42,0.42,0.44,10.75,0.43,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
394,2019 Nivel depósito ,0.6628571428571427,﻿Fecha_hora,0.7895791583166333,0.41,0.41,0.42,0.42,0.42,0.42,0.40,0.39,0.41,0.41,0.41,0.41,0.41,0.41,0.40,0.41,0.40,0.40,0.41,0.41,0.42,0.40,0.41,0.41,0.41,10.23,0.41,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
