iteration,data_size,number_of_attributes,number_of_trees
1,500,72,100
2,500,72,100
3,500,72,100
4,500,72,100
5,500,72,100
6,500,72,100
7,500,72,100
8,500,72,100
9,500,72,100
10,500,72,100
11,500,72,100
12,500,72,100
13,500,72,100
14,500,72,100
15,500,72,100
16,500,72,100
17,500,72,100
18,500,72,100
19,500,72,100
20,500,72,100
21,500,72,100
22,500,72,100
23,500,72,100
24,500,72,100
25,500,72,100
