iteration,data_size,number_of_attributes,number_of_trees
1,500,151,100
2,500,151,100
3,500,151,100
4,500,151,100
5,500,151,100
6,500,151,100
7,500,151,100
8,500,151,100
9,500,151,100
10,500,151,100
11,500,151,100
12,500,151,100
13,500,151,100
14,500,151,100
15,500,151,100
16,500,151,100
17,500,151,100
18,500,151,100
19,500,151,100
20,500,151,100
21,500,151,100
22,500,151,100
23,500,151,100
24,500,151,100
25,500,151,100
