iteration,data_size,number_of_attributes,number_of_trees
1,513,45,100
2,513,45,100
3,513,45,100
4,513,45,100
5,513,45,100
6,513,45,100
7,513,45,100
8,513,45,100
9,513,45,100
10,513,45,100
11,513,45,100
12,513,45,100
13,513,45,100
14,513,45,100
15,513,45,100
16,513,45,100
17,513,45,100
18,513,45,100
19,513,45,100
20,513,45,100
21,513,45,100
22,513,45,100
23,513,45,100
24,513,45,100
25,513,45,100
