month,day,hour,min,p_uiip,p_f,p_pu
1,10,10,30,20.97,30.65,48.35
1,10,10,45,21.2,30.82,48.69
1,10,12,15,21.19,31.26,49.44
1,10,13,15,21.3,31.04,49.24
1,10,13,45,21.27,31.1,49.14
1,10,15,0,21.33,31.14,49.2
1,10,15,45,21.23,31.37,49.97
1,10,17,45,21.22,31.35,49.5
1,10,18,30,20.75,31.3,49.3
1,10,19,45,20.66,29.99,47.69
1,10,22,45,20.7,31.27,49.47
1,10,23,45,19.09,31.46,49.67
1,11,0,30,19.21,31.74,49.85
1,11,4,45,19.22,32.36,50.55
1,11,5,0,19.09,32.03,50.27
1,11,8,15,21.14,30.67,48.82
1,11,9,30,20.9,30.05,47.7
1,11,10,0,20.3,29.93,47.76
1,11,10,15,20.12,30.18,47.72
1,11,11,45,20.31,29.8,47.64
1,11,14,0,20.71,29.78,47.99
1,11,14,30,20.55,29.93,48.07
1,11,16,15,20.46,30.46,48.88
1,11,18,30,20.81,29.99,48.33
1,11,22,15,20.73,30.11,48.13
1,11,22,30,20.56,29.99,47.84
1,12,1,0,17.84,30.16,48.05
1,12,4,0,18.49,30.2,48.37
1,12,5,0,18.49,30.39,48.44
1,12,5,15,18.76,30.4,48.47
1,12,5,30,18.57,30.3,48.26
1,12,5,45,18.95,30.08,47.88
1,12,6,15,19.14,29.54,47.66
1,12,6,45,19.11,29.95,48.49
1,12,9,0,21.58,29.69,48.16
1,12,10,30,21.15,27.81,47.63
1,12,11,0,21.19,30.32,50.22
1,12,11,15,21.17,31.52,51.26
1,12,11,30,21.15,30.03,49.46
1,12,12,45,21.14,29.76,49.36
1,12,13,15,21.1,29.23,48.82
1,12,13,30,20.67,29.13,48.78
1,12,16,15,21.21,32.95,51.84
1,12,17,15,21.14,32.27,51.33
1,12,17,30,21.04,31.89,50.74
1,12,18,45,20.98,29.44,48.66
1,12,20,15,20.56,30.8,50.7
1,12,21,0,20.64,33.01,52.35
1,12,23,0,21.14,33.03,51
1,13,2,30,27.9,36.16,54.14
1,13,3,45,28.61,33.29,51.26
1,13,5,0,28.73,31.31,49.1
1,13,5,30,27.46,33.03,51.03
1,13,7,15,20.14,28.75,48.33
1,13,7,30,20.22,29,48.46
1,13,9,15,20.27,33.05,52.8
1,13,11,0,20.16,33.56,53.03
1,13,12,30,19.76,29.97,49.94
1,13,13,30,19.78,29.81,49.96
1,13,15,0,20.56,30.1,50.18
1,13,15,45,20.49,29.99,50.1
1,13,17,45,20.71,30.03,50.05
1,13,23,15,25.69,31.45,51.44
1,13,23,30,25.68,31.42,50.78
1,13,23,45,25.84,31.36,50.34
1,14,1,0,25.71,31.03,49.73
1,14,1,45,25.78,31.42,49.96
1,14,2,45,25.78,32.12,50.84
1,14,4,30,25.67,31.5,50.55
1,14,6,0,20.57,31.44,51.52
1,14,6,30,20.65,31.22,51.25
1,14,10,45,18.96,31.44,51.34
1,14,12,0,19.03,31.47,51.31
1,14,13,15,18.48,31.36,51.39
1,14,13,30,18.56,31.61,51.46
1,14,14,45,19.58,31.24,51.28
1,14,15,0,19.84,31.36,51.5
1,14,16,0,19.98,31.82,51.9
1,14,18,0,19.62,31.65,51.67
1,14,19,30,19.76,31.95,51.91
1,14,20,0,19.63,31.9,51.91
1,14,21,45,19.49,32.22,52.25
1,15,2,15,26.71,34.07,53.05
1,15,4,0,28.71,33.78,52.83
1,15,6,15,19.64,33.65,52.18
1,15,6,45,19.46,33.43,51.36
1,15,7,45,19.97,32.52,50.48
1,15,9,30,19.67,30.95,48.98
1,15,11,0,19.7,30.69,48.85
1,15,11,30,19.56,31.03,49.1
1,15,11,45,19.47,30.88,49.1
1,15,12,0,19.78,31.12,49.3
1,15,12,30,19.82,31.13,49.22
1,15,13,15,19.65,31.25,49.63
1,15,18,30,20.62,32.2,51.91
1,15,18,45,20.63,32.07,51.95
1,15,19,45,21.61,32.16,51.94
1,15,21,30,19.81,32.35,52.2
1,16,0,30,25.72,33.83,53.24
1,16,0,45,25.72,33.95,53.33
1,16,1,15,25.78,34.1,53.15
1,16,3,15,22.65,34.04,52.5
1,16,4,0,23.46,34.1,52.65
1,16,5,45,21.68,34.29,52.41
1,16,6,0,19.51,34.14,52.63
1,16,6,15,19.55,33.92,52.36
1,16,6,30,19.63,33.59,52.09
1,16,8,30,18.98,33.78,52.14
1,16,9,30,19.52,31.42,49.76
1,16,10,15,19.5,31.48,49.63
1,16,12,0,18.81,31.7,49.89
1,16,12,30,18.86,31.75,49.97
1,16,12,45,19.25,31.9,50.2
1,16,15,45,19.97,32.56,52.29
1,16,19,30,20.62,32.64,52.12
1,16,20,0,20.66,32.61,52.14
1,17,4,0,25.71,34.46,53.81
1,17,4,15,25.69,34.29,53.18
1,17,5,30,21.29,33.73,52.16
1,17,5,45,19.93,33.52,52.1
1,17,7,15,20.03,30.8,48.03
1,17,8,30,18.67,30.46,47.76
1,17,8,45,18.67,30.35,47.76
1,17,10,0,18.67,30,47.76
1,17,10,45,18.67,30.28,47.76
1,17,11,0,18.67,30.22,47.76
1,17,12,30,18.67,30.23,47.76
1,17,13,0,19.13,30.01,47.41
1,17,13,15,19.71,29.71,47.24
1,17,13,45,19.76,30.71,49.42
1,17,14,30,20.27,31.62,51.04
1,17,14,45,20.23,31.69,51.02
1,17,16,0,20.58,32.12,51.85
1,17,16,30,20.65,32,51.75
1,17,18,0,20.7,31.82,51.55
1,17,18,30,20.68,31.82,51.59
1,17,19,0,20.48,31.91,51.64
1,17,20,15,20.97,31.82,51.57
1,17,21,15,20.61,32.14,51.87
1,17,22,15,20.62,32.6,52.37
1,18,0,30,22.7,32.92,51.24
1,18,1,30,22.57,32.81,51.07
1,18,2,45,24.52,33.1,51.4
1,18,4,15,22.4,33.12,51.47
1,18,5,15,17.23,33.33,51.67
1,18,6,30,20.76,32.42,50.65
1,18,8,0,20.59,33.08,50.56
1,18,9,0,20.65,31.16,49.18
1,18,9,15,20.56,30.48,48.54
1,18,9,30,20.63,30.18,47.73
1,18,11,0,20.69,29.9,47.85
1,18,12,30,20.8,30.88,49.29
1,18,12,45,20.82,31.02,49.49
1,18,15,0,20.82,31.02,49.12
1,18,15,15,20.76,31.15,49.29
1,18,16,15,20.49,31.14,49.22
1,18,17,15,20.88,31,50.02
1,18,17,45,20.65,31.07,50.82
1,18,18,0,20.67,31.03,50.62
1,18,20,30,20.75,31.25,50.13
1,18,23,45,17.6,32.65,52.76
1,19,4,0,14.71,32.98,52.54
1,19,5,15,14.51,32.86,52.73
1,19,5,45,20.31,32.35,50.86
1,19,6,0,19.11,32.22,50.9
1,19,6,45,20.82,32.56,51.46
1,19,7,0,20.58,33.06,51.49
1,19,7,45,20.48,32.51,51.24
1,19,10,15,20.68,32.08,50.52
1,19,14,45,20.48,31.97,51.24
1,19,15,15,20.76,32.24,51.76
1,19,16,15,20.74,32.23,51.97
1,19,16,30,20.71,32.27,51.97
1,19,18,30,20.84,32.1,52.09
1,19,19,15,20.63,31.95,51.94
1,19,19,30,20.82,32,51.74
1,19,20,0,20.76,32.1,52.01
1,19,21,15,20.63,32.38,51.88
1,19,22,45,20.43,33.12,52.85
1,19,23,15,16.62,33.33,53.24
1,20,1,0,16.47,33.99,53.59
1,20,2,0,16.82,34.38,53.46
1,20,3,15,17.08,33.62,52.39
1,20,7,45,20,32.69,50.9
1,20,9,45,20.58,31.37,49.31
1,20,11,30,20.2,31.73,49.8
1,20,15,0,20.75,31.4,49.53
1,20,15,30,20.66,31.51,49.87
1,20,18,45,20.73,31.74,51.1
1,20,19,45,20.66,31.5,51.06
1,20,20,15,20.61,31.55,51.07
1,20,21,15,20.62,31.69,51.3
1,21,0,30,16.61,33.22,53.05
1,21,4,0,15.91,33.74,53.34
1,21,6,45,20.02,32.38,50.46
1,21,8,15,20.65,30.86,48.74
1,21,8,30,20.53,30.67,48.71
1,21,8,45,20.71,30.94,48.9
1,21,11,45,20.63,31.48,49.57
1,21,13,45,20.89,30.79,48.86
1,21,14,45,20.71,31.2,49.24
1,21,15,15,20.72,31.12,49.29
1,21,16,0,20.75,31.56,50.97
1,21,16,30,20.49,31.51,50.82
1,21,17,15,20.68,31.74,50.97
1,21,20,30,20.71,31.62,51.09
1,21,23,0,17.16,32.59,52.52
1,22,1,15,17.59,33.71,53.63
1,22,2,15,17.42,33.69,53.52
1,22,4,30,16.97,34.33,54.23
1,22,8,0,20.18,31.77,49.55
1,22,10,0,20.65,30.81,48.59
1,22,16,15,20.76,31.41,49.69
1,22,17,45,20.65,31.3,49.46
1,22,18,45,20.17,31.48,50.82
1,22,21,15,19.87,32.07,52.05
1,22,21,30,19.47,31.95,52.03
1,22,23,30,17.15,32.97,52.94
1,23,2,0,17.06,34.06,53.9
1,23,2,15,16.94,34.27,54.04
1,23,4,0,17.2,34.52,54.3
1,23,6,0,20.5,34.87,54.45
1,23,6,15,20.77,34.3,53.65
1,23,7,15,20.71,33.45,51.91
1,23,7,45,20.53,33.42,51.82
1,23,8,45,19.17,31.29,48.95
1,23,9,15,16.59,30.42,48.16
1,23,9,30,18.24,30.69,48.48
1,23,11,15,20.63,31.61,49.78
1,23,12,30,20.67,31.53,49.69
1,23,13,0,20.69,30.99,48.79
1,23,16,15,20.74,31.63,50.02
1,23,16,30,20.78,31.68,50.03
1,23,19,15,20.04,32.17,52.09
1,23,20,30,20.2,32.07,51.88
1,23,22,0,20.31,32.98,52.82
1,23,22,15,20.28,32.69,52.55
1,23,23,15,17.63,32.97,52.81
1,24,0,15,16.48,33.45,53.27
1,24,0,30,16.72,34.02,53.7
1,24,0,45,16.64,34.02,53.79
1,24,1,30,17.62,34.08,53.79
1,24,2,30,17.63,33.73,53.55
1,24,2,45,17.5,33.8,53.58
1,24,6,30,20.75,33.15,51.15
1,24,6,45,20.71,32.63,50.71
1,24,7,0,20.56,32.46,50.54
1,24,11,0,20.65,31.88,49.83
1,24,11,45,19.44,31.71,49.87
1,24,15,30,17.51,31.52,49.31
1,24,15,45,17.63,31.2,49.24
1,24,17,0,21.95,31.88,51.93
1,24,18,0,21.54,31.84,51.99
1,24,18,15,16.44,31.82,51.78
1,24,19,15,18.05,31.5,51.22
1,24,21,30,20.79,31.93,51.04
1,24,22,15,20.65,32.24,51.17
1,24,23,45,22.65,33.46,53.03
1,25,1,45,23.62,33.5,52.85
1,25,6,0,22.66,33.59,53.43
