iteration,data_size,number_of_attributes,number_of_trees
1,500,71,100
2,500,71,100
3,500,71,100
4,500,71,100
5,500,71,100
6,500,71,100
7,500,71,100
8,500,71,100
9,500,71,100
10,500,71,100
11,500,71,100
12,500,71,100
13,500,71,100
14,500,71,100
15,500,71,100
16,500,71,100
17,500,71,100
18,500,71,100
19,500,71,100
20,500,71,100
21,500,71,100
22,500,71,100
23,500,71,100
24,500,71,100
25,500,71,100
