month_day_hour_min,i_uiipu,c_pu_p,p_pu,truth
211,353.8,0,53.72,0
212,354.53,0,53.77,0
213,355.6,0,53.82,0
214,355.93,0,53.56,0
215,356.13,0,53.62,0
216,361.27,0,53.48,0
217,344.13,0,53.04,0
218,194.47,17.65,51.63,0
219,35.53,26.85,50.54,0
220,3.73,25.7,50.24,0
221,3.47,26.34,50.14,0
222,3.53,25.56,49.54,0
223,3.47,25.82,49.29,0
224,3.33,25.8,49.14,0
225,3.8,26.27,49.2,0
226,3.4,24.26,48.72,0
227,3.47,25.57,48.85,0
228,3.8,25.59,48.64,0
229,3.47,26.93,48.54,0
230,3.4,25.65,48.29,0
231,3.53,25.12,48.36,0
232,3.93,25,48.31,0
233,3.67,26,48.87,0
234,3.8,25.9,48.9,0
235,3.73,25.78,48.44,0
236,3.53,25.66,48.54,0
237,3.6,24.88,48.78,0
238,3.67,24.15,48.24,0
239,3.53,25.62,48.81,0
240,3.53,24.64,48.52,0
241,3.33,26.28,48.22,0
242,3.47,26.3,48.46,0
243,3.53,25.19,48.51,0
244,3.47,25.53,48.24,0
245,147.53,25.18,49.44,0
246,142.87,26.12,49.48,0
247,135.8,25.75,49.28,0
248,142.93,25.75,48.97,0
249,140.53,24.35,49.14,0
250,138.4,26.19,49.56,0
251,137.47,25.29,49.61,0
252,138.87,25.64,49.39,0
253,140.2,24.75,49.46,0
254,138.47,25.68,49.54,0
255,138.4,25.33,49.63,0
256,136.33,25.76,49.52,0
257,137.93,25.73,49.54,0
258,138,24.67,49.59,0
259,278.2,25.25,50.76,0
260,367.47,25.44,51.48,0
261,354.33,26.81,51.37,0
262,284.13,25.36,50.56,0
263,285.27,25.12,50.59,0
264,287.67,26.04,50.51,0
265,286.13,24.59,50.41,0
266,285.53,26.09,50.56,0
267,286.73,25.67,50.63,0
268,288.8,25.76,50.41,0
269,285.33,25.64,50.75,0
270,288.87,25.98,50.44,0
271,286.27,26.75,50.54,0
272,289.87,24.61,50.41,0
273,287.4,25.24,50.65,0
274,288.07,25.91,50.66,0
275,286.07,25.32,50.63,0
276,288.73,5.46,50.66,0
277,286.47,0.27,50.69,0
278,350.47,0.06,51.52,0
279,352.47,0,51.7,0
280,352.8,0,51.8,0
281,350.47,0,51.82,0
282,347.53,0,52.1,0
283,345.2,0,52.3,0
284,371.27,0,52.76,0
285,369.93,0,52.85,0
286,368.8,0,53.01,0
287,365.4,0,53.23,0
288,363.8,0,53.51,0
289,365.07,0,53.43,0
290,364.33,0,53.33,0
291,361.33,0,53.6,0
292,366.33,0,53.27,0
293,361.73,0,53.46,0
294,365.6,0,53.35,0
295,361.6,0,53.61,0
296,358.53,0,53.77,0
297,357.2,0,54.05,0
298,358.27,0,53.93,0
299,359,0,53.96,0
300,362.33,0,53.73,0
301,359.4,0,53.97,0
302,359.87,0,54.21,0
303,356.8,0,54.22,0
304,356,0,54.33,0
305,362,0,53.88,0
306,358.27,0,54.31,0
307,357.13,0,54.25,0
308,357.53,0,54.16,0
309,360,0,54.09,0
310,361.93,0,53.97,0
311,363.4,0,53.81,0
312,363.4,0,53.66,0
313,367.33,0,53.31,0
314,258.2,18.5,51.91,0
315,180.93,24.91,51.76,0
316,152.53,25.98,51.31,0
317,130.67,26.1,50.74,0
318,84.33,25,50.4,0
319,87.8,26.71,50.16,0
