month_day_hour_min,n_px,ce_px,cs_px,truth
0,2.07,247.15,0,0
1,2.1,306.77,0,0
2,2.13,269.94,0,0
3,2.16,307.57,0,0
4,2.19,360.82,0,0
5,2.23,360.49,0,0
6,2.27,361.25,0,0
7,2.31,412.33,0,0
8,2.37,419.17,0,0
9,2.42,432.61,0,0
10,2.47,413.29,0,0
11,2.52,442.81,0,0
12,2.58,435.32,0,0
13,2.63,428.91,0,0
14,2.68,428.93,0,0
15,2.74,431.12,0,0
16,2.79,437.03,0,0
17,2.85,474.36,0,0
18,2.91,463.97,0,0
19,2.97,472.23,0,0
20,3.03,460.56,0,0
21,3.08,455.21,0,0
22,3.14,446.86,0,0
23,3.2,426.83,0,0
24,3.25,414.31,0,0
25,3.31,432.38,0,0
26,3.36,387.31,0,0
27,3.41,255.63,0,0
28,3.44,209.45,0,0
29,3.46,168.49,0,0
30,3.48,120.46,0,0
31,3.49,37.81,1.55,0
32,3.49,0.77,21.71,0
33,3.48,0,135.16,0
34,3.45,0,177.52,0
35,3.42,0,200.43,0
36,3.38,0,241.42,0
37,3.34,0,308.64,0
38,3.3,0,304.39,0
39,3.25,0,338.83,0
40,3.19,0,442.41,0
41,3.12,0,439.09,0
42,3.06,0,440.73,0
43,2.99,0,375.71,0
44,2.92,0,355.27,0
45,2.86,0,384.41,0
46,2.79,0,383.16,0
47,2.73,0,377.6,0
48,2.67,0,368.19,0
49,2.61,0,330.87,0
50,2.55,0,315,0
51,2.5,0,328.31,0
52,2.45,0,304.82,0
53,2.4,0,275.11,0
54,2.35,0,186.53,0
55,2.31,0,160.77,0
56,2.28,0,157.61,0
57,2.26,0,153.89,0
58,2.23,0,135.85,0
59,2.2,0,122.93,0
60,2.18,0,95.23,0
61,2.16,0,78.85,0
62,2.15,0,48.95,0
63,2.13,0.58,31.28,0
64,2.12,1.3,27.83,0
65,2.11,1.64,30.19,0
66,2.09,0,53.04,0
67,2.08,0,62.73,0
68,2.07,0,78.61,0
69,2.05,0,76.53,0
70,2.03,0,95.87,0
71,2.01,0,80.38,0
72,1.99,0,82.33,0
73,1.97,0,72.33,0
74,1.96,0,47.44,0
75,1.94,0,73.99,0
76,1.93,0,88.93,0
77,1.91,0,71.96,0
78,1.9,0,76.48,0
79,1.88,0,82.56,0
80,1.86,0,80.59,0
81,1.84,0,80.53,0
82,1.83,0,84.77,0
83,1.81,108.75,18.19,0
84,1.81,222.12,0,0
85,1.84,253.53,0,0
86,1.87,241.61,0,0
87,1.9,199.41,0,0
88,1.92,245.66,0,0
89,1.95,256.27,0,0
90,1.98,316.64,0,0
91,2.02,332.43,0,0
92,2.06,325.61,0,0
93,2.1,338.97,0,0
94,2.15,361.35,0,0
95,2.19,392.31,0,0
96,2.24,411.8,0,0
97,2.29,427.53,0,0
98,2.34,438.55,0,0
99,2.4,456.11,0,0
100,2.45,431.23,0,0
101,2.51,427.81,0,0
102,2.57,438.57,0,0
103,2.62,454.19,0,0
104,2.68,449.75,0,0
105,2.74,463.07,0,0
106,2.8,452.37,0,0
107,2.86,444.15,0,0
108,2.92,446.01,0,0
109,2.98,461.7,0,0
110,3.03,462.52,0,0
111,3.09,467.78,0,0
112,3.15,435.04,0,0
113,3.21,344.81,0,0
114,3.25,315.01,0,0
115,3.29,296.04,0,0
116,3.33,293.31,0,0
117,3.36,310.04,0,0
118,3.4,182.78,0,0
119,3.42,237.99,0,0
120,3.45,215.96,0,0
121,3.47,159.28,0,0
122,3.49,121.53,0,0
123,3.49,102.43,0,0
124,3.5,79.27,0,0
125,3.51,28.69,1.11,0
126,3.5,3.71,34.25,0
127,3.49,0,97.18,0
128,3.47,0,170.67,0
129,3.44,0,240.79,0
130,3.4,0,274.15,0
131,3.36,0,310.95,0
132,3.3,0,335.21,0
133,3.25,0,448.49,0
134,3.18,0,465.61,0
135,3.1,0,467.01,0
136,3.03,0,470.01,0
137,2.95,0,468.46,0
138,2.88,0,448.31,0
139,2.82,0,416.62,0
140,2.75,0,363.29,0
141,2.68,0,365.01,0
142,2.62,0,377.07,0
143,2.56,0,355.37,0
144,2.5,0,333.73,0
145,2.45,0,331.26,0
146,2.39,0,348.28,0
147,2.34,0,311.63,0
148,2.29,0,292.15,0
149,2.24,0,275.46,0
150,2.2,0,266.69,0
151,2.15,0,236.59,0
152,2.11,0,172.93,0
153,2.08,0,152.19,0
154,2.05,0,136.91,0
155,2.03,0,98.57,0
156,2.01,0,84.73,0
157,1.99,0,58.55,0
158,1.97,0,50.74,0
159,1.96,0,40.79,0
160,1.95,0,52.85,0
161,1.94,0,42.67,0
162,1.92,0,42.64,0
163,1.91,2.31,43.35,0
164,1.9,14.86,8.11,0
165,1.89,65.64,0,0
166,1.89,81.73,0,0
167,1.9,73.97,0,0
168,1.9,94.91,0,0
169,1.91,108.9,0,0
170,1.91,95.92,0,0
171,1.92,95.97,0,0
172,1.93,85.07,0,0
173,1.93,67.56,0,0
174,1.93,59.07,0,0
175,1.94,27.19,2.03,0
176,1.94,63.61,0.58,0
177,1.94,107.21,0,0
178,1.95,112.09,0,0
179,1.96,132.13,0,0
180,1.97,218.11,0,0
181,1.99,251.79,0,0
182,2.03,291.91,0,0
183,2.06,278.25,0,0
184,2.09,306.33,0,0
185,2.13,318.29,0,0
186,2.17,318.71,0,0
187,2.21,334.49,0,0
188,2.25,331.45,0,0
189,2.29,332.95,0,0
190,2.33,376.01,0,0
191,2.38,409.48,0,0
192,2.44,405.27,0,0
193,2.49,421.16,0,0
194,2.54,425.21,0,0
195,2.6,359.71,0,0
196,2.64,320.27,0,0
197,2.68,322.96,0,0
198,2.72,351.99,0,0
199,2.76,340.47,0,0
200,2.8,322.48,0,0
201,2.85,318.43,0,0
202,2.88,288.65,0,0
203,2.92,343.18,0,0
204,2.96,328.66,0,0
205,3,330.34,0,0
206,3.04,348.49,0,0
207,3.08,361.55,0,0
208,3.13,346.45,0,0
209,3.17,329.61,0,0
210,3.21,351.56,0,0
211,3.26,365.69,0,0
212,3.3,352.23,0,0
213,3.35,355.47,0,0
214,3.39,310.33,0,0
215,3.43,285.39,0,0
216,3.46,243.11,0,0
217,3.49,195.55,0,0
218,3.52,27.49,1.97,0
219,3.52,0,136.2,0
220,3.49,0,229.61,0
221,3.45,0,245.81,0
222,3.42,0,281.05,0
223,3.37,0,303.86,0
224,3.32,0,342.63,0
225,3.26,0,341.14,0
226,3.21,0,357.64,0
227,3.15,0,358.23,0
228,3.1,0,367,0
229,3.04,0,379.29,0
230,2.98,0,394.67,0
231,2.92,0,378.59,0
232,2.86,0,368.2,0
233,2.8,0,333.42,0
234,2.74,0,324.08,0
235,2.69,0,336.73,0
236,2.64,0,317.51,0
237,2.58,0,254.85,0
238,2.53,0,284.77,0
239,2.47,0,242.63,0
240,2.42,0,273.44,0
241,2.37,0,288.2,0
242,2.32,0,285.35,0
243,2.27,0,284.48,0
244,2.21,0,298.55,0
245,2.16,0,168.64,0
246,2.13,0,146.47,0
247,2.1,0,153.83,0
248,2.07,0,166.85,0
249,2.04,0,125.15,0
250,2.01,0,109.71,0
251,1.99,0,97.37,0
252,1.96,0,88.29,0
253,1.95,0,92.55,0
254,1.93,0,62.59,0
255,1.91,2.65,26.56,0
256,1.9,0,57.53,0
257,1.88,0,43.93,0
258,1.87,0,43.59,0
259,1.86,121.29,15.91,0
260,1.87,171.49,0,0
261,1.88,169.55,0,0
262,1.9,93.08,0,0
263,1.91,88.5,0,0
264,1.91,46.26,0,0
265,1.91,53.48,0,0
266,1.91,76.87,0,0
267,1.92,69.16,0,0
268,1.92,26.09,1.06,0
